X.SampleID	SampleID_fromonline	Country	City	location	CollectionDate	Latitude	Longitude	Season	LocalityID	SeqType	Continent	Dataset	NoOfFlies	SRA_accession	SRA_experiment	SeqPlatform	SampleType	sex	Year	YearDay	Prop_D_simulanscontamination	SNAPEoutlierstatus	ln2lt	ln2rlns	ln3lp	In_3R_C	In_3R_K	In_3R_Mo	In_3R_Payne	WeatherStationID	DistToWeatherStation_km_	bio1_Annual_Mean_Temperature_	bio2_Mean_Diurnal_Range__Mean_of_monthly_max_temp.min_temp__	bio3_Isothermality	bio4_Temperature_Seasonality__	bio5_Max_Temperature_of_Warmest_Month_	bio6_Min_Temperature_of_Coldest_Month_	bio7_Temperature_Annual_Range__bio5.bio6__	bio8_Mean_Temperature_of_Wettest_Quarter_	bio9_Mean_Temperature_of_Driest_Quarter_	bio10_Mean_Temperature_of_Warmest_Quarter_	bio11_Mean_Temperature_of_Coldest_Quarter_	bio12_Annual_Precipitation_	bio13_Precipitation_of_Wettest_Month_	bio14_Precipitation_of_Driest_Month_	bio15_Precipitation_Seasonality__Coefficient_of_Variation__	bio16_Precipitation_of_Wettest_Quarter_	bio17_Precipitation_of_Driest_Quarter_	bio18_Precipitation_of_Warmest_Quarter_	bio19_Precipitation_of_Coldest_Quarter_	tmin1_Jan_	tmin2_Feb_	tmin3_Mar_	tmin4_Apr_	tmin5_May_	tmin6_Jun_	tmin7_Jul_	tmin8_Aug_	tmin9_Sep_	tmin10_Oct_	tmin11_Nov_	tmin12_Dec_	tmax1_Jan_	tmax2_Feb_	tmax3_Mar_	tmax4_Apr_	tmax5_May_	tmax6_Jun_	tmax7_Jul_	tmax8_Aug_	tmax9_Sep_	tmax10_Oct_	tmax11_Nov_	tmax12_Dec_	prec1_Jan_	prec2_Feb_	prec3_Mar_	prec4_Apr_	prec5_May_	prec6_Jun_	prec7_Jul_	prec8_Aug_	prec9_Sep_	prec10_Oct_	prec11_Nov_	prec12_Dec_	MaxTemp	MinTemp	AvgTemp	MaxcDHI	AvgcDHI	MaxcDNI	AvgcDNI	MaxcGHI	AvgcGHI	MaxDP	MinDP	AvgDP	MaxDHI	AvgDHI	MaxFF	AvgFF	MaxRH	MinRH	AvgRH	MaxSZA	MinSZA	AvgSZA	MaxSA	MinSA	AvgSA	MaxPress	MinPress	AvgPres	MaxPW	MinPW	AvgPW	MaxWD	MinWD	AvgWD	MaxWS	MinWS	AvgWS	MaxUVO	AvgUVO	MaxUVI	AvgUVI
SRR3939057	GA_at_14_spring	USA	Athens	Athens, GA	41805	33.95	-83.36	spring	GA_at	pooled	NorthAmerica	DrosRTEC	44	SRR3939057	SRX1968286	Illumina HiSeq 4000	wild	male	2014	166	0.003636308	Keep	0.43	0.01	0.01	0.01	0.11	0.04	0.05	USW00013873	3.011680235	163	128	39	7265	324	-1	325	82	168	255	67	1248	136	84	15	376	261	303	340	-1	11	49	90	138	181	202	197	165	97	49	13	114	140	185	234	274	309	324	317	285	233	181	130	125	115	136	103	105	93	116	94	87	84	90	100	33	20.7	26.5708333333333	151	68.5416666666667	853	289.5	985	290.625	23.2	18.9	20.7666666666667	471	91.5833333333333	7	0.291666666666667	98.99	43.58	74.1120833333333	122.72	10.68	73.3854166666667	0.15	0.15	0.15	995	991	992.916666666667	4.3	3	3.65416666666667	292	21	130.541666666667	0.4	0	0.166666666666667	60.8059	17.0880375	47.897	13.4129416666667
SRR3939058	MI_bh_14_fall	USA	Benton Harbor	NA	41948	42.1111	-86.4483	fall	MI_bh	pooled	NorthAmerica	DrosRTEC	34	SRR3939058	SRX1968287	Illumina HiSeq 4000	wild	male	2014	309	0.003766486	Keep	0.14	0.01	0.03	0.01	0	0.03	0.03	USC00200710	2.318021111	96	103	28	9385	281	-84	365	204	-17	212	-30	945	102	44	19	275	170	261	181	-84	-73	-22	31	85	140	166	155	118	60	7	-50	-5	12	72	144	208	262	281	271	236	170	92	22	60	44	66	91	81	88	85	88	102	79	84	77	12.6	6.2	9.1375	70	22.0416666666667	865	178.166666666667	440	111.583333333333	7	3.3	5.27916666666667	229	46.375	7	0.291666666666667	94.1	58.72	77.7125	153.52	57.91	102.661666666667	0.13	0.13	0.13	999	991	996.375	1.5	0.7	1.15833333333333	271	195	233.541666666667	6.3	1.6	3.52916666666667	23.6243	5.72839166666667	18.4019	4.4569375
SRR3939059	MI_bh_14_spring	USA	Benton Harbor	NA	41846	42.1111	-86.4483	spring	MI_bh	pooled	NorthAmerica	DrosRTEC	106	SRR3939059	SRX1968288	Illumina HiSeq 4000	wild	male	2014	207	0.003693469	Keep	0.16	0.04	0	0.01	0	0.03	0.01	USC00200710	2.318021111	96	103	28	9385	281	-84	365	204	-17	212	-30	945	102	44	19	275	170	261	181	-84	-73	-22	31	85	140	166	155	118	60	7	-50	-5	12	72	144	208	262	281	271	236	170	92	22	60	44	66	91	81	88	85	88	102	79	84	77	24.6	17.2	21.2708333333333	260	91.6666666666667	487	89.4166666666667	660	199.25	20.3	16.1	18.1833333333333	453	139.958333333333	7	0.291666666666667	97.11	70.6	83.1179166666667	118.21	23.28	74.4741666666667	0.13	0.13	0.13	991	987	989.083333333333	4.2	2.9	3.55833333333333	280	197	229.458333333333	3.7	1	2.33333333333333	40.0974	11.4835166666667	31.5544	9.01508333333333
SRR1525698	ME_bo_09_fall.r1	USA	Bowdoin	Bowdoin, ME	40101	44	-69.96	fall	ME_bo	pooled	NorthAmerica	DrosRTEC	86	SRR1525698	SRX661844	Illumina HiSeq 2000	5gen_lab	male	2009	288	0.005290034	Keep	0.16	0.08	0	0.02	0.04	0.15	0	USC00172048	10.9401886	74	108	28	9371	262	-118	380	30	184	192	-51	1148	122	80	12	332	249	253	288	-118	-108	-51	7	63	117	149	140	94	36	-11	-80	-11	3	49	115	181	232	262	253	208	148	79	12	93	86	105	101	93	89	80	84	85	101	122	109	6.3	-1.5	1.9875	102	32.0416666666667	485	111.5	476	118.166666666667	-0.2	-6.5	-3.02916666666667	278	69.3333333333333	7	0.625	95.38	39.37	73.19125	144.53	52.74	97.1279166666667	0.15	0.15	0.15	1014	1012	1012.91666666667	0.8	0.6	0.7125	357	24	263.041666666667	0.6	0.1	0.395833333333333	27.0359	6.32905	21.1723	4.93675
SRR1525699	ME_bo_09_fall.r2	USA	Bowdoin	Bowdoin, ME	40101	44	-69.96	fall	ME_bo	pooled	NorthAmerica	DrosRTEC	75	SRR1525699	SRX661845	Illumina HiSeq 2000	wild	male	2009	288	0.010551195	Exclude	0.19	0.15	0.03	0.03	0.08	0.17	0.05	USC00172048	10.9401886	74	108	28	9371	262	-118	380	30	184	192	-51	1148	122	80	12	332	249	253	288	-118	-108	-51	7	63	117	149	140	94	36	-11	-80	-11	3	49	115	181	232	262	253	208	148	79	12	93	86	105	101	93	89	80	84	85	101	122	109	6.3	-1.5	1.9875	102	32.0416666666667	485	111.5	476	118.166666666667	-0.2	-6.5	-3.02916666666667	278	69.3333333333333	7	0.625	95.38	39.37	73.19125	144.53	52.74	97.1279166666667	0.15	0.15	0.15	1014	1012	1012.91666666667	0.8	0.6	0.7125	357	24	263.041666666667	0.6	0.1	0.395833333333333	27.0359	6.32905	21.1723	4.93675
SRR3590550	VA_ch_12_fall	USA	Charlottesville	Charlottesville, VA	41218	38	-78.47	fall	VA_ch	pooled	NorthAmerica	DrosRTEC	50	SRR3590550	SRX1801495	Illumina HiSeq 2000	wild	male	2012	310	0.188913962	Keep	0.14	0.02	0	0.01	0	0.02	0.02	USW00003759	0.475773345	134	128	36	8117	311	-41	352	229	27	237	27	1118	115	76	13	319	234	315	234	-41	-28	12	61	114	160	184	176	137	71	24	-19	72	91	143	205	251	291	311	302	267	209	151	90	76	78	93	81	108	92	115	108	96	104	87	80	10.3	-2.2	2.75833333333333	83	27.5416666666667	928	324.958333333333	625	166.25	0.9	-4	-2.45416666666667	83	27.5416666666667	0	0	93.29	37.34	72.6125	157.26	54.31	102.189166666667	0.12	0.12	0.12	1000	997	998.041666666667	0.9	0.7	0.754166666666667	359	10	201.375	0.6	0.1	0.254166666666667	35.4798	8.66400416666667	27.7836	6.75925
SRR3590551	VA_ch_12_spring	USA	Charlottesville	Charlottesville, VA	41108	38	-78.47	spring	VA_ch	pooled	NorthAmerica	DrosRTEC	95	SRR3590551	SRX1801496	Illumina HiSeq 2000	wild	male	2012	200	0.006762786	Keep	0.12	0.01	0	0.01	0	0.01	0.03	USW00003759	0.475773345	134	128	36	8117	311	-41	352	229	27	237	27	1118	115	76	13	319	234	315	234	-41	-28	12	61	114	160	184	176	137	71	24	-19	72	91	143	205	251	291	311	302	267	209	151	90	76	78	93	81	108	92	115	108	96	104	87	80	35	23.1	29.1583333333333	252	91.4583333333333	692	197.5	908	262.291666666667	24.3	19.2	21.1208333333333	449	118.875	7	0.583333333333333	89.52	41.76	64.8229166666667	121	17.28	74.1054166666667	0.18	0.17	0.177916666666667	994	992	992.75	5.5	3.9	4.67916666666667	298	278	288.291666666667	0.2	0.1	0.15	55.8332	15.4304083333333	43.9699	12.1134333333333
SRR3939076	VA_ch_14_fall	USA	Charlottesville	Charlottesville, VA	41926	38	-78.47	fall	VA_ch	pooled	NorthAmerica	DrosRTEC	76	SRR3939076	SRX1968305	Illumina HiSeq 4000	wild	male	2014	287	0.003579695	Keep	0.22	0.02	0	0.01	0	0.01	0.02	USW00003759	0.475773345	134	128	36	8117	311	-41	352	229	27	237	27	1118	115	76	13	319	234	315	234	-41	-28	12	61	114	160	184	176	137	71	24	-19	72	91	143	205	251	291	311	302	267	209	151	90	76	78	93	81	108	92	115	108	96	104	87	80	26.8	18.5	22.1958333333333	96	34.5833333333333	503	23.9583333333333	190	44.7083333333333	21.1	18.3	20.1	187	39.0416666666667	7	0.583333333333333	99.62	64.34	89.0308333333333	149.71	46.8	96.365	0.13	0.13	0.13	1000	992	995.666666666667	4.6	3.4	3.90833333333333	172	156	164.208333333333	0.6	0.2	0.4375	10.9407	2.44496666666667	8.5773	1.90674583333333
SRR3939077	VA_ch_14_spring	USA	Charlottesville	Charlottesville, VA	41815	38	-78.47	spring	VA_ch	pooled	NorthAmerica	DrosRTEC	104	SRR3939077	SRX1968306	Illumina HiSeq 4000	wild	male	2014	176	0.00397015	Keep	0.21	0.01	0	0.01	0.01	0.01	0.01	USW00003759	0.475773345	134	128	36	8117	311	-41	352	229	27	237	27	1118	115	76	13	319	234	315	234	-41	-28	12	61	114	160	184	176	137	71	24	-19	72	91	143	205	251	291	311	302	267	209	151	90	76	78	93	81	108	92	115	108	96	104	87	80	31.3	20.3	25.625	164	74.375	810	203.333333333333	947	276.875	23.1	20.3	21.1125	405	117.458333333333	7	0.583333333333333	100	53.4	78.5504166666667	118.52	14.92	72.2883333333333	0.17	0.16	0.167916666666667	996	991	993.083333333333	5.1	4.5	4.8875	306	210	235.541666666667	0.3	0.1	0.166666666666667	58.3265	16.3512625	45.9379	12.843175
SRR3939087	VA_ch_15_fall	USA	Charlottesville	Charlottesville, VA	42296	38	-78.47	fall	VA_ch	pooled	NorthAmerica	DrosRTEC	89	SRR3939087	SRX1968316	Illumina HiSeq 4000	wild	male	2015	292	0.003526144	Keep	0.31	0.01	0	0.01	0.02	0.02	0.02	USW00003759	0.475773345	134	128	36	8117	311	-41	352	229	27	237	27	1118	115	76	13	319	234	315	234	-41	-28	12	61	114	160	184	176	137	71	24	-19	72	91	143	205	251	291	311	302	267	209	151	90	76	78	93	81	108	92	115	108	96	104	87	80	13.9	-1.2	5.86666666666667	70	24.7083333333333	964	354.708333333333	709	198.916666666667	3.8	-3	-0.641666666666667	70	24.7083333333333	0	0	88.93	33.42	67.5145833333333	151.46	48.49	97.6791666666667	0.13	0.12	0.122083333333333	1013	1006	1009.41666666667	1.1	0.8	1.00416666666667	342	191	252.666666666667	0.3	0.1	0.129166666666667	41.1792	11.0631791666667	32.3055	8.64136666666667
