	jr1098	jr1099	jr1100	jr1101	jr1113	jr1114	jr1115	jr1116	jr1117	jr1118	jr1119	jr1121	jr1122	jr1123	jr1124	jr1125	jr1126	jr1127	jr1128	jr1249	jr1250	jr1251	jr1252	jr1254	jr1255	jr1256	jr1257	jr1258	jr1259	jr1278	jr1279	jr1281	jr1282	jr1283	jr1284	jr1285	jr1286	jr1287	jr1288	jr1289	jr1291	jr1292	jr1293	jr1296	jr1298	jr1299	jr1300	jr1301	jr1302	jr1303	jr1304	jr1305	jr1306	jr1307	jr1308	jr1309	jr1310	jr1311	jr1312	jr1313	jr1314	jr1315	jr1316	jr1317	jr1318	jr1319	jr1320	jr1321	jr1322	jr1323	jr1336	jr1337	jr1338	jr1339	jr1340	jr1341	jr363	jr367
jr1098	0.0	0.706	0.816	0.848	0.974	0.596	0.98	0.776	0.982	0.936	0.876	0.928	0.826	0.792	0.874	0.686	0.814	0.504	0.622	0.974	0.688	0.826	0.696	0.65	0.612	0.93	0.974	0.982	0.912	0.848	0.826	0.788	0.802	0.97	0.976	0.714	0.978	0.93	0.996	0.964	0.892	0.98	0.694	0.916	0.832	0.982	0.996	0.968	0.998	0.996	0.994	0.938	0.998	0.928	0.99	0.984	0.958	0.996	0.986	0.964	0.964	0.99	1.0	0.988	0.9	0.86	0.872	0.698	0.854	0.78	1.0	0.95	0.808	0.978	0.998	0.786	0.692	0.926
jr1099	0.706	0.0	0.884	0.666	0.94	0.61	0.974	0.636	0.96	0.832	0.874	0.93	0.75	0.594	0.772	0.75	0.856	0.786	0.824	0.934	0.84	0.824	0.862	0.8	0.756	0.836	0.942	0.742	0.87	0.674	0.686	0.856	0.746	0.956	0.928	0.884	0.96	0.878	0.994	0.7	0.842	0.96	0.866	0.886	0.762	0.98	0.936	0.952	0.972	0.988	0.98	0.878	0.978	0.904	0.946	0.988	0.92	0.94	0.94	0.946	0.956	0.968	0.936	0.984	0.94	0.676	0.65	0.698	0.642	0.67	0.986	0.9	0.878	0.936	0.986	0.606	0.904	0.924
jr1100	0.816	0.884	0.0	0.84	0.716	0.75	0.832	0.69	0.632	0.902	0.49	0.614	0.772	0.866	0.654	0.864	0.672	0.598	0.708	0.71	0.716	0.9	0.686	0.868	0.864	0.876	0.612	0.938	0.818	0.78	0.8	0.864	0.866	0.92	0.728	0.862	0.95	0.832	0.988	0.944	0.866	0.672	0.79	0.86	0.798	0.972	0.664	0.81	0.748	0.746	0.784	0.718	0.904	0.494	0.746	0.85	0.604	0.702	0.812	0.708	0.8	0.938	0.602	0.912	0.756	0.836	0.94	0.834	0.938	0.816	0.934	0.83	0.694	0.7	0.718	0.862	0.762	0.87
jr1101	0.848	0.666	0.84	0.0	0.784	0.68	0.952	0.69	0.812	0.83	0.814	0.896	0.83	0.876	0.918	0.596	0.816	0.806	0.666	0.852	0.918	0.912	0.728	0.866	0.852	0.782	0.908	0.63	0.83	0.498	0.698	0.906	0.796	0.938	0.87	0.902	0.98	0.776	0.994	0.586	0.766	0.872	0.87	0.842	0.79	0.938	0.906	0.958	0.952	0.954	0.94	0.754	0.968	0.858	0.924	0.986	0.824	0.92	0.902	0.906	0.97	0.966	0.896	0.974	0.754	0.588	0.63	0.584	0.604	0.56	0.962	0.898	0.84	0.898	0.984	0.562	0.766	0.772
jr1113	0.974	0.94	0.716	0.784	0.0	0.874	0.904	0.762	0.444	0.914	0.568	0.652	0.902	0.916	0.736	0.99	0.854	0.778	0.736	0.828	0.904	0.98	0.694	0.98	0.968	0.846	0.72	0.766	0.808	0.864	0.862	0.952	0.978	0.896	0.88	0.948	0.944	0.864	0.992	0.812	0.79	0.786	0.686	0.744	0.85	0.972	0.738	0.82	0.802	0.7	0.75	0.434	0.864	0.654	0.788	0.964	0.696	0.784	0.798	0.76	0.892	0.906	0.706	0.944	0.698	0.922	0.962	0.898	0.99	0.87	0.854	0.748	0.858	0.718	0.74	0.794	0.88	0.892
jr1114	0.596	0.61	0.75	0.68	0.874	0.0	0.808	0.726	0.918	0.782	0.81	0.908	0.964	0.892	0.922	0.626	0.588	0.672	0.5	0.9	0.66	0.686	0.558	0.434	0.41	0.802	0.814	0.698	0.822	0.548	0.482	0.62	0.524	0.948	0.826	0.54	0.834	0.836	0.99	0.67	0.586	0.924	0.588	0.77	0.656	0.972	0.928	0.898	0.966	0.952	0.952	0.846	0.974	0.864	0.954	0.992	0.91	0.898	0.92	0.894	0.942	0.966	0.928	0.988	0.912	0.592	0.658	0.42	0.646	0.518	0.97	0.79	0.704	0.928	0.974	0.55	0.758	0.926
jr1115	0.98	0.974	0.832	0.952	0.904	0.808	0.0	0.824	0.938	0.558	0.84	0.914	0.974	0.952	0.954	0.982	0.782	0.884	0.922	0.89	0.944	0.982	0.88	0.972	0.98	0.948	0.812	0.97	0.946	0.984	0.984	0.98	0.99	0.914	0.932	0.982	0.592	0.904	0.994	0.99	0.766	0.972	0.922	0.96	0.968	0.974	0.914	0.508	0.936	0.954	0.964	0.97	0.912	0.794	0.872	1.0	0.906	0.894	0.92	0.608	0.978	0.966	0.908	0.992	0.95	0.974	0.988	0.982	0.99	0.946	0.994	0.984	0.966	0.994	0.988	0.952	0.8	0.986
jr1116	0.776	0.636	0.69	0.69	0.762	0.726	0.824	0.0	0.846	0.844	0.682	0.826	0.726	0.574	0.736	0.776	0.664	0.672	0.608	0.824	0.846	0.886	0.712	0.882	0.882	0.796	0.704	0.868	0.772	0.762	0.782	0.88	0.89	0.906	0.862	0.884	0.938	0.768	0.994	0.872	0.762	0.85	0.764	0.812	0.798	0.954	0.804	0.896	0.904	0.87	0.866	0.772	0.958	0.766	0.892	0.986	0.798	0.892	0.904	0.858	0.938	0.95	0.81	0.974	0.748	0.84	0.924	0.83	0.902	0.784	0.948	0.876	0.792	0.848	0.948	0.8	0.782	0.852
jr1117	0.982	0.96	0.632	0.812	0.444	0.918	0.938	0.846	0.0	0.93	0.584	0.63	0.568	0.944	0.688	0.996	0.86	0.864	0.816	0.728	0.77	0.994	0.756	0.99	0.988	0.878	0.73	0.876	0.852	0.902	0.902	0.96	0.988	0.94	0.552	0.96	0.966	0.848	0.994	0.906	0.82	0.446	0.868	0.826	0.864	0.974	0.41	0.802	0.45	0.42	0.446	0.55	0.88	0.534	0.686	0.84	0.656	0.64	0.476	0.624	0.804	0.928	0.502	0.894	0.47	0.942	0.968	0.924	0.996	0.93	0.87	0.83	0.51	0.386	0.562	0.912	0.968	0.928
jr1118	0.936	0.832	0.902	0.83	0.914	0.782	0.558	0.844	0.93	0.0	0.882	0.942	0.978	0.93	0.94	0.86	0.858	0.898	0.822	0.934	0.962	0.92	0.882	0.858	0.862	0.862	0.924	0.85	0.888	0.832	0.828	0.91	0.862	0.968	0.96	0.912	0.476	0.85	0.994	0.848	0.85	0.948	0.882	0.904	0.83	0.976	0.962	0.444	0.976	0.962	0.96	0.882	0.986	0.882	0.966	0.988	0.922	0.964	0.95	0.604	0.96	0.976	0.978	0.984	0.92	0.842	0.872	0.83	0.86	0.822	0.99	0.95	0.86	0.95	0.98	0.812	0.908	0.942
