	jr1057	jr1059	jr1060	jr1061	jr1062	jr1063	jr1064	jr1065	jr1066	jr1067	jr1068	jr1069	jr1070	jr1071	jr1072	jr1073	jr1074	jr1075	jr1076	jr1077	jr1078	jr1079	jr1080	jr1081	jr1082	jr1083	jr1084	jr1085	jr1086	jr1087	jr1088	jr1089	jr1090	jr1091	jr1092	jr1093	jr1095	jr1096	jr1097	jr1102	jr1103	jr1104	jr1105	jr1106	jr1107	jr1108	jr1109	jr1110	jr1111	jr1112	jr1129	jr1130	jr1131	jr1132	jr1133	jr1134	jr1135	jr1136	jr1137	jr1138	jr1139	jr1140	jr1141	jr1142	jr1143	jr1144	jr1145	jr1260	jr1261	jr1262	jr1263	jr1264	jr1265	jr1266	jr1267	jr1268	jr1269	jr1270	jr1271	jr1272	jr1273	jr1274	jr1275	jr1276	jr1277	jr1280	jr1324	jr1325	jr1326	jr1327	jr1329	jr1331	jr1332	jr1334	jr1335	jr1342	jr1343	jr1344	jr299	jr302	jr303	jr357	jr370	jr371	jr373	jr375
jr1057	0.0	0.18510328145738325	0.21364253241279285	0.23642554121416332	0.2717800354908316	0.37827456839738155	0.19605891591168387	0.2068669234914096	0.142612555361962	0.26851578605003484	0.26234006361163875	0.23637002585886932	0.21866011132838545	0.25348555545130824	0.2749108341770033	0.3863058545530994	0.24964493304492497	0.5747436134076481	0.19661028399794603	0.2737744328257985	0.3845520586836021	0.18674125002879968	0.2867015688751302	0.2533141357374619	0.2192084984408459	0.2484227710638551	0.30235636441881625	0.25614663304431484	0.26296927231335265	0.25274083948597287	0.2890824793147371	0.25959636361036154	0.18742131857247218	0.27668505996473525	0.22101470118789854	0.2982003350836819	0.24855989263250333	0.279809316227279	0.3806929022520199	0.25846747578463486	0.29737792761423876	0.24353671927309087	0.1548269534011721	0.2777079319384899	0.30218572327220333	0.27307977426758495	0.2804977981912232	0.1698158594749058	0.2999126728289635	0.326026837313201	0.30397952489785934	0.23646084749178545	0.37584343453607766	0.30530710805192474	0.2353583565751307	0.23528836295614666	0.2176717209884307	0.21422098365425127	0.2600759491540651	0.22094530753208796	0.2791477614888416	0.2978816598535343	0.32341697257603574	0.21208916684209034	0.2732697940537563	0.27672255803793117	0.25358493065806487	0.3183934160320578	0.1954874041207272	0.20938125847515526	0.22215708002786114	0.2723213857847614	0.28282982725305056	0.2618312007601484	0.264926829959626	0.2982254609469842	0.28394533126936805	0.3216202305533866	0.27813043686046574	0.16893098060311887	0.3221754729340062	0.23874656645901007	0.14532973041758596	0.3049040819970861	0.28701526073277744	0.1865899014697262	0.23956692118812264	0.30702536055886914	0.355398584302678	0.2129397213359409	0.2700182193243411	0.29627126698188494	0.29649148384263085	0.20470767618059516	0.16906645549071342	0.2652418696734295	0.32078289723319753	0.19839924600517347	0.19621844192983987	0.21487045576208236	0.29712633841722313	0.26887070561152604	0.28700372805638125	0.3011100087580528	0.2578026681981713	0.2302486081589962
jr1059	0.18510328145738325	0.0	0.19087478831141808	0.16338674096051478	0.2051328269981771	0.28719033041433767	0.15435079808465596	0.12272431915885729	0.20873069770383224	0.2005822462355947	0.15936901883592763	0.14995492881547323	0.1386122996378952	0.1068964631280294	0.19236978460168627	0.39981329832217144	0.20185043417534038	0.5660681728592555	0.04158464680120352	0.2059072588710189	0.3127462107498497	0.19126762576236303	0.21857131829423257	0.21966235879211268	0.22876352801716088	0.19813902230029387	0.23415676294005672	0.21846741529922023	0.20431239362248835	0.22272903677109446	0.2340639228553708	0.21474607340472696	0.20375704155252952	0.22504587391435318	0.24716122751819997	0.13941260783814124	0.19282220020528532	0.2074220910629751	0.2872754369677899	0.22009729184500293	0.22877502064285585	0.20334939263934623	0.23365121349579718	0.21219849099801344	0.2381248346413693	0.20697970542423752	0.2101815556540084	0.21688275084165892	0.23209858430190206	0.2622808694257737	0.21246204417400816	0.18092485197977537	0.3240733249876312	0.24468713451654195	0.12421546096232922	0.14373429431849588	0.0666388120685161	0.07202683163585322	0.1932183500203257	0.18233063525924653	0.20903858691471408	0.23496119143928734	0.2600536275300135	0.18090854309789925	0.2132139442967465	0.21560530966543237	0.2033267943586779	0.25480454576863526	0.19917379028979654	0.21781376064043528	0.19322607110457946	0.21247434742520718	0.22191943966609484	0.22266174776802508	0.20218669273415873	0.2360115018050163	0.22087176458351546	0.25625619086276236	0.21576546411300637	0.23454213959060097	0.257294536334687	0.21372211176262157	0.22962493632470105	0.2346586294560667	0.22499197145723107	0.21756023946663688	0.21788100952636769	0.24553813155273968	0.2832323575775224	0.28322265422731213	0.21218592955769916	0.23564699765961628	0.24254029805801705	0.17853806841079634	0.22907280699194638	0.2179466218071611	0.2511214083268453	0.21055997429102966	0.20703541194481245	0.22120038335012437	0.22897430620546103	0.1994735290962992	0.2293602811432801	0.20187952214518023	0.1940319549140307	0.16463529623300588
jr1060	0.21364253241279285	0.19087478831141808	0.0	0.15011740782031943	0.07811601822169312	0.35888898130617025	0.07961405979770017	0.08673908053709092	0.12103187831491818	0.13885975151155172	0.18657103314583015	0.10216874001208157	0.15775537784978788	0.23644897300363651	0.2141443067522005	0.3956311254090252	0.058712564705498474	0.5918267541982041	0.18952369242121214	0.07527870915966747	0.41935930407392286	0.07649065872071496	0.09708536088034157	0.0450004744175181	0.0486517598708567	0.0479631830485281	0.09721824457290053	0.06009317561686058	0.05625054623156526	0.05095400413446019	0.09197878135100548	0.0749053584323613	0.1991868273139498	0.18864673002724283	0.3092105628273721	0.30409140529318995	0.0560047292933643	0.07316476845834985	0.4100548658491677	0.13961120349634054	0.09957874036917809	0.0576440553673873	0.2902791769455329	0.09399942749111273	0.11161040291027963	0.1490934718414987	0.11211036745761796	0.2270453679120644	0.0935010997121322	0.13294587699584434	0.31625071156058343	0.13387260609446158	0.42556236256645535	0.10625585323210845	0.21647758603241057	0.258563993264295	0.20421378200804138	0.17240435514473545	0.07151426994114653	0.03440252484669208	0.087692547165715	0.30773270777651346	0.11576108449925925	0.10259641584807982	0.0661321658829044	0.06942899294764655	0.07675329458514148	0.11307066747495884	0.08777643426517734	0.05234421671003069	0.05009368798338767	0.07455435017136235	0.09115887720989888	0.11686670271461415	0.08100197558819995	0.09942124614304015	0.09398931915372387	0.12846099625924545	0.10424829527376045	0.08578418546942386	0.11456557269910088	0.04617137312597227	0.21974841815251944	0.10730161090352555	0.10911472060086838	0.08494319212506928	0.06383217870494315	0.11471758397347626	0.15365660511356324	0.2426858878118311	0.0756481785125909	0.10781180684162585	0.1049578943651288	0.15574229391635952	0.10911019351785572	0.07870998217961347	0.11389097874032605	0.2559891970195736	0.08920542316696867	0.1860474074859494	0.0900805498630484	0.07176945297567072	0.08926169131443497	0.2843783206992655	0.06255523713801064	0.06871838203006289
jr1061	0.23642554121416332	0.16338674096051478	0.15011740782031943	0.0	0.17491748919985597	0.36354024938079244	0.12925733384290564	0.09604885271885709	0.176989186012536	0.15539655592156387	0.13649274044162352	0.12888342903204913	0.12687242332109366	0.20272497280458873	0.20438363902915457	0.3728515052202904	0.17140844612750766	0.5171941788629193	0.16968433219233012	0.16780990132617635	0.3057820077093382	0.14734526912778742	0.19259702810789586	0.17611348344847585	0.1867449038889037	0.1406440437115969	0.20175000982931116	0.17028280098623796	0.1699882771965737	0.18024366099794836	0.17745904176067034	0.12360619828680551	0.16447068332138773	0.09233849781833975	0.304185556769322	0.27172900014398815	0.1663891490101099	0.18160418323541427	0.28824368747733253	0.1675441266494162	0.2007046791586396	0.14626808178176898	0.2821674893978201	0.17001408934919524	0.17093712101338132	0.1267352765976439	0.1906623618195339	0.26693127371062497	0.20040410337041048	0.23301086637661833	0.2798456971729082	0.09591367936826115	0.3113370510763831	0.18779667223085691	0.1886320669475873	0.22511416003156748	0.17232176093196336	0.14214393850781631	0.16799578670222304	0.15437819992959706	0.1804118550196259	0.2568140820340899	0.22332452574066602	0.15838279718776485	0.18094733436034485	0.18155561528854944	0.1697229618756705	0.21622445753937	0.17273740290571854	0.18489236645034396	0.1664023307235514	0.18180490061196053	0.1905304219289339	0.14616949079923933	0.17181280339769994	0.20285737226225198	0.19222463864838849	0.22690935005983215	0.19537100958718226	0.2002572813185072	0.2197080461436433	0.17210991416565602	0.18313686277820854	0.20513790118391265	0.19958366581862405	0.18841990838684003	0.1876254666037136	0.2126242249003013	0.2580733059067868	0.2467943305304568	0.1733753499729227	0.19740238006989147	0.14648886697829888	0.13333951828870746	0.19476377077877824	0.1908613721009257	0.22043519817844842	0.27367253027610894	0.16400945972148484	0.20444535294576113	0.1987798358106177	0.17373085314597064	0.1904490027917891	0.2810767239628707	0.15590537548168001	0.14637827217967037
jr1062	0.2717800354908316	0.2051328269981771	0.07811601822169312	0.17491748919985597	0.0	0.35403872997109176	0.10719175822928276	0.09804873892798376	0.16836546057002727	0.13998236168684353	0.17533751865230846	0.0997841794345227	0.17212844402748978	0.22372141288577058	0.20115425455534847	0.42758362792910326	0.08012352759741885	0.5966588480238039	0.19437516498040658	0.027451389479046646	0.4331833234018617	0.12208912246141403	0.037188799661053325	0.06792868613053653	0.09682252819676433	0.073000306761942	0.04222296322932813	0.07067174535756593	0.058473485708890244	0.0746162976841223	0.06086122565761019	0.11058261640955352	0.24243812725282093	0.2046247767227961	0.3487207098759103	0.3058927487668904	0.04122650007374584	0.048607747797890316	0.4251569324150548	0.167124190609609	0.032786487875675466	0.08945200485015503	0.3430347986814962	0.03780798812497842	0.10359608756325371	0.15214647709686144	0.1038964700001839	0.252609319603466	0.047191314155965995	0.08539328450256523	0.3173998166617345	0.1572499494032231	0.43571359034471985	0.06529100427144861	0.20235938651757868	0.267783243785077	0.20655750519291752	0.16401413232383805	0.04929823330525151	0.08736523388255192	0.0612977410994194	0.3170305805574505	0.07412685126443988	0.1487336714382066	0.04296723441622955	0.04420295541328771	0.07939989064689695	0.06716105297040251	0.11406482307664081	0.09401388940556685	0.07647026183720299	0.05189720205412714	0.04126987095647211	0.1254525033054394	0.07585351754448136	0.04945436138062331	0.044017077241402906	0.07926898257824608	0.05092324003319214	0.13906598334441905	0.07050813463822078	0.07794126273880488	0.26709719090506756	0.0620364095432899	0.0590535420348051	0.129393225986586	0.09110317141576753	0.06671200386196015	0.09678061675482738	0.28911005448934934	0.05463322600214822	0.06730137199344986	0.11756559800172069	0.1973140084868097	0.1459627020301651	0.06839881514389158	0.060785644183993376	0.28869276519313336	0.13241079096535024	0.22088099248054982	0.04420971500578994	0.08283775050817316	0.05147409367013126	0.27942425828647305	0.059760461454580874	0.06219624480860101
jr1063	0.37827456839738155	0.28719033041433767	0.35888898130617025	0.36354024938079244	0.35403872997109176	0.0	0.35163112392231627	0.3245942080942471	0.3958958777589081	0.3907404518767145	0.3637436976665776	0.3343182486733559	0.3595882200554279	0.3324164303092798	0.3635958077478713	0.5786200003437586	0.3752119514843182	0.6487263774537104	0.29924382187136456	0.36380005128780274	0.39638569263864865	0.3724131286224527	0.34756407512516596	0.3715401211521659	0.39214180021627937	0.37546287855695415	0.3662243279858135	0.3785159274523594	0.3602424760423037	0.3810239622184688	0.38744682619785215	0.37915069233894017	0.39648091761507454	0.3848292155442118	0.30493685768838064	0.21894855892793966	0.3614315961678289	0.3675414224088994	0.3438054181855735	0.38603421079443623	0.3630799348038756	0.38545404139336376	0.35445230025349433	0.3533647410964755	0.3849772726816984	0.3560149203682654	0.37205612210408245	0.35572222890259814	0.3679797081320501	0.36631994552491365	0.12595482640798003	0.35115232731781626	0.42842594822664887	0.3680976221679748	0.29896075028111596	0.32329141422923263	0.2618665127445609	0.2940403778542606	0.35839405335963825	0.36590373731679376	0.3536047376550543	0.3254488938583899	0.3651902142014415	0.36419144840839546	0.37433587687594505	0.37346665970530707	0.3743894264584445	0.367822530827679	0.3423088857242159	0.38162061853029305	0.345078332237524	0.37117807755021714	0.3566027092385436	0.36856873814882785	0.35021464008396386	0.3599606487302774	0.363751547457477	0.36445478350625055	0.3254728046135505	0.3977032792585527	0.3650492613135881	0.3738435216396963	0.40946795993769575	0.36311088186045754	0.35443303839499984	0.38693736143082974	0.37105827903786004	0.3614663254274163	0.4013395641427793	0.4423235026473673	0.3651767191947792	0.3658043215824897	0.3885627228921424	0.36473796782227463	0.390614416076831	0.37056804968104906	0.37319427734036914	0.31630512438057157	0.36017684216628887	0.38810674539404305	0.3762330935703623	0.3534648368698991	0.3630211295861975	0.2875710453805625	0.35592307534477646	0.3259135258068027
jr1064	0.19605891591168387	0.15435079808465596	0.07961405979770017	0.12925733384290564	0.10719175822928276	0.35163112392231627	0.0	0.05986992220703499	0.11903016738666163	0.08821270728054885	0.12615691800841394	0.07742598940198296	0.0925174494546796	0.1723875604775815	0.16402427639944148	0.3672550668731599	0.09714930916917315	0.595709333899377	0.1323871485924599	0.11859630563008905	0.39061270644385165	0.09337911327524431	0.1250097399692812	0.11088042990459247	0.11537005057566208	0.09333351078477226	0.13979233070863728	0.11882559071921969	0.10760088610640929	0.12291090315949899	0.13484056106635797	0.11735823112518468	0.17399278747584704	0.1819144880375684	0.29385592797283033	0.2743898906615573	0.09055925857296866	0.12028595455638097	0.38454129006248117	0.13944314653517098	0.132675279987588	0.08766739967818639	0.26995624177120026	0.1279756612205653	0.13403315419334166	0.1385171589819747	0.1260629488371757	0.2389603967046011	0.1426308594812079	0.17462068772751427	0.28829880051028123	0.11258345152757704	0.39181228594559936	0.15566252861220528	0.16770902151898165	0.20906329540554242	0.17672524353403318	0.12215347085673339	0.10592546266843238	0.07477605764899051	0.11517216671716853	0.2863075090638474	0.17163209311699096	0.08992530271737986	0.11323689657949253	0.11944084480892249	0.07611857820042917	0.16224184845258904	0.10842810400302634	0.09490097916874543	0.0969082351157561	0.11701849195222758	0.13008553037607487	0.12788177787989463	0.11356922736658473	0.14005252379812747	0.13060395630013152	0.16873461039666807	0.13897774981894156	0.12307764586066197	0.1649712810870549	0.10172793185556406	0.22126695209031108	0.1436999526480675	0.13102380029958766	0.10760494759434808	0.11791311019792902	0.15735422103096797	0.1966027461521946	0.24398714619236747	0.12000415936951703	0.1490672303607695	0.14996491912783672	0.14246732663663544	0.1264480760142807	0.11951159146937711	0.16174763464952244	0.25895021945928953	0.12036820188964899	0.19220940596807715	0.1400040572750997	0.11128728082010315	0.13651559324890866	0.273833112910255	0.10580045620462417	0.08111711694746869
jr1065	0.2068669234914096	0.12272431915885729	0.08673908053709092	0.09604885271885709	0.09804873892798376	0.3245942080942471	0.05986992220703499	0.0	0.13125642163628806	0.10814473051613901	0.120720311106565	0.046906362746805506	0.10301338371324022	0.1677483452973239	0.16124368686490106	0.39946902881181856	0.10151703049583477	0.588009388561102	0.11589208658486662	0.10104534712323285	0.35892289454757054	0.10760486683402616	0.11327684751106432	0.11577194278112049	0.12679657541777106	0.1000415008627744	0.12583417544624534	0.12509284307996826	0.1056770807273043	0.12558101349378786	0.13568736924785713	0.1193209201806111	0.19017753714315463	0.16462211894141968	0.2751093506330985	0.22929556912621948	0.09028162184384383	0.10615439008077569	0.34887916744468306	0.13767769573200497	0.1251681807672923	0.10662944804856332	0.26884282177562513	0.11529032792131877	0.14025669507389987	0.11311583113244517	0.10594611022560113	0.2410713054562879	0.12659127967432665	0.16050732263691644	0.2534311444879027	0.1018604360045641	0.37372513179817424	0.1406714987385542	0.13676696136847083	0.1929920199573613	0.12941794700107084	0.09807961324514906	0.09706962066883158	0.08348959706191535	0.10300454098939778	0.273848821591803	0.15159109234262091	0.09450684777030664	0.10475367251233529	0.11059935177812656	0.10635249177026493	0.14638676111145468	0.11639752751626639	0.12092208392251186	0.1097709784867167	0.11431115657060327	0.11968778423567043	0.1369886660183605	0.1010015808238318	0.13028798054211335	0.12044885033320712	0.15589686635501898	0.1268316800153965	0.1376043539031706	0.14985725805617311	0.11115608508458864	0.2323119158753816	0.12884483109868808	0.13038437144539206	0.12164253061385176	0.12633759175844905	0.14434470157950577	0.1795807794461534	0.2711956043168308	0.10899486916969008	0.13832064258998164	0.14533177377931442	0.13915506727472862	0.13027461813929703	0.1262364472905055	0.143043656338749	0.24878564495967875	0.1186736935954683	0.20024806615365245	0.12336322299766853	0.10229116560487209	0.12422198100984073	0.24481818312033599	0.09086570849063479	0.0731649272543181
jr1066	0.142612555361962	0.20873069770383224	0.12103187831491818	0.176989186012536	0.16836546057002727	0.3958958777589081	0.11903016738666163	0.13125642163628806	0.0	0.15765726427686932	0.19089120902247628	0.13182683984304117	0.14951216780308885	0.23637876610775005	0.22915505259625407	0.39072576074885446	0.13599064265184663	0.6032608017470282	0.19736177081248327	0.16749688569885363	0.4201646820351674	0.08193413038801303	0.18205391999119636	0.1592055945415605	0.12385051727131903	0.14342892314555683	0.1980472057928108	0.1637048545174394	0.16857918078861373	0.15875263319626115	0.1926694887510127	0.16043756553160504	0.18688289282382406	0.2181445514750357	0.2959266399761723	0.3350577982873392	0.13948332582749454	0.16475856527792443	0.4141402696566169	0.17889554689882592	0.1809528323394457	0.1444675504406248	0.2264739963117283	0.1743108422151312	0.19944246323468945	0.18737572537812006	0.17932088402966867	0.2213709419896082	0.20114246896681648	0.23491180442341797	0.3375501114123193	0.1589631876518532	0.42281587259149717	0.20757439739201117	0.23947736791770688	0.2760518200298235	0.23518017398219063	0.2036780950874728	0.1654327474528216	0.12492670085851837	0.1689665876075862	0.32737311934948704	0.2280926364018599	0.10933150240966197	0.17248941828355335	0.18071095271993726	0.16187647632718094	0.22292828030507475	0.1111970185792925	0.11859899173228877	0.1376713290587478	0.17769920464837904	0.1920307585060605	0.17847825364477296	0.1749386234479004	0.20519014058745305	0.19385594495239453	0.22877882945715386	0.19346003889749994	0.07530298649603043	0.22627058993299526	0.14642359262814555	0.19187531140646685	0.1940416996998707	0.1990745369453743	0.0769667554467835	0.14781747341946103	0.21651489392887416	0.22940316303284358	0.2201190170491324	0.17876911164680656	0.204363135258408	0.2007884390675933	0.16516416756950728	0.09967078743937274	0.17860254458714098	0.21446598845058212	0.24947644655992576	0.10675309411182422	0.19835520926482436	0.1878822737821046	0.16996726542977203	0.19838947050679073	0.3188743696275984	0.16399802880278158	0.1412148730940172
jr1067	0.26851578605003484	0.2005822462355947	0.13885975151155172	0.15539655592156387	0.13998236168684353	0.3907404518767145	0.08821270728054885	0.10814473051613901	0.15765726427686932	0.0	0.09664224850196737	0.08898802383419582	0.10696666175160516	0.13575334987436263	0.2031595359502391	0.38860881108334305	0.1284570532257539	0.6166305033920503	0.18060560940020054	0.14164255027196854	0.4096048547980878	0.1419138179219392	0.16188359216988266	0.16390028938849227	0.17631780524550958	0.1275289745165264	0.165726747550847	0.15393208246687892	0.14996477626739002	0.16802958415173505	0.15265479401852933	0.13737531275592582	0.20157557201440798	0.195709831745132	0.3449736217949432	0.31769077810799756	0.14754242752472094	0.1356242625183166	0.4016069876025341	0.16450913655442717	0.14250541363510383	0.12726778307250192	0.32127767354313796	0.15310448646969768	0.13549664298879807	0.13930691124323205	0.13620486984277969	0.29252868664347215	0.17118786826687776	0.21338810141802148	0.3098346009498297	0.14238226709216167	0.410927902975199	0.16507750736062085	0.2081769710592619	0.24004753849127317	0.21781315730284884	0.16442807078008745	0.14700679007377276	0.13133207553157672	0.13272861228406718	0.3123335399558964	0.19929081816718644	0.1372096617330975	0.16014804345640105	0.16468792881495548	0.11611980470466711	0.19476121547014386	0.1673334006703396	0.1641432522918288	0.16865726981049584	0.17059736122422564	0.17201752508996299	0.1666214458765257	0.155983505858725	0.17479162826362238	0.17311863623605564	0.2076750683418505	0.18497065831298662	0.19244733533566755	0.1941279264771351	0.16310046258362032	0.2684545493166302	0.16378080077502602	0.17310989718736652	0.1650874677949537	0.17416815656022305	0.19377966012055214	0.205486715940214	0.30396987734058317	0.15958492352761672	0.17872344362196202	0.1631138032371343	0.18684840180596252	0.18383940054248268	0.17411495983353367	0.18319203869207876	0.3108366910457903	0.15773728550816832	0.2338926564184859	0.1625701249928082	0.14364839928523712	0.1675155026165665	0.3117187412701479	0.1370639020729267	0.13488696227475705
