Permanova tables
unweighted_unifrac
Df	SumOfSqs	R2	F	Pr(>F)
fruit	1	0.96	0.03	8.43	0
time	1	0.75	0.03	6.61	0
sex	1	0.42	0.01	3.7	0
wolb	125	19.9	0.67	1.4	0.02
fruit:pile	5	1.08	0.04	1.91	0
fruit:time	1	0.11	0	0.97	0.45
fruit:sex	1	0.14	0	1.2	0.26
time:sex	1	0.19	0.01	1.67	0.08
fruit:wolb	10	1.9	0.06	1.68	0.01
time:wolb	9	0.96	0.03	0.94	0.62
sex:wolb	5	0.6	0.02	1.06	0.4
fruit:time:pile	4	0.33	0.01	0.72	0.89
fruit:sex:pile	3	0.37	0.01	1.09	0.36
fruit:time:sex	1	0.19	0.01	1.67	0.1
fruit:wolb:pile	3	0.37	0.01	1.1	0.33
fruit:time:sex:pile	1	0.15	0.01	1.33	0.19
Residual	11	1.25	0.04	NA	NA
Total	183	29.67	1	NA	NA
weighted_unifrac
Df	SumOfSqs	R2	F	Pr(>F)
fruit	1	0.18	0.04	18.16	0
time	1	0.09	0.02	8.45	0
sex	1	0.03	0.01	3.4	0.04
wolb	125	3.31	0.76	2.62	0.03
fruit:pile	5	0.1	0.02	1.99	0.09
fruit:time	1	0.01	0	1.45	0.24
fruit:sex	1	0	0	0.45	0.81
time:sex	1	0.01	0	0.7	0.57
fruit:wolb	10	0.21	0.05	2.1	0.07
time:wolb	9	0.12	0.03	1.31	0.31
sex:wolb	5	0.04	0.01	0.7	0.7
fruit:time:pile	4	0.04	0.01	0.87	0.57
fruit:sex:pile	3	0.05	0.01	1.75	0.18
fruit:time:sex	1	0.01	0	0.99	0.41
fruit:wolb:pile	3	0.07	0.01	2.15	0.1
fruit:time:sex:pile	1	0	0	0.34	0.8
Residual	11	0.11	0.03	NA	NA
Total	183	4.38	1	NA	NA
bray_curtis
Df	SumOfSqs	R2	F	Pr(>F)
fruit	1	3.21	0.05	11.14	0
time	1	2.04	0.03	7.07	0
sex	1	0.7	0.01	2.45	0
wolb	125	39.94	0.64	1.11	0.13
fruit:pile	5	2.53	0.04	1.76	0
fruit:time	1	0.57	0.01	1.98	0.02
fruit:sex	1	0.25	0	0.86	0.63
time:sex	1	0.16	0	0.54	0.94
fruit:wolb	10	3.28	0.05	1.14	0.15
time:wolb	9	2.59	0.04	1	0.5
sex:wolb	5	1.07	0.02	0.74	0.95
fruit:time:pile	4	1.15	0.02	1	0.47
fruit:sex:pile	3	0.77	0.01	0.89	0.69
fruit:time:sex	1	0.16	0	0.56	0.93
fruit:wolb:pile	3	0.91	0.01	1.05	0.36
fruit:time:sex:pile	1	0.22	0	0.76	0.73
Residual	11	3.17	0.05	NA	NA
Total	183	62.7	1	NA	NA
