"","cluster","pval","rho","sum","fdr"
"1","k__Bacteria_ p__Verrucomicrobia_ c__[Spartobacteria]_ o__[Chthoniobacterales]_ f__[Chthoniobacteraceae]_ g__DA101",0.00383298396586422,0.367855315165724,12,0.831757520592535
"2","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Commensalibacter",0.0102031251078212,0.329262028243539,10807,0.9075117806056
"3","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_",0.0130021816994396,-0.318932715174352,1855,0.9075117806056
"4","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Micrococcaceae_ g__Micrococcus",0.0196713600565691,-0.300458110907517,4,0.9075117806056
"5","k__Bacteria_ p__Actinobacteria_ c__Thermoleophilia_ o__Gaiellales_ f__Gaiellaceae_ g__",0.0230085438681752,0.293166962297958,18,0.9075117806056
"6","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_",0.0331042177475787,0.275534199487551,41,0.9075117806056
"7","k__Bacteria_ p__Actinobacteria_ c__Thermoleophilia_ o__Solirubrobacterales_ f__Conexibacteraceae_ g__",0.0380712413968612,0.26847357219063,5,0.9075117806056
"8","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria_ o__Burkholderiales_ f__Comamonadaceae_ g__",0.0530096113566642,-0.251051826241488,9,0.9075117806056
"9","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_ g__Providencia",0.0735906895067753,-0.232691209681913,62,0.9075117806056
"10","k__Bacteria_ p__[Thermi]_ c__Deinococci_ o__Thermales_ f__Thermaceae_ g__Thermus",0.0885801216022901,-0.221766381286372,36,0.9075117806056
"11","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Microbacteriaceae_ g__Curtobacterium",0.0885801216022902,0.221766381286372,1,0.9075117806056
"12","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Rhodospirillaceae_ g__Skermanella",0.0891360381283495,-0.221390186984486,8,0.9075117806056
"13","k__Bacteria_ p__Planctomycetes_ c__Planctomycetia_ o__Gemmatales_ f__Gemmataceae_ g__",0.0946647690923202,0.217745441610453,17,0.9075117806056
"14","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Oceanospirillales_ f__Oceanospirillaceae_ g__",0.0980694075184147,0.215582938334772,32,0.9075117806056
