"","cluster","pval","rho","sum","fdr"
"1","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_",3.0469458049978e-05,-0.510787849413824,1855,0.00661187239684522
"2","k__Bacteria_ p__Verrucomicrobia_ c__[Spartobacteria]_ o__[Chthoniobacterales]_ f__[Chthoniobacteraceae]_ g__Candidatus Xiphinematobacter",0.00376375899370885,-0.368531382388544,15,0.353359150427073
"3","k__Bacteria_____",0.00741203400621358,-0.342381350328981,100,0.353359150427073
"4","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rickettsiales_ f__Holosporaceae_ g__",0.00853594195218615,-0.336652784534013,14,0.353359150427073
"5","k__Bacteria_ p__Acidobacteria_ c__Acidobacteria-6_ o__iii1-15_ f__RB40_ g__",0.0175233785517679,-0.305729305835719,3,0.353359150427073
"6","k__Bacteria_ p__Gemmatimonadetes_ c__Gemm-1_ o___ f___ g__",0.0248299350364862,-0.289558351903438,9,0.353359150427073
"7","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Sphingomonadales_ f__Sphingomonadaceae_",0.0248548308998068,-0.28951059700408,4,0.353359150427073
"8","k__Bacteria_ p__Planctomycetes_ c__Planctomycetia_ o__Gemmatales_ f__Gemmataceae_ g__Gemmata",0.0249231959226607,-0.289379667329601,5,0.353359150427073
"9","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Bacillales_ f__Bacillaceae_",0.0314242599024997,0.278122539177848,19,0.353359150427073
"10","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_ f__Bradyrhizobiaceae_ g__Bradyrhizobium",0.038204537771362,-0.268294887616793,21,0.353359150427073
"11","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Actinomycetaceae_ g__Actinomyces",0.0431929061294181,-0.261951585245567,8,0.353359150427073
"12","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_",0.0519360803243175,0.2521591726199,41,0.353359150427073
"13","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Commensalibacter",0.0548476407621945,0.249197552942253,10807,0.353359150427073
"14","k__Bacteria_ p__Actinobacteria_ c__Thermoleophilia_ o__Solirubrobacterales_ f___ g__",0.070932472834266,-0.234809897746252,21,0.353359150427073
"15","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_ f__Hyphomicrobiaceae_ g__Rhodoplanes",0.0711829473055148,-0.234607583966697,9,0.353359150427073
"16","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Streptococcaceae_ g__Streptococcus",0.0765397817264239,-0.230410835049543,9,0.353359150427073
"17","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Lactobacillaceae_ g__Lactobacillus",0.0866721317840047,0.22307180232418,265,0.353359150427073
"18","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconobacter",0.0872740616161073,-0.222657552861342,7449,0.353359150427073
"19","k__Bacteria_ p__Actinobacteria_ c__Acidimicrobiia_ o__Acidimicrobiales_ f___ g__",0.0885801216022901,-0.221766381286372,1,0.353359150427073
"20","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Intrasporangiaceae_ g__Terracoccus",0.0885801216022901,-0.221766381286372,2,0.353359150427073
"21","k__Bacteria_ p__Actinobacteria_ c__MB-A2-108_ o__0319-7L14_ f___ g__",0.0885801216022901,-0.221766381286372,4,0.353359150427073
"22","k__Bacteria_ p__Bacteroidetes_ c__[Saprospirae]_ o__[Saprospirales]_ f__Chitinophagaceae_ g__Ferruginibacter",0.0885801216022901,-0.221766381286372,3,0.353359150427073
"23","k__Bacteria_ p__Chloroflexi_ c__Gitt-GS-136_ o___ f___ g__",0.0885801216022901,-0.221766381286372,1,0.353359150427073
"24","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_ f__Rhizobiaceae_ g__Agrobacterium",0.0885801216022901,-0.221766381286372,3,0.353359150427073
"25","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria_ o__Burkholderiales_ f__Comamonadaceae_ g__Pelomonas",0.0885801216022901,-0.221766381286372,1,0.353359150427073
"26","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Microbacteriaceae_ g__Curtobacterium",0.0885801216022902,0.221766381286372,1,0.353359150427073
"27","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Leuconostocaceae_ g__Leuconostoc",0.0928069064577443,0.218951188587543,108,0.353359150427073
"28","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Aerococcaceae_ g__Aerococcus",0.100216783990111,0.214248876835986,1,0.353359150427073
"29","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria_ o__Burkholderiales_ f__Burkholderiaceae_ g__Burkholderia",0.100216783990111,0.214248876835986,1,0.353359150427073
"30","k__Bacteria_ p__Chloroflexi_ c__Chloroflexi_ o__Herpetosiphonales_ f___ g__",0.100216783990111,-0.214248876835986,3,0.353359150427073
"31","k__Bacteria_ p__Chloroflexi_ c__Thermomicrobia_ o___ f___ g__",0.100216783990111,-0.214248876835986,2,0.353359150427073
"32","k__Bacteria_ p__Firmicutes_ c__Clostridia_ o__Clostridiales_ f__[Tissierellaceae]_ g__Peptoniphilus",0.100216783990111,-0.214248876835986,1,0.353359150427073
"33","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Micromonosporaceae_ g__Couchioplanes",0.113006851579795,0.206731372385601,1,0.353359150427073
"34","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Xanthomonadales_ f__Sinobacteraceae_ g__Steroidobacter",0.113006851579795,0.206731372385601,1,0.353359150427073
"35","k__Bacteria_ p__Actinobacteria_ c__Acidimicrobiia_ o__Acidimicrobiales_ f__EB1017_ g__",0.113006851579795,-0.206731372385601,1,0.353359150427073
"36","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Micromonosporaceae_ g__",0.113006851579795,-0.206731372385601,2,0.353359150427073
"37","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Streptomycetaceae_ g__Streptomyces",0.113006851579795,-0.206731372385601,2,0.353359150427073
"38","k__Bacteria_ p__Actinobacteria_ c__Thermoleophilia_ o__Solirubrobacterales__",0.113006851579795,-0.206731372385601,2,0.353359150427073
"39","k__Bacteria_ p__Chloroflexi_ c__Chloroflexi_ o__[Roseiflexales]_ f__[Kouleothrixaceae]_ g__",0.113006851579795,-0.206731372385601,2,0.353359150427073
"40","k__Bacteria_ p__Nitrospirae_ c__Nitrospira_ o__Nitrospirales_ f__Nitrospiraceae_ g__Nitrospira",0.113006851579795,-0.206731372385601,3,0.353359150427073
