	ec1249	ec1257	ec1262	ec1265	ec1298	ec1301	ec1309	ec1314	ec1317	ec1330	ec1346	ec1349	ec1356	ec1358	ec1359	ec1361	ec1362	ec1368	ec1375	ec1377	ec1378	ec1380	ec1390	ec1391	ec1392	ec1393	ec1394	ec1396	ec1400	ec1406	ec1408	ec1409	ec1411	ec1420	ec1422	ec1424	ec1425	ec1427	ec1435	ec1437	ec1438	eti101	eti102	eti105	eti107	eti109	eti111	eti113	eti114	eti116	eti117	eti118	eti121	eti123	eti125	eti129	eti133	eti134	eti135	eti97
ec1249	0	0.1611398347056528	0.3413715918687235	0.1222483993816312	0.2544748842517206	0.2033332392955381	0.2741948410341238	0.1764281936883592	0.3419066182855231	0.1988920087067576	0.1326584937563078	0.1354794497442818	0.1832692564396299	0.1741891289378308	0.173040431025585	0.1831380935113416	0.1278259320234909	0.1403583119147082	0.1875939538516899	0.1276888813498072	0.1897507650980184	0.1656884162606273	0.1880804418463881	0.1825314450464364	0.1654732830357997	0.1472167349722835	0.1851358752250611	0.1866597892720047	0.1188705904574008	0.1425952483459749	0.1896286552066816	0.1662652997358776	0.1532354932245218	0.1892075433070791	0.1811512399622881	0.1744612742418194	0.1748904251209187	0.2730594698498369	0.327334662508694	0.2079667357028974	0.3051798280754563	0.1841579089739522	0.1709710281242145	0.2035756173044327	0.196206505132009	0.1515333438233261	0.1479766885736896	0.1470152839490082	0.1915304289074879	0.1774499099724264	0.1896515042372039	0.1198978783539424	0.3286622612489633	0.1905513358708708	0.1891850793241818	0.1785090300844308	0.1545872840565838	0.1512012637235353	0.1730050895136849	0.1619249495671465
ec1257	0.1611398347056528	0	0.3961649457815333	0.12050670481373	0.3513326516977907	0.2764726393227082	0.3396180361724397	0.06196171924078795	0.3945697288320098	0.2575565484470039	0.1264014694377387	0.07674774761424127	0.1921821735914308	0.05435407896268438	0.06784963800995465	0.06805051620827357	0.07775146689458516	0.2294875602945223	0.07513452182840577	0.2051420156039666	0.08725835051022725	0.07044261843777967	0.07016925054124133	0.06744204917693222	0.04775765681580883	0.1081690795822706	0.05804144265877166	0.07500458632106906	0.06043636223987569	0.07290366216637767	0.07237535839325038	0.0737570960129135	0.07076417886419105	0.0776998452634831	0.07370530847968561	0.05994368667207228	0.06336494930088833	0.3334198887676279	0.3772089839332463	0.3063568559562853	0.3250372736787482	0.06239258185145997	0.03746967744553774	0.253046224522384	0.0691258643864664	0.05298683174582557	0.06068447386980844	0.06546221246892724	0.07703174149747515	0.06466738634064315	0.06560532500515083	0.1076269065621256	0.3492598060155416	0.07327178032361514	0.07675397701081865	0.06910372734617452	0.07617019887642797	0.07865018701072861	0.06012436237121509	0.1212364850220889
ec1262	0.3413715918687235	0.3961649457815333	0	0.3775840285771611	0.4421982111629892	0.2627245979830287	0.3726996031745429	0.4329273604978967	0.1962813208041208	0.2353180825449954	0.3721711194021944	0.3969280193067447	0.3538952522424147	0.4265515543280076	0.4187221118034912	0.4341796938755629	0.3641799360059085	0.365929230911495	0.4447242307976194	0.3532871197376984	0.4408028920358705	0.4171041367458739	0.4369947817041619	0.4327667058328994	0.416255764595989	0.3943449385849851	0.4307437457099613	0.4336311593607886	0.3810453035106198	0.401340492481122	0.4364659829269564	0.4214870426100963	0.4065145490510739	0.4380879218951959	0.4320195716180024	0.4267070996104319	0.4294358677103712	0.1891025799781388	0.2031485953003667	0.2166078686631057	0.2830631455253914	0.4332686681477255	0.4097361729995456	0.3895702295056424	0.4430243484848075	0.4105841252782726	0.403857247859025	0.4073793654040077	0.4405170273737734	0.4365866349887355	0.4439329270503972	0.3693514880053035	0.2740787621596629	0.4463677109638693	0.4373975085223237	0.4244685828692346	0.400945482288085	0.4025831964591819	0.4222846521200931	0.4119914271855503
ec1265	0.1222483993816312	0.12050670481373	0.3775840285771611	0	0.2943338750010711	0.2562417890465409	0.2774758517290752	0.1473644115154368	0.3807726749737028	0.2497823247627902	0.1331257076564203	0.1142511836458037	0.2126787299179877	0.1388660631758583	0.1466095091211038	0.1498921905562399	0.1108034479139371	0.1683595558489762	0.1586244672924178	0.139443925792707	0.1663274607677165	0.1451037386987102	0.1558564737110048	0.151310234182923	0.1156915815349538	0.1219613595249071	0.1310664088865609	0.149213472456366	0.1077313788145106	0.1208334329236993	0.1571646266546376	0.1414124049898193	0.1242054933094236	0.153247815353422	0.153602106115364	0.1390857112835131	0.1388126874928994	0.3084711318484925	0.3649726564264694	0.2670888986904997	0.3374339343840589	0.1476289365507047	0.1213519797918643	0.2039743722123175	0.1417562164610266	0.1167421858075939	0.1226775068603478	0.1233872938572813	0.1585364055583778	0.1480036636429838	0.1486293953585958	0.1176625977651381	0.360891939178091	0.1602009562978093	0.1556134895630347	0.1409667572218391	0.1124843708495439	0.09508583570477558	0.1335331586899952	0.130931361035932
ec1298	0.2544748842517206	0.3513326516977907	0.4421982111629892	0.2943338750010711	0	0.3231206708674617	0.2706424701570016	0.3622799884121857	0.4106304438239241	0.3107130569222094	0.2929460080088209	0.3153597659081281	0.3266563872940755	0.3590462403807925	0.3589914122028366	0.3681869370451981	0.3003254643791323	0.2288277026835773	0.3766067051567091	0.2435209541754438	0.3698802819092014	0.3501010175828397	0.3728826773156934	0.3683092764580433	0.3399796907709216	0.29775256293417	0.3578017666710749	0.369498569716381	0.3291347145000995	0.3236146403513524	0.3769044937441547	0.3605597185234575	0.3341082018165006	0.3716700899734454	0.3659043082256893	0.3558927727397347	0.3553837239184377	0.3622278871625148	0.4318378576703486	0.3037690058483427	0.423718180642415	0.3663884740196828	0.3480238692741373	0.2908066644735436	0.3676223253613465	0.3390788623411167	0.3305919180463203	0.3362299211251146	0.3767119877287844	0.3659917668200787	0.3719785015608907	0.308666804758078	0.4466069187735107	0.3786056171184273	0.3725585264257354	0.3586443270831232	0.3249952979956269	0.3245604340246931	0.3454738621129608	0.3453996984282091
ec1301	0.2033332392955381	0.2764726393227082	0.2627245979830287	0.2562417890465409	0.3231206708674617	0	0.2515903075079475	0.3065691536584452	0.2871471373174157	0.2215080126911531	0.2734423155344328	0.2680341212326473	0.1773688609725429	0.2989448122998877	0.2956231820178296	0.3073908081875087	0.2541334565536891	0.2756097234034042	0.3159996988035243	0.2543253228022908	0.316325473940953	0.2935022417620518	0.3128696698718273	0.307205344203933	0.2877644975435069	0.2765845677930366	0.3059922904424255	0.307910010192451	0.2496537751059876	0.2698277885752909	0.3125599567194354	0.2919632932548947	0.2835539826834801	0.3120813272712156	0.3064038697125913	0.2953799879798273	0.3025558456569419	0.226881272255209	0.2750962041238754	0.2381747043703956	0.1626769691907298	0.3048138240993161	0.2873195587953652	0.2624389070499991	0.3154831802720022	0.2825787022310817	0.2720133162210347	0.2758761661215987	0.3146909819471007	0.3061905478563772	0.3119366922732418	0.2527242434960586	0.1849308829565184	0.3181929536759974	0.3122933874150748	0.3014899049927318	0.2738440011428132	0.2670634499192226	0.2876042195448976	0.2871595095148354
ec1309	0.2741948410341238	0.3396180361724397	0.3726996031745429	0.2774758517290752	0.2706424701570016	0.2515903075079475	0	0.3767416298943654	0.4043378764311196	0.308820240757069	0.3523005868200288	0.3300718626263355	0.2999589637081924	0.3698564969477592	0.3679303922739299	0.3783738867662378	0.3351502094964822	0.2261598772604516	0.3879153868531156	0.2932490302800351	0.3903652813567618	0.3717927443688396	0.3840402601675637	0.3790572323685105	0.3521042321365469	0.3543671260685996	0.3658427365064364	0.3763932565394206	0.3184676923689771	0.349389085465209	0.3832862505546708	0.3648346794171429	0.3456348044404115	0.3845600132465118	0.3806229348377325	0.366856644162795	0.3687799951943913	0.33291839869228	0.3968176555577821	0.2888571798095541	0.3399107598583167	0.3743411066237898	0.3501500869921608	0.3138094431125152	0.3783442607200059	0.3456200532012996	0.3483047681076126	0.3524659404033439	0.3865173581726252	0.3771765865485049	0.38346571719124	0.3403457879198274	0.3628149618847977	0.3898730023349588	0.3829667430281063	0.368771452638811	0.3402029378923535	0.3232787970825827	0.3591140021692311	0.3578666741374675
ec1314	0.1764281936883592	0.06196171924078795	0.4329273604978967	0.1473644115154368	0.3622799884121857	0.3065691536584452	0.3767416298943654	0	0.4074355404089224	0.2523912049355977	0.109894728697546	0.07127971309992102	0.2130952774088015	0.01972021960628913	0.03918522994195068	0.02429641593654388	0.09607479505845321	0.2544903302439395	0.02756635865533757	0.2233145993146707	0.0414373270486514	0.03924188084907793	0.02406136745906472	0.02801108149056931	0.04549215973033353	0.1173183082887952	0.04376911481487965	0.03461459267950152	0.07289839167024639	0.06629784047658963	0.03102529993687174	0.05697840151977161	0.05788543740325577	0.03069050097360756	0.02554427440575773	0.02224447422879375	0.02694428569404246	0.344061067929456	0.3803497023144113	0.293775622074557	0.3369512017089065	0.02527891487377349	0.0551660447938105	0.2696856130419449	0.05085217174823466	0.05360624821661678	0.05842058944238425	0.06350342636808583	0.0322744771134111	0.0290621790409132	0.03404376295819428	0.0931393660191682	0.3624811818024218	0.02539885767228359	0.03203554113392187	0.04257452700790718	0.08499098176908011	0.09559624892997191	0.04617933268097702	0.1018540974057099
ec1317	0.3419066182855231	0.3945697288320098	0.1962813208041208	0.3807726749737028	0.4106304438239241	0.2871471373174157	0.4043378764311196	0.4074355404089224	0	0.2112709380194028	0.3253489081723639	0.3849976407991539	0.3757208147359545	0.400318382148857	0.3993041127738594	0.4066437171501182	0.3304873793753537	0.3521035358897713	0.4179979736792944	0.3107764137845341	0.4040740281519422	0.3857651531106255	0.4130680078844149	0.4072885608205533	0.3829951231050738	0.3376473281693053	0.4089574227031627	0.4064764578086551	0.3840646098044451	0.3717054443754572	0.4153583074731782	0.4041005340163086	0.392769428590913	0.4098292062930582	0.4032745456300731	0.3960522628991073	0.3995374686278987	0.1258988946125708	0.171671444529821	0.1912581643316031	0.3258154974512871	0.4082435672573704	0.3981846828669656	0.3475723950831326	0.4135706336045191	0.3969062413618647	0.3762156701370878	0.3848628119982021	0.4165018896134659	0.4078424042341602	0.411595277958343	0.3421885800487344	0.3499380032863087	0.4176099400328069	0.414916540457389	0.4055756075708844	0.3729345803333641	0.3731374319105766	0.3877540659931225	0.390852328347739
ec1330	0.1988920087067576	0.2575565484470039	0.2353180825449954	0.2497823247627902	0.3107130569222094	0.2215080126911531	0.308820240757069	0.2523912049355977	0.2112709380194028	0	0.2272113755698392	0.2427287802605182	0.2252010766376134	0.2500258274042312	0.2518597713742863	0.2601096726833726	0.2136074317631191	0.2556931031377194	0.2615509032285953	0.2301627860749643	0.2688003047421877	0.2479232303588783	0.2610831972910382	0.258150887157361	0.247178125861134	0.2417718396778601	0.271084504097363	0.2592042076501434	0.2286123090683456	0.2358081729712672	0.2657399145334973	0.2527298476867025	0.2489379259983691	0.264073367129334	0.2550605645467884	0.2512772254401315	0.2604367425458262	0.1482535253560979	0.135729275658651	0.1125181257937219	0.2872946979476684	0.2646292370470972	0.2607994289876679	0.2509989285925029	0.2759741364653069	0.2470314666257415	0.2308489365699497	0.2258510231454822	0.2670775909618611	0.2560189731076612	0.265610345186137	0.1806793214564305	0.3116666238925585	0.2627456046607511	0.2623833661174657	0.2623506142166014	0.2438690576536036	0.2380226738931881	0.253586843866253	0.2414321039116777
