"","cluster","pval","rho","sum","fdr"
"1","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rickettsiales_ f__Holosporaceae_ g__",0.0029163388032804,0.377848038668256,14,0.417265112115397
"2","k__Bacteria_ p__Verrucomicrobia_ c__[Spartobacteria]_ o__[Chthoniobacterales]_ f__[Chthoniobacteraceae]_ g__Candidatus Xiphinematobacter",0.00822872194949791,0.338150082865068,15,0.417265112115397
"3","k__Bacteria_ p__Gemmatimonadetes_ c__Gemm-1_ o___ f___ g__",0.0277057577396923,0.28429110658737,9,0.417265112115397
"4","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Sphingomonadales_ f__Sphingomonadaceae_",0.0277846373931156,0.28415323734889,4,0.417265112115397
"5","k__Bacteria_ p__Planctomycetes_ c__Planctomycetia_ o__Gemmatales_ f__Gemmataceae_ g__Gemmata",0.027910612610663,0.283933732474753,5,0.417265112115397
"6","k__Bacteria_ p__Acidobacteria_ c__Acidobacteria-6_ o__iii1-15_ f__RB40_ g__",0.03479751390534,0.273033822039913,3,0.417265112115397
"7","k__Bacteria_ p__Actinobacteria_ c__Thermoleophilia_ o__Solirubrobacterales_ f___ g__",0.0350072993338077,0.272731136912105,21,0.417265112115397
"8","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Enterococcaceae_",0.0355098615158775,-0.272012110470289,220,0.417265112115397
"9","k__Bacteria_ p__Acidobacteria_ c__Acidobacteria-6_ o__iii1-15_ f__mb2424_ g__",0.0466203024237354,0.257934765781816,8,0.417265112115397
"10","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_ f__Bradyrhizobiaceae_ g__Bradyrhizobium",0.0469357387907709,0.257577391669198,21,0.417265112115397
"11","k__Bacteria_ p__Actinobacteria_ c__Thermoleophilia_ o__Solirubrobacterales_ f__Conexibacteraceae_ g__",0.0516237783748944,0.252484810564396,5,0.417265112115397
"12","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_ f__Hyphomicrobiaceae_ g__Rhodoplanes",0.0528174635541999,0.251248676847817,9,0.417265112115397
"13","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Enterococcaceae_ g__Enterococcus",0.0531039153675448,-0.250955426470022,793,0.417265112115397
"14","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_",0.0585184662312994,0.245640340171936,1855,0.417265112115397
"15","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales__",0.0804462983915487,-0.22749516812604,16,0.417265112115397
"16","k__Bacteria_ p__Chloroflexi_ c__Chloroflexi_ o__Herpetosiphonales_ f___ g__",0.0885755799402796,0.221769462295024,3,0.417265112115397
"17","k__Bacteria_ p__Chloroflexi_ c__Thermomicrobia_ o___ f___ g__",0.0885755799402796,0.221769462295024,2,0.417265112115397
"18","k__Bacteria_ p__Firmicutes_ c__Clostridia_ o__Clostridiales_ f__[Tissierellaceae]_ g__Peptoniphilus",0.0885755799402796,0.221769462295024,1,0.417265112115397
"19","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconobacter",0.0896839768642356,0.221021188104462,7449,0.417265112115397
"20","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Aerococcaceae_ g__Aerococcus",0.0942536437915348,-0.218010657849346,1,0.417265112115397
