"","cluster","pval","rho","sum","fdr","test","taxonomy"
"1","k__Bacteria_ p__Bacteroidetes",0.0495181595751559,-0.234002381467483,383,0.198072638300624,"reads1_noW","phylum"
"2","k__Bacteria_ p__Firmicutes",8.09540148175769e-05,-0.450434261736351,521,0.000323816059270308,"sortorder","phylum"
"3","k__Bacteria_ p__Proteobacteria",0.000540279672988394,0.400405044806181,34549,0.00108055934597679,"sortorder","phylum"
"4","k__Bacteria_ p__Firmicutes",8.2129110711168e-05,-0.450082261258514,521,0.000328516442844672,"latitude","phylum"
"5","k__Bacteria_ p__Proteobacteria",0.000321659781164845,0.414862722294047,34549,0.000643319562329689,"latitude","phylum"
"6","k__Bacteria_ p__Firmicutes",1.04009543800633e-05,0.496987573985496,521,4.1603817520253e-05,"longitude","phylum"
"7","k__Bacteria_ p__Proteobacteria",7.07896961917142e-05,-0.453693041881191,34549,0.000141579392383428,"longitude","phylum"
"8","k__Bacteria_ p__Bacteroidetes",0.0451483117255394,0.23853456542321,383,0.0601977489673859,"longitude","phylum"
"9","k__Bacteria_ p__Firmicutes",2.02583264774029e-06,0.529772753596543,521,8.10333059096116e-06,"date","phylum"
"10","k__Bacteria_ p__Proteobacteria",5.80510794571504e-05,-0.458452097642151,34549,0.000116102158914301,"date","phylum"
"11","k__Bacteria_ p__Bacteroidetes",0.0253403319476541,0.265318751854237,383,0.0337871092635387,"date","phylum"
