"","cluster","pval","rho","sum","fdr"
"1","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_NA_NA_NA_NA_ee7fed0bae700c1b39b1636da687435d",5.9635650988819e-05,-0.457810194575654,359,0.00286251124746331
"2","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Leuconostocaceae_ g__Leuconostoc_NA_215e8961aec69f5d9c54b96780674706",0.000615190064481024,0.396680859462559,185,0.0147645615475446
"3","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales_ f___ g___ s___882e25801304b610571f9d016334e081",0.00204924331401205,0.359927225360281,52,0.0327878930241928
"4","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_NA_NA_60cd90e99b7069b177f13cafa488f939",0.00346686690574232,-0.342420562972156,54,0.0416024028689078
"5","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales_ f___ g___ s___27ca8c3e78b180b9310fcec6c7938d9c",0.00824763077539246,0.311216169511465,406,0.0791772554437676
"6","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_ g__Tatumella_ s__punctata_66942bfbf97edaa1c84085fe7b1c7dcc",0.0243592460166897,0.267061103130479,283,0.194854647248018
"7","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Acetobacter_NA_2ee9eb896934c020aa5983616f60ef0f",0.0284163027236693,-0.260202849296943,64,0.194854647248018
"8","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_ g__Tatumella_ s__punctata_6df3fed54a0323dd2095ad0f65bf54e3",0.0342184046258656,0.251706112868441,267,0.202101379515679
"9","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Acetobacter_ s___d48167286afa4aa77e333550afcf63e9",0.0395783845368732,0.244868583766117,200,0.202101379515679
"10","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Commensalibacter_ s__intestini_c456d76a447f6a5f884391ff8e06d9ed",0.0431836108794547,-0.24069101378614,5759,0.202101379515679
"11","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Leuconostocaceae_ g__Leuconostoc_NA_43c4a2f56bc725eb04b040a04d7b44e7",0.0525410552143587,0.231055777053887,153,0.202101379515679
"12","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconobacter_ s___e05eff09e90ab6926088ef429f2786ed",0.0598598224741012,0.22445682113826,321,0.202101379515679
"13","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Commensalibacter_ s__intestini_3fb455f954feb0d76057b3dc744f9d8e",0.0620735644478897,-0.222590378515945,4931,0.202101379515679
"14","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconacetobacter_NA_5ede78da2aa765e507b69d0adece0d4d",0.0621791173731126,0.22250273982191,21,0.202101379515679
"15","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_NA_NA_66e3dd41bd4bc16401eceeb2a83f2425",0.0631566810986497,-0.221696752919184,62,0.202101379515679
