"","cluster","pval","rho","sum","fdr"
"1","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Acetobacter_NA_2ee9eb896934c020aa5983616f60ef0f",0.00590180681233276,0.323643970821871,64,0.207118751697597
"2","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconacetobacter_NA_4c4161c3881971640470df177b71a1eb",0.00862994798739989,-0.309493820162705,284,0.207118751697597
"3","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Acetobacter_ s___7ba3db818087ffb87ac060019b0e26aa",0.0169266803078733,-0.282649828256771,1604,0.251244915147881
"4","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Acetobacter_ s___fb00e7d259c38e1ab058bddd0153bbc1",0.0254074476779977,0.265201658072775,72,0.251244915147881
"5","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconobacter_ s___c164706f992dda66bf367220558247c9",0.0261713453279043,-0.263887033709721,2595,0.251244915147881
"6","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconobacter_ s___98e0b40a03c9c7621992da3a6bdfd107",0.0351605372015729,-0.250442447069671,2137,0.281284297612583
"7","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_NA_NA_66e3dd41bd4bc16401eceeb2a83f2425",0.0584614846408089,0.225664829364967,62,0.40087875182269
"8","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Xanthomonadales_ f__Xanthomonadaceae_ g__Frateuria_ s__aurantia_519b2429864ca7c9e44357342fb69cbd",0.0749671991164029,-0.212676239743303,22,0.449803194698417
"9","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales_ f___ g___ s___882e25801304b610571f9d016334e081",0.0924010307637327,-0.201242582377413,52,0.467023997016551
"10","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconacetobacter_NA_5ede78da2aa765e507b69d0adece0d4d",0.102017517801247,0.1956489847977,21,0.467023997016551
"11","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconacetobacter_ s__intermedius_189802f18cc9be1238645adf24f41f09",0.107026332649626,0.192896896138591,76,0.467023997016551
"12","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_NA_NA_ac25624550e1655589728b984d1b0e99",0.123890496580778,0.184307040062061,47,0.495561986323111
"13","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Acetobacter_ s___dfd3f0d13d5dbdb90b2b2723b682c0e8",0.135908669667556,0.178717065250273,78,0.501816626464822
"14","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconacetobacter_ s__intermedius_30ac35b56c3e50dce6f68aa7da173b55",0.16070788198373,0.168266363414404,34,0.550998452515647
"15","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconacetobacter_NA_134c3cda2d7f953ac4b103c7c964f23c",0.205607008022677,0.152039091679278,89,0.638275657996775
"16","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Leuconostocaceae_ g__Leuconostoc_NA_215e8961aec69f5d9c54b96780674706",0.212758552665592,0.149697120743609,185,0.638275657996775
"17","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Acetobacter_ s___b39bcf56eb4c623151b836ac0fdb07a0",0.237716372226153,0.14193357028169,270,0.67119916863855
"18","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_ g__Tatumella_ s__punctata_6df3fed54a0323dd2095ad0f65bf54e3",0.256314375476357,0.136508238291952,267,0.683505001270287
"19","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_ g__Tatumella_ s__punctata_66942bfbf97edaa1c84085fe7b1c7dcc",0.275140142024177,0.131282433887229,283,0.69509088511371
