	ec100	ec101	ec117	ec118	ec119	ec121	ec122	ec123	ec124	ec125	ec126	ec127	ec128	ec146	ec148	ec149	ec150	ec151	ec152	ec153	ec154	ec156	ec157	ec158	ec159	ec160	ec161	ec162	ec163	ec164	ec165	ec166	ec167	ec168	ec169	ec170	ec173	ec175	ec176	ec177	ec178	ec179	ec180	ec181	ec182	ec184	ec185	ec186	ec187	ec188	ec97	ec98	ec99
ec100	0.0	0.805	0.75	0.74	0.825	0.915	0.93	0.745	0.595	0.74	0.76	0.835	0.795	0.775	0.88	0.795	0.81	0.755	0.82	0.96	0.9	0.83	0.855	0.86	0.895	0.905	0.8	0.83	0.935	0.93	0.83	0.89	0.95	0.83	0.915	0.82	0.795	0.94	0.925	0.965	0.875	0.9	0.92	0.945	0.895	0.86	0.855	0.855	0.825	0.92	0.89	0.76	0.68
ec101	0.805	0.0	0.66	0.71	0.815	0.955	0.9	0.465	0.515	0.625	0.655	0.59	0.635	0.42	0.71	0.6	0.5	0.93	0.92	0.545	0.915	0.445	0.785	0.785	0.5	0.575	0.67	0.63	0.695	0.51	0.66	0.785	0.885	0.74	0.38	0.56	0.63	0.615	0.855	0.99	0.5	0.695	0.58	0.71	0.63	0.99	0.82	0.74	0.58	0.605	0.895	0.91	0.63
ec117	0.75	0.66	0.0	0.23	0.31	0.55	0.54	0.505	0.625	0.445	0.765	0.635	0.74	0.685	0.325	0.61	0.6	0.435	0.35	0.895	0.5	0.75	0.865	0.375	0.83	0.555	0.62	0.805	0.7	0.7	0.775	0.415	0.525	0.43	0.72	0.415	0.56	0.715	0.45	0.56	0.69	0.38	0.33	0.72	0.595	0.555	0.865	0.865	0.755	0.61	0.64	0.37	0.645
ec118	0.74	0.71	0.23	0.0	0.18	0.64	0.63	0.645	0.61	0.505	0.845	0.58	0.735	0.725	0.485	0.655	0.67	0.525	0.44	0.955	0.59	0.745	0.8	0.47	0.89	0.695	0.575	0.77	0.81	0.84	0.77	0.54	0.615	0.49	0.83	0.49	0.62	0.855	0.54	0.65	0.75	0.525	0.525	0.86	0.725	0.645	0.8	0.8	0.755	0.66	0.48	0.48	0.62
ec119	0.825	0.815	0.31	0.18	0.0	0.635	0.625	0.715	0.755	0.53	0.81	0.605	0.915	0.86	0.465	0.76	0.795	0.48	0.39	0.96	0.625	0.9	0.975	0.5	0.925	0.68	0.73	0.95	0.76	0.79	0.95	0.54	0.585	0.505	0.84	0.61	0.77	0.81	0.53	0.64	0.795	0.47	0.47	0.81	0.705	0.605	0.975	0.975	0.815	0.665	0.405	0.445	0.8
ec121	0.915	0.955	0.55	0.64	0.635	0.0	0.08	0.85	0.855	0.69	0.95	0.895	0.98	0.91	0.425	0.84	0.97	0.26	0.31	0.975	0.07	0.975	0.995	0.33	0.955	0.815	0.85	0.98	0.905	0.945	0.99	0.2	0.105	0.73	0.975	0.42	0.915	0.95	0.12	0.06	0.845	0.635	0.585	0.965	0.855	0.1	0.995	0.985	0.855	0.69	0.91	0.385	0.89
ec122	0.93	0.9	0.54	0.63	0.625	0.08	0.0	0.79	0.82	0.71	0.92	0.84	0.91	0.84	0.415	0.82	0.96	0.255	0.315	0.915	0.07	0.91	0.98	0.31	0.885	0.75	0.82	0.91	0.91	0.935	0.975	0.19	0.1	0.72	0.91	0.355	0.905	0.895	0.095	0.11	0.78	0.625	0.575	0.955	0.79	0.1	0.97	0.915	0.78	0.62	0.91	0.39	0.84
ec123	0.745	0.465	0.505	0.645	0.715	0.85	0.79	0.0	0.49	0.53	0.685	0.67	0.68	0.55	0.65	0.525	0.56	0.815	0.83	0.69	0.805	0.555	0.88	0.7	0.565	0.365	0.62	0.69	0.565	0.49	0.715	0.74	0.85	0.575	0.525	0.625	0.555	0.36	0.75	0.885	0.57	0.47	0.54	0.57	0.38	0.88	0.88	0.81	0.635	0.66	0.805	0.785	0.59
ec124	0.595	0.515	0.625	0.61	0.755	0.855	0.82	0.49	0.0	0.68	0.725	0.695	0.545	0.6	0.695	0.685	0.525	0.845	0.855	0.81	0.835	0.58	0.7	0.73	0.745	0.62	0.475	0.53	0.76	0.79	0.625	0.77	0.88	0.785	0.67	0.645	0.47	0.715	0.78	0.915	0.655	0.74	0.74	0.8	0.62	0.89	0.7	0.51	0.685	0.725	0.82	0.81	0.405
ec125	0.74	0.625	0.445	0.505	0.53	0.69	0.71	0.53	0.68	0.0	0.765	0.695	0.82	0.73	0.58	0.44	0.715	0.6	0.56	0.82	0.695	0.625	0.915	0.625	0.62	0.43	0.755	0.89	0.73	0.63	0.785	0.555	0.655	0.23	0.745	0.68	0.755	0.655	0.65	0.735	0.68	0.545	0.465	0.815	0.68	0.735	0.95	0.95	0.775	0.645	0.745	0.55	0.675
ec126	0.76	0.655	0.765	0.845	0.81	0.95	0.92	0.685	0.725	0.765	0.0	0.855	0.845	0.82	0.745	0.785	0.7	0.92	0.915	0.865	0.935	0.755	0.945	0.83	0.835	0.71	0.805	0.87	0.75	0.725	0.88	0.805	0.9	0.815	0.74	0.905	0.775	0.735	0.845	0.98	0.795	0.715	0.735	0.725	0.7	0.98	0.965	0.93	0.84	0.855	0.885	0.9	0.81
ec127	0.835	0.59	0.635	0.58	0.605	0.895	0.84	0.67	0.695	0.695	0.855	0.0	0.81	0.325	0.815	0.845	0.865	0.79	0.73	0.45	0.86	0.83	0.95	0.815	0.39	0.725	0.785	0.805	0.855	0.885	0.935	0.83	0.89	0.69	0.365	0.59	0.815	0.81	0.82	0.925	0.32	0.845	0.845	0.895	0.725	0.92	0.95	0.88	0.33	0.375	0.625	0.77	0.7
ec128	0.795	0.635	0.74	0.735	0.915	0.98	0.91	0.68	0.545	0.82	0.845	0.81	0.0	0.64	0.88	0.755	0.425	0.925	0.93	0.805	0.915	0.575	0.22	0.895	0.76	0.78	0.27	0.4	0.93	0.895	0.535	0.885	0.985	0.82	0.755	0.76	0.35	0.805	0.935	1.0	0.75	0.885	0.885	0.875	0.785	0.99	0.425	0.39	0.8	0.81	0.945	0.915	0.355
ec146	0.775	0.42	0.685	0.725	0.86	0.91	0.84	0.55	0.6	0.73	0.82	0.325	0.64	0.0	0.81	0.65	0.725	0.86	0.86	0.32	0.845	0.635	0.83	0.825	0.25	0.66	0.725	0.655	0.845	0.82	0.73	0.8	0.9	0.73	0.275	0.505	0.7	0.76	0.865	0.93	0.2	0.795	0.785	0.86	0.695	0.92	0.845	0.775	0.27	0.28	0.89	0.86	0.61
ec148	0.88	0.71	0.325	0.485	0.465	0.425	0.415	0.65	0.695	0.58	0.745	0.815	0.88	0.81	0.0	0.67	0.7	0.39	0.385	0.925	0.38	0.81	0.94	0.255	0.86	0.625	0.695	0.88	0.695	0.725	0.82	0.265	0.37	0.6	0.76	0.365	0.69	0.765	0.32	0.43	0.725	0.405	0.375	0.745	0.64	0.43	0.94	0.925	0.775	0.63	0.82	0.35	0.77
ec149	0.795	0.6	0.61	0.655	0.76	0.84	0.82	0.525	0.685	0.44	0.785	0.845	0.755	0.65	0.67	0.0	0.63	0.795	0.775	0.82	0.79	0.51	0.815	0.58	0.595	0.455	0.685	0.79	0.74	0.64	0.685	0.655	0.755	0.42	0.765	0.69	0.685	0.67	0.79	0.845	0.67	0.635	0.645	0.785	0.7	0.845	0.725	0.85	0.735	0.755	0.885	0.785	0.69
ec150	0.81	0.5	0.6	0.67	0.795	0.97	0.96	0.56	0.525	0.715	0.7	0.865	0.425	0.725	0.7	0.63	0.0	0.92	0.9	0.9	0.92	0.445	0.48	0.77	0.845	0.685	0.38	0.49	0.51	0.53	0.545	0.77	0.87	0.785	0.725	0.82	0.245	0.655	0.865	0.975	0.795	0.545	0.565	0.605	0.61	0.975	0.515	0.515	0.86	0.885	0.875	0.89	0.405
ec151	0.755	0.93	0.435	0.525	0.48	0.26	0.255	0.815	0.845	0.6	0.92	0.79	0.925	0.86	0.39	0.795	0.92	0.0	0.135	0.96	0.26	0.93	0.975	0.295	0.935	0.775	0.82	0.96	0.87	0.905	0.97	0.225	0.24	0.595	0.945	0.4	0.885	0.92	0.225	0.275	0.805	0.6	0.54	0.93	0.81	0.18	0.985	0.975	0.825	0.67	0.805	0.16	0.83
ec152	0.82	0.92	0.35	0.44	0.39	0.31	0.315	0.83	0.855	0.56	0.915	0.73	0.93	0.86	0.385	0.775	0.9	0.135	0.0	0.96	0.32	0.92	0.97	0.305	0.94	0.775	0.84	0.965	0.845	0.88	0.965	0.245	0.275	0.51	0.955	0.425	0.885	0.92	0.285	0.315	0.81	0.595	0.52	0.935	0.805	0.255	0.995	0.995	0.835	0.675	0.73	0.19	0.845
ec153	0.96	0.545	0.895	0.955	0.96	0.975	0.915	0.69	0.81	0.82	0.865	0.45	0.805	0.32	0.925	0.82	0.9	0.96	0.96	0.0	0.965	0.745	0.99	0.97	0.275	0.715	0.935	0.8	0.925	0.82	0.825	0.92	0.985	0.82	0.205	0.71	0.91	0.73	0.94	0.995	0.22	0.87	0.875	0.875	0.81	0.985	0.99	0.92	0.315	0.295	0.975	0.945	0.84
ec154	0.9	0.915	0.5	0.59	0.625	0.07	0.07	0.805	0.835	0.695	0.935	0.86	0.915	0.845	0.38	0.79	0.92	0.26	0.32	0.965	0.0	0.915	0.935	0.28	0.9	0.785	0.79	0.915	0.915	0.95	0.935	0.165	0.1	0.695	0.92	0.355	0.865	0.945	0.105	0.085	0.785	0.63	0.58	0.96	0.815	0.105	0.935	0.915	0.795	0.67	0.915	0.395	0.845
