	ec1017	ec1020	ec1024	ec1036	ec1038	ec1043	ec1050	ec1157	ec1169	ec1173	ec1177	ec1178	ec1185	ec1253	ec1256	ec1261	ec1264	ec1269	ec1272	ec1280	ec1285	ec1288	ec1293	ec1312	ec1316	ec1320	ec1324	ec1328	ec1332	ec1336	ec1340	ec1344
ec1017	0.0	0.95	0.9166666666666666	1.0	0.9416666666666667	0.8916666666666667	0.9666666666666667	0.9416666666666667	0.9333333333333333	0.9916666666666667	0.8416666666666667	0.925	0.8416666666666667	0.9666666666666667	0.7916666666666666	0.9083333333333333	0.9	0.6416666666666667	0.6416666666666667	0.8833333333333333	0.875	0.825	0.9583333333333334	0.7916666666666666	0.975	0.6166666666666667	0.6666666666666666	0.5916666666666667	0.95	0.8083333333333333	0.75	0.825
ec1020	0.95	0.0	0.95	1.0	0.9583333333333334	0.95	0.9666666666666667	0.9416666666666667	0.9666666666666667	0.9916666666666667	0.9583333333333334	0.9416666666666667	0.95	0.975	0.9416666666666667	0.9333333333333333	0.9583333333333334	0.975	0.95	0.9416666666666667	0.9416666666666667	0.9666666666666667	0.975	0.95	0.9666666666666667	0.95	0.95	0.95	0.95	0.95	0.9416666666666667	0.9416666666666667
ec1024	0.9166666666666666	0.95	0.0	1.0	0.8916666666666667	0.6666666666666666	0.9166666666666666	0.8416666666666667	0.8166666666666667	0.9916666666666667	0.8666666666666667	0.7833333333333333	0.6916666666666667	0.9333333333333333	0.7833333333333333	0.8166666666666667	0.8666666666666667	0.7666666666666667	0.7083333333333334	0.8416666666666667	0.7916666666666666	0.775	0.8583333333333333	0.775	0.9666666666666667	0.8166666666666667	0.7083333333333334	0.8333333333333334	0.7333333333333333	0.8166666666666667	0.6583333333333333	0.7916666666666666
ec1036	1.0	1.0	1.0	0.0	0.6166666666666667	1.0	1.0	1.0	0.6583333333333333	0.9833333333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7083333333333334	0.7666666666666667	1.0	1.0	0.9833333333333333	0.975	1.0	1.0	0.975	1.0	0.9583333333333334	0.9916666666666667	1.0
ec1038	0.9416666666666667	0.9583333333333334	0.8916666666666667	0.6166666666666667	0.0	0.8833333333333333	0.8833333333333333	0.8583333333333333	0.7416666666666667	0.9416666666666667	0.85	0.875	0.8583333333333333	0.975	0.875	0.9416666666666667	0.9583333333333334	0.975	0.9083333333333333	0.6083333333333333	0.6583333333333333	0.975	0.975	0.8416666666666667	0.95	0.8583333333333333	0.85	0.8833333333333333	0.9583333333333334	0.8166666666666667	0.85	0.8583333333333333
ec1043	0.8916666666666667	0.95	0.6666666666666666	1.0	0.8833333333333333	0.0	0.9083333333333333	0.8083333333333333	0.8666666666666667	0.9916666666666667	0.85	0.75	0.6083333333333333	0.9583333333333334	0.7833333333333333	0.8166666666666667	0.8416666666666667	0.65	0.75	0.825	0.75	0.75	0.8916666666666667	0.7416666666666667	0.9666666666666667	0.7416666666666667	0.5583333333333333	0.6833333333333333	0.6916666666666667	0.7416666666666667	0.65	0.675
ec1050	0.9666666666666667	0.9666666666666667	0.9166666666666666	1.0	0.8833333333333333	0.9083333333333333	0.0	0.875	0.9833333333333333	0.9916666666666667	0.8666666666666667	0.9	0.875	0.975	0.8916666666666667	0.9666666666666667	0.9833333333333333	1.0	0.9333333333333333	0.95	0.9333333333333333	1.0	1.0	0.8916666666666667	0.9833333333333333	0.875	0.875	0.9333333333333333	0.9583333333333334	0.875	0.875	0.875
ec1157	0.9416666666666667	0.9416666666666667	0.8416666666666667	1.0	0.8583333333333333	0.8083333333333333	0.875	0.0	0.95	0.9833333333333333	0.6083333333333333	0.6333333333333333	0.6583333333333333	0.975	0.5833333333333334	0.7083333333333334	0.75	0.875	0.675	0.7333333333333333	0.8	0.775	0.8333333333333334	0.7166666666666667	0.75	0.6083333333333333	0.8333333333333334	0.7833333333333333	0.7166666666666667	0.3416666666666667	0.6916666666666667	0.7083333333333334
ec1169	0.9333333333333333	0.9666666666666667	0.8166666666666667	0.6583333333333333	0.7416666666666667	0.8666666666666667	0.9833333333333333	0.95	0.0	0.9666666666666667	0.95	0.9166666666666666	0.9166666666666666	0.975	0.9333333333333333	0.8833333333333333	0.925	0.9333333333333333	0.8916666666666667	0.7083333333333334	0.7666666666666667	0.8833333333333333	0.9416666666666667	0.8916666666666667	0.9333333333333333	0.9166666666666666	0.9416666666666667	0.9166666666666666	0.9333333333333333	0.875	0.85	0.9166666666666666
ec1173	0.9916666666666667	0.9916666666666667	0.9916666666666667	0.9833333333333333	0.9416666666666667	0.9916666666666667	0.9916666666666667	0.9833333333333333	0.9666666666666667	0.0	0.9916666666666667	0.9916666666666667	0.9916666666666667	0.9916666666666667	0.9916666666666667	0.9916666666666667	0.9916666666666667	1.0	0.9916666666666667	0.9333333333333333	0.9416666666666667	1.0	1.0	0.9916666666666667	0.9916666666666667	0.9916666666666667	0.9916666666666667	0.9916666666666667	0.9916666666666667	0.975	0.9916666666666667	0.9916666666666667
