"","cluster","pval","rho","sum","fdr"
"1","k__Bacteria_ p__[Thermi]_ c__Deinococci",NA,NA,4,NA
"2","k__Bacteria_ p__Acidobacteria_ c__Acidobacteriia",NA,NA,1,NA
"3","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria",NA,NA,95,NA
"4","k__Bacteria_ p__Bacteroidetes_",NA,NA,1,NA
"5","k__Bacteria_ p__Bacteroidetes_ c__[Rhodothermi]",NA,NA,1,NA
"6","k__Bacteria_ p__Bacteroidetes_ c__[Saprospirae]",NA,NA,3,NA
"7","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia",NA,NA,116,NA
"8","k__Bacteria_ p__Bacteroidetes_ c__Cytophagia",NA,NA,6,NA
"9","k__Bacteria_ p__Bacteroidetes_ c__Flavobacteriia",NA,NA,94,NA
"10","k__Bacteria_ p__Bacteroidetes_ c__Sphingobacteriia",NA,NA,4,NA
"11","k__Bacteria_ p__Chlorobi_ c__Ignavibacteria",NA,NA,1,NA
"12","k__Bacteria_ p__Chloroflexi_ c__Gitt-GS-136",NA,NA,1,NA
"13","k__Bacteria_ p__Chloroflexi_ c__Thermomicrobia",NA,NA,4,NA
"14","k__Bacteria_ p__Cyanobacteria_ c__ML635J-21",NA,NA,2,NA
"15","k__Bacteria_ p__Firmicutes_ c__Bacilli",NA,NA,242,NA
"16","k__Bacteria_ p__Firmicutes_ c__Clostridia",NA,NA,73,NA
"17","k__Bacteria_ p__GN02_ c__3BR-5F",NA,NA,2,NA
"18","k__Bacteria_ p__Planctomycetes_ c__BD7-11",NA,NA,1,NA
"19","k__Bacteria_ p__Planctomycetes_ c__Phycisphaerae",NA,NA,3,NA
"20","k__Bacteria_ p__Planctomycetes_ c__Planctomycetia",NA,NA,23,NA
"21","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria",NA,NA,2040,NA
"22","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria",NA,NA,83,NA
"23","k__Bacteria_ p__Proteobacteria_ c__Deltaproteobacteria",NA,NA,8,NA
"24","k__Bacteria_ p__Proteobacteria_ c__Epsilonproteobacteria",NA,NA,1,NA
"25","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria",NA,NA,999,NA
"26","k__Bacteria_ p__TM6_ c__SJA-4",NA,NA,1,NA
"27","k__Bacteria_ p__Verrucomicrobia_ c__[Pedosphaerae]",NA,NA,1,NA
"28","k__Bacteria_ p__Verrucomicrobia_ c__[Spartobacteria]",NA,NA,5,NA
"29","k__Bacteria_ p__Verrucomicrobia_ c__Opitutae",NA,NA,1,NA
"30","k__Bacteria_ p__Verrucomicrobia_ c__Verrucomicrobiae",NA,NA,2,NA
"31","k__Bacteria_ p__WS3_ c__PRR-12",NA,NA,1,NA
"32","k__Bacteria__",NA,NA,21,NA
