"","cluster","pval","rho","sum","fdr"
"1","k__Bacteria_ p__[Thermi]_ c__Deinococci_ o__Deinococcales",NA,NA,4,NA
"2","k__Bacteria_ p__Acidobacteria_ c__Acidobacteriia_ o__Acidobacteriales",NA,NA,1,NA
"3","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales",NA,NA,95,NA
"4","k__Bacteria_ p__Bacteroidetes_ c__[Rhodothermi]_ o__[Rhodothermales]",NA,NA,1,NA
"5","k__Bacteria_ p__Bacteroidetes_ c__[Saprospirae]_ o__[Saprospirales]",NA,NA,3,NA
"6","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia_ o__Bacteroidales",NA,NA,116,NA
"7","k__Bacteria_ p__Bacteroidetes_ c__Cytophagia_ o__Cytophagales",NA,NA,6,NA
"8","k__Bacteria_ p__Bacteroidetes_ c__Flavobacteriia_ o__Flavobacteriales",NA,NA,94,NA
"9","k__Bacteria_ p__Bacteroidetes_ c__Sphingobacteriia_ o__Sphingobacteriales",NA,NA,4,NA
"10","k__Bacteria_ p__Bacteroidetes__",NA,NA,1,NA
"11","k__Bacteria_ p__Chlorobi_ c__Ignavibacteria_ o__Ignavibacteriales",NA,NA,1,NA
"12","k__Bacteria_ p__Chloroflexi_ c__Gitt-GS-136_ o__",NA,NA,1,NA
"13","k__Bacteria_ p__Chloroflexi_ c__Thermomicrobia_ o__JG30-KF-CM45",NA,NA,4,NA
"14","k__Bacteria_ p__Cyanobacteria_ c__ML635J-21_ o__",NA,NA,2,NA
"15","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Bacillales",NA,NA,28,NA
"16","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales",NA,NA,214,NA
"17","k__Bacteria_ p__Firmicutes_ c__Clostridia_ o__Clostridiales",NA,NA,73,NA
"18","k__Bacteria_ p__GN02_ c__3BR-5F_ o__",NA,NA,2,NA
"19","k__Bacteria_ p__Planctomycetes_ c__BD7-11_ o__",NA,NA,1,NA
"20","k__Bacteria_ p__Planctomycetes_ c__Phycisphaerae_ o__Phycisphaerales",NA,NA,2,NA
"21","k__Bacteria_ p__Planctomycetes_ c__Phycisphaerae_ o__WD2101",NA,NA,1,NA
"22","k__Bacteria_ p__Planctomycetes_ c__Planctomycetia_ o__Pirellulales",NA,NA,23,NA
"23","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__BD7-3",NA,NA,1,NA
"24","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Kiloniellales",NA,NA,3,NA
"25","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales",NA,NA,10,NA
"26","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodobacterales",NA,NA,22,NA
"27","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales",NA,NA,1992,NA
"28","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Sphingomonadales",NA,NA,12,NA
"29","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria_ o__Burkholderiales",NA,NA,74,NA
"30","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria_ o__Methylophilales",NA,NA,2,NA
"31","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria_ o__Neisseriales",NA,NA,7,NA
"32","k__Bacteria_ p__Proteobacteria_ c__Deltaproteobacteria_ o__Bdellovibrionales",NA,NA,2,NA
"33","k__Bacteria_ p__Proteobacteria_ c__Deltaproteobacteria_ o__Desulfobacterales",NA,NA,5,NA
"34","k__Bacteria_ p__Proteobacteria_ c__Deltaproteobacteria_ o__Myxococcales",NA,NA,1,NA
"35","k__Bacteria_ p__Proteobacteria_ c__Epsilonproteobacteria_ o__Campylobacterales",NA,NA,1,NA
"36","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_",NA,NA,19,NA
"37","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__",NA,NA,2,NA
"38","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__[Marinicellales]",NA,NA,2,NA
"39","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Aeromonadales",NA,NA,1,NA
"40","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Alteromonadales",NA,NA,17,NA
"41","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales",NA,NA,629,NA
"42","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Oceanospirillales",NA,NA,10,NA
"43","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales",NA,NA,199,NA
"44","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pseudomonadales",NA,NA,93,NA
"45","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Thiohalorhabdales",NA,NA,1,NA
"46","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Vibrionales",NA,NA,2,NA
"47","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Xanthomonadales",NA,NA,24,NA
"48","k__Bacteria_ p__TM6_ c__SJA-4_ o__YJF2-48",NA,NA,1,NA
"49","k__Bacteria_ p__Verrucomicrobia_ c__[Pedosphaerae]_ o__[Pedosphaerales]",NA,NA,1,NA
"50","k__Bacteria_ p__Verrucomicrobia_ c__[Spartobacteria]_ o__[Chthoniobacterales]",NA,NA,5,NA
"51","k__Bacteria_ p__Verrucomicrobia_ c__Opitutae_ o__[Pelagicoccales]",NA,NA,1,NA
"52","k__Bacteria_ p__Verrucomicrobia_ c__Verrucomicrobiae_ o__Verrucomicrobiales",NA,NA,2,NA
"53","k__Bacteria_ p__WS3_ c__PRR-12_ o__GN03",NA,NA,1,NA
"54","k__Bacteria___",NA,NA,21,NA
