	ec1017	ec1020	ec1024	ec1036	ec1038	ec1043	ec1050	ec1157	ec1169	ec1173	ec1177	ec1178	ec1185	ec1253	ec1256	ec1261	ec1264	ec1269	ec1272	ec1280	ec1285	ec1288	ec1293	ec1312	ec1316	ec1320	ec1324	ec1328	ec1332	ec1336	ec1340	ec1344
ec1017	0.0	0.8111316012208571	0.6256275979734286	0.6918544824332191	0.6370594598463195	0.6818268903846632	0.7805318935242552	0.5870300203638227	0.6288309369495972	0.7252680017716695	0.6141850393823285	0.659013265871133	0.6208542694386303	0.6677136794927669	0.5637347061091279	0.6346959345531171	0.6879460310175997	0.5795655606885483	0.6111154044398117	0.6444321312261609	0.4689612184916015	0.5918510690261578	0.5574661235276775	0.4134343317444673	0.5887240883427808	0.4414139068822672	0.5753649726364468	0.6398061455314282	0.5156570184164949	0.5526871555100806	0.3994949299696173	0.39733112014462846
ec1020	0.8111316012208571	0.0	0.8270609647990277	0.8161991979405445	0.7960784496810492	0.8161051859932335	0.789937338220117	0.8221838642450741	0.7999421219283122	0.8272405554057065	0.7821970502027594	0.8243010575185146	0.7877078082856359	0.7407594139960064	0.818383400993381	0.847284783313055	0.7929186926537806	0.8251667076381016	0.8325513494368545	0.7859041621249839	0.8004358504853577	0.8187710764085655	0.8141335464268312	0.8494131637383039	0.8211051722479484	0.8440004513842554	0.8179906868996903	0.8488265341949338	0.8042859470829402	0.815806559284263	0.7958767962461792	0.8242534992511743
ec1024	0.6256275979734286	0.8270609647990277	0.0	0.6098281533957783	0.571926673186064	0.5276571973505123	0.7572666595606444	0.3576309493576928	0.5485791728540405	0.569207996022049	0.5828205091679731	0.6057801976620467	0.5360728683331462	0.6644750577177816	0.4195339481239431	0.42446040675600055	0.6737066867811399	0.36212569822313495	0.4996866065111174	0.5709035532296112	0.6152117251587776	0.37086721893355856	0.3997809830759272	0.621459056471753	0.28457345064500966	0.6814259677671093	0.3383355256530298	0.42837818995524946	0.38551670106765906	0.3697956102421785	0.5364472269827192	0.5822494883643244
ec1036	0.6918544824332191	0.8161991979405445	0.6098281533957783	0.0	0.3642707449546893	0.6226352286518884	0.742048632779384	0.5679316325162873	0.4410167081779251	0.5054178169103412	0.6537208393098078	0.6605452052821094	0.6515667036494305	0.680240344960628	0.6273293459978496	0.6440497106143394	0.625792503425416	0.5929741970671953	0.6676547569680747	0.38631567149256263	0.5531197537367434	0.6140899613657829	0.5491863579828904	0.7234022699964231	0.5689726004813028	0.7061691437983458	0.6321509213872104	0.6307634806666362	0.6496878095228029	0.6100826111167048	0.6538044948790636	0.7094260776689327
ec1038	0.6370594598463195	0.7960784496810492	0.571926673186064	0.3642707449546893	0.0	0.5657363195280452	0.7466234661471154	0.5092103850268377	0.3471824764759301	0.40541022966899143	0.5771873763759947	0.6100813006203379	0.556408454026918	0.6147635273863569	0.5679050205126741	0.5927152175360872	0.5340531138364593	0.5453842182803655	0.5871633396123219	0.152134592447604	0.44827700705727097	0.5217015212292176	0.5260316778139571	0.6877045685869039	0.5123973888875132	0.6732763939196597	0.5793864262226784	0.5727534251603811	0.5708338347425248	0.557166824653961	0.6153056019418254	0.6325536420678454
ec1043	0.6818268903846632	0.8161051859932335	0.5276571973505123	0.6226352286518884	0.5657363195280452	0.0	0.6991954127389614	0.5581865974554839	0.5661752360548734	0.5931185891157815	0.540420664682195	0.6459605633391962	0.5697669956795454	0.6821148151394427	0.5530312736442026	0.6031403974969032	0.5735579962772328	0.5486466607696834	0.6131292028103795	0.5510572749554187	0.5994118159223198	0.5161395319658003	0.5614175332984005	0.7093851422245685	0.5084008807769599	0.5880270157022405	0.5369786681590167	0.6083194154814812	0.5275827436020644	0.5632732315323485	0.5948965114932516	0.68086694644758
ec1050	0.7805318935242552	0.789937338220117	0.7572666595606444	0.742048632779384	0.7466234661471154	0.6991954127389614	0.0	0.7440092161165259	0.7352857722536059	0.7726973762542326	0.6766280747023384	0.6879896449590116	0.6745792865386347	0.7136414372686618	0.7217336562680874	0.7843596054811008	0.7162852045590326	0.7304092973794697	0.7695594227150419	0.7228521487397417	0.7926414741721826	0.7747357841131454	0.7771160341826989	0.8104634702706255	0.7491961069911249	0.8033388332251282	0.7208312366002204	0.7846100268027478	0.7575731373869252	0.7422885268756517	0.7382301671802848	0.7603723647671514
ec1157	0.5870300203638227	0.8221838642450741	0.3576309493576928	0.5679316325162873	0.5092103850268377	0.5581865974554839	0.7440092161165259	0.0	0.45021551853461794	0.526009693896794	0.4880600294700658	0.5012646711939611	0.5434948803719584	0.6523559747998984	0.2232923138062415	0.19646054344483957	0.6477637014708758	0.36934991860691235	0.3319903267048048	0.5259165632880505	0.6361314248917149	0.32992540371326745	0.36407268555696765	0.5149548636960124	0.1445482309678833	0.614950389314938	0.30655562811657056	0.18497904334213516	0.3472678241761999	0.21133827081696202	0.5131571622255119	0.6398813570184994
ec1169	0.6288309369495972	0.7999421219283122	0.5485791728540405	0.4410167081779251	0.3471824764759301	0.5661752360548734	0.7352857722536059	0.45021551853461794	0.0	0.4002350966430131	0.5851465932486754	0.565822505733581	0.569114863893491	0.6322635879530549	0.5155572116845921	0.5182341101694379	0.6041140608564282	0.5281582941902079	0.5735745345920185	0.3584876736564307	0.5285432483585655	0.5269572150584434	0.48156754092625975	0.6465777489454895	0.4674024412344913	0.628200482937161	0.5291133816014059	0.5164002498378066	0.5494491379683829	0.48077932251020733	0.569422646170808	0.6679082178675619
ec1173	0.7252680017716695	0.8272405554057065	0.569207996022049	0.5054178169103412	0.40541022966899143	0.5931185891157815	0.7726973762542326	0.526009693896794	0.4002350966430131	0.0	0.6255507700317741	0.678546945770918	0.6490841464829653	0.6758480605119038	0.6047276657337822	0.6245896953503547	0.6821053928540762	0.5573305479403086	0.6557574487224951	0.41336308916175313	0.5259906740153066	0.5910207740882721	0.5343316638361844	0.7131137019481057	0.5155363483051006	0.7040059303973472	0.5864532736917292	0.6024647289835771	0.6046500048190411	0.5474837742815643	0.6240024728718699	0.7334732128018704
