	ec1017	ec1020	ec1024	ec1036	ec1038	ec1043	ec1050	ec1157	ec1169	ec1173	ec1177	ec1178	ec1185	ec1253	ec1256	ec1261	ec1264	ec1269	ec1272	ec1280	ec1285	ec1288	ec1293	ec1312	ec1316	ec1320	ec1324	ec1328	ec1332	ec1336	ec1340	ec1344
ec1017	0.0	0.4449058537464827	0.31023304284878706	0.4571395780283757	0.46441282493245256	0.3308071945739802	0.40399708039094295	0.27147812223291984	0.3845369584694136	0.41186010720935684	0.31272958885513447	0.15003448332527095	0.2168945108559148	0.5141078586853385	0.16177270634842034	0.18525526468549058	0.2752829705680663	0.1941320596678968	0.14717715284936525	0.33567350197413326	0.2745453222817593	0.17787720554873976	0.18278202647661093	0.14864537023353197	0.18210983893984856	0.11557880171455658	0.2430107114648797	0.1468457375791306	0.25755102821702197	0.22361865390763216	0.18980629017251602	0.2216440092920804
ec1020	0.4449058537464827	0.0	0.39957379896255474	0.392682460242886	0.3741668692646002	0.40161423667768487	0.36381290741632155	0.3485733151244902	0.3656405039379448	0.37567036810615073	0.30267682298995974	0.41098717879647906	0.38461101149924337	0.29881141746189205	0.42169592368590586	0.4525305200623926	0.3660686779512468	0.46583858611956236	0.4068915784877261	0.3472682126528192	0.3747607515114956	0.4492059010841101	0.44443060887213803	0.3884154288703475	0.4507424363930279	0.4202536985522001	0.38647842604275423	0.4033353021781563	0.46827916012828896	0.3652653687008245	0.37838860763708837	0.4042940503205935
ec1024	0.31023304284878706	0.39957379896255474	0.0	0.2891896333899682	0.32410005725522556	0.16408140848219946	0.345756454904444	0.1379270255687476	0.24797109466259173	0.30080296073657375	0.24264646408773385	0.2547628142166604	0.15227063853014533	0.4366628375664169	0.26384887147317304	0.29221892074624434	0.300329569051773	0.18970498064352953	0.2453835201847482	0.16645393157081853	0.17135509315744601	0.2623877995788226	0.2712502023695993	0.21254765018459032	0.281890144151009	0.2664520133079833	0.10582825326921241	0.24613941623663133	0.19872421684082137	0.13534735663269049	0.15420756798984261	0.1786017846064718
ec1036	0.4571395780283757	0.392682460242886	0.2891896333899682	0.0	0.14656477513220317	0.3267088248513389	0.3923337550201043	0.30280014361623653	0.21210877138853293	0.26598296217217676	0.3094809671542541	0.4277707344827358	0.3627971129094415	0.38862922988850657	0.44287577429692343	0.46584483204859795	0.38275558474675814	0.4143036935806842	0.4192644171263561	0.18228392348154082	0.25718437846263137	0.4403308681752387	0.42757883048293266	0.4031191710649812	0.44654116898536517	0.4361902264200968	0.337408174576627	0.41737409397385034	0.42638885434695384	0.3318290030208451	0.3566432162243875	0.37367586007922754
ec1038	0.46441282493245256	0.3741668692646002	0.32410005725522556	0.14656477513220317	0.0	0.3334912244434901	0.3985240112345349	0.31889343720137336	0.28066116159556753	0.2731927623064699	0.3101053578681475	0.4364060988660149	0.37326772111794615	0.3404763484221491	0.45460264551869056	0.4858652468684765	0.3754818548438654	0.4368473790344093	0.42968164314756807	0.19965560017884906	0.25936325495424545	0.45934249000330585	0.44823048402912813	0.4132786948164541	0.4685515667565479	0.446070762138349	0.3467945233506281	0.428191714808205	0.4428504217493773	0.34592355250629064	0.37009624148874587	0.3710808556020859
ec1043	0.3308071945739802	0.40161423667768487	0.16408140848219946	0.3267088248513389	0.3334912244434901	0.0	0.35682582937079443	0.21652493029563658	0.2930630876295883	0.341619919053007	0.2833285811814469	0.2802151495262777	0.18573180609007414	0.47036988300296223	0.29505360829141547	0.3270291955827159	0.2663398213296199	0.21245033327666757	0.2698606923269708	0.18286649618397002	0.20883099680654466	0.2930345997295324	0.3031090329081889	0.26510846107039254	0.3162462751959075	0.2783254953687818	0.15488445340930895	0.2714399417123731	0.19657393409236312	0.20958269860862577	0.21079519561343948	0.2403008284876818
ec1050	0.40399708039094295	0.36381290741632155	0.345756454904444	0.3923337550201043	0.3985240112345349	0.35682582937079443	0.0	0.2956871446633566	0.3589153380927409	0.337598841266298	0.2842921200605663	0.3275565613621635	0.33130370108816454	0.4443055988574981	0.3715148738773727	0.40723489059947904	0.40290092526320886	0.4141052927656268	0.36068115216023705	0.34686754877341425	0.364465972843401	0.4060326434307516	0.40990367048071685	0.3381381422612369	0.4049492423557415	0.3722242834991064	0.325888651636554	0.3538396504462258	0.4214293655439592	0.31278430721756123	0.3297887025564431	0.3242989744500309
ec1157	0.27147812223291984	0.3485733151244902	0.1379270255687476	0.30280014361623653	0.31889343720137336	0.21652493029563658	0.2956871446633566	0.0	0.2191570622428008	0.20731237629363494	0.1319755839999635	0.20487059889518033	0.15990519553850205	0.3658540196580606	0.21195266048606437	0.24566040207957734	0.2522666262147124	0.2383585325790622	0.19956343579816765	0.180513757643477	0.186492190521697	0.2321931260101898	0.2390627332947116	0.16836355802546277	0.2422948185467495	0.2169697232421715	0.13793000537861191	0.20600678354353658	0.23904872935708915	0.06621603392366221	0.1407925483848389	0.16700906446460745
ec1169	0.3845369584694136	0.3656405039379448	0.24797109466259173	0.21210877138853293	0.28066116159556753	0.2930630876295883	0.3589153380927409	0.2191570622428008	0.0	0.25233725566761356	0.21892626990885178	0.3415883822084804	0.3070468682750657	0.3939933730992264	0.3519446889650616	0.3737246319005359	0.33634023886946557	0.37371225845571887	0.3297105979545817	0.18560217979875174	0.2557355948312196	0.3502678448887551	0.36007700671630105	0.31095531062735116	0.35839190900353296	0.3430840767829169	0.29935212889111185	0.3334436019953767	0.38536877093661903	0.25150525633182097	0.27673091602968425	0.3233046451730135
ec1173	0.41186010720935684	0.37567036810615073	0.30080296073657375	0.26598296217217676	0.2731927623064699	0.341619919053007	0.337598841266298	0.20731237629363494	0.25233725566761356	0.0	0.17808836318952254	0.3721818394962061	0.3263043808347639	0.3149660201697978	0.38103654996756775	0.4114339695945707	0.38890186618670686	0.40642508192521953	0.37000149042927366	0.2795159632311999	0.30917694102921184	0.39501634450351747	0.39359343129269664	0.3237403231421538	0.4036269813189505	0.36923692044598266	0.3052787580392909	0.35785033751508843	0.4176571735092432	0.25369270615905004	0.3056832403189372	0.3396512485461487
