"","cluster","pval","rho","sum","fdr"
"1","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae",0.00112571602506031,0.549442965887276,1975,0.10806873840579
"2","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia_ o__Bacteroidales_ f__Porphyromonadaceae",0.0169545436421444,-0.419122182531383,92,0.748427613693107
"3","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pseudomonadales_ f__Pseudomonadaceae",0.0239538399699597,-0.398306983198473,76,0.748427613693107
"4","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Enterococcaceae",0.0532597105959672,-0.344832458815484,44,0.748427613693107
"5","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Micrococcaceae",0.0584491997024041,-0.338043002151862,16,0.748427613693107
"6","k__Bacteria_ p__Bacteroidetes_ c__[Saprospirae]_ o__[Saprospirales]_ f__Chitinophagaceae",0.0584491997024041,-0.338043002151862,3,0.748427613693107
"7","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria__",0.0792661558452832,-0.314817968405979,19,0.748427613693107
"8","k__Bacteria_ p__Bacteroidetes_ c__Flavobacteriia_ o__Flavobacteriales_ f__[Weeksellaceae]",0.0956196170789352,-0.299701301715635,42,0.748427613693107
"9","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Microbacteriaceae",0.0959488407403482,-0.299417989391036,25,0.748427613693107
"10","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Sphingomonadales_ f__Sphingomonadaceae",0.102078110768231,-0.294273303574302,12,0.748427613693107
"11","k__Bacteria_ p__Firmicutes_ c__Clostridia_ o__Clostridiales_ f__Clostridiaceae",0.168736874439596,-0.249350730102903,3,0.748427613693107
"12","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Corynebacteriaceae",0.170206017384903,-0.248520610507979,19,0.748427613693107
"13","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pseudomonadales_ f__Moraxellaceae",0.186330662289096,-0.239726726059393,17,0.748427613693107
"14","k__Bacteria_ p__Firmicutes_ c__Clostridia_ o__Clostridiales_ f__[Tissierellaceae]",0.19404938611691,-0.235705765172294,18,0.748427613693107
"15","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Geodermatophilaceae",0.194903024399247,-0.235267972560651,1,0.748427613693107
"16","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Nocardiaceae",0.194903024399247,-0.235267972560651,15,0.748427613693107
"17","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Tsukamurellaceae",0.194903024399247,-0.235267972560651,2,0.748427613693107
"18","k__Bacteria_ p__Chloroflexi_ c__Gitt-GS-136_ o___ f__",0.194903024399247,-0.235267972560651,1,0.748427613693107
"19","k__Bacteria_ p__Chloroflexi_ c__Thermomicrobia_ o__JG30-KF-CM45_ f__",0.194903024399247,-0.235267972560651,4,0.748427613693107
"20","k__Bacteria_ p__Cyanobacteria_ c__ML635J-21_ o___ f__",0.194903024399247,-0.235267972560651,2,0.748427613693107
"21","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_",0.194903024399247,-0.235267972560651,1,0.748427613693107
"22","k__Bacteria_ p__Planctomycetes_ c__Phycisphaerae_ o__WD2101_ f__",0.194903024399247,-0.235267972560651,1,0.748427613693107
"23","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_",0.194903024399247,-0.235267972560651,2,0.748427613693107
"24","k__Bacteria_ p__TM6_ c__SJA-4_ o__YJF2-48_ f__",0.194903024399247,-0.235267972560651,1,0.748427613693107
"25","k__Bacteria_ p__Verrucomicrobia_ c__[Pedosphaerae]_ o__[Pedosphaerales]_ f__Ellin517",0.194903024399247,-0.235267972560651,1,0.748427613693107
"26","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria_ o__Burkholderiales_ f__Alcaligenaceae",0.214705322239233,0.225465140370624,4,0.79275811288332
"27","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria_ o__Burkholderiales_ f__Comamonadaceae",0.241202042769294,-0.213271053823497,47,0.833338280600759
"28","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Mycobacteriaceae",0.258331085579073,0.20585947599057,5,0.833338280600759
"29","k__Bacteria_ p__[Thermi]_ c__Deinococci_ o__Deinococcales_ f__Deinococcaceae",0.271758640093269,0.200272872368616,4,0.833338280600759
"30","k__Bacteria_ p__Bacteroidetes_ c__Sphingobacteriia_ o__Sphingobacteriales_ f__Sphingobacteriaceae",0.272296720945346,-0.20005279228909,4,0.833338280600759
"31","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Nocardioidaceae",0.309340412351133,-0.185527507040377,10,0.833338280600759
"32","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria_ o__Neisseriales_ f__Neisseriaceae",0.309340412351133,-0.185527507040377,7,0.833338280600759
"33","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_ f__Bradyrhizobiaceae",0.321160869528014,-0.181125905449858,4,0.833338280600759
"34","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia_ o__Bacteroidales_ f__Prevotellaceae",0.335201758283863,0.176025972719241,12,0.833338280600759
