"","cluster","pval","rho","sum","fdr"
"1","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Commensalibacter",0.0147864245891099,0.427032139787868,582,0.646912166091117
"2","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Microbacteriaceae_",0.0164994813407806,-0.420709378781256,19,0.646912166091117
"3","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia_ o__Bacteroidales_ f__Porphyromonadaceae_ g__Dysgonomonas",0.0169545436421444,-0.419122182531383,92,0.646912166091117
"4","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pseudomonadales_ f__Pseudomonadaceae_ g__Pseudomonas",0.0239538399699597,-0.398306983198473,76,0.646912166091117
"5","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconobacter",0.0375777587109288,0.369183936538854,940,0.646912166091117
"6","k__Bacteria_ p__Bacteroidetes_ c__[Saprospirae]_ o__[Saprospirales]_ f__Chitinophagaceae_ g__",0.0583098104434811,-0.338219020389331,2,0.646912166091117
"7","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Microbacteriaceae_ g__Leucobacter",0.0584491997024041,-0.338043002151862,3,0.646912166091117
"8","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Enterococcaceae_",0.0615591130482534,-0.334199200968246,36,0.646912166091117
"9","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria___",0.0792661558452832,-0.314817968405979,19,0.646912166091117
"10","k__Bacteria_ p__Bacteroidetes_ c__Flavobacteriia_ o__Flavobacteriales_ f__[Weeksellaceae]_ g__Chryseobacterium",0.0921308813707558,-0.302750065112553,12,0.646912166091117
"11","k__Bacteria_ p__Verrucomicrobia_ c__[Spartobacteria]_ o__[Chthoniobacterales]_ f__[Chthoniobacteraceae]_ g__Candidatus Xiphinematobacter",0.114819716119238,0.284282133510787,2,0.646912166091117
"12","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Lactobacillaceae_",0.142058678403032,-0.265416575908298,3,0.646912166091117
"13","k__Bacteria_ p__Bacteroidetes_ c__Flavobacteriia_ o__Flavobacteriales_ f__[Weeksellaceae]_ g__Wautersiella",0.159132012448598,-0.254908981240726,16,0.646912166091117
"14","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Corynebacteriaceae_ g__Corynebacterium",0.170206017384903,-0.248520610507979,19,0.646912166091117
"15","k__Bacteria_ p__Firmicutes_ c__Clostridia_ o__Clostridiales_ f__Ruminococcaceae_ g__",0.175488167078939,-0.245577395485509,30,0.646912166091117
"16","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Enterococcaceae_ g__Enterococcus",0.177413480362555,-0.244520224464634,7,0.646912166091117
"17","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pseudomonadales_ f__Moraxellaceae_ g__Acinetobacter",0.186330662289096,-0.239726726059393,17,0.646912166091117
