"","cluster","pval","rho","sum","fdr"
"1","k__Bacteria_ p__Proteobacteria",0.000984564557687767,0.554727907723935,3131,0.0147684683653165
"2","k__Bacteria_ p__Bacteroidetes",0.00359283801206273,-0.499686053016902,225,0.0184532957713896
"3","k__Bacteria_ p__Actinobacteria",0.00369065915427791,-0.498441235218448,95,0.0184532957713896
"4","k__Bacteria_ p__Firmicutes",0.044666189489359,-0.35733060599319,315,0.167498210585096
"5","k__Bacteria_ p__Chloroflexi",0.0584491997024041,-0.338043002151862,5,0.175347599107212
"6","k__Bacteria_ p__Cyanobacteria",0.194903024399247,-0.235267972560651,2,0.417649337998386
"7","k__Bacteria_ p__TM6",0.194903024399247,-0.235267972560651,1,0.417649337998386
"8","k__Bacteria_ p__[Thermi]",0.271758640093269,0.200272872368616,4,0.50954745017488
"9","k__Bacteria_ p__Acidobacteria",0.421926526708002,0.147042482850407,1,0.666157876529136
"10","k__Bacteria_ p__Planctomycetes",0.444105251019424,-0.140191010658031,27,0.666157876529136
"11","k__Bacteria_ p__Verrucomicrobia",0.69850944399574,-0.0712179220498573,9,0.789935245152802
"12","k__Bacteria_",0.73640271142533,0.0619128578736424,21,0.789935245152802
"13","k__Bacteria_ p__Chlorobi",0.789935245152802,0.0490141609501357,1,0.789935245152802
"14","k__Bacteria_ p__GN02",0.789935245152802,0.0490141609501357,2,0.789935245152802
"15","k__Bacteria_ p__WS3",0.789935245152802,0.0490141609501357,1,0.789935245152802
