"","cluster","pval","rho","sum","fdr"
"1","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Commensalibacter_ s__intestini",0.0147864245891099,0.427032139787868,582,0.63432075213573
"2","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Microbacteriaceae__",0.0164994813407806,-0.420709378781256,19,0.63432075213573
"3","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia_ o__Bacteroidales_ f__Porphyromonadaceae_ g__Dysgonomonas_ s__",0.0169545436421444,-0.419122182531383,92,0.63432075213573
"4","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pseudomonadales_ f__Pseudomonadaceae_ g__Pseudomonas_ s__",0.022184412015321,-0.403037225655597,73,0.63432075213573
"5","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconobacter_ s__",0.0375777587109288,0.369183936538854,940,0.63432075213573
"6","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Corynebacteriaceae_ g__Corynebacterium_ s__variabile",0.045780368439503,-0.355607321838114,14,0.63432075213573
"7","k__Bacteria_ p__Bacteroidetes_ c__[Saprospirae]_ o__[Saprospirales]_ f__Chitinophagaceae_ g___ s__",0.0583098104434811,-0.338219020389331,2,0.63432075213573
"8","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Microbacteriaceae_ g__Leucobacter_ s__",0.0584491997024041,-0.338043002151862,3,0.63432075213573
"9","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Enterococcaceae__",0.0615591130482534,-0.334199200968246,36,0.63432075213573
"10","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria____",0.0792661558452832,-0.314817968405979,19,0.63432075213573
"11","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Bacillales_ f__Bacillaceae_ g__Bacillus_ s__",0.0908541201903343,0.303887797890841,11,0.63432075213573
"12","k__Bacteria_ p__Bacteroidetes_ c__Flavobacteriia_ o__Flavobacteriales_ f__[Weeksellaceae]_ g__Chryseobacterium_ s__",0.0921308813707558,-0.302750065112553,12,0.63432075213573
"13","k__Bacteria_ p__Verrucomicrobia_ c__[Spartobacteria]_ o__[Chthoniobacterales]_ f__[Chthoniobacteraceae]_ g__Candidatus Xiphinematobacter_ s__",0.114819716119238,0.284282133510787,2,0.63432075213573
"14","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Lactobacillaceae__",0.142058678403032,-0.265416575908298,3,0.63432075213573
"15","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pseudomonadales_ f__Moraxellaceae_ g__Acinetobacter_ s__",0.154603169026292,-0.257613541080683,6,0.63432075213573
"16","k__Bacteria_ p__Bacteroidetes_ c__Flavobacteriia_ o__Flavobacteriales_ f__[Weeksellaceae]_ g__Wautersiella_ s__",0.159132012448598,-0.254908981240726,16,0.63432075213573
