	ec1249	ec1265	ec1314	ec1346	ec1349	ec1361	ec1362	ec1378	ec1393	ec1396	ec1400	ec1409	ec1411	ec1420	ec1424	ec1425	ec1427	ec1438	ec1442	ec1449	ec1457	ec1462	ec1468	ec1492	ec1497	ec1500	ec1508	ec1513	ec1516	ec1517	ec1524	ec1533	eti111	eti123	eti135	eti149	eti154	eti162	eti164	eti165	eti166	eti167
ec1249	0	0.4307529999192395	0.5757911981051729	0.5406542038581502	0.4448487104857912	0.5653281707535844	0.5774662447068155	0.6177174573066441	0.5766997291065117	0.6062221114182135	0.4685305787947207	0.5518457771574515	0.4690238373462316	0.5921312164040758	0.5141732762739117	0.6015188124035167	0.510670275612446	0.6047524684626678	0.6734304322120304	0.7387772489129721	0.6089960403890919	0.6216444140740264	0.6256192637371658	0.5391445518940511	0.5757081434391421	0.5584074140920702	0.5632536163873554	0.5839258239990108	0.614675359276032	0.6192764178735607	0.6298687419504662	0.5702518591572173	0.5929349830943068	0.6243613604824917	0.6146972356716824	0.5805996525297603	0.5530461791150412	0.5528440699708803	0.5673824709688139	0.6202053322497758	0.6141731952417486	0.5672603129486906
ec1265	0.4307529999192395	0	0.6254477547475481	0.6066173851144302	0.516328260248476	0.5426683276382743	0.5605566501568281	0.6741445534433989	0.6150030242064605	0.6428280615694419	0.4543550189956118	0.5565330951534742	0.5475074937589994	0.609816552704518	0.5349446171149462	0.5776121654151792	0.544983795520393	0.5960246221382234	0.725144406123516	0.7798122215158033	0.6196873258896868	0.6744738792873453	0.5911772427544161	0.5029257502892222	0.6963330697794915	0.5659977284143477	0.600199320461877	0.6084304489058442	0.6594098044766062	0.5777564250246187	0.5994841107070801	0.61445919311806	0.594194717168514	0.631220882331687	0.6430895422505685	0.6743888089698915	0.5722517050427914	0.5405040177918029	0.5800562428690389	0.6617145815767488	0.6787929928649815	0.6015911321951048
ec1314	0.5757911981051729	0.6254477547475481	0	0.232813440679248	0.5365943014727597	0.3329375995532943	0.3593356318613012	0.2933358789184576	0.4536354633458966	0.4491649465275524	0.3890141871681828	0.3747003606435114	0.5189855994770053	0.4587604179181139	0.5170213155887795	0.4713649582811942	0.4797035590462651	0.3856382657349838	0.2941134645827802	0.8229155712875232	0.4901532329314613	0.2623953281044494	0.393566811163868	0.4762683520593244	0.394823611248325	0.4851475281410613	0.6662926612555008	0.4605277630080736	0.4977264942760879	0.3936107071786376	0.4091824083435901	0.5344249375788561	0.5928365930959093	0.4493061680884476	0.5133266116642718	0.6306221592547298	0.4427780307827701	0.4894890529060696	0.5917308292622464	0.5738099907414722	0.4711926092939551	0.2711252928921064
ec1346	0.5406542038581502	0.6066173851144302	0.232813440679248	0	0.505456699467038	0.432323302729067	0.4550839038127435	0.3599638023192044	0.431256622273238	0.504191378840352	0.4890880507247975	0.4831399122405808	0.5421235745091819	0.4970255200793627	0.531054586246784	0.4513081087855567	0.5202470035385377	0.4465444214525392	0.3763157060982043	0.7989454468797592	0.5284361107350726	0.3746628371498432	0.4678240714974402	0.5304124852185409	0.4421705704898505	0.4487797859528718	0.6460419222130068	0.5115909552299578	0.531615562773286	0.4492071603921508	0.4830156714048683	0.5337119900968337	0.6277417868372761	0.5227514701290716	0.5030440878436461	0.5884879346708066	0.45197105600243	0.4970533225920566	0.6136346867003761	0.5834157199257223	0.4414116784087915	0.294396129687224
ec1349	0.4448487104857912	0.516328260248476	0.5365943014727597	0.505456699467038	0	0.5257370480945097	0.5373888662623912	0.619806263396139	0.5924801123646382	0.5474647275177599	0.4547272592993857	0.5278730613914957	0.3894355317702388	0.5704762704202417	0.4294235260209801	0.5808325733994084	0.3798379706759504	0.5849937794135502	0.6771017329315199	0.738870027288442	0.6101699517407027	0.6223214792692273	0.6008792410386966	0.5073112307785708	0.6533101852267117	0.5464751647933689	0.5628587935615705	0.5937370537706247	0.5338180989867148	0.5837182662528239	0.6082158213878106	0.5241901269464389	0.5407860246102997	0.6201990701913136	0.5673565108684701	0.6127943651081944	0.534238537097901	0.5142950757264191	0.5442564261630147	0.64492160503368	0.6113870212354294	0.5491640378611929
ec1361	0.5653281707535844	0.5426683276382743	0.3329375995532943	0.432323302729067	0.5257370480945097	0	0.140606391522989	0.4258269854908276	0.553100480135105	0.3493896886418886	0.3302457801715234	0.2399934254097446	0.5153409983541687	0.2481370716262797	0.4254613790645619	0.330726463816453	0.4063420180091499	0.1954057870804425	0.5069555667371145	0.8234816642092712	0.3033923874873689	0.4410627051880415	0.2451570813805372	0.3764661154369965	0.5191128151737771	0.3326721058837171	0.6075972428770419	0.2372556852105375	0.5998412593027317	0.2273959718491728	0.272117509824239	0.49461560593026	0.53568139446622	0.3281539133121703	0.4022491880392679	0.6910936648871849	0.2786346588677746	0.6027812645989371	0.4746836673769614	0.5093156924334795	0.5741965793983607	0.410854289758897
ec1362	0.5774662447068155	0.5605566501568281	0.3593356318613012	0.4550839038127435	0.5373888662623912	0.140606391522989	0	0.3882139141751204	0.5393981600589728	0.3231035875870231	0.3543800760397589	0.2739979421176864	0.4843905915010442	0.196456581110529	0.3628389474638628	0.2937883279032658	0.4122970738131525	0.1345805791801045	0.4806893203725661	0.820237976347767	0.3019895852364526	0.3925469520100455	0.1737358902100408	0.3309083199842843	0.4920508048708921	0.2826057654503462	0.5937863968743019	0.1853526210925236	0.5953704002084321	0.1803699835874365	0.2070121458363272	0.4952574767316176	0.4991301547682093	0.272067752265161	0.4106678025240475	0.6972435122732694	0.2713716453566542	0.5762908522570509	0.4417653878117876	0.4801793266927742	0.5581227115821548	0.379053144515733
ec1378	0.6177174573066441	0.6741445534433989	0.2933358789184576	0.3599638023192044	0.619806263396139	0.4258269854908276	0.3882139141751204	0	0.4429535856489986	0.3895670014617259	0.5211238435376421	0.4866803521597583	0.5793569673830822	0.3844101329599408	0.4868925064612967	0.403323024177868	0.5180435379065326	0.338755582162769	0.2659164357885216	0.8266892926295374	0.4592030471298457	0.2253479567888633	0.4056863678928563	0.5044017515512551	0.3871241906663961	0.5135939844834674	0.6717577647178306	0.386964568356817	0.5306376735344928	0.4033259951774916	0.4247890672969487	0.5447647420212557	0.5849516740453721	0.4201662016511367	0.5060381703416598	0.6359469967655075	0.4962550448302498	0.553664504269495	0.5507222183297488	0.5666175581055938	0.4968071654669841	0.2978980380138102
ec1393	0.5766997291065117	0.6150030242064605	0.4536354633458966	0.431256622273238	0.5924801123646382	0.553100480135105	0.5393981600589728	0.4429535856489986	0	0.5738757226291502	0.5811655674913657	0.5196910521659676	0.5947105438290778	0.5497390781851915	0.5845148065314195	0.5549129689316078	0.5826923466694008	0.5414760442332255	0.519920989851255	0.808479986607731	0.6234898257865122	0.4658173580392278	0.5326781372657017	0.5461646878770895	0.5519472647001366	0.5308990532371638	0.6732991146163371	0.5882972168853501	0.5907321932047259	0.5160804697085759	0.5432609996688401	0.5909384734115882	0.6009626956909666	0.5815513563167308	0.6114337163195315	0.6204436486214241	0.569746914237942	0.5709197186997079	0.6376926161883001	0.6172692055411305	0.5610530867113055	0.4030395333612713
ec1396	0.6062221114182135	0.6428280615694419	0.4491649465275524	0.504191378840352	0.5474647275177599	0.3493896886418886	0.3231035875870231	0.3895670014617259	0.5738757226291502	0	0.5124562065656267	0.46292846540314	0.3779255633239813	0.3223735696170321	0.470714545733295	0.4021671813020403	0.2677180220662637	0.3518912085670365	0.4630181326987525	0.8099179474503498	0.4060526050435602	0.4060025776131794	0.4012097393137247	0.4916066362635554	0.4864851730092671	0.4535801690567918	0.6440027349987716	0.3154413823343062	0.6027497587018258	0.4026150635318038	0.4195614753747373	0.3185363798988951	0.5837988244875268	0.4055413661659116	0.5003444764268843	0.7057790793359903	0.4530516587359504	0.6196041581959351	0.5134831380788631	0.5549566109408952	0.4224188538855495	0.4386902098768798
