	ec1058	ec1059	ec1065	ec1073	ec1075	ec1078	ec1084	ec1091	ec1092	ec1094	ec1098	ec1100	ec1108	ec1113	ec1116	ec1122	ec1124	ec1129	ec1132	ec1133	ec1138	ec1140	ec1149	ec1249	ec1265	ec1314	ec1346	ec1349	ec1361	ec1362	ec1377	ec1378	ec1393	ec1396	ec1400	ec1409	ec1411	ec1420	ec1424	ec1425	ec1427	ec1438	eti111	eti114	eti123	eti135
ec1058	0	0.6012162609460072	0.614531123698157	0.5853889138704466	0.5570975994617647	0.5938199752808395	0.5854220279511544	0.6200721523454227	0.5832458927681138	0.5897862476964479	0.5992753958459562	0.5793427289978146	0.5587146718316912	0.5826418700272523	0.6018578115356097	0.6213519418255828	0.6119585210915873	0.664353520044023	0.5768648771013075	0.6009603826592763	0.6293593056989852	0.6034841067904203	0.6082261448314262	0.8104235554624507	0.8247390712181276	0.8751858396660792	0.8578547649916342	0.8364394264029287	0.8688929563088725	0.8690122496880043	0.8179316688913641	0.8752682429035215	0.86271249458916	0.8745618336610513	0.8353606224103144	0.8622083324154246	0.8388487603093771	0.8685966917950051	0.844077918378548	0.8457025932405154	0.8717072915372145	0.8750270551344052	0.7752126075826563	0.839878290923691	0.8473707905091999	0.8141739658517229
ec1059	0.6012162609460072	0	0.6757083794697719	0.5864606882138969	0.5597547844364544	0.624208565574995	0.6265320170693132	0.5609677980164613	0.6618739136627383	0.6202212511158934	0.545850372972995	0.6323115094620014	0.5769320430768536	0.6860169884407064	0.6689866303292019	0.5459786057068567	0.6883780776441394	0.6920803677742642	0.6061364980309498	0.6142547041700166	0.5781050109271948	0.6220211221973394	0.5892037177399239	0.8308697617365988	0.8469475487606691	0.8922474078246828	0.8677161397832772	0.852291062978595	0.8850969896691252	0.8851798394267284	0.8210227377713017	0.8955992240374222	0.8651779541154709	0.8841498249093631	0.8613538509477017	0.8783891100330243	0.8395433219445145	0.8902808926427934	0.8630231343455365	0.872112062303144	0.8850625538766161	0.8900525786944933	0.8016269591661751	0.8623800592905196	0.8728379327352731	0.8472239689379176
ec1065	0.614531123698157	0.6757083794697719	0	0.6573273226165451	0.6381926487997561	0.6469780837417306	0.6334065549570769	0.6559757736378947	0.6141962754008878	0.6509615520365277	0.6466408307838665	0.6191540898136851	0.6496735729808009	0.615561578641698	0.6017906503182822	0.6682938940718393	0.6614591015929584	0.605095858987279	0.6453550410710074	0.6311991295527822	0.6783243470144128	0.6473609345762499	0.6515202444947175	0.8090060723903526	0.8259698008123633	0.8781281219945916	0.8081830912506019	0.831013180731013	0.8673466592302335	0.8657626457078608	0.753377669371973	0.8740219809397105	0.8193693895496447	0.859716463302916	0.847440844605354	0.862179983394266	0.8161589829954641	0.866709808323272	0.8364578180223352	0.8457294050445721	0.8591065011499578	0.8724576164423441	0.7640122300775248	0.8460254952358212	0.8524530098584815	0.8228277276204257
ec1073	0.5853889138704466	0.5864606882138969	0.6573273226165451	0	0.6082138495115746	0.5825699543198923	0.6113647104569597	0.6086046700945444	0.6102384118215328	0.6600443857992253	0.6123953604555266	0.6169558793632252	0.606497093591002	0.6213500664618956	0.6293380599089363	0.6455816179528242	0.6243965306983257	0.6614786522862126	0.5905721342862349	0.6478220706511258	0.6568487384540651	0.5812545539765289	0.6253040455569121	0.8197205269056541	0.8190463464542603	0.868667139141863	0.8503255454679889	0.8312269609727159	0.8683857389696645	0.8685003919334491	0.81967201578126	0.8742182491026238	0.8539319406982337	0.8799695516872261	0.8374637460023711	0.8482978832351701	0.8327400089852733	0.8745391895579612	0.8373513087755797	0.8525943394229705	0.8789138587815146	0.8675447662674826	0.7645702935176657	0.8433450144550346	0.8469174408868468	0.8126894156550468
ec1075	0.5570975994617647	0.5597547844364544	0.6381926487997561	0.6082138495115746	0	0.5951514830195149	0.6243371382365239	0.5968935132306271	0.5995821945700308	0.5914484976426126	0.5620715319509857	0.6336594082783283	0.5958061255425187	0.6395974462544476	0.6094637539891515	0.593048861891838	0.6338001935690192	0.6581813604019479	0.6059203211627304	0.5780233753583685	0.6249329091923085	0.5759052816265781	0.5868281332267371	0.7973064787614921	0.8081706766006158	0.8626172899792766	0.845110146145617	0.8145874849130074	0.8556772237110348	0.855815542801054	0.797937777277382	0.8693141446206482	0.8507724794621631	0.868885033447767	0.820639765618548	0.8483145842075155	0.8128977841451361	0.8623537041919547	0.8290990495049388	0.8384325629217418	0.8659390095192758	0.8620287406639884	0.7448534314791782	0.824076773255684	0.8366718481003037	0.8011971528981655
ec1078	0.5938199752808395	0.624208565574995	0.6469780837417306	0.5825699543198923	0.5951514830195149	0	0.5518199025445533	0.6419786917647288	0.5761851743141209	0.6227117333864374	0.6020366286898561	0.5470830034735534	0.5784198310917357	0.5790578208897706	0.6068923573481462	0.6589576240136229	0.5785959329653229	0.6613369736490244	0.6106568293877797	0.590163901586886	0.6924353799703135	0.5930825767146687	0.5814863627239907	0.8154534252637419	0.8164223701145048	0.8712430409218654	0.853875680453126	0.8199120892219142	0.860388591914045	0.8605180316970618	0.8119596804917711	0.8736321251769739	0.8531616172876899	0.8729992325061595	0.8389342937268784	0.8398049780924816	0.824354079092778	0.8668809232781989	0.8346457149977035	0.8452000769207159	0.8742608297764343	0.8665699128227639	0.7572331476404709	0.8324859272422347	0.8435046239414703	0.8168547190887839
ec1084	0.5854220279511544	0.6265320170693132	0.6334065549570769	0.6113647104569597	0.6243371382365239	0.5518199025445533	0	0.6441463964179353	0.5231980059808069	0.636377749861897	0.6046403338513908	0.500020473930897	0.5748638847557893	0.5702013239030714	0.6178597031240769	0.6521922736228273	0.5273054334926593	0.6402943052171897	0.5638785223124433	0.6161297610983973	0.6515968584829217	0.6075938024446609	0.5991327827876797	0.8301994029501309	0.8355158978684748	0.8791366631274569	0.8618703990428443	0.8386958363041807	0.876697667425134	0.8750533726213489	0.8238506262501789	0.8861032682552092	0.8656981279356282	0.8865411452489135	0.8524818763899011	0.8675454956833504	0.8415354217875554	0.880346216652962	0.8540352995973025	0.8596555722088134	0.8800392878126272	0.8803027500414566	0.7896582883962801	0.8473775036821005	0.8664456850447906	0.8314104966858878
ec1091	0.6200721523454227	0.5609677980164613	0.6559757736378947	0.6086046700945444	0.5968935132306271	0.6419786917647288	0.6441463964179353	0	0.6563045386412271	0.6044620059515208	0.5881102862156836	0.6220823623534794	0.6051096743027353	0.6758684719679126	0.6569601685736212	0.5897413808191982	0.6771152295587205	0.7082950336140799	0.5886040908743314	0.6242210967761437	0.5783234531071813	0.6071651514624139	0.5932904092678886	0.8235710180937791	0.821368038299879	0.8793628300718839	0.8603169691677705	0.8357795760016894	0.8768242213557551	0.8769301029915197	0.8151244705179976	0.8819586185605165	0.8702735036824096	0.880974592714423	0.8476282612827983	0.8529638101355266	0.8391567618071404	0.8756266673480763	0.8454276547393019	0.8539336456205335	0.8754964999742962	0.8826769748206272	0.7723300329092709	0.8386759694563005	0.8539070514020194	0.8249878232767364
ec1092	0.5832458927681138	0.6618739136627383	0.6141962754008878	0.6102384118215328	0.5995821945700308	0.5761851743141209	0.5231980059808069	0.6563045386412271	0	0.6478314877825457	0.6288291933948683	0.5381262430556647	0.6173825329205801	0.5151478912037595	0.5575003964826776	0.6847678440763282	0.4737320854808587	0.5901725208519886	0.6105911546329085	0.6139925948080374	0.6793417974199173	0.5810584833199227	0.6324602934221406	0.8134788655623728	0.8189614135327097	0.8683444567524407	0.8508898122774239	0.8209752511896121	0.8601278356929147	0.858300185541504	0.7981250576008433	0.8712844877801346	0.8539182204747832	0.8715267925679268	0.8377405635433265	0.8524560375897939	0.8218593394703203	0.8640133576145623	0.8339249467677724	0.8503169728487375	0.8681428114092186	0.8649399925582776	0.7708404219932202	0.8290416987057905	0.8528778789932494	0.8160953681415851
ec1094	0.5897862476964479	0.6202212511158934	0.6509615520365277	0.6600443857992253	0.5914484976426126	0.6227117333864374	0.636377749861897	0.6044620059515208	0.6478314877825457	0	0.6086190375093292	0.6188511018852504	0.5945582075418767	0.6700728561031819	0.6328898476703051	0.5770753332402919	0.6721471629750634	0.7173064278194754	0.6300448310342153	0.5776528411302668	0.6323590589551745	0.6769541005439983	0.5985899929336134	0.841135820402738	0.8516254891438878	0.8936433315283993	0.8773543171469315	0.8542865471011964	0.8906192391951225	0.8907012739838673	0.8352603538723707	0.8963663700087944	0.8876478579834017	0.8938914162817481	0.8606085199907511	0.8790509720376573	0.8593657003531018	0.8897394038327128	0.8643237489641816	0.8732476375918731	0.8890527097283168	0.8968653580133726	0.8022917207199037	0.8632453642084088	0.8705113069494238	0.846048910158089
