	ec1314	ec1322	ec1346	ec1354	ec1361	ec1369	ec1378	ec1386	ec1393	ec1396	ec1401	ec1404	ec1409	ec1411	ec1417	ec1419	ec1425	ec1433	ec1438	eti110	eti114	eti122	eti123	eti124	eti126	eti135
ec1314	0	0.4708576035217316	0.2309721479335221	0.415220335343108	0.3324873226255523	0.4048199406599113	0.4100463155156525	0.5417914759974896	0.4510608112692742	0.4276999865966189	0.5437176030910649	0.3378239896254777	0.4225100781396788	0.5221714103430829	0.5828372120808292	0.4305000239314159	0.502585918556671	0.4952561980569585	0.3725811873124279	0.4163338368092553	0.5405852062346701	0.3549364152217158	0.4517137989527866	0.4120730323683988	0.4635893273285017	0.5144772107050321
ec1322	0.4708576035217316	0	0.4846980570760907	0.5348544292859808	0.3562192906271572	0.2461170899653769	0.2440970731649322	0.3965864755047704	0.5362075427893752	0.2791696271054478	0.610463070624768	0.4761123131952818	0.3812874563149238	0.5549985720711293	0.5729720246634228	0.4358867906602272	0.4740174190574679	0.3846493353140629	0.2722188711342096	0.2810864882906202	0.3728023862746034	0.3530898491441271	0.328591613405578	0.259617676211974	0.3466793817228175	0.407776172701479
ec1346	0.2309721479335221	0.4846980570760907	0	0.4161196009764386	0.432323302729067	0.4882117749310994	0.4689729992986405	0.5907556065909663	0.4463982709850058	0.4915162205336967	0.5070965891942124	0.3987272275950728	0.5149668022825657	0.5451425370557734	0.5528967942488937	0.4798113832517359	0.4794500926649807	0.5455046256292506	0.4379221617284308	0.5057107078532598	0.5758710401645917	0.4588650705998951	0.539625373794151	0.4966891627119924	0.5398365069026961	0.5044066903864342
ec1354	0.415220335343108	0.5348544292859808	0.4161196009764386	0	0.5367992088339394	0.5462314906427441	0.584052763683197	0.4668593485288854	0.5341907890090913	0.556732555220256	0.4435464956447654	0.4879804716411681	0.4256617336044715	0.419186020031728	0.4651272085806391	0.5729366371080193	0.5914970736234888	0.4493861896421712	0.5577026836579735	0.5836600932756563	0.4337987734244201	0.5503526271802091	0.6076703802618628	0.5684124520752967	0.5545058022123805	0.6113019564813361
ec1361	0.3324873226255523	0.3562192906271572	0.432323302729067	0.5367992088339394	0	0.1993809805639549	0.2311270101474025	0.4671882278030118	0.5522563227968906	0.1754448699461119	0.6617881029321727	0.4708720162431288	0.3072638427718272	0.5191494323763203	0.572154633066838	0.3286531631063598	0.4274053135747852	0.3905615644783302	0.178938404037347	0.2716840717103072	0.4161834963523977	0.2759059593060902	0.3356888505282981	0.2746880486752348	0.297634951716018	0.4013687952469838
ec1369	0.4048199406599113	0.2461170899653769	0.4882117749310994	0.5462314906427441	0.1993809805639549	0	0.1026122805552226	0.3852723168914786	0.548965299096121	0.06771805201211918	0.6457496975809662	0.4159091014158296	0.3877478011624435	0.5251470267656438	0.5821169304766768	0.3032600440311106	0.3673665375065227	0.3731925424080924	0.1465754323047675	0.1580415072330126	0.3357706796241766	0.2649832664987395	0.2194261863107143	0.131616476396514	0.1753344780211391	0.3998320549101286
ec1378	0.4100463155156525	0.2440970731649322	0.4689729992986405	0.584052763683197	0.2311270101474025	0.1026122805552226	0	0.3764031628815229	0.5541138111137847	0.0864374697586472	0.6352728619003126	0.3893510551746991	0.3950267039114728	0.5621178861550362	0.6137411234613727	0.3299057518235649	0.3946156711010984	0.3663773947368301	0.07234757751040352	0.135906263906906	0.377727701234905	0.264596479907627	0.2118524736126751	0.1154562442165217	0.2456119973334824	0.3726710449369849
ec1386	0.5417914759974896	0.3965864755047704	0.5907556065909663	0.4668593485288854	0.4671882278030118	0.3852723168914786	0.3764031628815229	0	0.5494614274450121	0.4058210714631961	0.5375253608034963	0.5103885701170522	0.2942498403139553	0.4976819932180925	0.5658755254055299	0.5219064318679915	0.5485278213483777	0.2343416692882454	0.3965205657140163	0.4048842984493769	0.2714734734804783	0.4383693418814789	0.4411328211535253	0.3726143543730548	0.4181347360262632	0.5234928487453919
ec1393	0.4510608112692742	0.5362075427893752	0.4463982709850058	0.5341907890090913	0.5522563227968906	0.548965299096121	0.5541138111137847	0.5494614274450121	0	0.5572571710117893	0.579277543543531	0.491830766792254	0.5490188560700872	0.5969749902225134	0.6069670357228109	0.5775484595777969	0.559369235481162	0.5048452954177872	0.5315872621174742	0.55934061390859	0.5728435539123633	0.5646210540059204	0.5857133263019901	0.5588703253474452	0.5851676147696978	0.6048614334090109
ec1396	0.4276999865966189	0.2791696271054478	0.4915162205336967	0.556732555220256	0.1754448699461119	0.06771805201211918	0.0864374697586472	0.4058210714631961	0.5572571710117893	0	0.6377933082116742	0.4126609752427848	0.4035590765642109	0.5402107185727482	0.5982529320505818	0.3046195362785588	0.3731250498391028	0.3825203087431028	0.1433274288777549	0.1730529662065735	0.3611177939737583	0.283964479033684	0.2460851492605716	0.1632011445544632	0.1998765898488541	0.4006625572691983
