	ec1314	ec1322	ec1346	ec1354	ec1361	ec1369	ec1378	ec1386	ec1393	ec1396	ec1401	ec1404	ec1409	ec1411	ec1417	ec1419	ec1425	ec1433	ec1438	eti110	eti114	eti122	eti123	eti124	eti126	eti135
ec1314	0	0.06518724847156279	0.1080465718890395	0.3198653142323831	0.02784974425202588	0.0352547980285027	0.04537427453575874	0.4520375330429955	0.1307691208815761	0.03902660876555535	0.3585989665626112	0.0292952131528013	0.0596219612359412	0.05168063845159522	0.3134993531056328	0.2425095871919764	0.03565982784013579	0.2578055411811969	0.3408199692936237	0.03783933939285464	0.04660255725086984	0.06085201913309144	0.03855445804637258	0.1481177836078836	0.04482376001620701	0.0421498773305535
ec1322	0.06518724847156279	0	0.07982387993538022	0.3025606122874513	0.06070567338794215	0.06164134527374455	0.07741956362716208	0.4462184392426212	0.08224122200121088	0.07292740172910933	0.3192209460363605	0.05188813574633742	0.06698206357500638	0.05554278454275554	0.2622566718785067	0.1993132973674038	0.06454759998084721	0.2525986741563349	0.3413926760309925	0.07650632112920344	0.07997370059859968	0.02839474606072503	0.07991209820049552	0.1179205808804675	0.04218224008182923	0.0551171415784609
ec1346	0.1080465718890395	0.07982387993538022	0	0.2914671106925118	0.1010325584223183	0.1095867528125996	0.1148677056502699	0.4547578169501064	0.06605235290386931	0.1107889082033084	0.2727361721451842	0.09854275135395713	0.09980922226197973	0.08753434506901177	0.2570738914505081	0.1839502216995258	0.1170067377841589	0.2613943410667011	0.3413819568450321	0.1160280954597291	0.1189679780835967	0.07989239498271716	0.1191942681620609	0.1008486173815691	0.09691286003572659	0.09722061420208275
ec1354	0.3198653142323831	0.3025606122874513	0.2914671106925118	0	0.3218522262393077	0.3219867250747067	0.3415249808282556	0.5749862260429653	0.28631454417826	0.3317142254748388	0.4016247027834877	0.3167923828872145	0.3174277744887643	0.3093665750455046	0.3896261493230986	0.3589235489586881	0.319308383971206	0.3845584824452337	0.4583062788412666	0.333521254995953	0.331050954744158	0.3127770296829395	0.3361527209717421	0.3030287097429116	0.3160558178525384	0.3175289365949046
ec1361	0.02784974425202588	0.06070567338794215	0.1010325584223183	0.3218522262393077	0	0.0171190516577264	0.02642636296276616	0.4503592585211219	0.1294383994860429	0.02131192157484484	0.3572524374495167	0.01943424097299837	0.05140541196541783	0.04118442879817651	0.3081019022024366	0.2342023441811896	0.02735306591681732	0.2575006431562839	0.3449544390617291	0.0236295572581085	0.02996776958629327	0.05586522752115981	0.0275105231832898	0.1380718055944829	0.03575417106347638	0.02710214314280211
ec1369	0.0352547980285027	0.06164134527374455	0.1095867528125996	0.3219867250747067	0.0171190516577264	0	0.02944260080453606	0.4548834558219262	0.1282286251513549	0.02213446388833614	0.3627194407125568	0.02271708353417218	0.05988083026926069	0.04669398400474694	0.307866203557755	0.2354270223192192	0.02800783187033184	0.2605087041887376	0.3512962507402284	0.02475261138518818	0.0295538257123242	0.05417009441913212	0.02955432556176647	0.1401962034646611	0.03297569164031208	0.03124541363269278
ec1378	0.04537427453575874	0.07741956362716208	0.1148677056502699	0.3415249808282556	0.02642636296276616	0.02944260080453606	0	0.4550417111024727	0.1469104474789088	0.01317568298881374	0.3640487900935316	0.03607673232233149	0.0547905203979898	0.05101139844697367	0.325605665959357	0.2497779383296167	0.04605552737704825	0.268761595724584	0.3538392468639455	0.03086940266318943	0.02250833230869015	0.07472616620791159	0.03440707190419355	0.1440132882681706	0.05274116564601014	0.04345358808750321
ec1386	0.4520375330429955	0.4462184392426212	0.4547578169501064	0.5749862260429653	0.4503592585211219	0.4548834558219262	0.4550417111024727	0	0.460319433765244	0.4527280389297496	0.47224182152024	0.4501465136223738	0.4474615236980194	0.4512678209024902	0.4380999823488036	0.430026933141355	0.4585060983008266	0.2529152320868953	0.3530608907794606	0.4604862168245591	0.4591683913061131	0.4474147213396565	0.4625275137873052	0.4284440703786669	0.4512979593813072	0.4503118501786247
ec1393	0.1307691208815761	0.08224122200121088	0.06605235290386931	0.28631454417826	0.1294383994860429	0.1282286251513549	0.1469104474789088	0.460319433765244	0	0.1423457945057706	0.2939637427269455	0.1176711876429478	0.1352540190993519	0.1240831931271919	0.2657600997646288	0.2072747554942737	0.1265848788916643	0.2779349802704115	0.3582704055863316	0.1468198625231414	0.1494309512359187	0.09212813419834631	0.1502712429571896	0.1400825346929399	0.1061342353775022	0.1210479867841039
ec1396	0.03902660876555535	0.07292740172910933	0.1107889082033084	0.3317142254748388	0.02131192157484484	0.02213446388833614	0.01317568298881374	0.4527280389297496	0.1423457945057706	0	0.3618956388780399	0.03105078745440624	0.04839577151609951	0.04386593609216399	0.3196830009940118	0.2417242009922281	0.03839496650638135	0.2622805355145553	0.3501974517426432	0.02730122113786668	0.01923230975662395	0.06836517136387374	0.03061543394559314	0.1398984254304269	0.04631993859545028	0.03829013324435102
