	ec1306	ec1322	ec1341	ec1350	ec1353	ec1354	ec1357	ec1367	ec1369	ec1382	ec1384	ec1386	ec1398	ec1401	ec1403	ec1404	ec1412	ec1417	ec1419	ec1430	ec1433	ec1441	ec1449	ec1450	ec1460	ec1468	ec1490	ec1492	ec1497	ec1498	ec1500	ec1505	ec1508	ec1514	ec1524	ec1526	ec1530	eti122	eti124	eti126	eti149	eti153	eti154	eti156	eti161	eti165	eti166	eti167
ec1306	0.0	0.564	0.774	0.682	0.772	0.85	0.936	0.832	0.872	0.506	0.486	0.912	0.448	0.814	0.69	0.82	0.628	0.908	0.908	0.416	0.892	0.994	0.978	0.972	0.944	0.96	0.902	0.838	0.902	0.98	0.912	0.948	0.972	0.938	0.98	0.948	0.918	0.608	0.37	0.44	0.994	0.878	0.882	0.962	0.922	0.928	0.934	0.88
ec1322	0.564	0.0	0.594	0.538	0.606	0.45	0.82	0.474	0.748	0.604	0.582	0.912	0.614	0.874	0.548	0.624	0.396	0.596	0.794	0.532	0.836	0.994	0.978	1.0	0.94	0.944	0.802	0.898	0.796	0.99	0.576	0.902	0.936	0.906	0.96	0.67	0.914	0.582	0.594	0.54	1.0	0.944	0.572	0.904	0.76	0.694	0.572	0.6
ec1341	0.774	0.594	0.0	0.808	0.748	0.682	0.88	0.602	0.786	0.906	0.804	0.994	0.91	0.67	0.8	0.674	0.64	0.568	0.77	0.84	0.912	0.994	0.978	1.0	0.99	1.0	0.846	0.97	0.724	0.996	0.74	0.94	0.98	0.976	0.994	0.618	0.924	0.89	0.888	0.818	1.0	0.98	0.726	0.956	0.706	0.75	0.648	0.582
ec1350	0.682	0.538	0.808	0.0	0.648	0.764	0.76	0.722	0.748	0.618	0.632	0.916	0.672	0.968	0.55	0.334	0.556	0.812	0.618	0.626	0.576	0.992	0.984	1.0	0.954	0.948	0.782	0.9	0.836	0.982	0.796	0.928	0.932	0.906	0.93	0.84	0.896	0.49	0.598	0.6	0.992	0.934	0.774	0.94	0.786	0.798	0.812	0.752
ec1353	0.772	0.606	0.748	0.648	0.0	0.694	0.782	0.652	0.698	0.736	0.698	0.938	0.798	0.952	0.598	0.608	0.636	0.744	0.774	0.738	0.838	0.99	0.978	0.992	0.852	0.88	0.608	0.732	0.812	0.978	0.69	0.86	0.83	0.836	0.916	0.796	0.882	0.566	0.712	0.704	0.992	0.794	0.584	0.95	0.64	0.614	0.762	0.606
ec1354	0.85	0.45	0.682	0.764	0.694	0.0	0.866	0.496	0.778	0.834	0.812	0.952	0.852	0.926	0.74	0.726	0.594	0.596	0.822	0.744	0.896	0.988	0.976	0.976	0.926	0.96	0.812	0.922	0.78	0.986	0.576	0.886	0.976	0.942	0.98	0.672	0.914	0.79	0.832	0.754	0.998	0.95	0.602	0.902	0.748	0.708	0.49	0.608
ec1357	0.936	0.82	0.88	0.76	0.782	0.866	0.0	0.728	0.804	0.862	0.904	0.982	0.914	0.968	0.658	0.796	0.86	0.884	0.814	0.87	0.844	0.998	0.996	1.0	0.984	0.88	0.786	0.888	0.892	0.986	0.812	0.982	0.714	0.824	0.538	0.894	0.9	0.836	0.842	0.884	1.0	0.962	0.758	0.998	0.872	0.784	0.89	0.858
ec1367	0.832	0.474	0.602	0.722	0.652	0.496	0.728	0.0	0.764	0.744	0.754	0.956	0.862	0.936	0.668	0.686	0.576	0.598	0.778	0.734	0.892	0.994	0.978	1.0	0.958	0.864	0.746	0.838	0.71	0.98	0.516	0.874	0.7	0.796	0.812	0.614	0.862	0.754	0.816	0.736	1.0	0.934	0.448	0.898	0.666	0.572	0.6	0.502
ec1369	0.872	0.748	0.786	0.748	0.698	0.778	0.804	0.764	0.0	0.862	0.83	0.978	0.874	0.962	0.75	0.71	0.724	0.762	0.776	0.808	0.862	0.994	0.976	1.0	0.976	0.916	0.804	0.89	0.82	0.988	0.818	0.914	0.924	0.92	0.946	0.85	0.904	0.802	0.84	0.804	0.994	0.918	0.776	0.946	0.784	0.826	0.832	0.758
ec1382	0.506	0.604	0.906	0.618	0.736	0.834	0.862	0.744	0.862	0.0	0.474	0.912	0.516	0.922	0.594	0.782	0.578	0.898	0.88	0.454	0.888	0.994	0.978	1.0	0.906	0.886	0.74	0.836	0.916	0.986	0.742	0.89	0.83	0.79	0.902	0.93	0.874	0.57	0.506	0.404	0.994	0.888	0.708	0.974	0.82	0.72	0.912	0.79
