	ec1306	ec1322	ec1341	ec1350	ec1353	ec1354	ec1357	ec1367	ec1369	ec1382	ec1384	ec1386	ec1398	ec1401	ec1403	ec1404	ec1412	ec1417	ec1419	ec1430	ec1433	ec1441	ec1449	ec1450	ec1460	ec1468	ec1490	ec1492	ec1497	ec1498	ec1500	ec1505	ec1508	ec1514	ec1524	ec1526	ec1530	eti122	eti124	eti126	eti149	eti153	eti154	eti156	eti161	eti165	eti166	eti167
ec1306	0	0.4811293147347573	0.4562314556854385	0.513361642120629	0.4705169246702774	0.4826318017204416	0.4792915480210218	0.4972030407269002	0.479695984284907	0.5649033000545626	0.5191152125778554	0.3106686285552648	0.2730473195195123	0.5019580086284835	0.4887216973017341	0.3765549630049417	0.5556111623392098	0.6190791833462256	0.502108468199297	0.4752667796721846	0.4613327528625178	0.7935725406302362	0.7906906732892994	0.4608304427368619	0.6763470649304643	0.5159512100184623	0.5157948286842835	0.5198964230905898	0.4674777630711998	0.6011817672464858	0.5295611025776009	0.494088300695579	0.5660412107864559	0.5168448009707444	0.5035079767212217	0.4338065305654228	0.6896909439234269	0.5361976657382312	0.5065510049508349	0.5214900407980526	0.5879425306413325	0.5635730209388996	0.5117462461420494	0.661326585422397	0.5470972089562326	0.6215855684219566	0.5030720481129196	0.3636692934476329
ec1322	0.4811293147347573	0	0.4427458962699179	0.452682308516208	0.5926623356408511	0.5949542854726636	0.2715054546210874	0.3949830560626925	0.2567008426355385	0.4078346226445767	0.3387826678238983	0.4632268921042951	0.3968646419706456	0.6104630706247681	0.2687103188066874	0.4401095594882426	0.3485519001882571	0.606173545966239	0.2935451725873067	0.2411200070973658	0.5011885272673952	0.8535088515530831	0.8110066862911615	0.6069646230931397	0.6905295814714966	0.3149369679154013	0.4102606154995136	0.3287871353461553	0.5799550239863251	0.7002640541241779	0.3468404818909671	0.2919657504650818	0.4648547377172984	0.3130104156551706	0.2933211453259499	0.5057614909904269	0.7367095983161224	0.3668005928260362	0.3174966227142306	0.338645594708991	0.6800086217998701	0.4983075592087046	0.2599252202703919	0.6752103150596392	0.4402079817661913	0.5270170768189357	0.6072078173557121	0.4911718680946573
ec1341	0.4562314556854385	0.4427458962699179	0	0.4817270037392193	0.5862070988818762	0.4844288296664722	0.4077593410642551	0.4512482497831612	0.3896719662653892	0.5315102549757608	0.4516484890052185	0.4699435014266209	0.4208822213466347	0.6118127666750476	0.4034552325735591	0.4632670083065201	0.4911505045561846	0.6221834833930421	0.4189157508403611	0.3827330706324722	0.5668573667624761	0.8367892202202238	0.7960279868227141	0.5927679463963023	0.6975927755039742	0.4506059963066801	0.4621574018636854	0.459232130950832	0.5723000195337813	0.6969711168078022	0.4715418452609886	0.407941668391992	0.5675389980225719	0.4517747464755873	0.4383988227496564	0.5043887950224339	0.7266405674547087	0.4801806327706414	0.4418319627075627	0.4616179513573813	0.6792173803037324	0.5552282356085608	0.4851462619108907	0.6796646854198826	0.5174357356988175	0.5945091025591023	0.4491024746844334	0.5069052320546312
ec1350	0.513361642120629	0.452682308516208	0.4817270037392193	0	0.5149929340779373	0.5837050224335566	0.3709638198535055	0.3461629107375093	0.3591347197613267	0.4341344322006727	0.2785362379960905	0.5412258536573898	0.5046672350949257	0.6706287417028149	0.3665690715627516	0.4634926775302293	0.4629806051956648	0.5744872220710945	0.3438203182270087	0.4019279441347229	0.5836353987200021	0.824509863578149	0.7849560840425723	0.6188630898643271	0.6639576968747248	0.3659320357271792	0.4066865520824233	0.3741379677046828	0.5717555231984927	0.6361585065913495	0.3901040280686834	0.3894981184896245	0.5265428473344174	0.4366752373806901	0.4329943696875929	0.5515789801140045	0.6821714048889215	0.3096384948664286	0.3854185176672812	0.4201449282083056	0.6368755944706651	0.4113925450570624	0.4543836592591829	0.6397680819707255	0.4112418442130423	0.5601845355706888	0.6239171142193731	0.4893412711044285
ec1353	0.4705169246702774	0.5926623356408511	0.5862070988818762	0.5149929340779373	0	0.4567583570037823	0.5797093617084492	0.5696589644918405	0.5830064393648202	0.4834905388508405	0.5610595539519252	0.4901346301013166	0.4543592600909236	0.4986454919516496	0.5878656957418501	0.4254813520241955	0.4922261598319274	0.5549683807161603	0.5926009588631382	0.6108623735534809	0.4328518206059501	0.7204964430726054	0.7474795740135464	0.5496112792148895	0.5977211361715642	0.5905329854130031	0.5804319841303992	0.5742405253877848	0.5101057527557339	0.5671144990924938	0.5879112790122246	0.5974994088020059	0.5765720518114102	0.6134363628228531	0.6172352862332231	0.5235362874879633	0.6458591634132967	0.5588497935981235	0.5826795621683688	0.6011303219325793	0.5159781984456684	0.6317498997822583	0.5752658800789475	0.6215249115013141	0.5867130628286971	0.6465975301738757	0.477427821194175	0.4431819058573935
ec1354	0.4826318017204416	0.5949542854726636	0.4844288296664722	0.5837050224335566	0.4567583570037823	0	0.6099439288162668	0.599539988316614	0.6295077154749189	0.4826017182461059	0.5989087046371301	0.5133118275680486	0.4919064236118186	0.4382760864630905	0.6288646611529898	0.5200861615676787	0.5031501495204139	0.4971531705927797	0.6093457842526082	0.623502303497805	0.4193230027209081	0.7368106214780946	0.7388709934934554	0.5621712777451218	0.5712619968935365	0.6071360424490896	0.6389731391707222	0.6087141563017625	0.5851284729392109	0.5287479129445295	0.6133298341932008	0.635070024854587	0.5335651477633626	0.6491453360125626	0.6508816440954734	0.5737566191074547	0.6079386201011723	0.5740229115081537	0.6162359090028525	0.6517056940900952	0.518614683617437	0.5889895044492413	0.6175260247510261	0.5591283497479419	0.6319821307397971	0.708700334004971	0.3455096884518378	0.5321482057154353
ec1357	0.4792915480210218	0.2715054546210874	0.4077593410642551	0.3709638198535055	0.5797093617084492	0.6099439288162668	0	0.2556356199515108	0.1488554094856144	0.3387715835804815	0.1885904339502312	0.3956013129388428	0.3201924431239254	0.6451027919750327	0.1538268913478322	0.3568943894707436	0.3415108759856974	0.6147564472453517	0.1916706759388885	0.1088330363864953	0.4971648682833588	0.8705235426986024	0.8315029209654957	0.5085910997111803	0.7119708380571077	0.1286491228121988	0.3408863570856546	0.1521994422280749	0.549149179503211	0.7170976969734562	0.1764349518648873	0.1652570263449554	0.522944980927771	0.1731803878748375	0.1728425652191822	0.46836175944685	0.7468092812598447	0.3213525146985326	0.1815324329411144	0.2554222533428365	0.70440446746429	0.4708262891704738	0.3373762554596643	0.6970337548869545	0.3437395517846826	0.4836315945127836	0.6161096806323689	0.4353517973690496
ec1367	0.4972030407269002	0.3949830560626925	0.4512482497831612	0.3461629107375093	0.5696589644918405	0.599539988316614	0.2556356199515108	0	0.3316802144297987	0.3769710148589206	0.2845287838312887	0.4778868630998788	0.4348394212674089	0.6515636018278	0.335961784483185	0.4533322513091892	0.4507004758194976	0.6212469150027845	0.3573122515950437	0.3093811647427508	0.5529080579187526	0.8533436553926853	0.8176291948296904	0.5757577102315542	0.6986720313182824	0.2909852389544622	0.3766264940121525	0.301849563814451	0.5996580866826151	0.6937980210836588	0.3179745361127887	0.3474348756324662	0.4902834726409265	0.3394201341486205	0.337662249061281	0.5496813761146476	0.7225621221259226	0.3134012807291813	0.3040304046245317	0.390141795001861	0.6912075024093277	0.4353944463843717	0.4372767042138571	0.6926726496195517	0.4173684013964993	0.5307767353627646	0.6263246543466593	0.50716307777289
ec1369	0.479695984284907	0.2567008426355385	0.3896719662653892	0.3591347197613267	0.5830064393648202	0.6295077154749189	0.1488554094856144	0.3316802144297987	0	0.3976990977093904	0.181743481443623	0.4013164335844031	0.3235817774899757	0.6427484781388325	0.03126062498628236	0.3346895166976957	0.2554762564296493	0.6164735866760451	0.07952431264959869	0.07498718389324108	0.546866445409395	0.8623693433242543	0.8202548855947359	0.5532711117659986	0.7249357659459902	0.21479473244476	0.3540157157666718	0.2373254289248783	0.4985655375890171	0.7124794475592031	0.2607654158237918	0.05811855559664884	0.5265065330077071	0.2194559457981405	0.1821143516692004	0.4024487782201342	0.7489490097149544	0.3771785554729114	0.2309645204000477	0.1838379948871607	0.6987324466939451	0.5044243773026919	0.2790427871300828	0.6918824272686221	0.3179644621745655	0.4962587931488647	0.5755937401354259	0.3922176474933222
ec1382	0.5649033000545626	0.4078346226445767	0.5315102549757608	0.4341344322006727	0.4834905388508405	0.4826017182461059	0.3387715835804815	0.3769710148589206	0.3976990977093904	0	0.3351753014760778	0.5115294942275026	0.4931587814335748	0.5968663560565834	0.403171234282811	0.500016282940715	0.209623632111423	0.5276407547822505	0.4147499755360245	0.3837353613338763	0.4508761194326538	0.8271251337075037	0.7846314562182827	0.6065442265310516	0.6481902674605499	0.3750937380109776	0.4819426040700537	0.3842719939257639	0.6227733603178499	0.6599477584568672	0.3911618006637251	0.4142957989034103	0.4616260993062438	0.4116757289461115	0.416250700768249	0.5834903862907007	0.6925095176859055	0.3693089486568823	0.3740041492828453	0.4512773448237588	0.6468410482665528	0.5303004791206201	0.445323418336977	0.6432089549778727	0.4622220537143183	0.5720496219765547	0.5681557964668914	0.5489250623922932
