	ec1441	ec1442	ec1444	ec1445	ec1446	ec1449	ec1450	ec1452	ec1453	ec1454	ec1455	ec1457	ec1460	ec1461	ec1462	ec1463	ec1468	ec1469	ec1470	ec1471	ec1479	ec1489	ec1490	ec1492	ec1493	ec1495	ec1497	ec1498	ec1499	ec1500	ec1501	ec1502	ec1503	ec1505	ec1507	ec1508	ec1509	ec1510	ec1511	ec1513	ec1514	ec1515	ec1516	ec1517	ec1518	ec1521	ec1524	ec1525	ec1526	ec1529	ec1533	ec1534	eti145	eti146	eti147	eti149	eti151	eti152	eti153	eti154	eti156	eti160	eti161	eti162	eti164	eti165	eti166	eti167
ec1441	0.0	1.0	1.0	1.0	0.984	0.976	0.998	1.0	0.998	0.996	0.992	1.0	0.854	0.994	1.0	1.0	1.0	0.998	0.998	1.0	1.0	1.0	0.996	1.0	0.99	0.996	0.998	0.968	1.0	0.998	0.996	1.0	1.0	0.994	0.996	0.978	0.998	0.998	0.972	1.0	1.0	1.0	0.988	1.0	0.982	0.984	1.0	1.0	0.998	1.0	0.994	0.996	1.0	1.0	1.0	0.976	0.992	0.99	1.0	1.0	0.982	1.0	1.0	1.0	0.99	0.988	0.996	1.0
ec1442	1.0	0.0	1.0	0.132	0.154	1.0	0.208	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.998	1.0	1.0	0.662	1.0	1.0	1.0	1.0	0.702	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.382	1.0	1.0	1.0	1.0	1.0	1.0	0.94	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99	1.0	0.524	1.0	1.0	0.998	0.884
ec1444	1.0	1.0	0.0	0.902	0.996	0.98	1.0	0.568	0.728	0.892	0.804	0.57	0.942	0.572	0.666	0.73	0.95	0.682	0.44	1.0	1.0	0.71	0.708	0.928	0.44	0.888	0.536	0.976	0.932	0.724	0.678	0.944	0.688	0.85	0.58	0.964	0.654	0.926	0.948	0.604	0.908	0.942	0.938	0.95	0.876	0.932	0.962	0.896	0.694	0.672	0.644	0.662	0.598	0.796	0.49	0.99	0.96	0.89	0.924	0.682	0.84	0.526	0.528	0.758	0.66	0.668	0.518	0.598
ec1445	1.0	0.132	0.902	0.0	0.16	0.99	0.202	0.918	0.934	0.932	0.94	0.904	0.988	0.904	0.912	0.918	0.998	0.906	0.9	1.0	1.0	0.564	0.918	0.984	0.902	0.942	0.6	0.986	0.996	0.938	0.902	0.996	0.92	0.964	0.902	0.998	0.924	0.986	0.992	0.906	0.968	0.996	0.35	0.998	0.93	0.998	1.0	0.952	0.904	0.852	0.92	0.902	0.908	0.938	0.902	0.998	0.982	0.978	0.972	0.92	0.978	0.898	0.902	0.408	0.918	0.936	0.902	0.788
ec1446	0.984	0.154	0.996	0.16	0.0	0.996	0.224	0.998	0.998	0.998	0.998	0.998	0.992	0.994	0.998	0.998	1.0	0.998	0.992	1.0	1.0	0.656	0.998	0.998	0.998	0.994	0.7	0.962	0.996	0.996	0.992	0.994	0.998	0.998	0.998	0.992	0.998	0.994	0.994	0.998	0.998	0.998	0.37	0.998	0.998	1.0	1.0	0.998	0.998	0.938	0.994	0.998	0.998	0.998	0.998	0.982	0.982	1.0	0.998	0.998	0.992	0.988	0.998	0.512	0.992	0.994	0.992	0.88
ec1449	0.976	1.0	0.98	0.99	0.996	0.0	0.998	0.98	0.998	0.992	0.992	0.98	0.998	0.99	0.986	0.99	1.0	0.978	0.98	1.0	1.0	0.98	0.986	0.998	0.972	0.996	0.978	0.986	0.996	0.996	0.978	1.0	0.99	0.978	0.99	0.99	0.98	0.998	0.99	0.98	0.994	1.0	0.994	1.0	0.984	0.986	1.0	0.996	0.984	0.98	0.972	0.986	0.988	0.998	0.984	0.996	0.99	0.968	0.998	0.986	0.986	0.98	0.978	0.988	0.982	0.99	0.98	0.978
ec1450	0.998	0.208	1.0	0.202	0.224	0.998	0.0	1.0	1.0	0.998	0.998	1.0	1.0	1.0	1.0	1.0	1.0	0.998	0.998	1.0	1.0	0.63	0.998	1.0	0.998	0.998	0.67	1.0	1.0	1.0	1.0	1.0	1.0	0.998	1.0	0.998	1.0	1.0	0.998	1.0	1.0	1.0	0.25	1.0	0.998	0.998	1.0	1.0	1.0	0.94	0.998	0.998	1.0	1.0	1.0	1.0	1.0	0.998	1.0	1.0	1.0	0.99	1.0	0.438	0.998	1.0	0.998	0.882
ec1452	1.0	1.0	0.568	0.918	0.998	0.98	1.0	0.0	0.568	0.782	0.638	0.708	0.944	0.456	0.554	0.626	0.902	0.844	0.518	1.0	1.0	0.772	0.71	0.71	0.514	0.886	0.74	0.97	0.804	0.506	0.776	0.786	0.608	0.71	0.442	0.95	0.838	0.908	0.92	0.748	0.764	0.868	0.918	0.934	0.802	0.948	0.914	0.908	0.682	0.76	0.612	0.48	0.554	0.79	0.664	0.994	0.952	0.88	0.79	0.518	0.888	0.734	0.676	0.73	0.742	0.624	0.632	0.53
ec1453	0.998	1.0	0.728	0.934	0.998	0.998	1.0	0.568	0.0	0.742	0.564	0.838	0.928	0.57	0.696	0.52	0.626	0.936	0.588	0.998	1.0	0.71	0.566	0.576	0.6	0.87	0.872	0.99	0.542	0.42	0.77	0.694	0.592	0.914	0.454	0.682	0.938	0.87	0.668	0.756	0.634	0.504	0.856	0.668	0.562	0.876	0.632	0.822	0.706	0.706	0.326	0.544	0.382	0.548	0.71	0.99	0.966	0.934	0.758	0.21	0.992	0.87	0.744	0.676	0.798	0.416	0.638	0.556
ec1454	0.996	1.0	0.892	0.932	0.998	0.992	0.998	0.782	0.742	0.0	0.532	0.932	0.684	0.822	0.794	0.784	0.904	0.932	0.762	1.0	1.0	0.818	0.764	0.8	0.85	0.928	0.92	0.99	0.836	0.628	0.688	0.854	0.882	0.77	0.704	0.928	0.944	0.922	0.818	0.736	0.84	0.844	0.934	0.94	0.832	0.37	0.94	0.248	0.92	0.788	0.784	0.822	0.67	0.636	0.732	0.99	0.978	0.988	0.206	0.744	0.994	0.924	0.738	0.846	0.878	0.536	0.924	0.812
ec1455	0.992	1.0	0.804	0.94	0.998	0.992	0.998	0.638	0.564	0.532	0.0	0.85	0.706	0.772	0.602	0.632	0.806	0.94	0.618	1.0	1.0	0.796	0.672	0.7	0.766	0.886	0.88	0.994	0.766	0.386	0.584	0.828	0.792	0.774	0.52	0.828	0.95	0.938	0.708	0.716	0.592	0.792	0.93	0.864	0.776	0.6	0.874	0.668	0.846	0.71	0.614	0.624	0.564	0.562	0.608	0.99	0.978	0.936	0.548	0.518	1.0	0.89	0.668	0.758	0.736	0.458	0.838	0.762
ec1457	1.0	1.0	0.57	0.904	0.998	0.98	1.0	0.708	0.838	0.932	0.85	0.0	0.984	0.538	0.368	0.796	1.0	0.728	0.592	0.998	1.0	0.838	0.854	0.978	0.53	0.896	0.608	0.966	0.998	0.844	0.726	0.996	0.728	0.874	0.706	1.0	0.652	0.902	0.994	0.508	0.97	0.998	0.984	0.996	0.916	0.978	1.0	0.95	0.65	0.74	0.798	0.75	0.804	0.926	0.574	0.996	0.956	0.928	0.974	0.826	0.56	0.428	0.48	0.81	0.554	0.846	0.612	0.7
ec1460	0.854	1.0	0.942	0.988	0.992	0.998	1.0	0.944	0.928	0.684	0.706	0.984	0.0	0.956	0.966	0.91	0.964	0.982	0.858	0.978	1.0	0.952	0.916	0.934	0.956	0.96	0.98	0.97	0.906	0.76	0.756	0.984	0.962	0.816	0.858	0.932	0.954	0.978	0.826	0.828	0.944	0.94	0.98	0.964	0.928	0.696	0.978	0.67	0.99	0.86	0.908	0.932	0.768	0.742	0.812	0.964	0.948	0.992	0.652	0.886	0.97	0.986	0.834	0.934	0.982	0.666	0.968	0.908
ec1461	0.994	1.0	0.572	0.904	0.994	0.99	1.0	0.456	0.57	0.822	0.772	0.538	0.956	0.0	0.626	0.642	0.882	0.872	0.558	1.0	1.0	0.818	0.782	0.694	0.474	0.828	0.69	0.98	0.79	0.646	0.788	0.824	0.572	0.868	0.54	0.914	0.836	0.918	0.876	0.696	0.888	0.834	0.958	0.858	0.78	0.964	0.922	0.918	0.608	0.676	0.64	0.528	0.606	0.776	0.59	0.978	0.964	0.938	0.796	0.6	0.822	0.61	0.618	0.742	0.634	0.686	0.654	0.494
ec1462	1.0	1.0	0.666	0.912	0.998	0.986	1.0	0.554	0.696	0.794	0.602	0.368	0.966	0.626	0.0	0.724	0.926	0.886	0.624	1.0	1.0	0.77	0.706	0.796	0.662	0.892	0.764	0.984	0.866	0.624	0.756	0.894	0.754	0.824	0.556	0.96	0.874	0.936	0.94	0.46	0.738	0.908	0.918	0.952	0.86	0.91	0.956	0.916	0.8	0.802	0.718	0.596	0.684	0.778	0.612	0.99	0.974	0.926	0.848	0.642	0.574	0.626	0.504	0.75	0.57	0.734	0.806	0.722
ec1463	1.0	1.0	0.73	0.918	0.998	0.99	1.0	0.626	0.52	0.784	0.632	0.796	0.91	0.642	0.724	0.0	0.96	0.9	0.468	1.0	1.0	0.838	0.59	0.886	0.584	0.896	0.828	0.986	0.924	0.504	0.528	0.94	0.524	0.832	0.548	0.96	0.902	0.94	0.91	0.732	0.916	0.908	0.996	0.964	0.888	0.69	0.974	0.87	0.676	0.738	0.476	0.644	0.53	0.672	0.566	0.99	0.98	0.936	0.788	0.494	0.958	0.836	0.68	0.796	0.732	0.622	0.578	0.612
