	ec1057	ec1058	ec1059	ec1060	ec1061	ec1062	ec1065	ec1066	ec1068	ec1069	ec1070	ec1071	ec1073	ec1075	ec1076	ec1077	ec1078	ec1079	ec1081	ec1082	ec1083	ec1084	ec1085	ec1086	ec1087	ec1089	ec1091	ec1093	ec1094	ec1095	ec1097	ec1100	ec1101	ec1102	ec1105	ec1106	ec1108	ec1109	ec1110	ec1111	ec1113	ec1114	ec1115	ec1116	ec1117	ec1118	ec1119	ec1121	ec1122	ec1123	ec1124	ec1125	ec1126	ec1127	ec1129	ec1130	ec1131	ec1132	ec1133	ec1134	ec1137	ec1138	ec1140	ec1141	ec1142	ec1145	ec1149	ec1150
ec1057	0.0	0.5494211721579866	0.6054364010764572	0.6567942364088263	0.6797329521065828	0.6223667955247371	0.6049940672201747	0.5687553429127871	0.6220100016906429	0.5734354305525131	0.689223070361157	0.6809735224676197	0.5716276942467794	0.6099269286228227	0.632278022825923	0.5404125681125098	0.5925388073718032	0.6252616736272101	0.6625955045150603	0.6082246051094518	0.7025021111593881	0.5547427834880714	0.6245616416210307	0.6265048887226713	0.6607097722143408	0.5695173625768514	0.6398243501197902	0.62016249919643	0.6477556935008028	0.6611914427434222	0.6473939453039695	0.5447283651915661	0.6421066002766547	0.6812816416340016	0.6486651882927442	0.5668556494892241	0.6086641580482818	0.6117453144550213	0.6588485277135412	0.6412492505827492	0.5350991205147123	0.5926999936843127	0.6684792212433452	0.6234841786081866	0.6574124365052786	0.6443304817720332	0.678202574660074	0.6332037273118558	0.628333121642128	0.6678203845277553	0.6082257688013691	0.6593747966451435	0.6451497344930844	0.6598902483295261	0.6206281417099616	0.6099633041598913	0.654524374950467	0.6223715608741267	0.5849254843913927	0.6341899094557004	0.4796325018668963	0.670041638325022	0.5958829572758859	0.6021930597039165	0.5910856286080091	0.6877338373676547	0.6354223785270928	0.630978500771908
ec1058	0.5494211721579866	0.0	0.5811323223546163	0.6314907105409089	0.640008657652303	0.5818161428529915	0.6137420644368283	0.5546077854536642	0.6031980947265444	0.5808410984994656	0.6345721477476383	0.6377641209727707	0.5790988170768246	0.5978285056873391	0.6666201953463913	0.5647342930372536	0.62837950612689	0.6232914920543042	0.6472292390749051	0.5760449795845576	0.699662612858533	0.5807213872387736	0.6200061441798218	0.5917855746706265	0.630256297280332	0.5532805785831804	0.6142508401032529	0.5969254269762466	0.6188558767014776	0.637458166428811	0.6242956059951777	0.583402878529118	0.6350264258878332	0.653583081821297	0.6216677486638185	0.5964392747403442	0.5641784038339123	0.6102409666523646	0.6146242162286356	0.6438869854104495	0.6139909008426151	0.6008678585921235	0.660136498967392	0.6040318803327208	0.6367644876241642	0.6417450748164407	0.6615953736967287	0.5806221851971756	0.605376908533906	0.6634230422222155	0.6322420608584013	0.6137824164158885	0.6123621270446217	0.6485831119858793	0.6495421720299219	0.5645536592004248	0.6227832562443475	0.5734299427197742	0.5809109899946331	0.6466032545729717	0.4904029589194418	0.6177990142838976	0.5858758048979285	0.5937381461904152	0.5737018130167841	0.6558977064946521	0.6057768853776421	0.6311846009698227
ec1059	0.6054364010764572	0.5811323223546163	0.0	0.5824057338501785	0.6116956287175367	0.5909066219025743	0.6457077479268128	0.5545756525615347	0.5629636221611027	0.5132260746202698	0.580370517245247	0.5886984558048026	0.5701152747090954	0.5605086411302109	0.6991980076364651	0.5714028073374477	0.6543273025977586	0.5437395225203266	0.639008667168115	0.5436464529503776	0.6734663951035214	0.5941748302739163	0.5351520388291862	0.5861838989552406	0.5566761583802065	0.5701872405332882	0.5526869208026615	0.6228357686559437	0.5766436057261697	0.5710125734196639	0.5729143172483554	0.5748015583839701	0.5955907591426435	0.6259778596246769	0.5732854430056593	0.6082717524828731	0.5348395039018924	0.546849221387673	0.613597088743039	0.5805226823593769	0.6727221178255585	0.5207636178338626	0.5728639058045859	0.5927616163039385	0.5909824846802891	0.5794773632008574	0.591908847424445	0.5713103877771081	0.533531289920542	0.5824814479387225	0.6653322376710603	0.5427943596602639	0.6107316457747393	0.5791208392283398	0.6930151439155542	0.49883187071796586	0.535731608256277	0.5733091216589395	0.5694142814756002	0.5883766540720268	0.5311123621389846	0.5943236068611528	0.6018926755008315	0.5995445288125489	0.5517322508551351	0.5652465454329334	0.572744363512299	0.6248006283657559
ec1060	0.6567942364088263	0.6314907105409089	0.5824057338501785	0.0	0.6445118442767924	0.6288799643446609	0.6979170859520853	0.6061796679188876	0.5935972672078381	0.6083031413110638	0.636029980904586	0.647739842276929	0.6565530535227336	0.6219478055649212	0.7350260885035519	0.6346833362315897	0.6824914206045537	0.5680698594096276	0.6987099022536397	0.5883630777190619	0.7000616773110766	0.6535885211996344	0.5892640431376761	0.643760361727716	0.6255757571030267	0.628243804592767	0.5204607942230997	0.6289408353967902	0.6242739506391591	0.6468359665748881	0.6220585811725496	0.6686157352349209	0.681885004934075	0.6073368735284465	0.6459208736889457	0.671385486691652	0.6256300865943061	0.6281277944379572	0.6227620704776783	0.6111552781976557	0.7092184982533745	0.6044038642798236	0.6208087681706158	0.6847520730423632	0.6312948234951717	0.5921759061588039	0.6302829829952432	0.6047576467746687	0.598547035335587	0.5130145067168009	0.732863404414553	0.6119566105112406	0.5924700198864048	0.6482096599277419	0.7438567224798117	0.5864597646841719	0.6036505501463933	0.6124512624061507	0.6307748047826561	0.5616220526312269	0.6071748923308538	0.5602302057573846	0.6355212947320411	0.6681084637149546	0.5757694854711306	0.5949527307056616	0.6508421069953971	0.6088412051946539
ec1061	0.6797329521065828	0.640008657652303	0.6116956287175367	0.6445118442767924	0.0	0.612475047381368	0.6780815339499356	0.6012707931327471	0.6287364395493367	0.5947023527080918	0.6061752616258962	0.6472229846346763	0.6327847095013136	0.628699173696961	0.7219244806705731	0.5961114649148788	0.6626488518886837	0.6101131906544698	0.6955972082532448	0.619687917087862	0.7114768781661238	0.6582909439555578	0.5856594400418165	0.6037723874185308	0.6109415415799943	0.6042345336047557	0.639779423553721	0.5931566738875675	0.6404911612158604	0.6255387471119365	0.615008929975636	0.621575356321242	0.6361524887757374	0.6138842426498615	0.6033095194325807	0.6528430569230764	0.5798669624823071	0.6065964291183019	0.607297822985604	0.6411678108493851	0.689648138386537	0.6156809745422872	0.6403673603469912	0.6416263951890399	0.6096984081080709	0.6332710112404418	0.6490368463613819	0.5971426551952584	0.5878107552258658	0.6460642028707709	0.7018547691087537	0.6100366638249838	0.629092260398062	0.6294393831973039	0.7022639892062703	0.5978554823642133	0.6307962559916012	0.62637335580286	0.6070925907921321	0.6629146703984136	0.6077047043077948	0.64439903813134	0.619049727914706	0.6092991677587832	0.582277349833722	0.6022980044876742	0.6153368415471813	0.6327800632322182
ec1062	0.6223667955247371	0.5818161428529915	0.5909066219025743	0.6288799643446609	0.612475047381368	0.0	0.6447188861034961	0.5410969235724384	0.6345590656369666	0.5991479538618802	0.6454079498044373	0.6709768245649227	0.6151582132204999	0.5983692656408348	0.6891316958817287	0.5938190826523573	0.5894483018192723	0.6276478612685362	0.6950920599910119	0.557907739020001	0.728150168283569	0.6190169085467545	0.6057537039174892	0.5742293365850818	0.63782597513478	0.5715545978929237	0.6374356389333137	0.6163418417157693	0.6145116395281294	0.6388916419329529	0.6138762119832637	0.6088729788568678	0.6203335110504893	0.6284300371044963	0.6247014241369433	0.6348612883275033	0.579902658364938	0.5686153749775361	0.6062496336807834	0.6372924573712019	0.6694496600921698	0.5934566181925788	0.6489870838983623	0.6534142029330294	0.6051019212699157	0.6234204010060457	0.6618386064178106	0.6040849237704905	0.5987281425393148	0.6454748292531163	0.6802392393845226	0.5904348589040954	0.6317964774935249	0.6618844889894065	0.6949085671679857	0.5506876869553881	0.6105232599510396	0.6215575526940573	0.5841545218778867	0.6595225776997106	0.577937505800593	0.6306736293725896	0.6215845361162459	0.598247701700252	0.6155214213561812	0.6318924696911746	0.6213522200672494	0.659178700589465
ec1065	0.6049940672201747	0.6137420644368283	0.6457077479268128	0.6979170859520853	0.6780815339499356	0.6447188861034961	0.0	0.6151883296592299	0.6603427078242494	0.634427221315024	0.6549263665012456	0.6547193058378427	0.6222540925293518	0.6310521572702386	0.6521792095604018	0.6111903504578794	0.6607269176046067	0.6625345335642975	0.6053996571171136	0.6660113963211425	0.6292278592940601	0.6237157030166687	0.626462822935674	0.6630165764559254	0.6463865639022394	0.6294412538490042	0.6666044855351015	0.6204302192597454	0.6429569350650715	0.6383131266351181	0.6471310765510363	0.6036823492805865	0.5939186041633225	0.7010101414575786	0.6115268978512253	0.6523555571567349	0.6207009118070101	0.5952729297652826	0.6646358841396394	0.6484883954088501	0.6379282120738063	0.6342872131070849	0.6638284030506606	0.6103260653557224	0.6363212923523001	0.6501229627324746	0.681720388957899	0.648778882172403	0.639071743940615	0.6961986700204924	0.6617743592315433	0.6835792677606332	0.6426648117893906	0.6717971701762483	0.5992568972809688	0.6341741221110759	0.6513617337450127	0.6242729905810553	0.6372826794618573	0.6875853669396328	0.6203178784109833	0.6973826083418327	0.6418840809368843	0.6181048739918052	0.637129083890592	0.6786816215727134	0.6351932096351348	0.6933207851406975
ec1066	0.5687553429127871	0.5546077854536642	0.5545756525615347	0.6061796679188876	0.6012707931327471	0.5410969235724384	0.6151883296592299	0.0	0.6103060657225534	0.5261795983386359	0.6091513704312878	0.6266279980453947	0.5569684743142826	0.5525701878417408	0.6585758489712529	0.5568428288352911	0.6011013181985168	0.6013706160104574	0.6394250119598615	0.5602967597949587	0.6736307609378068	0.5872574913464186	0.5539747077152677	0.5741314323724058	0.5966065241620959	0.5359164469843541	0.5825182287605564	0.5653640205513015	0.575960943113483	0.6179551430414371	0.6308488694889479	0.6005712740095747	0.5855329616726479	0.6361474220096919	0.6165319803626463	0.5422029621468621	0.5496715269423516	0.5761131628677603	0.5904077208146706	0.6042423706634904	0.6262355908953114	0.575125772466341	0.6447154239365039	0.5793418918939849	0.6000545659547062	0.5981956692905579	0.6394327524121552	0.5623565752708967	0.5758198718144808	0.6250474936939204	0.636289262888479	0.6006224181912813	0.6243895444160469	0.6267192858231617	0.6390970380724015	0.5434790759094321	0.5989484790439094	0.5752637841103961	0.5510117198991914	0.6173062741817462	0.5133942353651555	0.6289154873217276	0.5719803108233696	0.5891057923626027	0.576223335795572	0.6091209402130109	0.6105245576380188	0.6243099873021934
ec1068	0.6220100016906429	0.6031980947265444	0.5629636221611027	0.5935972672078381	0.6287364395493367	0.6345590656369666	0.6603427078242494	0.6103060657225534	0.0	0.6059800328709228	0.588085007984774	0.6090542422052987	0.6372482776015866	0.5852814047342427	0.7061156968608767	0.6224902108793585	0.6638216102218853	0.5534560629399714	0.6841561721875201	0.5870693649831107	0.6775899120520492	0.6492491883068762	0.5378073491308949	0.6073211967041245	0.5874228467261595	0.6245173837830652	0.5301787790266036	0.624833170430165	0.5857214548567335	0.6025507391589864	0.6182491051292581	0.6345861521455611	0.6204992340606748	0.6407006397996033	0.6061536327448486	0.6637657572696376	0.6230714752521304	0.5989405873992154	0.6020061467305786	0.5370902411814956	0.6777447260871882	0.5615688466526151	0.5822679742275924	0.6138831751059289	0.606467043346457	0.5936499693522593	0.6107531747009538	0.583072921185536	0.5865672224870784	0.5752166769609599	0.6806649240222816	0.5864191398346309	0.591778550618535	0.5910698440968477	0.7100194778558037	0.5685245772224022	0.5716349931138558	0.6084690072314645	0.5894503276390729	0.5722694786048749	0.588032975792616	0.5755163572241995	0.6192958921733509	0.5886992612619963	0.5721313596340234	0.6210080632308974	0.6038756174137687	0.6450429447726006
ec1069	0.5734354305525131	0.5808410984994656	0.5132260746202698	0.6083031413110638	0.5947023527080918	0.5991479538618802	0.634427221315024	0.5261795983386359	0.6059800328709228	0.0	0.6188080968241009	0.6450631956001471	0.574278608600341	0.606671008265579	0.6702773431669059	0.5201833389104756	0.6120941799005118	0.5884993014797341	0.6271755439957158	0.5754559420212737	0.6635007019428272	0.5624970161590411	0.554462567358526	0.5951213547419836	0.6215835374650304	0.5533342778124897	0.6105334675471177	0.5494045743422321	0.6207579690894818	0.6337733605093006	0.5963182382264702	0.5265837888706524	0.5905390939488459	0.6359011724888779	0.6050138004068296	0.5964896077702798	0.5629714652613358	0.560636940917278	0.5953659470877117	0.6108531608105451	0.6397803543100277	0.5832710825697573	0.6452116648414029	0.6065746512044206	0.5638480525111674	0.5695753978574378	0.6128906841292483	0.6041612096136114	0.5908683211555236	0.6239610022160418	0.651059114867265	0.6103222244967526	0.6282151069188018	0.6256464440879115	0.6681833162911452	0.5666652187395955	0.6116474095968518	0.5710206918629983	0.5529834296239882	0.6141841395163057	0.5298691344092862	0.6122045934801347	0.5538353343926753	0.5871882057940528	0.5559019668125593	0.5873996429076213	0.6012064191830803	0.6291819273806102
