	ec1249	ec1257	ec1265	ec1298	ec1301	ec1309	ec1314	ec1317	ec1346	ec1349	ec1356	ec1359	ec1361	ec1362	ec1368	ec1378	ec1380	ec1390	ec1392	ec1393	ec1396	ec1400	ec1408	ec1409	ec1411	ec1420	ec1422	ec1424	ec1425	ec1427	ec1435	ec1437	ec1442	ec1449	ec1457	ec1462	ec1468	ec1469	ec1470	ec1489	ec1492	ec1493	ec1497	ec1498	ec1500	ec1502	ec1508	ec1513	ec1514	ec1516	ec1517	ec1524	ec1525	ec1530	ec1533	eti111	eti121	eti125	eti145	eti146	eti149	eti151	eti152	eti153	eti154	eti156	eti162	eti164	eti165	eti167
ec1249	0.0	0.65	0.706	0.81	0.666	0.932	0.718	0.764	0.74	0.718	0.79	0.898	0.558	0.682	0.678	0.914	0.714	0.678	0.58	0.71	0.842	0.518	0.88	0.826	0.75	0.852	0.822	0.69	0.496	0.804	0.872	0.816	1.0	0.968	0.774	0.632	0.922	0.9	0.722	0.726	0.788	0.746	0.84	0.986	0.576	0.84	0.918	0.838	0.702	0.876	0.886	0.904	0.946	0.856	0.686	0.638	0.896	0.748	0.624	0.756	0.994	0.98	0.902	0.872	0.618	0.962	0.694	0.782	0.7	0.718
ec1257	0.65	0.0	0.634	0.872	0.656	0.894	0.848	0.76	0.826	0.728	0.802	0.936	0.732	0.584	0.602	0.972	0.802	0.87	0.438	0.756	0.882	0.604	0.932	0.884	0.764	0.912	0.868	0.614	0.672	0.816	0.866	0.906	1.0	0.97	0.748	0.69	0.964	0.896	0.514	0.786	0.812	0.58	0.818	0.988	0.57	0.916	0.97	0.702	0.856	0.914	0.94	0.968	0.932	0.87	0.482	0.594	0.942	0.882	0.512	0.698	0.996	0.994	0.926	0.842	0.494	0.936	0.738	0.7	0.608	0.58
ec1265	0.706	0.634	0.0	0.902	0.662	0.81	0.936	0.68	0.896	0.828	0.86	0.96	0.738	0.726	0.536	0.988	0.848	0.934	0.502	0.616	0.862	0.764	0.968	0.914	0.782	0.878	0.91	0.638	0.726	0.728	0.826	0.944	1.0	0.97	0.59	0.584	0.974	0.778	0.464	0.808	0.93	0.55	0.658	0.984	0.646	0.982	0.96	0.508	0.93	0.974	0.964	0.99	0.842	0.88	0.67	0.608	0.978	0.902	0.566	0.736	0.98	0.98	0.9	0.814	0.64	0.784	0.766	0.62	0.614	0.6
ec1298	0.81	0.872	0.902	0.0	0.874	0.932	0.85	0.83	0.758	0.822	0.934	0.938	0.87	0.856	0.876	0.958	0.862	0.898	0.854	0.784	0.906	0.908	0.958	0.888	0.866	0.914	0.866	0.886	0.844	0.882	0.928	0.846	0.996	0.968	0.894	0.88	0.922	0.874	0.9	0.916	0.87	0.91	0.904	0.954	0.904	0.872	0.98	0.904	0.932	0.924	0.962	0.956	0.952	0.942	0.904	0.802	0.958	0.86	0.858	0.912	0.992	0.952	0.876	0.896	0.882	0.914	0.89	0.868	0.912	0.884
ec1301	0.666	0.656	0.662	0.874	0.0	0.894	0.952	0.742	0.884	0.89	0.944	0.964	0.802	0.7	0.696	0.98	0.838	0.944	0.646	0.748	0.924	0.68	0.964	0.908	0.836	0.918	0.918	0.682	0.732	0.818	0.932	0.928	1.0	0.968	0.736	0.786	0.99	0.9	0.656	0.884	0.966	0.66	0.802	0.986	0.732	0.986	0.994	0.84	0.96	0.968	0.98	0.994	0.958	0.908	0.728	0.674	0.946	0.902	0.706	0.894	0.998	0.994	0.93	0.95	0.728	0.91	0.788	0.782	0.728	0.682
ec1309	0.932	0.894	0.81	0.932	0.894	0.0	0.964	0.848	0.93	0.932	0.964	0.966	0.946	0.88	0.782	0.992	0.966	0.956	0.818	0.846	0.962	0.964	0.978	0.946	0.924	0.942	0.932	0.924	0.91	0.842	0.986	0.956	1.0	0.976	0.796	0.854	0.92	0.92	0.804	0.944	0.962	0.842	0.85	0.938	0.978	0.984	0.958	0.82	0.934	0.98	0.97	0.992	0.978	0.956	0.97	0.904	0.986	0.966	0.95	0.99	0.944	0.966	0.918	0.982	0.938	0.842	0.956	0.678	0.984	0.918
ec1314	0.718	0.848	0.936	0.85	0.952	0.964	0.0	0.962	0.522	0.532	0.844	0.56	0.5	0.86	0.828	0.65	0.486	0.47	0.632	0.892	0.584	0.52	0.574	0.582	0.564	0.616	0.536	0.836	0.492	0.888	0.934	0.59	0.996	0.988	0.962	0.818	0.888	0.954	0.916	0.896	0.568	0.942	0.956	0.988	0.802	0.742	0.942	0.936	0.834	0.912	0.934	0.924	0.944	0.94	0.898	0.536	0.786	0.712	0.854	0.896	0.982	0.984	0.892	0.816	0.824	0.988	0.894	0.94	0.904	0.882
ec1317	0.764	0.76	0.68	0.83	0.742	0.848	0.962	0.0	0.786	0.918	0.972	0.968	0.822	0.758	0.666	0.972	0.806	0.958	0.688	0.576	0.946	0.816	0.976	0.928	0.862	0.93	0.93	0.774	0.764	0.716	0.948	0.93	1.0	0.97	0.624	0.732	1.0	0.912	0.664	0.92	0.978	0.628	0.724	0.99	0.842	0.998	0.994	0.79	0.976	0.99	0.994	0.996	0.978	0.916	0.81	0.734	0.984	0.908	0.816	0.916	1.0	0.996	0.91	0.962	0.83	0.842	0.818	0.712	0.842	0.796
ec1346	0.74	0.826	0.896	0.758	0.884	0.93	0.522	0.786	0.0	0.478	0.894	0.402	0.412	0.794	0.83	0.41	0.402	0.586	0.716	0.75	0.39	0.596	0.574	0.348	0.31	0.372	0.322	0.868	0.52	0.84	0.942	0.572	0.984	0.97	0.902	0.85	0.95	0.91	0.896	0.87	0.868	0.896	0.884	0.986	0.896	0.876	0.986	0.904	0.922	0.92	0.97	0.972	0.968	0.938	0.926	0.522	0.794	0.752	0.882	0.918	1.0	0.99	0.904	0.888	0.876	0.944	0.878	0.878	0.932	0.878
ec1349	0.718	0.728	0.828	0.822	0.89	0.932	0.532	0.918	0.478	0.0	0.624	0.57	0.44	0.814	0.744	0.632	0.536	0.552	0.67	0.888	0.546	0.612	0.55	0.514	0.464	0.534	0.488	0.83	0.54	0.822	0.844	0.568	1.0	0.974	0.898	0.804	0.924	0.9	0.73	0.798	0.834	0.87	0.902	0.986	0.858	0.87	0.96	0.788	0.862	0.914	0.932	0.944	0.918	0.9	0.752	0.508	0.788	0.756	0.73	0.72	0.998	0.976	0.932	0.834	0.794	0.942	0.846	0.802	0.814	0.816
