	ec1442	ec1449	ec1457	ec1462	ec1468	ec1469	ec1470	ec1489	ec1492	ec1493	ec1497	ec1498	ec1500	ec1502	ec1508	ec1513	ec1514	ec1516	ec1517	ec1524	ec1525	ec1530	ec1533	eti145	eti146	eti149	eti151	eti152	eti153	eti154	eti156	eti162	eti164	eti165	eti167
ec1442	0.0	1.0	1.0	1.0	1.0	1.0	0.996	0.674	1.0	1.0	0.72	1.0	1.0	1.0	1.0	1.0	1.0	0.432	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.546	1.0	1.0	0.914
ec1449	1.0	0.0	0.984	0.986	1.0	0.98	0.984	0.984	0.998	0.984	0.984	0.994	0.994	1.0	0.996	0.984	0.996	0.992	1.0	1.0	0.99	0.984	0.988	0.99	0.996	0.998	0.99	0.974	1.0	0.99	0.99	0.99	0.986	1.0	0.984
ec1457	1.0	0.984	0.0	0.366	0.998	0.732	0.542	0.848	0.958	0.524	0.592	0.96	0.816	0.998	1.0	0.526	0.962	0.976	1.0	0.998	0.964	0.946	0.762	0.796	0.922	1.0	0.95	0.94	0.956	0.8	0.502	0.794	0.518	0.82	0.672
ec1462	1.0	0.986	0.366	0.0	0.93	0.872	0.614	0.792	0.83	0.698	0.774	0.984	0.594	0.9	0.954	0.49	0.702	0.938	0.942	0.952	0.922	0.898	0.734	0.7	0.786	0.996	0.976	0.936	0.836	0.676	0.518	0.746	0.57	0.758	0.718
ec1468	1.0	1.0	0.998	0.93	0.0	0.992	0.936	0.92	0.726	0.96	0.986	0.992	0.868	0.646	0.788	0.96	0.744	0.924	0.67	0.63	0.934	0.954	0.84	0.826	0.686	0.996	0.99	0.932	0.91	0.736	1.0	0.862	0.99	0.842	0.916
ec1469	1.0	0.98	0.732	0.872	0.992	0.0	0.784	0.884	0.976	0.748	0.702	0.896	0.926	1.0	0.986	0.844	0.958	0.972	0.992	0.994	0.956	0.936	0.906	0.908	0.928	0.996	0.764	0.904	0.948	0.916	0.786	0.888	0.692	0.932	0.828
ec1470	0.996	0.984	0.542	0.614	0.936	0.784	0.0	0.736	0.812	0.482	0.644	0.95	0.614	0.934	0.926	0.514	0.838	0.948	0.934	0.94	0.828	0.888	0.436	0.482	0.644	0.994	0.948	0.914	0.758	0.544	0.848	0.734	0.602	0.51	0.556
ec1489	0.674	0.984	0.848	0.792	0.92	0.884	0.736	0.0	0.796	0.778	0.524	0.988	0.768	0.84	0.722	0.72	0.744	0.508	0.758	0.788	0.878	0.88	0.644	0.672	0.648	0.996	0.98	0.922	0.86	0.676	0.986	0.444	0.854	0.694	0.64
ec1492	1.0	0.998	0.958	0.83	0.726	0.976	0.812	0.796	0.0	0.938	0.976	0.988	0.764	0.558	0.764	0.868	0.618	0.88	0.71	0.736	0.92	0.914	0.726	0.652	0.594	1.0	0.984	0.928	0.696	0.588	0.998	0.814	0.872	0.754	0.856
ec1493	1.0	0.984	0.524	0.698	0.96	0.748	0.482	0.778	0.938	0.0	0.51	0.988	0.638	0.968	0.97	0.732	0.924	0.958	0.954	0.972	0.928	0.908	0.576	0.65	0.878	0.996	0.97	0.888	0.92	0.616	0.892	0.75	0.724	0.702	0.524
ec1497	0.72	0.984	0.592	0.774	0.986	0.702	0.644	0.524	0.976	0.51	0.0	0.994	0.874	1.0	0.984	0.728	0.958	0.66	0.992	0.994	0.942	0.942	0.834	0.86	0.908	0.996	0.974	0.906	0.94	0.878	0.884	0.544	0.748	0.898	0.602
ec1498	1.0	0.994	0.96	0.984	0.992	0.896	0.95	0.988	0.988	0.988	0.994	0.0	0.988	0.91	0.99	0.99	0.984	0.99	0.99	0.992	0.986	0.852	0.978	0.984	0.986	0.972	0.82	0.992	0.99	0.986	0.856	0.978	0.968	0.982	0.984
ec1500	1.0	0.994	0.816	0.594	0.868	0.926	0.614	0.768	0.764	0.638	0.874	0.988	0.0	0.768	0.814	0.728	0.612	0.864	0.782	0.83	0.776	0.886	0.44	0.366	0.584	0.996	0.992	0.966	0.728	0.362	0.998	0.69	0.866	0.418	0.582
ec1502	1.0	1.0	0.998	0.9	0.646	1.0	0.934	0.84	0.558	0.968	1.0	0.91	0.768	0.0	0.76	0.964	0.696	0.874	0.604	0.69	0.942	0.942	0.788	0.788	0.726	1.0	0.966	0.874	0.898	0.666	0.96	0.858	0.992	0.788	0.89
ec1508	1.0	0.996	1.0	0.954	0.788	0.986	0.926	0.722	0.764	0.97	0.984	0.99	0.814	0.76	0.0	0.908	0.69	0.91	0.436	0.468	0.896	0.908	0.726	0.832	0.68	0.992	0.99	0.906	0.926	0.662	0.998	0.876	0.97	0.798	0.876
ec1513	1.0	0.984	0.526	0.49	0.96	0.844	0.514	0.72	0.868	0.732	0.728	0.99	0.728	0.964	0.908	0.0	0.868	0.936	0.958	0.97	0.736	0.89	0.638	0.538	0.58	0.996	0.978	0.884	0.73	0.754	0.62	0.858	0.582	0.642	0.74
ec1514	1.0	0.996	0.962	0.702	0.744	0.958	0.838	0.744	0.618	0.924	0.958	0.984	0.612	0.696	0.69	0.868	0.0	0.87	0.65	0.686	0.92	0.89	0.706	0.7	0.63	0.996	0.982	0.962	0.836	0.52	0.996	0.82	0.886	0.74	0.842
ec1516	0.432	0.992	0.976	0.938	0.924	0.972	0.948	0.508	0.88	0.958	0.66	0.99	0.864	0.874	0.91	0.936	0.87	0.0	0.89	0.908	0.946	0.954	0.842	0.842	0.872	1.0	0.992	0.966	0.962	0.862	1.0	0.39	0.988	0.874	0.816
ec1517	1.0	1.0	1.0	0.942	0.67	0.992	0.934	0.758	0.71	0.954	0.992	0.99	0.782	0.604	0.436	0.958	0.65	0.89	0.0	0.36	0.932	0.936	0.768	0.828	0.672	0.994	0.988	0.906	0.924	0.642	1.0	0.846	0.986	0.82	0.874
ec1524	1.0	1.0	0.998	0.952	0.63	0.994	0.94	0.788	0.736	0.972	0.994	0.992	0.83	0.69	0.468	0.97	0.686	0.908	0.36	0.0	0.95	0.948	0.776	0.822	0.606	0.996	0.99	0.96	0.93	0.66	1.0	0.874	0.992	0.826	0.902
ec1525	1.0	0.99	0.964	0.922	0.934	0.956	0.828	0.878	0.92	0.928	0.942	0.986	0.776	0.942	0.896	0.736	0.92	0.946	0.932	0.95	0.0	0.932	0.8	0.736	0.722	0.996	0.974	0.946	0.31	0.848	0.986	0.902	0.956	0.598	0.872
ec1530	1.0	0.984	0.946	0.898	0.954	0.936	0.888	0.88	0.914	0.908	0.942	0.852	0.886	0.942	0.908	0.89	0.89	0.954	0.936	0.948	0.932	0.0	0.848	0.862	0.866	0.954	0.96	0.942	0.906	0.868	0.954	0.892	0.892	0.848	0.9
ec1533	1.0	0.988	0.762	0.734	0.84	0.906	0.436	0.644	0.726	0.576	0.834	0.978	0.44	0.788	0.726	0.638	0.706	0.842	0.768	0.776	0.8	0.848	0.0	0.316	0.538	0.988	0.964	0.912	0.78	0.314	0.976	0.674	0.794	0.382	0.578
eti145	1.0	0.99	0.796	0.7	0.826	0.908	0.482	0.672	0.652	0.65	0.86	0.984	0.366	0.788	0.832	0.538	0.7	0.842	0.828	0.822	0.736	0.862	0.316	0.0	0.37	0.996	0.98	0.94	0.65	0.338	0.988	0.662	0.798	0.322	0.564
eti146	1.0	0.996	0.922	0.786	0.686	0.928	0.644	0.648	0.594	0.878	0.908	0.986	0.584	0.726	0.68	0.58	0.63	0.872	0.672	0.606	0.722	0.866	0.538	0.37	0.0	0.996	0.982	0.95	0.63	0.518	0.996	0.77	0.834	0.496	0.772
eti149	1.0	0.998	1.0	0.996	0.996	0.996	0.994	0.996	1.0	0.996	0.996	0.972	0.996	1.0	0.992	0.996	0.996	1.0	0.994	0.996	0.996	0.954	0.988	0.996	0.996	0.0	0.974	0.988	0.996	0.994	0.98	0.988	0.992	0.986	0.996
eti151	1.0	0.99	0.95	0.976	0.99	0.764	0.948	0.98	0.984	0.97	0.974	0.82	0.992	0.966	0.99	0.978	0.982	0.992	0.988	0.99	0.974	0.96	0.964	0.98	0.982	0.974	0.0	0.938	0.988	0.966	0.896	0.962	0.97	0.992	0.97
eti152	1.0	0.974	0.94	0.936	0.932	0.904	0.914	0.922	0.928	0.888	0.906	0.992	0.966	0.874	0.906	0.884	0.962	0.966	0.906	0.96	0.946	0.942	0.912	0.94	0.95	0.988	0.938	0.0	0.996	0.948	0.938	0.92	0.918	0.95	0.908
eti153	1.0	1.0	0.956	0.836	0.91	0.948	0.758	0.86	0.696	0.92	0.94	0.99	0.728	0.898	0.926	0.73	0.836	0.962	0.924	0.93	0.31	0.906	0.78	0.65	0.63	0.996	0.988	0.996	0.0	0.738	1.0	0.884	0.872	0.57	0.862
eti154	1.0	0.99	0.8	0.676	0.736	0.916	0.544	0.676	0.588	0.616	0.878	0.986	0.362	0.666	0.662	0.754	0.52	0.862	0.642	0.66	0.848	0.868	0.314	0.338	0.518	0.994	0.966	0.948	0.738	0.0	0.984	0.67	0.806	0.428	0.548
eti156	1.0	0.99	0.502	0.518	1.0	0.786	0.848	0.986	0.998	0.892	0.884	0.856	0.998	0.96	0.998	0.62	0.996	1.0	1.0	1.0	0.986	0.954	0.976	0.988	0.996	0.98	0.896	0.938	1.0	0.984	0.0	0.958	0.576	0.99	0.946
eti162	0.546	0.99	0.794	0.746	0.862	0.888	0.734	0.444	0.814	0.75	0.544	0.978	0.69	0.858	0.876	0.858	0.82	0.39	0.846	0.874	0.902	0.892	0.674	0.662	0.77	0.988	0.962	0.92	0.884	0.67	0.958	0.0	0.852	0.716	0.592
eti164	1.0	0.986	0.518	0.57	0.99	0.692	0.602	0.854	0.872	0.724	0.748	0.968	0.866	0.992	0.97	0.582	0.886	0.988	0.986	0.992	0.956	0.892	0.794	0.798	0.834	0.992	0.97	0.918	0.872	0.806	0.576	0.852	0.0	0.826	0.816
eti165	1.0	1.0	0.82	0.758	0.842	0.932	0.51	0.694	0.754	0.702	0.898	0.982	0.418	0.788	0.798	0.642	0.74	0.874	0.82	0.826	0.598	0.848	0.382	0.322	0.496	0.986	0.992	0.95	0.57	0.428	0.99	0.716	0.826	0.0	0.602
eti167	0.914	0.984	0.672	0.718	0.916	0.828	0.556	0.64	0.856	0.524	0.602	0.984	0.582	0.89	0.876	0.74	0.842	0.816	0.874	0.902	0.872	0.9	0.578	0.564	0.772	0.996	0.97	0.908	0.862	0.548	0.946	0.592	0.816	0.602	0.0
