	ec1442	ec1449	ec1457	ec1462	ec1468	ec1469	ec1470	ec1489	ec1492	ec1493	ec1497	ec1498	ec1500	ec1502	ec1508	ec1513	ec1514	ec1516	ec1517	ec1524	ec1525	ec1530	ec1533	eti145	eti146	eti149	eti151	eti152	eti153	eti154	eti156	eti162	eti164	eti165	eti167
ec1442	0.0	0.8761297943238674	0.6604538979370486	0.3789834899947078	0.5539809682946644	0.6339792954552479	0.47074171922818253	0.389209178139053	0.5562021279777659	0.5032388693906034	0.4117168936033174	0.8116745095570724	0.5866171919706401	0.73813864299218	0.7350042598407278	0.54560746640645	0.5278208768663767	0.526233122513912	0.5915538744418845	0.519305351698355	0.5308787389298417	0.8190755970236437	0.6914495042683866	0.5308962037476453	0.5235118061275003	0.7086250705386131	0.710505097440719	0.8457798282647676	0.7222382764217122	0.6399133197788998	0.7423829515940412	0.6100637366173275	0.6316289224898729	0.760306973488223	0.2873793343708673
ec1449	0.8761297943238674	0.0	0.7484787117040467	0.8201273493029462	0.8454433505211139	0.7646924454314907	0.7926604119915691	0.8244737818651897	0.8440992810952608	0.7940009665253536	0.8078705054932178	0.6944949026875242	0.8315730271833697	0.7590133402507023	0.7028154648122921	0.827471918001269	0.8424013146345607	0.7785218997639851	0.828403163710112	0.8433039023817369	0.8426444921964239	0.7073615341759332	0.7616912184917402	0.8426458880279658	0.8420626849656763	0.7003834088354016	0.7066895866276379	0.6697954810132517	0.7556711499700789	0.7850407909254611	0.6894736117979693	0.7359040071699587	0.8024243198848235	0.6956617729631176	0.8252218181512491
ec1457	0.6604538979370486	0.7484787117040467	0.0	0.5009518820942997	0.463282846008785	0.24874309515284032	0.5320319910418047	0.5414308678715516	0.458500751738642	0.48557143459317076	0.5475054309954678	0.6685230046267735	0.41484745172006837	0.4203763682613201	0.5361335611500428	0.3559466545879007	0.4321631404224765	0.4801809679395034	0.5101154331270993	0.43118386970243705	0.43530211703049887	0.6962797183120052	0.48785226160297046	0.43532005397509144	0.42774992001949463	0.5813914336565813	0.5756802766213076	0.6444273069980196	0.6095450579338025	0.4859244601790086	0.5908603210137445	0.5128013505859269	0.379601083619178	0.4914482533600015	0.5133901036712589
ec1462	0.3789834899947078	0.8201273493029462	0.5009518820942997	0.0	0.3916290463000637	0.45742824122834286	0.319654359813831	0.26961881761712103	0.38700330495804364	0.26509735574778237	0.2292691617627	0.7266327613614436	0.3459991045512795	0.6280420858905648	0.6152532229000366	0.31304330144367676	0.35139798839020525	0.3673507322959024	0.44857324400337373	0.3482842881574766	0.3513167158821763	0.737378636934141	0.5638810797307856	0.35133903417354506	0.34594465174752836	0.5793809452407725	0.5656213140746977	0.7629491987441703	0.6125739783093493	0.43398077279156816	0.6564025276763742	0.5339902523643458	0.4579889411863245	0.6381821032248848	0.14938321847063346
ec1468	0.5539809682946644	0.8454433505211139	0.463282846008785	0.3916290463000637	0.0	0.4125379002435813	0.5031875231048109	0.4884164378094221	0.01804400709839678	0.45105686869968653	0.5046076322287373	0.7590855137999847	0.11802262930312624	0.5117591436546947	0.6578423700247185	0.2155859147556114	0.12106616770456932	0.5966220350915725	0.13299733910726355	0.10029667701841659	0.12901029037867082	0.7671657021021019	0.555221829272725	0.1247327026288283	0.11369502407085465	0.7109905768094121	0.6976134137074139	0.7663253638047959	0.4634958676413541	0.36741566931857433	0.7541878794932434	0.5946300991244075	0.40502958901631214	0.6003179843774809	0.37716328906806657
ec1469	0.6339792954552479	0.7646924454314907	0.24874309515284032	0.45742824122834286	0.4125379002435813	0.0	0.5056611487541801	0.509641121144358	0.4088935010097842	0.44929364661524185	0.5169204254291687	0.6663675791394064	0.3555639907600991	0.45132442841282777	0.555572054510812	0.2919089059519411	0.37549027611836955	0.47417445370547445	0.46613437537370556	0.37377160417094873	0.3792723384081949	0.7070091447952164	0.4742654957967802	0.37929394627962704	0.3701661012184796	0.6361969009039078	0.615954985167388	0.6909395728577802	0.6225364111183254	0.44541062191695785	0.61787279982712	0.5180618655521898	0.38927232216827307	0.5243211339591591	0.47463836845590207
ec1470	0.47074171922818253	0.7926604119915691	0.5320319910418047	0.319654359813831	0.5031875231048109	0.5056611487541801	0.0	0.35248872558951533	0.49715248491212594	0.32563312296681857	0.3547716831683251	0.6998149270497895	0.45814533995719586	0.5935261646413525	0.6106645138779331	0.4501650549173278	0.48397437935161564	0.4489353839649461	0.5407938963786751	0.4890038869495361	0.4872565307667167	0.7223579577864723	0.5636003407184864	0.48230462214780373	0.48310196344873557	0.6089461137765301	0.5840978947240166	0.752355878900361	0.655411310576048	0.48171630820935446	0.6338463549466619	0.5043807053614486	0.5253201581408842	0.6233806409032855	0.2777020317458136
ec1489	0.389209178139053	0.8244737818651897	0.5414308678715516	0.26961881761712103	0.4884164378094221	0.509641121144358	0.35248872558951533	0.0	0.4831353277414485	0.38777284707980275	0.30753110327984495	0.7420115929958733	0.43628506970528924	0.6481328574632528	0.6545852794989039	0.3770939880961022	0.44908494396643606	0.4297656533025287	0.5311251878615109	0.45720655895843765	0.45061237539657145	0.754919691212309	0.45910361264720556	0.44781574417509395	0.45073818637734336	0.6412041574319899	0.6324586072629688	0.7749700326364917	0.6592018539911749	0.4955680966758908	0.671427277391419	0.5358422873086917	0.5103127760723558	0.6715980611824429	0.20231107896311185
ec1492	0.5562021279777659	0.8440992810952608	0.458500751738642	0.38700330495804364	0.01804400709839678	0.4088935010097842	0.49715248491212594	0.4831353277414485	0.0	0.4471882907348245	0.5015558388027744	0.7568488260375061	0.11936353872393043	0.5134244697877627	0.6587366577233915	0.20712794176954044	0.11091644851739586	0.5940862742235811	0.1404811648297481	0.10636854741508574	0.11982863020836844	0.7653196683540431	0.5499094633371656	0.11290586459791847	0.10342977246372186	0.712225270996178	0.6951933849076269	0.7643257534222415	0.4658774443406997	0.3593431926721525	0.751697778159037	0.5902242567283326	0.40135605750750725	0.6006356153669062	0.3691962180930942
ec1493	0.5032388693906034	0.7940009665253536	0.48557143459317076	0.26509735574778237	0.45105686869968653	0.44929364661524185	0.32563312296681857	0.38777284707980275	0.4471882907348245	0.0	0.3403605818007964	0.677397921374024	0.41206657629237226	0.5056312593362268	0.5875319069308428	0.4434524140437434	0.5040263414055974	0.37486569062501796	0.49396915812559433	0.5042313757532106	0.5047368642143096	0.696615275800789	0.5501434987949293	0.5035464841731757	0.5019774296208562	0.5287689023385018	0.5045434270247017	0.7201458513844573	0.625543694529839	0.4959518745405378	0.6085036947871857	0.48470453706304106	0.5226300481107962	0.6024379417687374	0.34329867897316035
