	ec1249	ec1257	ec1265	ec1298	ec1301	ec1309	ec1314	ec1317	ec1346	ec1349	ec1356	ec1359	ec1361	ec1362	ec1368	ec1378	ec1380	ec1390	ec1392	ec1393	ec1396	ec1400	ec1408	ec1409	ec1411	ec1420	ec1422	ec1424	ec1425	ec1427	ec1435	ec1437	eti111	eti121	eti125
ec1249	0.0	0.634	0.674	0.796	0.686	0.934	0.698	0.794	0.77	0.702	0.796	0.886	0.61	0.7	0.706	0.906	0.728	0.688	0.588	0.686	0.852	0.542	0.868	0.846	0.758	0.86	0.838	0.654	0.552	0.77	0.836	0.81	0.646	0.894	0.758
ec1257	0.634	0.0	0.552	0.87	0.628	0.85	0.86	0.758	0.844	0.724	0.794	0.936	0.752	0.616	0.54	0.968	0.824	0.866	0.402	0.696	0.882	0.56	0.912	0.91	0.81	0.902	0.904	0.602	0.626	0.768	0.816	0.912	0.56	0.934	0.896
ec1265	0.674	0.552	0.0	0.902	0.662	0.806	0.956	0.672	0.892	0.814	0.834	0.956	0.744	0.728	0.518	0.98	0.846	0.934	0.506	0.63	0.838	0.752	0.96	0.934	0.79	0.874	0.926	0.638	0.662	0.71	0.778	0.932	0.62	0.964	0.926
ec1298	0.796	0.87	0.902	0.0	0.86	0.934	0.852	0.818	0.754	0.83	0.926	0.944	0.876	0.866	0.886	0.95	0.832	0.878	0.86	0.752	0.9	0.892	0.938	0.892	0.886	0.93	0.898	0.882	0.826	0.888	0.932	0.856	0.808	0.952	0.87
ec1301	0.686	0.628	0.662	0.86	0.0	0.886	0.958	0.746	0.87	0.896	0.944	0.962	0.826	0.682	0.654	0.958	0.828	0.942	0.646	0.706	0.932	0.668	0.96	0.932	0.856	0.936	0.94	0.696	0.712	0.804	0.908	0.92	0.668	0.946	0.924
ec1309	0.934	0.85	0.806	0.934	0.886	0.0	0.96	0.828	0.922	0.946	0.962	0.968	0.946	0.906	0.758	0.988	0.962	0.966	0.818	0.826	0.966	0.95	0.982	0.948	0.938	0.936	0.95	0.914	0.88	0.868	0.974	0.954	0.904	0.984	0.974
ec1314	0.698	0.86	0.956	0.852	0.958	0.96	0.0	0.968	0.542	0.552	0.848	0.582	0.548	0.858	0.856	0.656	0.522	0.518	0.692	0.904	0.6	0.522	0.566	0.594	0.598	0.628	0.574	0.856	0.524	0.892	0.952	0.58	0.61	0.796	0.73
ec1317	0.794	0.758	0.672	0.818	0.746	0.828	0.968	0.0	0.766	0.92	0.964	0.958	0.846	0.792	0.666	0.964	0.782	0.956	0.716	0.56	0.946	0.832	0.972	0.944	0.87	0.94	0.95	0.804	0.752	0.71	0.928	0.928	0.764	0.988	0.928
ec1346	0.77	0.844	0.892	0.754	0.87	0.922	0.542	0.766	0.0	0.516	0.876	0.416	0.4	0.798	0.842	0.378	0.41	0.624	0.764	0.754	0.376	0.622	0.568	0.342	0.322	0.364	0.33	0.868	0.51	0.828	0.94	0.556	0.56	0.804	0.754
ec1349	0.702	0.724	0.814	0.83	0.896	0.946	0.552	0.92	0.516	0.0	0.63	0.584	0.446	0.812	0.774	0.636	0.564	0.56	0.702	0.888	0.574	0.616	0.53	0.566	0.49	0.572	0.5	0.812	0.5	0.826	0.794	0.56	0.53	0.784	0.764
ec1356	0.796	0.794	0.834	0.926	0.944	0.962	0.848	0.964	0.876	0.63	0.0	0.87	0.742	0.89	0.844	0.924	0.858	0.866	0.78	0.94	0.86	0.88	0.88	0.844	0.832	0.888	0.872	0.848	0.812	0.896	0.784	0.872	0.76	0.892	0.882
ec1359	0.886	0.936	0.956	0.944	0.962	0.968	0.582	0.958	0.416	0.584	0.87	0.0	0.434	0.872	0.882	0.434	0.332	0.69	0.83	0.95	0.424	0.688	0.354	0.404	0.384	0.422	0.412	0.904	0.598	0.876	0.952	0.636	0.664	0.834	0.836
ec1361	0.61	0.752	0.744	0.876	0.826	0.946	0.548	0.846	0.4	0.446	0.742	0.434	0.0	0.716	0.724	0.47	0.31	0.586	0.65	0.774	0.378	0.566	0.566	0.4	0.308	0.416	0.41	0.702	0.326	0.76	0.82	0.582	0.452	0.802	0.748
ec1362	0.7	0.616	0.728	0.866	0.682	0.906	0.858	0.792	0.798	0.812	0.89	0.872	0.716	0.0	0.516	0.87	0.714	0.832	0.49	0.73	0.836	0.62	0.876	0.852	0.77	0.846	0.85	0.596	0.666	0.632	0.912	0.762	0.528	0.896	0.832
ec1368	0.706	0.54	0.518	0.886	0.654	0.758	0.856	0.666	0.842	0.774	0.844	0.882	0.724	0.516	0.0	0.926	0.778	0.866	0.444	0.61	0.88	0.63	0.882	0.876	0.756	0.84	0.872	0.606	0.642	0.618	0.864	0.806	0.588	0.902	0.86
ec1378	0.906	0.968	0.98	0.95	0.958	0.988	0.656	0.964	0.378	0.636	0.924	0.434	0.47	0.87	0.926	0.0	0.496	0.718	0.882	0.958	0.186	0.708	0.626	0.216	0.288	0.144	0.28	0.944	0.632	0.91	0.982	0.652	0.7	0.838	0.872
ec1380	0.728	0.824	0.846	0.832	0.828	0.962	0.522	0.782	0.41	0.564	0.858	0.332	0.31	0.714	0.778	0.496	0.0	0.666	0.706	0.746	0.458	0.572	0.47	0.47	0.4	0.492	0.504	0.79	0.446	0.798	0.914	0.624	0.518	0.834	0.788
ec1390	0.688	0.866	0.934	0.878	0.942	0.966	0.518	0.956	0.624	0.56	0.866	0.69	0.586	0.832	0.866	0.718	0.666	0.0	0.726	0.87	0.664	0.564	0.416	0.676	0.636	0.69	0.54	0.738	0.582	0.866	0.926	0.65	0.594	0.794	0.626
