	ec1249	ec1257	ec1265	ec1298	ec1301	ec1309	ec1314	ec1317	ec1346	ec1349	ec1356	ec1359	ec1361	ec1362	ec1368	ec1378	ec1380	ec1390	ec1392	ec1393	ec1396	ec1400	ec1408	ec1409	ec1411	ec1420	ec1422	ec1424	ec1425	ec1427	ec1435	ec1437	eti111	eti121	eti125
ec1249	0.0	0.6831117127417013	0.4365049405319916	0.5032321782971844	0.4554996959748072	0.5113282349006251	0.5935606981287148	0.5857262755261982	0.5356726846782145	0.4453498327843991	0.6134919515547742	0.551235248428463	0.5945984561366681	0.6037900824786803	0.5128155453671084	0.6160700844062339	0.6208694227398172	0.5691949647091671	0.5759322858433243	0.6169738767869326	0.6317788125969165	0.49138942542383507	0.6004181942062164	0.5052758099275181	0.47799513860362436	0.5812130392828391	0.6049342775039239	0.5882210354895646	0.6070505032393518	0.5956775670672982	0.5538405933027634	0.4432154305835865	0.5584140214615475	0.6495005941753921	0.5979355074314957
ec1257	0.6831117127417013	0.0	0.6633992296139266	0.6834514194193334	0.6478482305289349	0.6695320907741795	0.4856351695280886	0.586856049924802	0.5755439983675846	0.588623117570172	0.41317547885324224	0.49661018748005653	0.4841158268388439	0.43553565846723047	0.6873861691597567	0.5795647483683075	0.5646107606518601	0.45483337096258597	0.4621275471919268	0.6081518628404112	0.4928411355488214	0.47584178142939815	0.448482488435577	0.5607666115953113	0.5747670885420719	0.5191239692662285	0.4801555720570293	0.5047595600508531	0.5987953973530059	0.5485760225328856	0.6138819425086317	0.5977707760851305	0.6625540249840574	0.611040468151049	0.5307398432512113
ec1265	0.4365049405319916	0.6633992296139266	0.0	0.5327819714156091	0.4185961147716329	0.4633671797506655	0.6407012776983445	0.6459848400899466	0.573651757955955	0.41685299135377296	0.5717624655787809	0.5288184865975613	0.5740838371612315	0.6051522062615114	0.5887958830676373	0.683934381135831	0.6739740283067073	0.565948416817136	0.5302762694609319	0.6800360200512312	0.611085936458181	0.46114226253061746	0.6174330694975865	0.5238709655809676	0.46555488768925535	0.5634040286714109	0.6266329038796902	0.5779611907077347	0.6324513329942824	0.6180628680061745	0.5843687028624693	0.4629184200384643	0.5913124607176946	0.6589655757821329	0.6121976525901396
ec1298	0.5032321782971844	0.6834514194193334	0.5327819714156091	0.0	0.5024827839407944	0.5352381650697349	0.4754342982107898	0.505467460437281	0.3978078584111817	0.39081471752333996	0.5839692067420297	0.5392974707333384	0.5490301527029213	0.6010035435076327	0.4289512474261976	0.534879479143145	0.621550780236904	0.5634790696342472	0.5259740627154498	0.5396784882270454	0.6062992278174358	0.5181780243247509	0.6109267806755125	0.5281424236768918	0.4147586318877864	0.5539428855473351	0.6173468618320789	0.5755150463713222	0.5555205076733506	0.5703547391027918	0.48091616065921794	0.46116464851043915	0.5385766594486169	0.6145676385994273	0.6099574525676629
ec1301	0.4554996959748072	0.6478482305289349	0.4185961147716329	0.5024827839407944	0.0	0.4549603726250556	0.6197937811620141	0.6022794333342805	0.5874933095094558	0.35443401882584274	0.5436146921062252	0.5148806830270943	0.5124802378742782	0.5649526314782777	0.5846589603292013	0.6513598659192861	0.6399743212581949	0.5567684162234907	0.5059752660432935	0.6534027962469277	0.5548261718763339	0.4536229357560824	0.5571825173858185	0.4738025141492662	0.4503460220368392	0.5346850524019299	0.5686156441735563	0.5228273977331513	0.5983953954139014	0.5855185867061544	0.5361210606345299	0.4272949997205257	0.5330723371605457	0.5856612765614906	0.5533493277280718
ec1309	0.5113282349006251	0.6695320907741795	0.4633671797506655	0.5352381650697349	0.4549603726250556	0.0	0.6339268152263966	0.659704233528197	0.5807079000421806	0.42940657757973205	0.5706480932730741	0.5285189748630101	0.5963878732144862	0.6184176257806219	0.5365960748187758	0.6979945311314641	0.6898341838688434	0.5679290399558866	0.5168137097351357	0.6928998181789721	0.6343203320469294	0.5179153482168162	0.6167552905385885	0.4838845580818342	0.5072244589491582	0.5890404157019871	0.6309543557073222	0.5972193784916695	0.6326012103999517	0.6267063793107819	0.6062875822840926	0.49848683749936734	0.5900311248912857	0.669938069695108	0.6225891166736316
ec1314	0.5935606981287148	0.4856351695280886	0.6407012776983445	0.4754342982107898	0.6197937811620141	0.6339268152263966	0.0	0.2955021072382378	0.25097268367318426	0.5320052143903914	0.29079641890831986	0.40268399597620824	0.4005142923529051	0.3320840177806219	0.5060674349345715	0.2694998143899001	0.4176738681022505	0.3667266748924499	0.37185026418756545	0.3648274736305837	0.4078563636674083	0.3959750583110726	0.3489482244495444	0.48825498155303965	0.5214909539804574	0.4391966238194842	0.3820626900566399	0.4172141362640628	0.4772384882060929	0.412139160346419	0.5042402523898687	0.5403710375754999	0.619205647401133	0.5576189882557894	0.45312691421303314
ec1317	0.5857262755261982	0.586856049924802	0.6459848400899466	0.505467460437281	0.6022794333342805	0.659704233528197	0.2955021072382378	0.0	0.30878582261329834	0.5736927561761792	0.45031760846712093	0.47334572933696645	0.44577757536908025	0.38842068810726627	0.471611691474996	0.28800692963056285	0.43982771704225865	0.4618943373423599	0.4775780099007429	0.38255100457030344	0.42432234069856745	0.5244127264244796	0.42082923979549786	0.5510607902041951	0.5714688527266159	0.4584227563524174	0.4375728245862172	0.40301730458779733	0.48908325541420017	0.44459396373911936	0.5383585747937132	0.5123535193653181	0.6073694546166395	0.5865781685171473	0.43044750924475744
ec1346	0.5356726846782145	0.5755439983675846	0.573651757955955	0.3978078584111817	0.5874933095094558	0.5807079000421806	0.25097268367318426	0.30878582261329834	0.0	0.489637475087091	0.4395744465930467	0.39038288952047523	0.4267661671148755	0.4356721727481829	0.471621770491954	0.3599638001272144	0.4900980010269325	0.3519712676318217	0.38166866575945657	0.40371779833105614	0.4915162205336967	0.5048748657247651	0.45780740772662254	0.5377360978181447	0.5274658379596744	0.43901139313712423	0.49132526607263205	0.4720308982060853	0.48392064088181136	0.45428499417369167	0.5671357267082004	0.4876476904648089	0.6012157203860334	0.5390349552312449	0.4881847832545023
ec1349	0.4453498327843991	0.588623117570172	0.41685299135377296	0.39081471752333996	0.35443401882584274	0.42940657757973205	0.5320052143903914	0.5736927561761792	0.489637475087091	0.0	0.42337695208357146	0.3885080634314435	0.46909392608310824	0.49165476648719036	0.4840573348420869	0.615858127858491	0.5973893847472678	0.44181902434798714	0.3930427744266397	0.6028007816793387	0.5146923139796847	0.3802282166001006	0.5124307498859898	0.38885780571079753	0.3207946501233399	0.4516587104391785	0.5243272084450347	0.45323423164761417	0.5595797101536729	0.5283157969300859	0.43355240308980614	0.4068479745140269	0.44883309340796607	0.5534004374220993	0.5239630161015411
