	ec1249	ec1257	ec1265	ec1298	ec1301	ec1309	ec1314	ec1317	ec1346	ec1349	ec1356	ec1359	ec1361	ec1362	ec1368	ec1378	ec1380	ec1390	ec1392	ec1393	ec1396	ec1400	ec1408	ec1409	ec1411	ec1420	ec1422	ec1424	ec1425	ec1427	ec1435	ec1437	eti111	eti121	eti125
ec1249	0.0	0.1687835029320901	0.11582983271189913	0.2723813698069339	0.19555656186319703	0.23313396982470397	0.1669650792555079	0.3376344349309078	0.1260095168438937	0.11841834156339336	0.17676872649638525	0.18621797930118802	0.18240244179773024	0.11891405627607554	0.14742598403240012	0.1914254535966027	0.15533884280676213	0.18867745788594265	0.1677347069594675	0.13542307620737454	0.19342549292506533	0.1295701757091411	0.18495854309843945	0.1743886926062815	0.16024665609677735	0.18735413300599846	0.1809522831751908	0.16439628140308873	0.17068684474070267	0.2579519153822159	0.2828080732235122	0.20331209778175732	0.1348894122970553	0.31127335304468245	0.19407688792472091
ec1257	0.1687835029320901	0.0	0.14969591941149737	0.3735595217042686	0.29648444223409165	0.3013426942814108	0.05253399982640241	0.4150730961777103	0.11989347861610945	0.10592849692026503	0.2066773140995586	0.07285870996585717	0.06618552998302878	0.09446248860034626	0.23219813824356916	0.0819804104361521	0.07417329873813101	0.07019410773109525	0.03917679368949089	0.12462544667482563	0.07451865307955179	0.059375960595425166	0.06278606750288929	0.07967800372334424	0.07341821146498229	0.07501165574598347	0.07207701891839542	0.05684730257137836	0.05808407036350316	0.342165463814733	0.3642643148736206	0.3119629992520364	0.08505286733024782	0.3488933375400797	0.07470206849522756
ec1265	0.11582983271189913	0.14969591941149737	0.0	0.29096481396448165	0.226463814023412	0.21676054983949916	0.1625399779271568	0.38417540043166365	0.1460389166105689	0.12017192025997268	0.21288844737140533	0.17472019565380525	0.1717002598309565	0.12708382146236818	0.14687668187965816	0.18324435204675998	0.15968932745417289	0.18023830874030317	0.13692843309866667	0.13653378054188586	0.1759890564561129	0.13655554704267103	0.17685966339419318	0.17059225620902987	0.14922073466136518	0.1747248294364596	0.1729219100250025	0.15166951377106958	0.156720766362313	0.298683079691684	0.33644045291730734	0.24756646087748976	0.13532466337922067	0.3513269619911347	0.18390137311016394
ec1298	0.2723813698069339	0.3735595217042686	0.29096481396448165	0.0	0.3125373911060365	0.2568860342119338	0.37518981543535684	0.43523352327407233	0.31720607758281094	0.3122946634051088	0.3388596818379937	0.3879460827323867	0.38374520267114987	0.3094178156690344	0.23825204889172108	0.39097635667059677	0.35265497351269054	0.3936681520888178	0.35820535465944225	0.31266327119318515	0.3910629742007894	0.35578409278608375	0.3921536101698993	0.3838973333200476	0.35753341273736255	0.38735115251473773	0.38407228807294697	0.3630474077558804	0.3665977633257051	0.36626966437673303	0.40875997917714374	0.2940666899840149	0.33627538264061524	0.44402389654085406	0.39563489445831074
ec1301	0.19555656186319703	0.29648444223409165	0.226463814023412	0.3125373911060365	0.0	0.22116125778479623	0.30981854217053056	0.3217954039373936	0.28383791024396443	0.2532772325786732	0.19315827477183595	0.32203216847099253	0.3189794727622305	0.2706914678874344	0.2714152115253437	0.32821614215966416	0.2961144657268548	0.3275526944697162	0.30053606621587914	0.28451161552115733	0.3270360977184684	0.26621957967242577	0.32053208175211384	0.30218761488552176	0.29764912043263786	0.32263169906023936	0.31787937556198453	0.2970551858404125	0.3065596325664605	0.24344535760790062	0.2722126121669708	0.2349371392823323	0.27287001838085423	0.20628463534067942	0.32988275040238324
ec1309	0.23313396982470397	0.3013426942814108	0.21676054983949916	0.2568860342119338	0.22116125778479623	0.0	0.3210180084020114	0.40700310610173174	0.3065473053785318	0.27100777050154023	0.2534984719946943	0.3350907305389327	0.3337631819887531	0.2925150531282649	0.17506419186371494	0.3435715592171699	0.3192460865787012	0.3398170090247839	0.30282644328921987	0.2988252952893073	0.33866217767129775	0.27770136705528164	0.3315740475104621	0.32594160212620654	0.30842228022676066	0.33635124877968614	0.33277508306144976	0.3124317440982953	0.3168039645179191	0.32530869557999953	0.36487780227685906	0.25941027335054406	0.29399852181261354	0.3443746678913994	0.3448318144651164
ec1314	0.1669650792555079	0.05253399982640241	0.1625399779271568	0.37518981543535684	0.30981854217053056	0.3210180084020114	0.0	0.4186366062445642	0.09325097949412019	0.08814716509353492	0.21148055576754107	0.03450575934419958	0.03557963552044433	0.09793818330028245	0.23995947212760335	0.04172852481653522	0.04742165677570368	0.03693103527758833	0.037251101632112704	0.1249262733642775	0.041316253969640566	0.051423426427498364	0.032526531622105594	0.0573261064050605	0.04844415215646098	0.04108200919095851	0.032082241649330295	0.02849102446954093	0.031100014847553592	0.3424932524416977	0.3569648257716306	0.2892990454535379	0.06990141711009179	0.3502050342384613	0.04341991122578214
ec1317	0.3376344349309078	0.4150730961777103	0.38417540043166365	0.43523352327407233	0.3217954039373936	0.40700310610173174	0.4186366062445642	0.0	0.34808109523223696	0.39150953170766345	0.3881941359869044	0.42891196128869724	0.42434269304926303	0.33762996914250526	0.3937880901636574	0.4277115484045291	0.39029502522217313	0.4350428874826518	0.40478957122144327	0.3440982398961613	0.43129084693531905	0.4024156594552093	0.43070702442110165	0.42721380343302295	0.41088311934259564	0.4279952524884116	0.4229825541271145	0.4040627460729963	0.4110719670556021	0.1418506606521335	0.18860279822631562	0.20935686729796177	0.38213131701218517	0.36695227177007717	0.4338933444028341
ec1346	0.1260095168438937	0.11989347861610945	0.1460389166105689	0.31720607758281094	0.28383791024396443	0.3065473053785318	0.09325097949412019	0.34808109523223696	0.0	0.06849074266168396	0.22053875884966045	0.09483895206405434	0.09535321143825945	0.053535653570309434	0.19434314130490077	0.09602868060714044	0.06369866334950561	0.10025626097837441	0.10890653307162522	0.06509363287418729	0.09966383448370816	0.0881399103168181	0.10070381638543956	0.09060152621959333	0.07773088695724101	0.09494412673718292	0.09040058367553626	0.0895607371218836	0.09865119517281663	0.28202587709016413	0.3234791487878103	0.23535307197219488	0.07387046748748441	0.3491692765383021	0.10382952802264162
ec1349	0.11841834156339336	0.10592849692026503	0.12017192025997268	0.3122946634051088	0.2532772325786732	0.27100777050154023	0.08814716509353492	0.39150953170766345	0.06849074266168396	0.0	0.21050300127122684	0.10094312389032549	0.10075052394476341	0.07275914342239848	0.1776335027857861	0.10998484464206149	0.07402517894627478	0.10590035212282772	0.1024430373001801	0.10438854454367208	0.10909894987437543	0.07327883176402196	0.09938707067008824	0.09220106006253342	0.07455110040517718	0.1042492196299821	0.09855349297663833	0.08724926722271599	0.09629690837378393	0.31133964166827643	0.33926596580194507	0.23473219057201744	0.0634734157992945	0.34696590947552847	0.11266096884466985
