	ec1058	ec1063	ec1065	ec1073	ec1075	ec1078	ec1081	ec1082	ec1083	ec1084	ec1085	ec1086	ec1089	ec1091	ec1092	ec1094	ec1098	ec1100	ec1102	ec1105	ec1108	ec1109	ec1110	ec1113	ec1114	ec1116	ec1118	ec1122	ec1124	ec1129	ec1130	ec1132	ec1133	ec1138	ec1139	ec1140	ec1141	ec1149
ec1058	0.0	0.854	0.77	0.722	0.728	0.76	0.932	0.814	0.932	0.832	0.804	0.778	0.792	0.902	0.846	0.85	0.764	0.762	0.884	0.906	0.794	0.804	0.826	0.904	0.796	0.836	0.904	0.84	0.874	0.89	0.796	0.798	0.792	0.934	0.766	0.85	0.798	0.786
ec1063	0.854	0.0	0.884	0.868	0.822	0.866	0.964	0.832	0.924	0.894	0.858	0.812	0.852	0.814	0.922	0.864	0.794	0.898	0.832	0.884	0.866	0.846	0.712	0.958	0.86	0.888	0.792	0.8	0.94	0.962	0.832	0.88	0.852	0.852	0.812	0.914	0.852	0.86
ec1065	0.77	0.884	0.0	0.79	0.778	0.828	0.874	0.858	0.934	0.85	0.848	0.836	0.854	0.922	0.838	0.874	0.83	0.774	0.904	0.868	0.822	0.838	0.874	0.862	0.826	0.806	0.918	0.882	0.892	0.874	0.822	0.814	0.812	0.962	0.834	0.832	0.826	0.83
ec1073	0.722	0.868	0.79	0.0	0.744	0.808	0.892	0.826	0.9	0.862	0.79	0.764	0.792	0.83	0.838	0.846	0.774	0.822	0.864	0.928	0.792	0.79	0.834	0.866	0.81	0.838	0.896	0.826	0.896	0.916	0.76	0.764	0.796	0.916	0.726	0.812	0.788	0.798
ec1075	0.728	0.822	0.778	0.744	0.0	0.768	0.9	0.736	0.906	0.834	0.72	0.72	0.772	0.836	0.854	0.816	0.696	0.798	0.846	0.916	0.752	0.764	0.774	0.904	0.674	0.798	0.882	0.792	0.894	0.884	0.728	0.808	0.752	0.924	0.734	0.824	0.758	0.756
ec1078	0.76	0.866	0.828	0.808	0.768	0.0	0.932	0.822	0.926	0.766	0.744	0.72	0.786	0.92	0.798	0.81	0.766	0.708	0.9	0.896	0.754	0.726	0.84	0.89	0.756	0.83	0.916	0.886	0.85	0.904	0.794	0.806	0.71	0.96	0.794	0.814	0.67	0.716
ec1081	0.932	0.964	0.874	0.892	0.9	0.932	0.0	0.954	0.832	0.936	0.908	0.934	0.922	0.964	0.906	0.922	0.942	0.926	0.964	0.894	0.942	0.934	0.958	0.932	0.93	0.856	0.926	0.946	0.802	0.95	0.944	0.906	0.926	0.968	0.936	0.812	0.922	0.936
ec1082	0.814	0.832	0.858	0.826	0.736	0.822	0.954	0.0	0.936	0.908	0.75	0.734	0.772	0.824	0.906	0.806	0.7	0.866	0.864	0.892	0.812	0.808	0.776	0.946	0.756	0.862	0.862	0.774	0.922	0.956	0.768	0.872	0.824	0.904	0.79	0.882	0.818	0.808
ec1083	0.932	0.924	0.934	0.9	0.906	0.926	0.832	0.936	0.0	0.942	0.934	0.892	0.93	0.898	0.92	0.94	0.93	0.944	0.95	0.966	0.926	0.93	0.924	0.954	0.948	0.864	0.942	0.936	0.808	0.95	0.904	0.902	0.928	0.938	0.868	0.672	0.938	0.936
ec1084	0.832	0.894	0.85	0.862	0.834	0.766	0.936	0.908	0.942	0.0	0.85	0.85	0.876	0.926	0.72	0.892	0.894	0.752	0.912	0.926	0.826	0.834	0.894	0.842	0.86	0.824	0.928	0.912	0.782	0.812	0.886	0.8	0.824	0.974	0.814	0.8	0.816	0.858
ec1085	0.804	0.858	0.848	0.79	0.72	0.744	0.908	0.75	0.934	0.85	0.0	0.672	0.808	0.854	0.872	0.714	0.694	0.838	0.872	0.866	0.758	0.69	0.8	0.916	0.688	0.846	0.85	0.792	0.884	0.934	0.738	0.838	0.714	0.91	0.764	0.846	0.718	0.714
ec1086	0.778	0.812	0.836	0.764	0.72	0.72	0.934	0.734	0.892	0.85	0.672	0.0	0.766	0.83	0.884	0.728	0.726	0.836	0.828	0.866	0.75	0.678	0.762	0.946	0.714	0.84	0.852	0.782	0.9	0.952	0.742	0.812	0.7	0.886	0.774	0.852	0.732	0.7
ec1089	0.792	0.852	0.854	0.792	0.772	0.786	0.922	0.772	0.93	0.876	0.808	0.766	0.0	0.886	0.876	0.856	0.754	0.862	0.888	0.864	0.796	0.822	0.848	0.926	0.826	0.858	0.896	0.824	0.908	0.938	0.82	0.824	0.846	0.94	0.8	0.862	0.792	0.812
ec1091	0.902	0.814	0.922	0.83	0.836	0.92	0.964	0.824	0.898	0.926	0.854	0.83	0.886	0.0	0.916	0.86	0.844	0.904	0.794	0.912	0.864	0.864	0.788	0.952	0.878	0.9	0.832	0.804	0.942	0.944	0.83	0.824	0.868	0.798	0.772	0.852	0.898	0.892
ec1092	0.846	0.922	0.838	0.838	0.854	0.798	0.906	0.906	0.92	0.72	0.872	0.884	0.876	0.916	0.0	0.898	0.894	0.75	0.948	0.942	0.848	0.838	0.916	0.806	0.882	0.78	0.93	0.918	0.74	0.816	0.872	0.84	0.828	0.96	0.828	0.808	0.826	0.892
ec1094	0.85	0.864	0.874	0.846	0.816	0.81	0.922	0.806	0.94	0.892	0.714	0.728	0.856	0.86	0.898	0.0	0.814	0.856	0.878	0.864	0.808	0.738	0.818	0.932	0.782	0.828	0.848	0.826	0.9	0.954	0.778	0.834	0.762	0.898	0.834	0.878	0.78	0.79
ec1098	0.764	0.794	0.83	0.774	0.696	0.766	0.942	0.7	0.93	0.894	0.694	0.726	0.754	0.844	0.894	0.814	0.0	0.844	0.854	0.862	0.76	0.792	0.794	0.92	0.714	0.85	0.862	0.718	0.912	0.924	0.692	0.848	0.8	0.894	0.75	0.874	0.792	0.758
ec1100	0.762	0.898	0.774	0.822	0.798	0.708	0.926	0.866	0.944	0.752	0.838	0.836	0.862	0.904	0.75	0.856	0.844	0.0	0.91	0.906	0.764	0.802	0.856	0.8	0.834	0.806	0.908	0.894	0.798	0.872	0.852	0.802	0.8	0.952	0.82	0.83	0.804	0.838
ec1102	0.884	0.832	0.904	0.864	0.846	0.9	0.964	0.864	0.95	0.912	0.872	0.828	0.888	0.794	0.948	0.878	0.854	0.91	0.0	0.91	0.89	0.9	0.704	0.976	0.892	0.924	0.758	0.832	0.962	0.972	0.842	0.894	0.892	0.766	0.862	0.89	0.91	0.848
ec1105	0.906	0.884	0.868	0.928	0.916	0.896	0.894	0.892	0.966	0.926	0.866	0.866	0.864	0.912	0.942	0.864	0.862	0.906	0.91	0.0	0.884	0.874	0.886	0.962	0.872	0.892	0.894	0.848	0.946	0.964	0.872	0.888	0.9	0.922	0.944	0.946	0.878	0.88
