	ec1058	ec1063	ec1065	ec1073	ec1075	ec1078	ec1081	ec1082	ec1083	ec1084	ec1085	ec1086	ec1089	ec1091	ec1092	ec1094	ec1098	ec1100	ec1102	ec1105	ec1108	ec1109	ec1110	ec1113	ec1114	ec1116	ec1118	ec1122	ec1124	ec1129	ec1130	ec1132	ec1133	ec1138	ec1139	ec1140	ec1141	ec1149
ec1058	0.0	0.19212023770327752	0.21481503879677255	0.1712510378847324	0.14426575733318558	0.1284344642197416	0.2634833520659715	0.14984984793607478	0.3493361709545305	0.16742416519807352	0.13963570436538766	0.14003077270320388	0.1676629182259307	0.17896140130347032	0.2028330775259331	0.17285813576788014	0.16196038747743646	0.15964861999674498	0.17545083437038766	0.22835329892328993	0.1440444003339687	0.14235483211468064	0.1620864264878944	0.221546180312713	0.16670928153917372	0.24543837832209725	0.20933620854215476	0.2009318158205439	0.2475409551460457	0.23743515929689885	0.15662845293921832	0.1766477047200049	0.1411588849608788	0.1852681771769342	0.14781916658034686	0.2783800228927157	0.14581989062894785	0.15742527910951337
ec1063	0.19212023770327752	0.0	0.25033404107707113	0.22203347194169007	0.18150499300957573	0.20483692433313402	0.2732581817942877	0.13088866952257738	0.33491174673158597	0.18609639973356382	0.14817159840110636	0.15994632709399936	0.14873819562582555	0.1644697473656217	0.21096478942298352	0.16431536636406746	0.13441060275872377	0.17182459688047622	0.16402366436129287	0.20623154467699667	0.16369941063199175	0.15523897074639237	0.13847993866353894	0.28623352245394806	0.14560089915133126	0.2499967875380084	0.14056010798262006	0.14664499995733735	0.26470616955021703	0.2771356153181127	0.164235188023602	0.1991779372763137	0.1621760413955028	0.15483344346287367	0.19530355539344285	0.3155341708547184	0.17663081171807518	0.16125422784851565
ec1065	0.21481503879677255	0.25033404107707113	0.0	0.20815763191362613	0.19895735537569648	0.22907182401048254	0.249716716724381	0.2608521277312362	0.377531515876118	0.2043534071732674	0.2292386085463444	0.24204698432706107	0.23183067630935855	0.2291298187026791	0.19929016114109058	0.22372821124760198	0.2372118775485379	0.2129597540380138	0.23753357231834774	0.22433202933783797	0.24617900106666962	0.24788608004439736	0.21834837017418185	0.2616034160244184	0.21727991962536294	0.2423750033936817	0.2773720181382416	0.24615589528127563	0.2815622570650179	0.2393015649676101	0.23681032396739568	0.19558787398707192	0.22164850951111098	0.24550105535395783	0.22050861700337882	0.3092273843087398	0.2219051973150833	0.24579928292402933
ec1073	0.1712510378847324	0.22203347194169007	0.20815763191362613	0.0	0.1610170728267721	0.18956346660027207	0.2785666705899213	0.2042823639316559	0.35799668260507966	0.1797778283026321	0.18158881632244822	0.1871017715808008	0.18503100231403358	0.1726212931899795	0.19269972418449408	0.2010653455882748	0.18505272594686784	0.2054798127155727	0.19333164365306288	0.25595435569581043	0.1806525459129274	0.2059647133648812	0.18561114110358393	0.22247336310798443	0.1853171247317509	0.2719250417934054	0.24376276485129703	0.23090417864378263	0.2668454823741222	0.23038761089750498	0.17893402943343692	0.17154391513538	0.18201928595115915	0.18450480113570772	0.14774984069580424	0.27239677899669035	0.1957581389915558	0.2068249983970192
ec1075	0.14426575733318558	0.18150499300957573	0.19895735537569648	0.1610170728267721	0.0	0.156957780730563	0.23918156344196811	0.1490530366536739	0.341593824444088	0.15396286608348242	0.14056091203253201	0.14387210284298804	0.1569271182158694	0.13537121702230187	0.16124172232994377	0.15921234086246785	0.15600661878241	0.16805972033997685	0.15201774049744665	0.1914619396194718	0.13195351937522679	0.16384069812823984	0.1458932789330206	0.20966304028380092	0.14565240960870568	0.23422825600951933	0.19282160618494723	0.18367289861037198	0.2382237207321682	0.19208772567763996	0.14767679744297785	0.13974993585380105	0.13809275264392723	0.15155477422921348	0.13134000373433938	0.25398025320080087	0.16641394106703908	0.18679492579224435
ec1078	0.1284344642197416	0.20483692433313402	0.22907182401048254	0.18956346660027207	0.156957780730563	0.0	0.2869885952517071	0.16111997593097052	0.3583058384162909	0.18500112249046988	0.15039999335147827	0.13658462143363526	0.15275557450416155	0.19733174745799267	0.2148442745845046	0.18398238589476573	0.1712514104718143	0.17388920255337117	0.18057636230975688	0.23685040444816507	0.1546193079324731	0.1464682538216753	0.16925517957957772	0.2226871166638655	0.18219798651225452	0.2648280198907313	0.21205897962741038	0.222066609928998	0.25549088142707826	0.24681191527964697	0.15455196155880893	0.2058431801103368	0.13694634490120258	0.20816874599576404	0.1752088860311294	0.2860552551303258	0.1501828539193355	0.18266012356812109
ec1081	0.2634833520659715	0.2732581817942877	0.249716716724381	0.2785666705899213	0.23918156344196811	0.2869885952517071	0.0	0.29003867391018634	0.2413365194732604	0.23891036687082132	0.2694328010527051	0.27609354098473854	0.2761681302329752	0.26861142164490476	0.22540578692876112	0.2493467271332581	0.2781381321641138	0.23455568432801163	0.28624833017782614	0.21158821516810192	0.26817078293603624	0.291046727509738	0.2630607726094013	0.3025921825691985	0.24347438162075255	0.20944184278807623	0.28138034169883763	0.2651245877291233	0.15574449633351256	0.27296169989207747	0.2852352303829469	0.22657994052507954	0.2749975196366548	0.2730859534163773	0.25858800903078333	0.19644096963217195	0.24482124340841244	0.27712951336711233
ec1082	0.14984984793607478	0.13088866952257738	0.2608521277312362	0.2042823639316559	0.1490530366536739	0.16111997593097052	0.29003867391018634	0.0	0.34688778055499064	0.18287472040235858	0.12441838813687657	0.12687751536570105	0.13002156903272788	0.16059288735032348	0.21895019365113708	0.1678895469899779	0.1305672729145547	0.1743343605520033	0.15699862792470878	0.23175317450175642	0.12743437268473312	0.13485459211662879	0.13690751492127806	0.24444266658938152	0.14993803586481566	0.2713777958544486	0.14867302089799478	0.1562994561545276	0.2697400574605905	0.26832120540262805	0.14298759798613675	0.1958741394541842	0.14120327937053098	0.15314561584822767	0.19242365340379505	0.3029023759357807	0.16657140276522378	0.15917160270160627
ec1083	0.3493361709545305	0.33491174673158597	0.377531515876118	0.35799668260507966	0.341593824444088	0.3583058384162909	0.2413365194732604	0.34688778055499064	0.0	0.3514296988683684	0.331716366083561	0.3351250084190675	0.33834027510949877	0.3421902050431812	0.33165147175081416	0.34466845219036263	0.3424185330232245	0.3258568002405727	0.35098881416221944	0.35295288136295966	0.3400472075849956	0.3408942476852406	0.3267009724515978	0.3926082211056935	0.3263093650184986	0.3256316346501094	0.34148868458614806	0.34301868534074986	0.2100413723262567	0.36916746143026863	0.3554984648434518	0.344185602353797	0.3455227751479727	0.3393780473072169	0.33137674264780476	0.15322210980799755	0.35171131320146576	0.36119611851191635
ec1084	0.16742416519807352	0.18609639973356382	0.2043534071732674	0.1797778283026321	0.15396286608348242	0.18500112249046988	0.23891036687082132	0.18287472040235858	0.3514296988683684	0.0	0.17270124473511658	0.1839460050333342	0.1801556007936633	0.17707268693934675	0.14332177509277697	0.167321350221877	0.17335936995703008	0.1351353747408225	0.19870898595388006	0.1947293820401691	0.15723142362161774	0.1893658346083624	0.18681181451238682	0.20018570487271725	0.15990543203663338	0.21990870832589315	0.2120048516665586	0.18916025694658395	0.21935254693256034	0.2082714825554147	0.1924734256490994	0.16168680464045615	0.17021824584386475	0.1883103370959265	0.16998535184276026	0.27525062394657307	0.16900190900466933	0.17107295246331247
