	ec1249	ec1257	ec1262	ec1265	ec1298	ec1301	ec1309	ec1314	ec1317	ec1330	ec1346	ec1349	ec1356	ec1361	ec1362	ec1368	ec1377	ec1378	ec1380	ec1390	ec1392	ec1393	ec1396	ec1400	ec1408	ec1409	ec1411	ec1420	ec1422	ec1424	ec1425	ec1427	ec1435	ec1437	eti111	eti114	eti121	eti125
ec1249	0.0	0.67	0.904	0.7	0.806	0.72	0.924	0.716	0.766	0.776	0.742	0.7	0.816	0.58	0.744	0.754	0.746	0.922	0.734	0.692	0.642	0.674	0.836	0.532	0.854	0.838	0.748	0.872	0.822	0.684	0.55	0.82	0.858	0.812	0.666	0.848	0.912	0.744
ec1257	0.67	0.0	0.862	0.546	0.89	0.594	0.848	0.85	0.748	0.87	0.83	0.694	0.776	0.744	0.62	0.578	0.564	0.966	0.822	0.86	0.422	0.712	0.852	0.608	0.894	0.89	0.77	0.89	0.85	0.574	0.646	0.778	0.83	0.9	0.56	0.848	0.936	0.852
ec1262	0.904	0.862	0.0	0.828	0.852	0.856	0.828	0.964	0.524	0.964	0.8	0.946	0.97	0.95	0.914	0.834	0.788	0.97	0.932	0.968	0.838	0.734	0.964	0.962	0.978	0.964	0.968	0.95	0.954	0.936	0.894	0.908	0.99	0.936	0.902	0.92	0.978	0.982
ec1265	0.7	0.546	0.828	0.0	0.916	0.632	0.8	0.952	0.67	0.918	0.892	0.79	0.852	0.748	0.704	0.508	0.486	0.982	0.84	0.906	0.472	0.586	0.84	0.738	0.936	0.924	0.758	0.858	0.886	0.59	0.686	0.714	0.782	0.938	0.616	0.85	0.964	0.894
ec1298	0.806	0.89	0.852	0.916	0.0	0.876	0.93	0.85	0.834	0.864	0.756	0.854	0.942	0.864	0.876	0.896	0.858	0.942	0.868	0.886	0.874	0.782	0.906	0.912	0.926	0.886	0.876	0.904	0.872	0.898	0.842	0.902	0.946	0.832	0.812	0.89	0.946	0.868
ec1301	0.72	0.594	0.856	0.632	0.876	0.0	0.876	0.958	0.72	0.93	0.87	0.878	0.964	0.83	0.654	0.674	0.592	0.96	0.824	0.918	0.612	0.704	0.91	0.676	0.946	0.918	0.858	0.916	0.912	0.664	0.722	0.812	0.916	0.912	0.64	0.88	0.944	0.898
ec1309	0.924	0.848	0.828	0.8	0.93	0.876	0.0	0.96	0.84	0.952	0.93	0.922	0.948	0.938	0.876	0.782	0.812	0.988	0.96	0.936	0.81	0.822	0.954	0.944	0.97	0.952	0.926	0.93	0.93	0.906	0.872	0.86	0.968	0.956	0.906	0.9	0.98	0.966
ec1314	0.716	0.85	0.964	0.952	0.85	0.958	0.96	0.0	0.966	0.536	0.478	0.544	0.844	0.464	0.862	0.866	0.946	0.598	0.48	0.532	0.698	0.882	0.552	0.516	0.512	0.538	0.516	0.58	0.534	0.868	0.506	0.866	0.956	0.596	0.622	0.568	0.76	0.73
ec1317	0.766	0.748	0.524	0.67	0.834	0.72	0.84	0.966	0.0	0.934	0.758	0.906	0.984	0.852	0.768	0.67	0.564	0.964	0.792	0.928	0.68	0.576	0.932	0.818	0.956	0.936	0.87	0.924	0.922	0.784	0.734	0.696	0.938	0.912	0.728	0.89	0.982	0.904
ec1330	0.776	0.87	0.964	0.918	0.864	0.93	0.952	0.536	0.934	0.0	0.678	0.724	0.884	0.748	0.838	0.87	0.93	0.836	0.776	0.674	0.732	0.88	0.802	0.67	0.79	0.776	0.73	0.788	0.746	0.884	0.66	0.82	0.51	0.756	0.726	0.772	0.806	0.762
ec1346	0.742	0.83	0.8	0.892	0.756	0.87	0.93	0.478	0.758	0.678	0.0	0.496	0.88	0.394	0.796	0.862	0.86	0.424	0.372	0.59	0.742	0.764	0.402	0.59	0.546	0.38	0.328	0.388	0.338	0.876	0.526	0.8	0.926	0.554	0.576	0.352	0.764	0.746
ec1349	0.7	0.694	0.946	0.79	0.854	0.878	0.922	0.544	0.906	0.724	0.496	0.0	0.632	0.406	0.784	0.78	0.874	0.648	0.544	0.564	0.666	0.868	0.56	0.592	0.528	0.55	0.466	0.564	0.508	0.812	0.502	0.764	0.798	0.554	0.552	0.508	0.748	0.754
ec1356	0.816	0.776	0.97	0.852	0.942	0.964	0.948	0.844	0.984	0.884	0.88	0.632	0.0	0.72	0.888	0.878	0.96	0.922	0.864	0.88	0.76	0.954	0.848	0.88	0.878	0.826	0.83	0.888	0.862	0.87	0.806	0.898	0.816	0.884	0.792	0.868	0.886	0.88
ec1361	0.58	0.744	0.95	0.748	0.864	0.83	0.938	0.464	0.852	0.748	0.394	0.406	0.72	0.0	0.734	0.768	0.812	0.488	0.33	0.554	0.636	0.756	0.382	0.568	0.526	0.368	0.312	0.436	0.414	0.704	0.386	0.736	0.804	0.56	0.494	0.42	0.764	0.702
ec1362	0.744	0.62	0.914	0.704	0.876	0.654	0.876	0.862	0.768	0.838	0.796	0.784	0.888	0.734	0.0	0.534	0.624	0.866	0.728	0.816	0.5	0.722	0.82	0.656	0.852	0.85	0.76	0.836	0.818	0.576	0.68	0.652	0.912	0.776	0.52	0.812	0.888	0.816
ec1368	0.754	0.578	0.834	0.508	0.896	0.674	0.782	0.866	0.67	0.87	0.862	0.78	0.878	0.768	0.534	0.0	0.568	0.94	0.792	0.86	0.478	0.616	0.872	0.674	0.884	0.888	0.76	0.848	0.85	0.634	0.674	0.632	0.856	0.846	0.632	0.81	0.924	0.852
ec1377	0.746	0.564	0.788	0.486	0.858	0.592	0.812	0.946	0.564	0.93	0.86	0.874	0.96	0.812	0.624	0.568	0.0	0.964	0.798	0.916	0.476	0.48	0.868	0.728	0.956	0.916	0.81	0.9	0.908	0.582	0.652	0.67	0.916	0.912	0.58	0.89	0.982	0.892
ec1378	0.922	0.966	0.97	0.982	0.942	0.96	0.988	0.598	0.964	0.836	0.424	0.648	0.922	0.488	0.866	0.94	0.964	0.0	0.458	0.72	0.866	0.96	0.17	0.696	0.602	0.23	0.378	0.148	0.324	0.962	0.666	0.874	0.984	0.64	0.726	0.28	0.8	0.892
ec1380	0.734	0.822	0.932	0.84	0.868	0.824	0.96	0.48	0.792	0.776	0.372	0.544	0.864	0.33	0.728	0.792	0.798	0.458	0.0	0.646	0.686	0.766	0.416	0.552	0.45	0.404	0.356	0.438	0.438	0.808	0.482	0.778	0.918	0.612	0.526	0.442	0.788	0.792
ec1390	0.692	0.86	0.968	0.906	0.886	0.918	0.936	0.532	0.928	0.674	0.59	0.564	0.88	0.554	0.816	0.86	0.916	0.72	0.646	0.0	0.726	0.826	0.676	0.58	0.42	0.664	0.596	0.672	0.532	0.7	0.546	0.808	0.93	0.63	0.61	0.56	0.758	0.602
ec1392	0.642	0.422	0.838	0.472	0.874	0.612	0.81	0.698	0.68	0.732	0.742	0.666	0.76	0.636	0.5	0.478	0.476	0.866	0.686	0.726	0.0	0.66	0.726	0.51	0.8	0.772	0.612	0.764	0.742	0.482	0.474	0.624	0.814	0.802	0.39	0.726	0.832	0.756
ec1393	0.674	0.712	0.734	0.586	0.782	0.704	0.822	0.882	0.576	0.88	0.764	0.868	0.954	0.756	0.722	0.616	0.48	0.96	0.766	0.826	0.66	0.0	0.91	0.796	0.922	0.918	0.832	0.918	0.882	0.714	0.692	0.804	0.898	0.892	0.69	0.852	0.952	0.83
ec1396	0.836	0.852	0.964	0.84	0.906	0.91	0.954	0.552	0.932	0.802	0.402	0.56	0.848	0.382	0.82	0.872	0.868	0.17	0.416	0.676	0.726	0.91	0.0	0.666	0.566	0.18	0.27	0.128	0.274	0.838	0.616	0.816	0.886	0.634	0.644	0.23	0.78	0.842
ec1400	0.532	0.608	0.962	0.738	0.912	0.676	0.944	0.516	0.818	0.67	0.59	0.592	0.88	0.568	0.656	0.674	0.728	0.696	0.552	0.58	0.51	0.796	0.666	0.0	0.64	0.63	0.568	0.66	0.63	0.722	0.402	0.782	0.92	0.634	0.474	0.656	0.764	0.764
ec1408	0.854	0.894	0.978	0.936	0.926	0.946	0.97	0.512	0.956	0.79	0.546	0.528	0.878	0.526	0.852	0.884	0.956	0.602	0.45	0.42	0.8	0.922	0.566	0.64	0.0	0.568	0.536	0.582	0.458	0.918	0.64	0.858	0.944	0.614	0.658	0.474	0.764	0.848
ec1409	0.838	0.89	0.964	0.924	0.886	0.918	0.952	0.538	0.936	0.776	0.38	0.55	0.826	0.368	0.85	0.888	0.916	0.23	0.404	0.664	0.772	0.918	0.18	0.63	0.568	0.0	0.296	0.186	0.242	0.902	0.536	0.838	0.916	0.596	0.642	0.214	0.774	0.822
ec1411	0.748	0.77	0.968	0.758	0.876	0.858	0.926	0.516	0.87	0.73	0.328	0.466	0.83	0.312	0.76	0.76	0.81	0.378	0.356	0.596	0.612	0.832	0.27	0.568	0.536	0.296	0.0	0.272	0.26	0.748	0.496	0.71	0.86	0.59	0.546	0.304	0.748	0.746
ec1420	0.872	0.89	0.95	0.858	0.904	0.916	0.93	0.58	0.924	0.788	0.388	0.564	0.888	0.436	0.836	0.848	0.9	0.148	0.438	0.672	0.764	0.918	0.128	0.66	0.582	0.186	0.272	0.0	0.256	0.85	0.586	0.784	0.928	0.622	0.668	0.202	0.784	0.842
ec1422	0.822	0.85	0.954	0.886	0.872	0.912	0.93	0.534	0.922	0.746	0.338	0.508	0.862	0.414	0.818	0.85	0.908	0.324	0.438	0.532	0.742	0.882	0.274	0.63	0.458	0.242	0.26	0.256	0.0	0.866	0.544	0.798	0.918	0.572	0.6	0.148	0.754	0.8
ec1424	0.684	0.574	0.936	0.59	0.898	0.664	0.906	0.868	0.784	0.884	0.876	0.812	0.87	0.704	0.576	0.634	0.582	0.962	0.808	0.7	0.482	0.714	0.838	0.722	0.918	0.902	0.748	0.85	0.866	0.0	0.69	0.762	0.854	0.918	0.54	0.85	0.94	0.436
ec1425	0.55	0.646	0.894	0.686	0.842	0.722	0.872	0.506	0.734	0.66	0.526	0.502	0.806	0.386	0.68	0.674	0.652	0.666	0.482	0.546	0.474	0.692	0.616	0.402	0.64	0.536	0.496	0.586	0.544	0.69	0.0	0.624	0.898	0.576	0.43	0.55	0.764	0.73
ec1427	0.82	0.778	0.908	0.714	0.902	0.812	0.86	0.866	0.696	0.82	0.8	0.764	0.898	0.736	0.652	0.632	0.67	0.874	0.778	0.808	0.624	0.804	0.816	0.782	0.858	0.838	0.71	0.784	0.798	0.762	0.624	0.0	0.904	0.734	0.69	0.766	0.876	0.806
ec1435	0.858	0.83	0.99	0.782	0.946	0.916	0.968	0.956	0.938	0.51	0.926	0.798	0.816	0.804	0.912	0.856	0.916	0.984	0.918	0.93	0.814	0.898	0.886	0.92	0.944	0.916	0.86	0.928	0.918	0.854	0.898	0.904	0.0	0.956	0.806	0.912	0.958	0.916
ec1437	0.812	0.9	0.936	0.938	0.832	0.912	0.956	0.596	0.912	0.756	0.554	0.554	0.884	0.56	0.776	0.846	0.912	0.64	0.612	0.63	0.802	0.892	0.634	0.634	0.614	0.596	0.59	0.622	0.572	0.918	0.576	0.734	0.956	0.0	0.636	0.608	0.764	0.804
eti111	0.666	0.56	0.902	0.616	0.812	0.64	0.906	0.622	0.728	0.726	0.576	0.552	0.792	0.494	0.52	0.632	0.58	0.726	0.526	0.61	0.39	0.69	0.644	0.474	0.658	0.642	0.546	0.668	0.6	0.54	0.43	0.69	0.806	0.636	0.0	0.58	0.756	0.73
eti114	0.848	0.848	0.92	0.85	0.89	0.88	0.9	0.568	0.89	0.772	0.352	0.508	0.868	0.42	0.812	0.81	0.89	0.28	0.442	0.56	0.726	0.852	0.23	0.656	0.474	0.214	0.304	0.202	0.148	0.85	0.55	0.766	0.912	0.608	0.58	0.0	0.76	0.82
