	ec1249	ec1257	ec1262	ec1265	ec1298	ec1301	ec1309	ec1314	ec1317	ec1330	ec1346	ec1349	ec1356	ec1361	ec1362	ec1368	ec1377	ec1378	ec1380	ec1390	ec1392	ec1393	ec1396	ec1400	ec1408	ec1409	ec1411	ec1420	ec1422	ec1424	ec1425	ec1427	ec1435	ec1437	eti111	eti114	eti121	eti125
ec1249	0.0	0.16747155791121707	0.3360707502293195	0.11519180126211476	0.25260491522789913	0.17420279107788297	0.25947808380233883	0.1669073993092621	0.32872488488192725	0.16867970178086816	0.11821702381639904	0.11830064980406496	0.19349668646966647	0.17349064648777368	0.1275850794861548	0.1467321615586277	0.1194403891868521	0.18903730311466518	0.1630610078658234	0.19246170277630206	0.16484459667527032	0.13674063133745476	0.1886082239809822	0.12007851870919417	0.18063704257168753	0.1751834203554643	0.14429753142206936	0.19074449578648126	0.17907370362647232	0.1742145564857396	0.1761510851240383	0.24164281780348706	0.2909254207577209	0.2012122268923812	0.14329605445000734	0.19306563388812614	0.3054929113471477	0.19525172938363491
ec1257	0.16747155791121707	0.0	0.40330627316042467	0.14535837611303598	0.35636806788054576	0.2683612036450755	0.31714347714459856	0.056402881943537285	0.40401116548573485	0.2563509689568633	0.12796843210235137	0.0947805845364145	0.2078296752024797	0.06559663627434914	0.07998688924947311	0.23189092900932382	0.1974325357987249	0.08400446478181589	0.06872537304706122	0.07569769781195326	0.044943170945431384	0.12364748806975079	0.07828173040327066	0.07013493428654843	0.06374151062562251	0.07265393507686113	0.09048868092090953	0.07740908576059768	0.07311830289740803	0.05944482664053546	0.06227691558438475	0.3243624072038545	0.3723906516589991	0.3158457087341973	0.07170931580121227	0.0781760490695401	0.3352153046712095	0.08030867188974977
ec1262	0.3360707502293195	0.40330627316042467	0.0	0.3780856241781523	0.44139380682376056	0.3059706176902323	0.3711004968212671	0.42554825267808644	0.21369048428166554	0.249481263100555	0.36148866761972714	0.38158478850138966	0.3593220273881652	0.42711751359280314	0.36833773504034983	0.38165542412010534	0.3797531944214246	0.43761677946180916	0.41484500335445945	0.44269185103600295	0.4168635597689192	0.38641862808807576	0.43855133567045773	0.38343512827716797	0.4283918519618837	0.43138342086090953	0.418492625670694	0.4394437941906647	0.4334964281686145	0.4279963214571175	0.43096951615585494	0.18947355075778913	0.209552074852289	0.22664468512717367	0.40233763938897854	0.4445184357772284	0.29201970864596855	0.4469643476386431
ec1265	0.11519180126211476	0.14535837611303598	0.3780856241781523	0.0	0.2908425872781667	0.21539822673538989	0.23815437254894373	0.16036934336290487	0.37578975419756644	0.22962988801030737	0.14311443785565348	0.1290754435313762	0.21651239530187608	0.1638527212747769	0.13025314969530336	0.15866897500547048	0.11705675330620607	0.1830304260846501	0.1654314070413758	0.17998003043022515	0.1307024854245317	0.13199782150595601	0.17044302730178604	0.12902705173597637	0.16883875204462293	0.1689813573162352	0.1321755309025376	0.1766291069366517	0.16916380751774468	0.15347855580021458	0.15667009843992608	0.2793228575989851	0.34058125309828347	0.2684698274113558	0.1385245999037753	0.17864621012458057	0.33212588967550793	0.18309646365517185
ec1298	0.25260491522789913	0.35636806788054576	0.44139380682376056	0.2908425872781667	0.0	0.29268764340693715	0.2718709911188612	0.3588263590740295	0.4028010696950247	0.2941430799896061	0.2815314817647281	0.3056163152094453	0.3269436438530373	0.3595429464927751	0.29820037703181984	0.22606031630347184	0.24290201966388744	0.37190860465334546	0.34663261559879815	0.37740977377296514	0.33691826761534943	0.28528026928727085	0.3694808689953112	0.3304011298416081	0.3706507684441154	0.36523045368260243	0.32265374653674744	0.3723794356107997	0.363329507392263	0.35128271708324654	0.3534066061181981	0.3421523605611211	0.40605900540056594	0.2893789552625516	0.32222205353928857	0.37502474742421804	0.42593605785912547	0.37894385650276646
ec1301	0.17420279107788297	0.2683612036450755	0.3059706176902323	0.21539822673538989	0.29268764340693715	0.0	0.20668524177212716	0.28453642204112106	0.32163596333926026	0.21410420347711553	0.2590989862430682	0.23610978320029757	0.17929949096296166	0.2869895328537161	0.24674401482125785	0.23437312025797763	0.23257742674115106	0.30127111677971463	0.27986463863877753	0.3050184131948812	0.27126417627825183	0.2599433209087097	0.2997716591470099	0.23095232928960568	0.29203353179257324	0.2845419136840348	0.26416108164937524	0.3013664900644393	0.29252690214750965	0.2804874862768568	0.28948251256444285	0.239825955059804	0.28508072095281106	0.21373088427248269	0.25599745109354516	0.3029256402788272	0.20884476918012848	0.30717045941283566
ec1309	0.25947808380233883	0.31714347714459856	0.3711004968212671	0.23815437254894373	0.2718709911188612	0.20668524177212716	0.0	0.34095785570069703	0.4016098678486789	0.2867576819322327	0.32361607509594614	0.3015573816342793	0.27293497543627593	0.3459885064668776	0.31427533076830055	0.18347976373162245	0.26815835683807776	0.36285765410487036	0.34608269766999705	0.3627952034520454	0.3202488060833033	0.32076842098164204	0.35721679717451754	0.2929677420530461	0.3473643991967955	0.3495590571790028	0.31860458966367494	0.3593803370440805	0.34963872898541376	0.3370602044825125	0.34192367831224013	0.3114589671896738	0.369985959160306	0.2650257073772039	0.3201403386274849	0.3604711916177076	0.33117666479484364	0.3663329079702694
ec1314	0.1669073993092621	0.056402881943537285	0.42554825267808644	0.16036934336290487	0.3588263590740295	0.28453642204112106	0.34095785570069703	0.0	0.4081249898728005	0.24056579880550819	0.09711065498338804	0.07825845849165519	0.22022799348223	0.02733610844499916	0.08681597656173398	0.25008084700003264	0.20602213615364318	0.042948101498419954	0.032835648772722326	0.04020150353492016	0.043569374270982036	0.12340111191781036	0.03817383799329224	0.0636779524677967	0.02975789489625812	0.04301647900647054	0.06305832751858371	0.041241185188509	0.03362819986178634	0.031059436849205507	0.03788495576594065	0.3224558544684686	0.3684431551082268	0.2961007785706999	0.06315077480402301	0.045779083735764975	0.3362430670881511	0.04662359917704424
ec1317	0.32872488488192725	0.40401116548573485	0.21369048428166554	0.37578975419756644	0.4028010696950247	0.32163596333926026	0.4016098678486789	0.4081249898728005	0.0	0.22658663835863901	0.33083500619614736	0.369682934289042	0.381328291819484	0.40598630657573576	0.33874462872044553	0.3729861200837133	0.3338236312373977	0.41427430875844495	0.39011930926999705	0.42311988188615596	0.3879301295192645	0.3401073046251142	0.41447204905976087	0.3853922197210855	0.41455599274083765	0.411733629738514	0.3984497117839887	0.41770739345386426	0.4112003299167678	0.39991808834049264	0.4042439705415134	0.14072324343914286	0.1893935797951687	0.19832242717763815	0.37324025335092237	0.42190196380084877	0.34954601005512553	0.42365818696847335
ec1330	0.16867970178086816	0.2563509689568633	0.249481263100555	0.22962988801030737	0.2941430799896061	0.21410420347711553	0.2867576819322327	0.24056579880550819	0.22658663835863901	0.0	0.20706321004601796	0.21491303726908134	0.21828871226830257	0.2463949355083364	0.20871698631679686	0.2559612548947378	0.2352065424617737	0.2567095964752757	0.23713542608948837	0.2573602872418693	0.23988254780835955	0.22535038217452866	0.25537815579768675	0.21365088907153196	0.2519840863045993	0.25010211258740334	0.2385900035683655	0.25728270765794203	0.24592836738151075	0.24296137061312242	0.251606017654153	0.1405373863519277	0.1324392750275845	0.11804902884117949	0.2202833358281261	0.2586872937778225	0.29342168629359316	0.26038723573290534
