	ec1298	ec1314	ec1346	ec1356	ec1359	ec1361	ec1377	ec1378	ec1380	ec1390	ec1393	ec1396	ec1408	ec1409	ec1411	ec1422	ec1425	ec1437	eti101	eti111	eti114	eti121	eti125
ec1298	0.0	0.5853871430732565	0.3807019088329146	0.5856123106790344	0.5696324677430895	0.5710346589164742	0.42940798441353506	0.6128426881388251	0.612728652253556	0.5011352639344834	0.5018677685843838	0.5998276318652729	0.6085261247102632	0.5565689100949698	0.4807786005703974	0.5904177791564309	0.5862421480503993	0.4478197486689954	0.5157564644854981	0.5365383343819707	0.4893716663876433	0.6483994238195745	0.5932138573143465
ec1314	0.5853871430732565	0.0	0.4123548402580304	0.17031723488668601	0.22098540830892607	0.2086450456238672	0.6487161069754119	0.25547414740713786	0.40638880378949943	0.2781709867572953	0.5488759859291437	0.429601107554508	0.22391835421826234	0.14861983066085865	0.4766736493853847	0.281820772908489	0.4722875875253966	0.4007921933569673	0.4434150364729963	0.5501215118467735	0.3470625447045545	0.3701216620946771	0.3189805011718229
ec1346	0.3807019088329146	0.4123548402580304	0.0	0.44794740362282515	0.4169695943805173	0.44999672891770687	0.500441158165746	0.46336175304783994	0.4839281453584344	0.3637361927967205	0.43877400607328193	0.50251496863406	0.4579915921006714	0.4413294287509624	0.5304099785358416	0.49524327519207817	0.4669655028833366	0.473642125665788	0.48926116889669524	0.6017676017632038	0.5108712322057877	0.5304864119925378	0.46570059500452876
ec1356	0.5856123106790344	0.17031723488668601	0.44794740362282515	0.0	0.23369606322004655	0.10773685340773856	0.6386520848818167	0.25269318685036407	0.4052501362206325	0.25999020527950334	0.5627291358029254	0.37093597958388264	0.2201778629411706	0.22820943054744353	0.43125106726820656	0.2046768655090874	0.4730500793588524	0.39626395831564104	0.4286426032222604	0.5741245158980124	0.34211614604838303	0.38810670133127156	0.30115638181836446
ec1359	0.5696324677430895	0.22098540830892607	0.4169695943805173	0.23369606322004655	0.0	0.22987914879998114	0.6329434081819609	0.2686182368575196	0.41500879571110527	0.20249788498879667	0.515151930103467	0.440589625476276	0.238842897599761	0.2645408151353662	0.5018022116672656	0.29906542486175364	0.3999433383395231	0.40223286842921374	0.41072223341369263	0.5737189643819653	0.3596339008451949	0.42699802565020534	0.33321612677739054
ec1361	0.5710346589164742	0.2086450456238672	0.44999672891770687	0.10773685340773856	0.22987914879998114	0.0	0.6177382892373252	0.16553227120697755	0.34909758470425356	0.18833654379686357	0.5449791423676055	0.3118730792906899	0.13515110198756528	0.19787670296835475	0.45044351785826636	0.16638834679512904	0.427873980233937	0.34265854535685125	0.4350681814639136	0.5622544673701314	0.28546247398482694	0.3619449945816165	0.26015758263200434
ec1377	0.42940798441353506	0.6487161069754119	0.500441158165746	0.6386520848818167	0.6329434081819609	0.6177382892373252	0.0	0.6607083186234304	0.5456919851079034	0.6033527727031174	0.5526522845017519	0.5222317000035412	0.630747174872059	0.6375991816800084	0.41025900344693467	0.6372683531935416	0.5370457567009519	0.5497805528131021	0.5645834778647114	0.5525159773398957	0.5596826527821672	0.6762334260408036	0.6274111562620965
ec1378	0.6128426881388251	0.25547414740713786	0.46336175304783994	0.25269318685036407	0.2686182368575196	0.16553227120697755	0.6607083186234304	0.0	0.27585458279263797	0.2592363925127157	0.5644427989603535	0.3129249045131341	0.17139738654377815	0.2518913850428709	0.5108348677916964	0.14255396488446215	0.3739594436800634	0.33909598772326394	0.46225173274009057	0.5408131679431076	0.33814484403104034	0.36462489795377573	0.17948624240951527
ec1380	0.612728652253556	0.40638880378949943	0.4839281453584344	0.4052501362206325	0.41500879571110527	0.34909758470425356	0.5456919851079034	0.27585458279263797	0.0	0.4096740608326113	0.5707731239166995	0.08668688892373562	0.3607586689737658	0.4069469587421877	0.34150942123557376	0.3395289435028228	0.14590678050671738	0.4617441064710178	0.5454685963294844	0.6001353745707502	0.46196874082245115	0.49136118332409207	0.35789512447965893
ec1390	0.5011352639344834	0.2781709867572953	0.3637361927967205	0.25999020527950334	0.20249788498879667	0.18833654379686357	0.6033527727031174	0.2592363925127157	0.4096740608326113	0.0	0.5129471787912542	0.3889477184000909	0.2703684368906167	0.2728089178384896	0.49211309792048186	0.25410101401632273	0.39272145374409445	0.38857904586287856	0.4108835928231772	0.5562568348737612	0.3821815894525718	0.38882531937700443	0.3356994148443991
ec1393	0.5018677685843838	0.5488759859291437	0.43877400607328193	0.5627291358029254	0.515151930103467	0.5449791423676055	0.5526522845017519	0.5644427989603535	0.5707731239166995	0.5129471787912542	0.0	0.573040293349412	0.5498852345946771	0.5306097216138256	0.589566258266616	0.5706709836144721	0.5621214790564018	0.5677842014988802	0.5896177834779311	0.6245230877930087	0.5376015919014152	0.6291058873798492	0.5718551019041508
ec1396	0.5998276318652729	0.429601107554508	0.50251496863406	0.37093597958388264	0.440589625476276	0.3118730792906899	0.5222317000035412	0.3129249045131341	0.08668688892373562	0.3889477184000909	0.573040293349412	0.0	0.3768724718872158	0.41830561757825335	0.31500768090136066	0.31241800487394644	0.20322575045213206	0.4882655407796867	0.55701874723382	0.6165972835798984	0.4726254815153024	0.5098191185222828	0.3862774380531601
