	ec1298	ec1314	ec1346	ec1356	ec1359	ec1361	ec1377	ec1378	ec1380	ec1390	ec1393	ec1396	ec1408	ec1409	ec1411	ec1422	ec1425	ec1437	eti101	eti111	eti114	eti121	eti125
ec1298	0.0	0.37517025051400643	0.313084506382854	0.3431975956143182	0.38625692895803027	0.37500621782045984	0.27397568386028026	0.3951300798405605	0.36380957945622605	0.3868689837932764	0.31111887921884085	0.3842359924484251	0.3882309880495294	0.38166569517145377	0.35211287343834063	0.38207314398266684	0.364712748153862	0.3072440956882715	0.3754588411328311	0.33974870409728264	0.39246996352004065	0.45408553661969225	0.3878282622053343
ec1314	0.37517025051400643	0.0	0.09853819179084437	0.19765738496305826	0.03649201483375831	0.030798976464620913	0.2300302090821109	0.0467759754209592	0.03626281708522944	0.0368800230364638	0.11884168026034497	0.03968370377771904	0.031298269644856	0.04642412972981977	0.05347699410679404	0.033805190293951834	0.03397823283942379	0.28298685830209264	0.030744076996123658	0.05876685796934391	0.04772205274811221	0.3459963405745476	0.04172009982647466
ec1346	0.313084506382854	0.09853819179084437	0.0	0.20541376171918926	0.10060976378556963	0.09351080862477434	0.15791606644370978	0.10917556356450234	0.0822112468741873	0.1048771222622886	0.07438462157586283	0.09948776072306953	0.10396074600414093	0.09633253104246378	0.0849452291508484	0.09767988748055736	0.10627382496376549	0.22783269465463915	0.09439624824503351	0.09069896370415495	0.10989845688765768	0.34443604997506805	0.10696681752915538
ec1356	0.3431975956143182	0.19765738496305826	0.20541376171918926	0.0	0.22050278911974774	0.21379929404821146	0.23029479989432722	0.23080462915561872	0.21839996528108394	0.2171283080802	0.22126583975575081	0.2243432521251416	0.21139638139135536	0.21309012377712108	0.21904335830009736	0.21889953106793592	0.2180376334942836	0.2710490057286115	0.2060701156057076	0.20607494065545529	0.22719368496774311	0.22059882698130562	0.22160118505323084
ec1359	0.38625692895803027	0.03649201483375831	0.10060976378556963	0.22050278911974774	0.0	0.019146382719651633	0.24124340836547187	0.02010339528149387	0.02982967229890795	0.022294123948344065	0.13115168453874793	0.017658548351308916	0.021703934500870038	0.03681114944381039	0.04877834220712651	0.015321177932705701	0.033876388919014136	0.2886120047005333	0.036525326164719304	0.07343868773185401	0.022910845166927957	0.35691104139719376	0.022499051326138175
ec1361	0.37500621782045984	0.030798976464620913	0.09351080862477434	0.21379929404821146	0.019146382719651633	0.0	0.2286261286416825	0.027295090159040653	0.022388167480640767	0.024495239285308387	0.12017756631862761	0.017141674888048273	0.031828138612930504	0.038709495967719165	0.03924260462219424	0.01399537510303088	0.0238018172328835	0.2813699499325402	0.02927789761641285	0.06072538942551317	0.02773569113981318	0.35473695123807325	0.025886267510274903
ec1377	0.27397568386028026	0.2300302090821109	0.15791606644370978	0.23029479989432722	0.24124340836547187	0.2286261286416825	0.0	0.24963147014696083	0.21722541975801085	0.2421953550097	0.14494036513948297	0.23598030900588274	0.23808083337435548	0.23698947107850077	0.20119296166552997	0.2378267170317368	0.21758631749652413	0.23080298253989623	0.22781185774733342	0.19103298977719288	0.24764068291726882	0.3759250238594247	0.2440217867679701
ec1378	0.3951300798405605	0.0467759754209592	0.10917556356450234	0.23080462915561872	0.02010339528149387	0.027295090159040653	0.24963147014696083	0.0	0.038659753240920317	0.02632897845758333	0.14020904765186937	0.01609586048755816	0.0339586788822499	0.04113622793282318	0.05374803888766776	0.02149911987351897	0.04224155192491155	0.2956241112202933	0.045505133680236766	0.08048238791544982	0.017588431166057628	0.3629455515841209	0.017348322513885676
ec1380	0.36380957945622605	0.03626281708522944	0.0822112468741873	0.21839996528108394	0.02982967229890795	0.022388167480640767	0.21722541975801085	0.038659753240920317	0.0	0.03779028609607462	0.10952392746613118	0.026543177044466508	0.034719081567687146	0.040686167568103386	0.03203383701061391	0.027014006350767828	0.03658115459840899	0.26973734683836004	0.0355769088893854	0.05421600525610835	0.04094159742475673	0.3561802085562092	0.03768577584851163
ec1390	0.3868689837932764	0.0368800230364638	0.1048771222622886	0.2171283080802	0.022294123948344065	0.024495239285308387	0.2421953550097	0.02632897845758333	0.03779028609607462	0.0	0.13285055109730964	0.026208867006141216	0.028304750527726564	0.044474004617154346	0.05413597243647254	0.02390255711119145	0.03476015116317904	0.29297599666780993	0.037770215309199606	0.07446795741983182	0.018360463055409434	0.3535468560981544	0.01455850234974123
ec1393	0.31111887921884085	0.11884168026034497	0.07438462157586283	0.22126583975575081	0.13115168453874793	0.12017756631862761	0.14494036513948297	0.14020904765186937	0.10952392746613118	0.13285055109730964	0.0	0.1300261880229512	0.13079312373897942	0.1270923913565172	0.11468252189038437	0.1278809572516705	0.11218939177067391	0.2664053721174875	0.12056449570767247	0.08810257621400255	0.1391646594370492	0.36368477710346875	0.13526926438215603
ec1396	0.3842359924484251	0.03968370377771904	0.09948776072306953	0.2243432521251416	0.017658548351308916	0.017141674888048273	0.23598030900588274	0.01609586048755816	0.026543177044466508	0.026208867006141216	0.1300261880229512	0.0	0.03227910179973808	0.035953230034875425	0.03981140636711965	0.013682466807240322	0.03205700061894173	0.28819784723803993	0.039619100923070694	0.07186185840583265	0.02011543959606834	0.35981099481168966	0.018776306263733243
ec1408	0.3882309880495294	0.031298269644856	0.10396074600414093	0.21139638139135536	0.021703934500870038	0.031828138612930504	0.23808083337435548	0.0339586788822499	0.034719081567687146	0.028304750527726564	0.13079312373897942	0.03227910179973808	0.0	0.04116139527377513	0.05352748044670167	0.02807659672784676	0.044766556539389976	0.28850805996647305	0.03377603891988609	0.07265270073376819	0.03364477489659391	0.3465609487639408	0.032783613891765415
ec1409	0.38166569517145377	0.04642412972981977	0.09633253104246378	0.21309012377712108	0.03681114944381039	0.038709495967719165	0.23698947107850077	0.04113622793282318	0.040686167568103386	0.044474004617154346	0.1270923913565172	0.035953230034875425	0.04116139527377513	0.0	0.04153422464008221	0.0334757094040989	0.05692964317546966	0.2846053652935049	0.043652035830082814	0.06865163305417978	0.03862034740808181	0.3497607250287586	0.03849668756517139
ec1411	0.35211287343834063	0.05347699410679404	0.0849452291508484	0.21904335830009736	0.04877834220712651	0.03924260462219424	0.20119296166552997	0.05374803888766776	0.03203383701061391	0.05413597243647254	0.11468252189038437	0.03981140636711965	0.05352748044670167	0.04153422464008221	0.0	0.04107722669339926	0.05501565221233029	0.26497326149291534	0.046278612612289494	0.050911101550240305	0.05231244551347594	0.35743021224084404	0.051941811498920326
ec1422	0.38207314398266684	0.033805190293951834	0.09767988748055736	0.21889953106793592	0.015321177932705701	0.01399537510303088	0.2378267170317368	0.02149911987351897	0.027014006350767828	0.02390255711119145	0.1278809572516705	0.013682466807240322	0.02807659672784676	0.0334757094040989	0.04107722669339926	0.0	0.031637350235353835	0.2844803652005844	0.034739619748849676	0.06525891463849962	0.021431115551258602	0.3567772906633042	0.01941934562920502
ec1425	0.364712748153862	0.03397823283942379	0.10627382496376549	0.2180376334942836	0.033876388919014136	0.0238018172328835	0.21758631749652413	0.04224155192491155	0.03658115459840899	0.03476015116317904	0.11218939177067391	0.03205700061894173	0.044766556539389976	0.05692964317546966	0.05501565221233029	0.031637350235353835	0.0	0.2864127519506333	0.03777968232648911	0.05499424986828949	0.04298960345519036	0.3595128563361566	0.03866800711456054
ec1437	0.3072440956882715	0.28298685830209264	0.22783269465463915	0.2710490057286115	0.2886120047005333	0.2813699499325402	0.23080298253989623	0.2956241112202933	0.26973734683836004	0.29297599666780993	0.2664053721174875	0.28819784723803993	0.28850805996647305	0.2846053652935049	0.26497326149291534	0.2844803652005844	0.2864127519506333	0.0	0.2883337178613869	0.2616749215701443	0.29631248595295157	0.3314751422355641	0.29415690323091503
eti101	0.3754588411328311	0.030744076996123658	0.09439624824503351	0.2060701156057076	0.036525326164719304	0.02927789761641285	0.22781185774733342	0.045505133680236766	0.0355769088893854	0.037770215309199606	0.12056449570767247	0.039619100923070694	0.03377603891988609	0.043652035830082814	0.046278612612289494	0.034739619748849676	0.03777968232648911	0.2883337178613869	0.0	0.061096887658152334	0.038354399417047234	0.34799302493268985	0.039670328359667315
eti111	0.33974870409728264	0.05876685796934391	0.09069896370415495	0.20607494065545529	0.07343868773185401	0.06072538942551317	0.19103298977719288	0.08048238791544982	0.05421600525610835	0.07446795741983182	0.08810257621400255	0.07186185840583265	0.07265270073376819	0.06865163305417978	0.050911101550240305	0.06525891463849962	0.05499424986828949	0.2616749215701443	0.061096887658152334	0.0	0.07858491989416147	0.34811388048470415	0.07458282131451058
eti114	0.39246996352004065	0.04772205274811221	0.10989845688765768	0.22719368496774311	0.022910845166927957	0.02773569113981318	0.24764068291726882	0.017588431166057628	0.04094159742475673	0.018360463055409434	0.1391646594370492	0.02011543959606834	0.03364477489659391	0.03862034740808181	0.05231244551347594	0.021431115551258602	0.04298960345519036	0.29631248595295157	0.038354399417047234	0.07858491989416147	0.0	0.3620056860923503	0.012881894286329675
eti121	0.45408553661969225	0.3459963405745476	0.34443604997506805	0.22059882698130562	0.35691104139719376	0.35473695123807325	0.3759250238594247	0.3629455515841209	0.3561802085562092	0.3535468560981544	0.36368477710346875	0.35981099481168966	0.3465609487639408	0.3497607250287586	0.35743021224084404	0.3567772906633042	0.3595128563361566	0.3314751422355641	0.34799302493268985	0.34811388048470415	0.3620056860923503	0.0	0.3581106372428111
eti125	0.3878282622053343	0.04172009982647466	0.10696681752915538	0.22160118505323084	0.022499051326138175	0.025886267510274903	0.2440217867679701	0.017348322513885676	0.03768577584851163	0.01455850234974123	0.13526926438215603	0.018776306263733243	0.032783613891765415	0.03849668756517139	0.051941811498920326	0.01941934562920502	0.03866800711456054	0.29415690323091503	0.039670328359667315	0.07458282131451058	0.012881894286329675	0.3581106372428111	0.0
