	ec1306	ec1322	ec1350	ec1354	ec1364	ec1367	ec1369	ec1385	ec1386	ec1388	ec1398	ec1401	ec1404	ec1416	ec1417	ec1419	ec1430	ec1433	eti104	eti110	eti112	eti122	eti126
ec1306	0.0	0.14063000783706506	0.15493456252452642	0.27224382442272477	0.15341034853336305	0.18639821467284118	0.1882495697775569	0.21774421563746676	0.4531033883543911	0.19800185213038224	0.1916949577902382	0.21472587799705117	0.1669063968637008	0.16342849700192474	0.18824683526774857	0.16016972774457283	0.1781591327796943	0.24868975433651788	0.18494633857898612	0.18309301432326885	0.1910066780093111	0.13570624217777444	0.16166424436299537
ec1322	0.14063000783706506	0.0	0.045158186970831474	0.2873713720344101	0.04838598835359051	0.053722452825795367	0.0690056177676648	0.08494142973495455	0.45061608751064924	0.07305553767276654	0.08522934361473761	0.3187442117259438	0.052636335014287744	0.05263809018226366	0.2241015446446421	0.20378130121531562	0.06405339674700891	0.24593596173303184	0.062426593274029774	0.06941509875343238	0.07477425724210207	0.03219211303665436	0.04428874970978197
ec1350	0.15493456252452642	0.045158186970831474	0.0	0.291370318284454	0.039102676891096616	0.06325753298551112	0.05475607694591919	0.0890560615751185	0.4466131422619065	0.07525178270543985	0.06942595320940911	0.3396021513623499	0.05008881871211619	0.04694620401259188	0.25273644953132063	0.22709103601783137	0.051617280759384584	0.24309563417804397	0.06276759014086075	0.055920634949396086	0.06864118220576973	0.046446882353512714	0.04185519893916152
ec1354	0.27224382442272477	0.2873713720344101	0.291370318284454	0.0	0.3110346152744968	0.2893999515788996	0.3108414985442819	0.2901331711603227	0.5677599509850015	0.29286440467386415	0.3216170828955608	0.39224648165816156	0.2956529061669738	0.3141847718590828	0.3572228101781956	0.36736102091978207	0.3121647601110369	0.3744970803261497	0.3064246883459779	0.3134160620573753	0.31418294129796487	0.2916500904764525	0.30232167531351073
ec1364	0.15341034853336305	0.04838598835359051	0.039102676891096616	0.3110346152744968	0.0	0.0572342078173626	0.04745394100290319	0.09019473184005142	0.4548292707291454	0.06925622473034823	0.05168417452859423	0.3432247454118569	0.045441032237740056	0.02639353652961388	0.2646728508385784	0.233472965786943	0.04008916572236851	0.2500949845790582	0.05287721394683471	0.04371384711667481	0.05708433854621405	0.04420849355767448	0.02891725558220499
ec1367	0.18639821467284118	0.053722452825795367	0.06325753298551112	0.2893999515788996	0.0572342078173626	0.0	0.04832327120366789	0.04676123768100729	0.45491741681295494	0.03647593515197907	0.06618758785477513	0.3495145145294465	0.035406140404888764	0.045831650840428395	0.25410585965375254	0.2395898488028673	0.046404056719761964	0.26224508457944723	0.033501037032296684	0.050882271219495276	0.056613295955520865	0.06623437441343369	0.041514022043679974
ec1369	0.1882495697775569	0.0690056177676648	0.05475607694591919	0.3108414985442819	0.04745394100290319	0.04832327120366789	0.0	0.06343981051120315	0.46197444793977693	0.039225318043492524	0.025651300743196957	0.3712049029752354	0.03550062639678711	0.03844595577487754	0.2822445183832933	0.25195071211073083	0.017940107283689284	0.2552381595190668	0.03757929619987553	0.01051407134223626	0.024933145209659405	0.07205406248933034	0.042613279932426244
ec1385	0.21774421563746676	0.08494142973495455	0.0890560615751185	0.2901331711603227	0.09019473184005142	0.04676123768100729	0.06343981051120315	0.0	0.4646715230893411	0.04633738944122724	0.07687357992662883	0.36932557850409997	0.06659908451318323	0.07941456275016234	0.26761759757197706	0.27092767238813364	0.06703520196058894	0.26864411157981527	0.06170972328567177	0.06577643832732065	0.06533464245181742	0.09301765747442854	0.06496025540731762
ec1386	0.4531033883543911	0.45061608751064924	0.4466131422619065	0.5677599509850015	0.4548292707291454	0.45491741681295494	0.46197444793977693	0.4646715230893411	0.0	0.457181937506529	0.4652545628473871	0.47128324663992444	0.4566111756032165	0.4575159448913071	0.43926170816315097	0.4292156484105576	0.4604222834909948	0.25911091615986004	0.4569168264057417	0.46040031017926075	0.4596878214475181	0.4507724952890809	0.4580255201664102
ec1388	0.19800185213038224	0.07305553767276654	0.07525178270543985	0.29286440467386415	0.06925622473034823	0.03647593515197907	0.039225318043492524	0.04633738944122724	0.457181937506529	0.0	0.05622988176634666	0.360406579300577	0.04444065551695847	0.060337901476173135	0.2670991938138465	0.2549240253903237	0.04359230051479725	0.2633279577497617	0.03507454024303472	0.040276599315318004	0.04379664794561604	0.07639576810542503	0.05609239012577181
ec1398	0.1916949577902382	0.08522934361473761	0.06942595320940911	0.3216170828955608	0.05168417452859423	0.06618758785477513	0.025651300743196957	0.07687357992662883	0.4652545628473871	0.05622988176634666	0.0	0.3741252613075019	0.048728260241638476	0.034348142392836206	0.2987227396929887	0.26787111981793543	0.0229341539412263	0.25928296751145685	0.051903713656609285	0.021488219545982012	0.023245673409195367	0.08900817230943589	0.057859927767714175
ec1401	0.21472587799705117	0.3187442117259438	0.3396021513623499	0.39224648165816156	0.3432247454118569	0.3495145145294465	0.3712049029752354	0.36932557850409997	0.47128324663992444	0.360406579300577	0.3741252613075019	0.0	0.3471028851065887	0.3460421948589623	0.1698041493245237	0.17274370973345213	0.36404182339618807	0.3371463487213311	0.35974045403617233	0.370793992015637	0.37188939889940376	0.32730304565770774	0.35138096616393366
ec1404	0.1669063968637008	0.052636335014287744	0.05008881871211619	0.2956529061669738	0.045441032237740056	0.035406140404888764	0.03550062639678711	0.06659908451318323	0.4566111756032165	0.04444065551695847	0.048728260241638476	0.3471028851065887	0.0	0.030695045920155067	0.26145451545312104	0.23452323398491315	0.031134319812790252	0.251264476440759	0.03848872176316547	0.03770158420360193	0.04424288463660846	0.05929271986612171	0.03271678025696914
ec1416	0.16342849700192474	0.05263809018226366	0.04694620401259188	0.3141847718590828	0.02639353652961388	0.045831650840428395	0.03844595577487754	0.07941456275016234	0.4575159448913071	0.060337901476173135	0.034348142392836206	0.3460421948589623	0.030695045920155067	0.0	0.26913514777557823	0.23710599004231042	0.02283064819245454	0.25324005016411233	0.045418863825768846	0.03433824435845686	0.04653628472377114	0.06490913058179035	0.03385176437020107
ec1417	0.18824683526774857	0.2241015446446421	0.25273644953132063	0.3572228101781956	0.2646728508385784	0.25410585965375254	0.2822445183832933	0.26761759757197706	0.43926170816315097	0.2670991938138465	0.2987227396929887	0.1698041493245237	0.26145451545312104	0.26913514777557823	0.0	0.05237814461716177	0.2792003554794014	0.25788673691440545	0.2720566653019138	0.2855101004651339	0.28793208319157365	0.23447299985001935	0.25860257519059987
ec1419	0.16016972774457283	0.20378130121531562	0.22709103601783137	0.36736102091978207	0.233472965786943	0.2395898488028673	0.25195071211073083	0.27092767238813364	0.4292156484105576	0.2549240253903237	0.26787111981793543	0.17274370973345213	0.23452323398491315	0.23710599004231042	0.05237814461716177	0.0	0.24747217536413912	0.23536401950054603	0.2477188146405286	0.2555080486885558	0.260693195805618	0.20867468927254912	0.23106546846483406
ec1430	0.1781591327796943	0.06405339674700891	0.051617280759384584	0.3121647601110369	0.04008916572236851	0.046404056719761964	0.017940107283689284	0.06703520196058894	0.4604222834909948	0.04359230051479725	0.0229341539412263	0.36404182339618807	0.031134319812790252	0.02283064819245454	0.2792003554794014	0.24747217536413912	0.0	0.255209969306342	0.033721346733497096	0.014490622112625806	0.028900679135082458	0.07161401029216846	0.04129648921844138
ec1433	0.24868975433651788	0.24593596173303184	0.24309563417804397	0.3744970803261497	0.2500949845790582	0.26224508457944723	0.2552381595190668	0.26864411157981527	0.25911091615986004	0.2633279577497617	0.25928296751145685	0.3371463487213311	0.251264476440759	0.25324005016411233	0.25788673691440545	0.23536401950054603	0.255209969306342	0.0	0.2588861177166675	0.253615114557486	0.2513462684123272	0.2445574527834996	0.25236705524760156
eti104	0.18494633857898612	0.062426593274029774	0.06276759014086075	0.3064246883459779	0.05287721394683471	0.033501037032296684	0.03757929619987553	0.06170972328567177	0.4569168264057417	0.03507454024303472	0.051903713656609285	0.35974045403617233	0.03848872176316547	0.045418863825768846	0.2720566653019138	0.2477188146405286	0.033721346733497096	0.2588861177166675	0.0	0.03348392080291401	0.03756022704750203	0.06819097581655356	0.045665355162657316
eti110	0.18309301432326885	0.06941509875343238	0.055920634949396086	0.3134160620573753	0.04371384711667481	0.050882271219495276	0.01051407134223626	0.06577643832732065	0.46040031017926075	0.040276599315318004	0.021488219545982012	0.370793992015637	0.03770158420360193	0.03433824435845686	0.2855101004651339	0.2555080486885558	0.014490622112625806	0.253615114557486	0.03348392080291401	0.0	0.018630424737533458	0.07206157231386358	0.04252576365708732
eti112	0.1910066780093111	0.07477425724210207	0.06864118220576973	0.31418294129796487	0.05708433854621405	0.056613295955520865	0.024933145209659405	0.06533464245181742	0.4596878214475181	0.04379664794561604	0.023245673409195367	0.37188939889940376	0.04424288463660846	0.04653628472377114	0.28793208319157365	0.260693195805618	0.028900679135082458	0.2513462684123272	0.03756022704750203	0.018630424737533458	0.0	0.07706968512183095	0.0494318388923366
eti122	0.13570624217777444	0.03219211303665436	0.046446882353512714	0.2916500904764525	0.04420849355767448	0.06623437441343369	0.07205406248933034	0.09301765747442854	0.4507724952890809	0.07639576810542503	0.08900817230943589	0.32730304565770774	0.05929271986612171	0.06490913058179035	0.23447299985001935	0.20867468927254912	0.07161401029216846	0.2445574527834996	0.06819097581655356	0.07206157231386358	0.07706968512183095	0.0	0.039942080511608996
eti126	0.16166424436299537	0.04428874970978197	0.04185519893916152	0.30232167531351073	0.02891725558220499	0.041514022043679974	0.042613279932426244	0.06496025540731762	0.4580255201664102	0.05609239012577181	0.057859927767714175	0.35138096616393366	0.03271678025696914	0.03385176437020107	0.25860257519059987	0.23106546846483406	0.04129648921844138	0.25236705524760156	0.045665355162657316	0.04252576365708732	0.0494318388923366	0.039942080511608996	0.0
