	ec1254	ec1270	ec1278	ec1306	ec1322	ec1325	ec1341	ec1350	ec1353	ec1354	ec1357	ec1364	ec1367	ec1369	ec1372	ec1382	ec1384	ec1386	ec1388	ec1398	ec1401	ec1403	ec1404	ec1412	ec1416	ec1417	ec1419	ec1428	ec1430	ec1433	ec1436	ec1441	ec1449	ec1450	ec1460	ec1468	ec1489	ec1490	ec1492	ec1497	ec1498	ec1500	ec1503	ec1505	ec1508	ec1510	ec1511	ec1514	ec1521	ec1524	ec1525	ec1526	ec1529	ec1530	ec1534	eti112	eti122	eti124	eti126	eti146	eti147	eti149	eti153	eti154	eti156	eti161	eti164	eti165	eti166	eti167
ec1254	0	0.2513345587704283	0.5659831806255697	0.6581085060373393	0.4925461565970194	0.2291178298864623	0.6087909472722201	0.3289240198103251	0.4936817126347667	0.4851760161441936	0.5079903285451183	0.4525970836766393	0.5093110787006864	0.4386355674527222	0.6011370716837496	0.437507834372071	0.4003208383408943	0.6057930679835046	0.5744999329068258	0.5905380009841457	0.6420237971597911	0.4671404285459199	0.6055143528920002	0.4153021851423025	0.5017556476375948	0.4808395761403878	0.4414393026140498	0.547992530843461	0.5114272207219293	0.5130487268468267	0.510370776754173	0.8075303975758835	0.7872867867193378	0.5270416707815796	0.6782963697984163	0.4913393866650916	0.5970849446008301	0.5831280439238227	0.5245693168042993	0.6015917361262723	0.6731072967472581	0.4828848493421032	0.3399672491639619	0.471997595040857	0.6168721885298524	0.6243969480386744	0.6361098347885004	0.5243979625446296	0.571514253143332	0.4977096835467757	0.5083147621321343	0.6199712524789898	0.585187280619919	0.6863954181941447	0.6228941740612335	0.5455590357677362	0.5442029536640599	0.5435354929118098	0.4687460573718136	0.5321803550086707	0.4857459290046404	0.6569043895087469	0.5936299917022748	0.5304359049237269	0.5656612489398049	0.5212759810198282	0.5455371138309558	0.524760716710301	0.6370193328055999	0.6050774848250756
ec1270	0.2513345587704283	0	0.4984223963191639	0.593815944868584	0.3750816880143861	0.177851526595534	0.5304083129897367	0.218805366274321	0.4489541257812144	0.4600647857064039	0.4042442015475453	0.4162108845768842	0.4633568951395788	0.3888712819916273	0.557943821147504	0.409907802101642	0.3976038239898265	0.5318666349046671	0.5415433751262203	0.5120737169971612	0.6002062754336253	0.4065483804438532	0.5542065816647722	0.3589129054127401	0.3965544476303007	0.4304589819797187	0.3959838288633895	0.5168761569576547	0.3972492020640405	0.4461972765744111	0.4047835528289734	0.8017092837289836	0.7736840964266851	0.5757454741076705	0.6391411726457543	0.4068745574257484	0.5502282474807111	0.5009255326818532	0.4457604934232321	0.5581372957709114	0.6455893241855573	0.4497258301470118	0.2225415621255862	0.418784525917752	0.5911221071243633	0.6077892367716301	0.5932681352230091	0.4243515257851637	0.4940295663718506	0.3990890918783214	0.4140662377851218	0.5700835297094233	0.5427991389558168	0.6646563086290048	0.579352284328546	0.440867163008084	0.4471420720084656	0.4448638239720522	0.4162441789750787	0.4391519474012944	0.4259346989556088	0.6357792269666326	0.5649234632565951	0.4317402001285628	0.5279804980810309	0.4649077698564042	0.4965356330309969	0.4514319684430013	0.6015493402656674	0.5643454121414471
ec1278	0.5659831806255697	0.4984223963191639	0	0.5187362387259109	0.6486034092434549	0.4775339687694724	0.6199070626498203	0.4712752823341889	0.4596969800095438	0.4231671464813794	0.6666107855283965	0.6238668809122467	0.6204698726530361	0.6324456452075959	0.6544358649632448	0.6119596126216043	0.6219289875179217	0.5596026008367528	0.6607624195332139	0.518052480480201	0.5307261159801844	0.6659373017949711	0.5786673763079153	0.5779712516846326	0.6641520992476767	0.4877106924186671	0.6258122810996924	0.6008777324848587	0.6700418609695381	0.4956129896247065	0.6743526553383152	0.6579559480332778	0.7526011198732903	0.5820182917005848	0.5313016416639522	0.6647082624211588	0.5745265634022513	0.6931232274082536	0.6316307838943189	0.5830653011964164	0.5503147507799585	0.6602830238894929	0.5581542848362425	0.6801987029009443	0.5807138509601208	0.4498467337129616	0.6373149868992247	0.6805624710044262	0.6231971499599579	0.6489228443234276	0.6716729372416353	0.6165574043915644	0.5669745160585657	0.5680657671017497	0.6650273795548568	0.6383071393453803	0.6359174102854868	0.6279532386122567	0.6670500929798157	0.6702540109274302	0.6791403507724921	0.5602576449181573	0.6630258067107437	0.6036551669609882	0.4883736985010733	0.6407248658317959	0.6884362270775048	0.6512398935148989	0.5430766694120928	0.5810193836376775
ec1306	0.6581085060373393	0.593815944868584	0.5187362387259109	0	0.4990659160319105	0.5858013974238984	0.4562314556854385	0.5785651373886626	0.4984057486003203	0.4517424527997235	0.473731104660007	0.5036464473476893	0.4972030407269002	0.5021867603486947	0.5645379838576781	0.4930235406980243	0.5112149070582938	0.3182050200278757	0.5492096523280501	0.2809012961496922	0.5019580086284835	0.4816349165210894	0.3949062703318736	0.5768242878995971	0.4624602450829037	0.5468597442259315	0.5227832939052299	0.4523691350909973	0.4752667796721846	0.4529929501972846	0.4819296048132749	0.7641171512307564	0.7982298735250254	0.4001450643829452	0.6786376611873579	0.5159512100184623	0.3916707144559384	0.5365253413469405	0.4933698120466978	0.3660935386214087	0.6594615985744327	0.5392526392143679	0.5825934903164847	0.4998887657061124	0.6095150688007536	0.5970602294184839	0.6831667001549193	0.4912704291442517	0.4746157705442131	0.5108768121337208	0.4780062913269658	0.4322727297193414	0.3198733487466907	0.6891221949413667	0.5366589355051546	0.4546446476867613	0.4295660820558664	0.502094795572008	0.4761618797170625	0.5008205787295058	0.5026597493994899	0.6089892510285249	0.5667133315248095	0.4788482101034885	0.526427484115068	0.5192676888132389	0.5543113208060114	0.6393769636199922	0.3996313901442566	0.3539936960807983
ec1322	0.4925461565970194	0.3750816880143861	0.6486034092434549	0.4990659160319105	0	0.3665669997002197	0.4229257057954873	0.3903678935044166	0.5414125477702674	0.5504864098853588	0.1827050214206871	0.2745161319358509	0.3491083576292414	0.2393324090680171	0.487102182823434	0.2753891314636541	0.2600845505299171	0.3990815621624426	0.4630432815511628	0.4211740774090036	0.626329025621281	0.2000521103500312	0.4291657115908667	0.3512366169560289	0.1516193835483862	0.535029125068471	0.3109025722719183	0.4266619713430911	0.1651072186941954	0.5093405706495732	0.1961573389001262	0.8431942708738371	0.808929082750404	0.5102098387679688	0.7082299341331239	0.2521569905692448	0.4789594281160375	0.3314194884355176	0.3134044664991398	0.4575883578090003	0.7281770301868835	0.3151677388278887	0.3989887023566593	0.2271863858958122	0.6205395401375631	0.6865351672249309	0.6689114925045204	0.1854921255965358	0.3367732438705976	0.2456054084271937	0.1709545813472335	0.4741447212167579	0.4091992015478857	0.7528911994702759	0.4708027846619676	0.2363687378792103	0.2385702375821146	0.3197125486595604	0.191914416024369	0.2135964255569922	0.2267657139356456	0.7091384882283275	0.4952963555391511	0.3028725167563452	0.6247507291501539	0.3745853691060693	0.3610668697203434	0.4622625770316002	0.5513953515173565	0.4426311237333058
ec1325	0.2291178298864623	0.177851526595534	0.4775339687694724	0.5858013974238984	0.3665669997002197	0	0.5254246152124572	0.1693484307103467	0.4193419147958066	0.4664853289707609	0.3874061434106074	0.3321409928101531	0.4034357856060821	0.339838292210171	0.5254266612974109	0.311917620180367	0.3181634551531236	0.5267702180734679	0.5105898185089212	0.5038496507842457	0.594500952448649	0.3867991992226457	0.5465483599397261	0.3412014577294181	0.3776284584334833	0.4470208368939997	0.339790863011657	0.4519627993014093	0.3798434247616036	0.4597035030470535	0.3948573380677686	0.8007204360324374	0.7815791471721569	0.548440632838738	0.6493724257963167	0.3832657866247829	0.5423131487024122	0.4855313337892606	0.4260044304577876	0.5584980480925255	0.6639236155192118	0.4336791300097306	0.2787734564627825	0.4206157876122276	0.6017194971929158	0.5866465125205248	0.6129329338726838	0.408041507177211	0.4838402308668092	0.3859215593204166	0.3942069353957895	0.5773112045534727	0.5328388266277509	0.6717787264430396	0.5640497057472635	0.4255976906371216	0.4285769343310194	0.4358865174751933	0.404181937350664	0.4272549015090977	0.419299556182424	0.649103932272075	0.5273244766665305	0.4211033150127106	0.5477513958229064	0.45513898583191	0.4933262365263146	0.4366081304297848	0.594903689985512	0.5550204295316875
ec1341	0.6087909472722201	0.5304083129897367	0.6199070626498203	0.4562314556854385	0.4229257057954873	0.5254246152124572	0	0.5432845146773748	0.5658102427374706	0.5960045705518763	0.3884050787445359	0.4545948741315525	0.4512482497831612	0.4227708924344356	0.5359831879999855	0.443309325095787	0.4347147956007776	0.4523358769077099	0.3139995891577823	0.4194287355033996	0.6118127666750476	0.3892932935756082	0.4797343007708351	0.5187014892430716	0.3838263222432301	0.5399917579567359	0.4632577902852497	0.1947091021136297	0.3827330706324722	0.5601416236713904	0.3920685953421904	0.8195927868462544	0.8065337248455514	0.5342427482404689	0.699813713993592	0.4506059963066801	0.3387535299664938	0.4934227799597095	0.4676219036073752	0.4814802370640914	0.7002661411075741	0.4840990323567086	0.5120409939855117	0.4030523419896778	0.6251413064272928	0.6781134463959719	0.6857896071659574	0.4184629089485095	0.411282334818695	0.4484910844899542	0.4034817686418322	0.5029068350563476	0.4637434587441613	0.7305034361579116	0.3184464919547697	0.3683923926524199	0.3745701258023038	0.4614249523026036	0.3993191608659863	0.4336284654249226	0.4106983111490927	0.6940843817925195	0.5760406257153929	0.4656359863090995	0.6152582665850054	0.4647869742863888	0.5017188357507781	0.6102860057910998	0.3869378893551557	0.4906033166623918
ec1350	0.3289240198103251	0.218805366274321	0.4712752823341889	0.5785651373886626	0.3903678935044166	0.1693484307103467	0.5432845146773748	0	0.4320305432652722	0.4578761477563317	0.4183870194589433	0.3929073131908896	0.4310653469251007	0.3730030746381142	0.5252756645724185	0.3631175840461655	0.4038634868009605	0.5441804476945281	0.527148236576596	0.5208284014024233	0.6030577540983583	0.4218444128262804	0.5578310052922653	0.375920234160001	0.4040692803374293	0.4582108252282685	0.3706020234045711	0.5064023633127938	0.4195964981517759	0.4773475401633585	0.4342768811071057	0.783759313047181	0.758484860010578	0.5742584678937044	0.6063575835100151	0.411032609359781	0.5583802361060617	0.4893268392249144	0.4472130474999607	0.5786356120336148	0.6402364215774834	0.4510283554927891	0.2950347422432585	0.4538141848719069	0.5673299808912267	0.6006349067449515	0.5755097141792931	0.4334206512800718	0.4432496690255633	0.3837536912278309	0.420672590200338	0.5938865165582562	0.5468492453924866	0.6444024292991145	0.5772712507257762	0.4378938205532395	0.421154196204056	0.4408870594575273	0.4282370739139455	0.4462102371392637	0.4520863513260091	0.6256845537216549	0.5351656572960486	0.4160835052973822	0.5145930840520692	0.4520469131309349	0.4991131476383445	0.4235095445263709	0.5737704927658632	0.5664824207583102
ec1353	0.4936817126347667	0.4489541257812144	0.4596969800095438	0.4984057486003203	0.5414125477702674	0.4193419147958066	0.5658102427374706	0.4320305432652722	0	0.402370608195705	0.5672240118569938	0.5529613472671716	0.5517382484656399	0.5028021095806463	0.5541414834508773	0.5589733750518984	0.5179138284019019	0.4807987230022277	0.5287176514179496	0.4262485265999142	0.5005049870841639	0.5432508476455616	0.4458382038005173	0.4510795109227376	0.5664817602259788	0.4532998114394446	0.5348578348646261	0.5300559304575679	0.5767508391081952	0.4085358512124596	0.5831339034840745	0.7355996325403907	0.7646184379133184	0.5028003873090844	0.6267798590510208	0.5629727494496218	0.4599791688626694	0.6113662393186492	0.580949098245634	0.4627152326463875	0.6523413258384579	0.5503025563037295	0.5023362167908112	0.5646909634616128	0.5768194184150414	0.5232093726581591	0.6649935999139361	0.5774101889194334	0.5843002319404316	0.5554949692300923	0.566432476549969	0.4773323374956974	0.4412726591750941	0.6599550576984407	0.5726013466876869	0.5516927260702419	0.5413483549991992	0.581121035906184	0.5421616505876443	0.5900310100179534	0.5519627566858284	0.5622463417968062	0.6295288853416914	0.5632850633883462	0.4841687291896726	0.5337991878395876	0.6051690143151258	0.5614832658378105	0.5197633140952985	0.462765502141873
ec1354	0.4851760161441936	0.4600647857064039	0.4231671464813794	0.4517424527997235	0.5504864098853588	0.4664853289707609	0.5960045705518763	0.4578761477563317	0.402370608195705	0	0.5722810155354175	0.547122196731905	0.5760088196266157	0.5187908390352863	0.6172430898932295	0.5376707696613016	0.5312204607938991	0.4428984696465813	0.5592905738009427	0.4250772184416738	0.4421276995168362	0.5500528551733425	0.4610781570338888	0.4396035516475217	0.5618686531630208	0.3490435162784583	0.5132583117956541	0.5725313350205141	0.5780448664031034	0.3529841475540279	0.5783626889949433	0.7052075235655232	0.7427468478832274	0.4730518070163897	0.5741795286188042	0.5419964449376022	0.4322407107741459	0.6042270034805822	0.521021048356845	0.4449510381974964	0.5615683872390389	0.5241882981101835	0.368852778058209	0.5658289780227351	0.5173311601218143	0.4768594509253463	0.6112345288128551	0.5793977386364679	0.6126850908760341	0.5370030434788552	0.5676410194873894	0.497008402083753	0.4003642147358403	0.5988148340494873	0.5785124655965833	0.5882900226678814	0.5618518333778508	0.5543725845134051	0.535139317655511	0.5888542571520802	0.5579244994687432	0.5032631696771394	0.5991589124866132	0.5018530621393618	0.3555248707473767	0.5588263689129075	0.5849600386892039	0.5469222911532823	0.452424429852535	0.4243536697528111
