	ec1254	ec1270	ec1278	ec1306	ec1322	ec1325	ec1341	ec1350	ec1353	ec1354	ec1357	ec1364	ec1367	ec1369	ec1372	ec1382	ec1384	ec1386	ec1388	ec1398	ec1401	ec1403	ec1404	ec1412	ec1416	ec1417	ec1419	ec1428	ec1430	ec1433	ec1436	ec1441	ec1449	ec1450	ec1460	ec1468	ec1489	ec1490	ec1492	ec1497	ec1498	ec1500	ec1503	ec1505	ec1508	ec1510	ec1511	ec1514	ec1521	ec1524	ec1525	ec1526	ec1529	ec1530	ec1534	eti112	eti122	eti124	eti126	eti146	eti147	eti149	eti153	eti154	eti156	eti161	eti164	eti165	eti166	eti167
ec1254	0	0.1438526203616413	0.3199420157252763	0.4688026934272719	0.50342003061301	0.5250146634386593	0.4042356110246261	0.524367783649523	0.4738806349613862	0.5928945031966419	0.5589057700009533	0.5334026148750591	0.5343479699500336	0.5493760145770185	0.537072604908027	0.5436884567633213	0.5108376912323589	0.4817574910721888	0.5501170980345573	0.5639840547232243	0.3613334747776498	0.5551618868853497	0.5489770454291495	0.5377103113333938	0.5390745884439415	0.2963949521734534	0.3558870587745446	0.5609774186557432	0.5548329069816885	0.5263574236970991	0.5593128008743496	0.5482378231110978	0.4329997854635199	1.206346719696314	0.4490959396812347	0.5128071099484061	0.7954303599046995	0.5513885780008867	0.5042159522259752	0.644135268696745	0.272150810774241	0.5394368142667938	0.4875688291021246	0.5716327235197549	0.5164326321090874	0.3799696872199215	0.4665959047253359	0.5539580586637809	0.543228151015181	0.5590206306214591	0.5527839898998073	0.6986929866772787	0.5754112394673706	0.4216935139265773	0.5951766053114809	0.5639770826760575	0.5227279739649056	0.4606185217104458	0.5510531780432713	0.5328481408189548	0.5409744196293851	1.135605805693029	0.5439818007013274	0.5461563381003445	0.3706907009488442	0.5099588883512696	0.3943677873766671	0.5580646431012521	0.4128936504606037	0.6251271513654668
ec1270	0.1438526203616413	0	0.2655479435204712	0.3867872180518622	0.4189420365379356	0.4467365556211472	0.325090380439705	0.4420980049083121	0.3884859123828477	0.5278484278345489	0.4749693275308184	0.4511820986103898	0.4504382828654833	0.4648883227533593	0.4551503303939849	0.4626834316499304	0.4342391453819082	0.4430719037992372	0.4674138978153687	0.4804355506876821	0.291919170167756	0.4702164160298602	0.4654572423913708	0.4543753129270247	0.4561883091126526	0.1874744188086473	0.2555936282260204	0.476767096888055	0.46889126076745	0.4426009423913863	0.4743582132603956	0.5805542692694816	0.4611987349420171	1.229507344029226	0.3869449018419584	0.4344705280458415	0.7160641261376716	0.467378999619069	0.4226851539274706	0.5579370768248774	0.2868658161969865	0.4580351286187881	0.399212088643679	0.4898397288010424	0.438033357036912	0.273041215491205	0.3888480696111074	0.4724795738277525	0.4627523359532112	0.4793269123015239	0.471319267210101	0.6089240967145723	0.4935027357195063	0.3527333889961634	0.5116987150333097	0.4793634973219957	0.4371868980066134	0.3772196519533966	0.4663857702640353	0.4517020483370931	0.4575387319379428	1.15830625570774	0.464433866670794	0.4630634734417032	0.2905876395851631	0.4271020219584204	0.3099319622701886	0.4758430602774265	0.3244522353179315	0.5455956587294123
ec1278	0.3199420157252763	0.2655479435204712	0	0.3250907654684663	0.3890597186169862	0.4111640723868725	0.2942579147020922	0.4084061894294159	0.3425002132356345	0.4152510283035402	0.4502027106022475	0.4203281100458036	0.4205474168501127	0.4362926134261374	0.4242424819891822	0.4345055009251414	0.3903028148681222	0.4570487001958866	0.4364193881302402	0.4468226027765312	0.2654236196716983	0.442252238904618	0.4336231655755713	0.4249877656371111	0.4295087930030265	0.2392825765729268	0.2721323486339812	0.4467263131252586	0.4410182070661692	0.4121750861458043	0.4465991516338805	0.4917440711220277	0.4010471474569623	1.236319672162101	0.2656447215500818	0.3894187250271094	0.6665929785249339	0.4392733444314543	0.3844520809370099	0.5117514703109081	0.2809612159926834	0.4271475014774833	0.3652551976588773	0.4613405822883605	0.3957359296223542	0.3993032741533726	0.3422870970225658	0.4437126682555062	0.4333337158779709	0.453249683910491	0.4441285998471778	0.5658180292179811	0.4487245333379167	0.334439277398608	0.4633409608936807	0.4510677344267628	0.3997143809073341	0.3340863278902019	0.4363512501812971	0.4184970269736105	0.4291689151975847	1.151336270439016	0.4323913853906879	0.4298168342924302	0.2605410994851458	0.3977145183503568	0.2972924813512813	0.4468276300221211	0.2916483951206831	0.4996300739446495
ec1306	0.4688026934272719	0.3867872180518622	0.3250907654684663	0	0.1388075756738403	0.1779601995823476	0.1762552020816742	0.1665380025355136	0.1167990755677308	0.3049443684681287	0.2050916183780401	0.1588551030836482	0.1831313947124659	0.1801253089954103	0.1855247531624848	0.1766316825210517	0.1497974976901603	0.4472106943031471	0.203626235063015	0.1854730189244368	0.2064887533542283	0.1954001898687107	0.1777042827586362	0.1823147800119554	0.1668999287571067	0.2412212216949184	0.1610889675432243	0.1855353153945124	0.1802286165107898	0.2394421652961609	0.1868228453135282	0.5949497460391149	0.5242004586478192	1.215188492947867	0.3292644662342286	0.274419431950661	0.4602467991002435	0.1993421900030006	0.1508816947198014	0.4566536015055858	0.4802526427457869	0.1934945206495174	0.1414198481475292	0.2268802113471228	0.1725999161955911	0.4553383161111794	0.120106318416951	0.2026619571984132	0.1979604928393906	0.2109818522971032	0.207821107914601	0.4991446290650461	0.1739726143172231	0.3850633553378293	0.2147423895854168	0.1904880193182812	0.1454017456558098	0.08500277740647923	0.1778851606725027	0.1770715980262325	0.1956786741920896	1.153614911112585	0.1970174400011647	0.1940971530663858	0.202863724085905	0.1661977553600308	0.1403782881937277	0.2122963585608462	0.160319602394103	0.2288486458154474
ec1322	0.50342003061301	0.4189420365379356	0.3890597186169862	0.1388075756738403	0	0.05879273733694203	0.2388379421904533	0.05574848837413174	0.07875633485564387	0.3122736208572973	0.09164803212800016	0.05587395952121691	0.05506676882866286	0.06395896177710124	0.0649328927167086	0.06904471984843036	0.05809846219662312	0.45365226838027	0.08147011694977194	0.08686730874013415	0.3016659499167164	0.07426770379506621	0.06238716604145523	0.05207677021481613	0.06015834206797826	0.2694161768166308	0.1911389536492321	0.07991693403651631	0.07008196173365265	0.2370508182469349	0.07577674039400573	0.6553730837647134	0.547938298830015	1.264667416308809	0.3607366952451596	0.2713680978222623	0.5054632381241362	0.08139047953680649	0.05079042681081595	0.5142960944791414	0.5334466301647792	0.06842344961764722	0.04873468366162621	0.09834291738684868	0.08189957391188843	0.538913607736654	0.1183820264022705	0.08416672201528597	0.08098086042169296	0.09804880911556123	0.08876376752988557	0.5272353422330955	0.09859009990778454	0.4105091507380769	0.2185059978840608	0.08103806991530738	0.02909752675386031	0.09595873860045188	0.05850255896537068	0.06261567279462771	0.0676267580053887	1.209773549913827	0.08196728198074195	0.07043479998358385	0.2316419508067652	0.06956674918113988	0.1592571971592259	0.08888161180265451	0.1911152866348012	0.1749179295077217
ec1325	0.5250146634386593	0.4467365556211472	0.4111640723868725	0.1779601995823476	0.05879273733694203	0	0.2786039735770837	0.03861056609140499	0.09982186040390542	0.3207638289234276	0.07226874370167917	0.05247441280691925	0.05024042277994769	0.05147765963667662	0.03625935552011756	0.04879023444466241	0.05318023300612338	0.4555760746158178	0.05858932797304989	0.07139758313851596	0.3372166462006856	0.05427584093892588	0.04862316530658067	0.04643342856588284	0.05492734554893264	0.3055615573380707	0.2258286770698808	0.06274804517869961	0.05640348889215775	0.2390895512720081	0.06069898423422608	0.6608624629933909	0.5590926752562763	1.264367718615201	0.3829536940712542	0.2578047335417792	0.5063985128373041	0.06114697223367303	0.06952925904044828	0.5531148743566224	0.5664640144751115	0.05081774528959453	0.08390608238833203	0.08542209896315558	0.09506179943213836	0.5691891411084607	0.1411700555151227	0.06475165622648997	0.06117084111705688	0.07922103790835072	0.06874512153892838	0.5663910052730432	0.08692969020832254	0.4185391990705474	0.2478832962618409	0.06270003249117978	0.05356769085000156	0.1271622991700166	0.05112629419458629	0.0540086208224194	0.05573254567787947	1.205179496094944	0.06095073396210829	0.05567339099887803	0.2707395518318222	0.09102626801366807	0.2016706479661912	0.06897722261545895	0.2307701293744762	0.1843263627614395
ec1341	0.4042356110246261	0.325090380439705	0.2942579147020922	0.1762552020816742	0.2388379421904533	0.2786039735770837	0	0.2827483340037291	0.2193125572888184	0.388746607240621	0.3067274788909118	0.2838613709852584	0.2675566140998805	0.2885833209756837	0.2794821183688473	0.2951096697985264	0.2651180765426985	0.4644607990137172	0.2851693134341999	0.3091391380295777	0.1642034704747925	0.2936120184539721	0.283080372185388	0.2765726034548411	0.2867840835442185	0.1701868970995303	0.1233260041201386	0.3016351788228055	0.2962262279567787	0.274892911220758	0.2997107328024934	0.5972004597854572	0.5129776094114344	1.231059707312181	0.3255916394932553	0.2765539835969634	0.5040154007978166	0.2930701721593164	0.2522504312403213	0.4466298720195592	0.4207344565974471	0.2803529070812995	0.2256937009500358	0.3055181024029532	0.2791216474771317	0.4075580674709435	0.2163826467570162	0.2983487049294615	0.2867739034908945	0.3108900190537784	0.296801726466199	0.4740846458316379	0.2841852872915992	0.3838418247045601	0.2633290802394473	0.3064769501197573	0.2562713498425694	0.2102824529438307	0.2853103059948487	0.2775711819788022	0.2735664770226923	1.163597766565732	0.2902525920363745	0.2829219173600809	0.1384223649253973	0.2426902417607657	0.1280394753351026	0.2996589019030278	0.1424086339812697	0.3265654152499918
ec1350	0.524367783649523	0.4420980049083121	0.4084061894294159	0.1665380025355136	0.05574848837413174	0.03861056609140499	0.2827483340037291	0	0.1030508351816131	0.3225458291246763	0.06864578186358571	0.03024278191143195	0.05224674221612222	0.0385301408698794	0.04859576430790222	0.0385542787894236	0.06335262791479632	0.4565122333104891	0.06863629700137966	0.05358472776950855	0.3315285851852693	0.06180883147010167	0.04765247115626219	0.04447481684166081	0.03424314702695311	0.3014000532335162	0.2222474219586996	0.04767194365492014	0.03943693517063757	0.2365158561695757	0.04551763985532969	0.6544521312334558	0.5519993338544862	1.266449760575983	0.3756602578584972	0.2718003397905631	0.5109505888633487	0.06732779093327414	0.07667537177851499	0.554318299914447	0.5565672787409948	0.05803083265351645	0.0828308204616902	0.09357250193585605	0.08170920555643478	0.5597979339118273	0.139550927218846	0.07195045799272808	0.06746282078099984	0.07488994702404966	0.0760503542858406	0.5682725184167282	0.09203046419697929	0.4085746156195809	0.2532050832454604	0.05689484630447684	0.05267804107922101	0.1079572579661631	0.04577675642417638	0.05743651348074821	0.06261532355305828	1.201592635462355	0.06812617359863464	0.06167217004912703	0.2679712687256606	0.09555642620260271	0.2043067568906421	0.07588133530921597	0.2327345535789834	0.1899834242844047
ec1353	0.4738806349613862	0.3884859123828477	0.3425002132356345	0.1167990755677308	0.07875633485564387	0.09982186040390542	0.2193125572888184	0.1030508351816131	0	0.2979991130855555	0.1360250154513975	0.1023658683585378	0.1051728085330286	0.1165372194869684	0.1036763464171844	0.1222634006599764	0.08289684936880069	0.4422713137494699	0.1183565123674655	0.1375199214413803	0.2746493407391608	0.1200967855698566	0.1124095211556713	0.1083422005465608	0.120051108287327	0.2428562802269239	0.1767465174910811	0.1315362796011824	0.1274610862299096	0.2329368488565042	0.1306207015068604	0.635115689793477	0.5262522267366871	1.247757352810182	0.3286746935920746	0.2515116777377629	0.4883232817198535	0.121409347309123	0.06708384285680283	0.5012467024794292	0.5061175280154726	0.1083963073896791	0.05850242022380769	0.1438050631822564	0.1075934700460467	0.5068689981586786	0.0885562869852924	0.1267356240837423	0.1230774252116427	0.1414586635292328	0.1292217990699495	0.5134385470604617	0.1401510572236997	0.3907765128844139	0.1982741041226696	0.1323538170970672	0.0731320108748718	0.06124799121940235	0.1141964566486412	0.09804733165200739	0.1137416187063044	1.184994620771961	0.1212609991403801	0.1138045510017495	0.206575307025845	0.08602524627928462	0.1422208196322226	0.1266402914094102	0.1692801382386475	0.1952858455411981
ec1354	0.5928945031966419	0.5278484278345489	0.4152510283035402	0.3049443684681287	0.3122736208572973	0.3207638289234276	0.388746607240621	0.3225458291246763	0.2979991130855555	0	0.3443977900634944	0.3363011438599772	0.3143530611161436	0.3305024981298692	0.3195311860225845	0.33783098481709	0.3166630135483273	0.574775916938278	0.3233125652177635	0.3430127847637893	0.4043119922028219	0.3305652669750724	0.32297622285963	0.3110934674217271	0.3401430597719041	0.389044871653061	0.3605388581538957	0.3424968144180985	0.3402652638256334	0.3775912381889208	0.3410091732426014	0.4987261412346509	0.538578784779339	1.359454737435309	0.3408581435252168	0.3919283325215171	0.5988391181740763	0.331136916968754	0.318003014192754	0.6448167809206518	0.4820019543434119	0.3192477378640948	0.2997820750006862	0.3373669461313683	0.3122419732873568	0.6588391458807881	0.289475652186081	0.3377864393742782	0.3291063735543396	0.3491804423590282	0.3346988016417689	0.6693639410355511	0.3229238965778309	0.4670380990359587	0.3843240138253542	0.3438008989780001	0.3206126520909208	0.3138064071649609	0.3280501113954775	0.3295618103336792	0.3181998137542352	1.288382503494051	0.3285808142934227	0.3194548419863402	0.3726477738601252	0.3007161501308191	0.3144838558921584	0.3326486763980907	0.3287606661069717	0.3684279955748884
