	ec1441	ec1449	ec1450	ec1460	ec1468	ec1489	ec1490	ec1492	ec1497	ec1498	ec1500	ec1503	ec1505	ec1508	ec1510	ec1511	ec1514	ec1521	ec1524	ec1525	ec1526	ec1529	ec1530	ec1534	eti146	eti147	eti149	eti153	eti154	eti156	eti161	eti164	eti165	eti166	eti167
ec1441	0.0	0.98	1.0	0.872	1.0	1.0	0.998	0.998	0.998	0.958	1.0	1.0	0.994	0.968	0.988	0.966	1.0	0.988	1.0	1.0	0.996	1.0	0.89	1.0	1.0	1.0	0.956	1.0	0.994	0.976	1.0	0.984	0.984	0.998	1.0
ec1449	0.98	0.0	1.0	1.0	1.0	0.982	0.984	0.996	0.982	0.996	0.996	0.986	0.976	0.99	0.99	0.988	0.998	0.986	1.0	0.994	0.984	0.982	0.978	0.982	1.0	0.982	0.998	1.0	0.992	0.986	0.98	0.976	0.996	0.986	0.982
ec1450	1.0	1.0	0.0	1.0	1.0	0.628	1.0	1.0	0.696	1.0	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.938	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.998	0.878
ec1460	0.872	1.0	1.0	0.0	0.944	0.938	0.906	0.916	0.984	0.982	0.752	0.944	0.796	0.934	0.964	0.882	0.936	0.67	0.98	0.642	0.99	0.842	0.902	0.914	0.734	0.82	0.978	0.618	0.88	0.966	0.812	0.976	0.624	0.978	0.892
ec1468	1.0	1.0	1.0	0.944	0.0	0.924	0.814	0.688	0.998	0.996	0.852	0.976	0.978	0.774	0.882	0.662	0.746	0.976	0.678	0.932	0.996	0.922	0.956	0.896	0.714	0.966	0.992	0.886	0.73	1.0	0.95	0.984	0.834	0.992	0.918
ec1489	1.0	0.982	0.628	0.938	0.924	0.0	0.688	0.8	0.558	0.996	0.744	0.874	0.91	0.754	0.938	0.848	0.728	0.926	0.798	0.898	0.87	0.674	0.866	0.728	0.674	0.698	0.992	0.91	0.714	0.978	0.762	0.868	0.722	0.89	0.632
ec1490	0.998	0.984	1.0	0.906	0.814	0.688	0.0	0.728	0.878	0.992	0.704	0.804	0.872	0.87	0.912	0.862	0.75	0.672	0.844	0.852	0.894	0.732	0.844	0.734	0.552	0.56	0.992	0.828	0.638	0.96	0.732	0.798	0.56	0.894	0.718
ec1492	0.998	0.996	1.0	0.916	0.688	0.8	0.728	0.0	0.978	0.992	0.744	0.886	0.934	0.746	0.858	0.678	0.638	0.9	0.744	0.924	0.976	0.916	0.914	0.808	0.66	0.876	0.998	0.672	0.612	0.994	0.89	0.888	0.738	0.97	0.878
ec1497	0.998	0.982	0.696	0.984	0.998	0.558	0.878	0.978	0.0	0.994	0.894	0.768	0.866	0.994	0.904	0.992	0.962	0.99	0.998	0.962	0.736	0.708	0.928	0.794	0.906	0.71	0.998	0.972	0.888	0.89	0.586	0.78	0.898	0.56	0.59
ec1498	0.958	0.996	1.0	0.982	0.996	0.996	0.992	0.992	0.994	0.0	0.992	0.984	0.996	0.994	0.976	0.98	0.99	1.0	0.998	0.992	0.994	0.992	0.856	0.992	0.994	0.992	0.96	0.994	0.992	0.86	0.996	0.97	0.984	0.968	0.99
