	ec1254	ec1270	ec1278	ec1306	ec1322	ec1325	ec1341	ec1350	ec1353	ec1354	ec1357	ec1364	ec1367	ec1369	ec1372	ec1382	ec1384	ec1386	ec1388	ec1398	ec1401	ec1403	ec1404	ec1412	ec1416	ec1417	ec1419	ec1428	ec1430	ec1433	ec1436	eti112	eti122	eti124	eti126
ec1254	0.0	0.36518012605490097	0.5828623284762671	0.6649615173890892	0.5241017330251008	0.4840511580870437	0.6286324027334244	0.3714850536227134	0.5864727864416495	0.529657275529423	0.5524001604052494	0.5389601191864285	0.537310946176853	0.5309561612838379	0.5480247045453738	0.37989914674449743	0.448554702459975	0.6151521006623218	0.5385471796594592	0.5322455529888508	0.7132130145432531	0.49977844799228294	0.6052976528619947	0.4235867824971504	0.5344849520527633	0.48321197003931876	0.516679548980781	0.6030232108566513	0.5436198270663279	0.4134700235574846	0.5076176893220173	0.5818386357815823	0.4430182826256993	0.4834111787266736	0.542875443354711
ec1270	0.36518012605490097	0.0	0.40228075136400443	0.5461338687523316	0.46890127886050476	0.3574502924804063	0.49258072083560583	0.23384212766039142	0.5186935420773601	0.4984727972222087	0.5076717337136909	0.4894125491994823	0.44687785882236236	0.45162621005650927	0.4581305960229215	0.33233858782727455	0.41033045180549893	0.6307173594796083	0.5114661098386428	0.4862432900010669	0.6679033333649668	0.4928036450061459	0.5735198524143512	0.4225398465411752	0.48752866851002824	0.4321392137164866	0.5003134333539745	0.5552409287610814	0.4886598028198484	0.383437285478145	0.46585049277077817	0.5265352620597915	0.40888624490611547	0.45919505004435357	0.527685568385876
ec1278	0.5828623284762671	0.40228075136400443	0.0	0.5255291411887734	0.6259984639551834	0.5589019254233449	0.5879449808098977	0.4274533964944182	0.4763182559219873	0.430041802673582	0.6491530028329785	0.6422568618344084	0.6031089800750381	0.6044779590373421	0.6179538050456391	0.48626207220994144	0.6066842505179485	0.5855976454600078	0.6578918013765788	0.640434566937211	0.6095829363159077	0.6425831500917069	0.5469312256294612	0.5461937992415902	0.6402814846787578	0.49996595831314	0.5972329966627908	0.6377839258353933	0.6458967529339635	0.5400954755509699	0.6300072953030695	0.6535957370456743	0.581166577911705	0.60977106564555	0.6641990871390094
ec1306	0.6649615173890892	0.5461338687523316	0.5255291411887734	0.0	0.4478113826173463	0.4624406698881467	0.42419766685828836	0.506440156570669	0.4983171315979907	0.4361249693082978	0.4367702162985771	0.41277794010136154	0.4493568625315138	0.38938085811469036	0.45616801300877124	0.5136257869098728	0.476932243482657	0.3219458338214343	0.5139498940407927	0.41135971474001104	0.618882619167411	0.4317241179825585	0.3678633861467899	0.5181877172914255	0.40742367738722457	0.5662558989924276	0.4966691591083642	0.46730159891191086	0.42006684283808554	0.5470679315274667	0.45209965876527836	0.4578603475630502	0.5070211758041566	0.47836323861993024	0.4647678667595853
ec1322	0.5241017330251008	0.46890127886050476	0.6259984639551834	0.4478113826173463	0.0	0.3250367406319611	0.3964970918852491	0.4147637145235826	0.6065786718918207	0.5175631169397812	0.18835230008391254	0.13832056766246792	0.3249990674136306	0.2213278672972622	0.3401455008694349	0.32938165734553493	0.26039084960738307	0.44608746981624636	0.34313135148084256	0.13843267431222642	0.7051616232069225	0.1902034558028347	0.4219304766118706	0.2916552709573024	0.13813247880399473	0.4927880325228602	0.4124310217444344	0.30612324935821883	0.15037136415612357	0.3571302675115722	0.2307034039760686	0.2307274034270565	0.24842039790959927	0.28453009386705214	0.24711172502615855
ec1325	0.4840511580870437	0.3574502924804063	0.5589019254233449	0.4624406698881467	0.3250367406319611	0.0	0.37543596292669484	0.32838540607934547	0.6097971633435414	0.5648400746627993	0.30699748111510977	0.28251612773752016	0.26050268050330216	0.272403127713121	0.29337902337143124	0.33784195260630323	0.19605549264002536	0.5099962474450049	0.35130023158722856	0.28355945997068077	0.7172085763911831	0.2950335189374849	0.458783544177455	0.4216096351317776	0.2762860205808593	0.4873873905000481	0.33877531348131473	0.45069330454854933	0.27601285433592615	0.410911903615696	0.22990563112635778	0.3439493950114932	0.2487360232118012	0.28276486950380875	0.3548394419699057
ec1341	0.6286324027334244	0.49258072083560583	0.5879449808098977	0.42419766685828836	0.3964970918852491	0.37543596292669484	0.0	0.5029516119603578	0.5048669331678238	0.5612412115204483	0.3867964522395276	0.3641847772808298	0.4254670172696706	0.30364963359581476	0.41763832633859	0.4962021730845152	0.41747272610272634	0.48859526877093007	0.4768351568981108	0.357125023596405	0.6886345738267603	0.3686030481025468	0.4664533967626486	0.4695555762221333	0.35781866986292266	0.5414478695741033	0.2514364577183715	0.22588423473423147	0.3565559949269069	0.503735141009194	0.3964013879278271	0.42005804804930086	0.4687401626086901	0.4404792397281611	0.4184460879217991
ec1350	0.3714850536227134	0.23384212766039142	0.4274533964944182	0.506440156570669	0.4147637145235826	0.32838540607934547	0.5029516119603578	0.0	0.47777445000665275	0.492678980979261	0.45622784503568414	0.43135207601639536	0.3889743558324014	0.40114272881437696	0.4134048453753242	0.2677151274228938	0.39694410794613577	0.6006296140103543	0.4773550131975793	0.4377162142626652	0.6723064986159613	0.4474207803065038	0.542890882970386	0.3777946101153069	0.427661447878616	0.45949506607728324	0.464017624499326	0.5168197880821903	0.4410282061543355	0.3607754867952792	0.4125632322571796	0.4723286077069071	0.36052345252390106	0.41022177467897164	0.48664972264415957
ec1353	0.5864727864416495	0.5186935420773601	0.4763182559219873	0.4983171315979907	0.6065786718918207	0.6097971633435414	0.5048669331678238	0.47777445000665275	0.0	0.4534179249523784	0.6271842210135685	0.6148689116822992	0.6057510316534551	0.5739652877775956	0.5704148821993779	0.5356508238234907	0.6007403266617682	0.5676702192048521	0.6065533374122865	0.6227498333128814	0.6318307993447669	0.6067162402628588	0.5239177975362993	0.5359956535015706	0.6206250449096037	0.5351482150938011	0.499357192566157	0.49907538615712305	0.6344583075180961	0.5515329808801169	0.6197358961770323	0.6408552574419669	0.6080054138601692	0.5979643294191221	0.6225915809080103
ec1354	0.529657275529423	0.4984727972222087	0.430041802673582	0.4361249693082978	0.5175631169397812	0.5648400746627993	0.5612412115204483	0.492678980979261	0.4534179249523784	0.0	0.5419080680925077	0.5259725564647768	0.5793008613946311	0.5242050815926454	0.572264303539966	0.40430300696949906	0.5400482082768633	0.4408870636141297	0.56257442554485	0.5307415695629464	0.5343457805088362	0.5074461234296557	0.4414456728971111	0.36383003464244573	0.5263978790246848	0.33792149866587673	0.5158583116868171	0.5185889452802829	0.5238862982154894	0.42679576421654025	0.5442041655424412	0.5600079384415957	0.5298120646588794	0.505239769036801	0.5265213222045346
