	ec1057	ec1059	ec1065	ec1066	ec1075	ec1076	ec1082	ec1083	ec1084	ec1089	ec1091	ec1092	ec1097	ec1098	ec1100	ec1101	ec1105	ec1106	ec1108	ec1113	ec1114	ec1116	ec1119	ec1121	ec1122	ec1124	ec1126	ec1127	ec1130	ec1137	ec1138	ec1140	ec1141	ec1142	ec1145	ec1150
ec1057	0.0	0.786	0.8	0.796	0.762	0.886	0.864	0.888	0.8	0.796	0.894	0.79	0.85	0.822	0.774	0.87	0.918	0.7	0.796	0.826	0.814	0.864	0.922	0.856	0.886	0.886	0.934	0.918	0.822	0.692	0.924	0.796	0.778	0.882	0.884	0.91
ec1059	0.786	0.0	0.828	0.666	0.628	0.95	0.716	0.9	0.872	0.764	0.756	0.87	0.8	0.684	0.826	0.83	0.854	0.756	0.738	0.898	0.732	0.828	0.822	0.758	0.742	0.91	0.816	0.838	0.686	0.738	0.834	0.818	0.764	0.826	0.776	0.862
ec1065	0.8	0.828	0.0	0.846	0.804	0.914	0.888	0.918	0.886	0.88	0.918	0.886	0.862	0.862	0.796	0.868	0.872	0.806	0.84	0.852	0.864	0.848	0.91	0.856	0.924	0.924	0.934	0.924	0.862	0.788	0.952	0.852	0.838	0.912	0.852	0.956
ec1066	0.796	0.666	0.846	0.0	0.66	0.924	0.73	0.918	0.878	0.782	0.82	0.846	0.794	0.7	0.802	0.842	0.876	0.754	0.722	0.886	0.714	0.772	0.862	0.764	0.784	0.906	0.858	0.876	0.742	0.764	0.878	0.856	0.752	0.874	0.824	0.898
ec1075	0.762	0.628	0.804	0.66	0.0	0.942	0.734	0.9	0.852	0.76	0.824	0.86	0.812	0.66	0.822	0.802	0.914	0.734	0.762	0.896	0.69	0.83	0.86	0.814	0.806	0.896	0.86	0.864	0.714	0.734	0.89	0.808	0.754	0.85	0.814	0.896
ec1076	0.886	0.95	0.914	0.924	0.942	0.0	0.97	0.964	0.798	0.946	0.962	0.748	0.93	0.944	0.862	0.95	0.974	0.9	0.928	0.836	0.944	0.904	0.964	0.938	0.958	0.874	0.974	0.956	0.95	0.922	0.964	0.902	0.942	0.972	0.97	0.982
ec1082	0.864	0.716	0.888	0.73	0.734	0.97	0.0	0.934	0.938	0.792	0.792	0.93	0.816	0.7	0.87	0.832	0.886	0.822	0.782	0.958	0.752	0.88	0.88	0.802	0.766	0.94	0.874	0.882	0.75	0.812	0.876	0.886	0.854	0.87	0.786	0.886
ec1083	0.888	0.9	0.918	0.918	0.9	0.964	0.934	0.0	0.932	0.93	0.876	0.934	0.928	0.916	0.926	0.948	0.958	0.896	0.912	0.944	0.928	0.844	0.892	0.936	0.922	0.782	0.942	0.836	0.902	0.892	0.92	0.638	0.928	0.896	0.934	0.906
ec1084	0.8	0.872	0.886	0.878	0.852	0.798	0.938	0.932	0.0	0.886	0.938	0.726	0.888	0.91	0.774	0.884	0.902	0.816	0.84	0.82	0.866	0.856	0.952	0.896	0.93	0.802	0.956	0.924	0.894	0.842	0.948	0.816	0.844	0.922	0.928	0.938
ec1089	0.796	0.764	0.88	0.782	0.76	0.946	0.792	0.93	0.886	0.0	0.886	0.866	0.816	0.788	0.862	0.848	0.902	0.824	0.78	0.93	0.816	0.866	0.948	0.738	0.842	0.922	0.91	0.948	0.826	0.77	0.92	0.858	0.786	0.856	0.88	0.898
