	ec1057	ec1059	ec1065	ec1066	ec1075	ec1076	ec1082	ec1083	ec1084	ec1089	ec1091	ec1092	ec1097	ec1098	ec1100	ec1101	ec1105	ec1106	ec1108	ec1113	ec1114	ec1116	ec1119	ec1121	ec1122	ec1124	ec1126	ec1127	ec1130	ec1137	ec1138	ec1140	ec1141	ec1142	ec1145	ec1150
ec1057	0.0	0.16604831356346406	0.2394271999716438	0.1531029989480457	0.16508477484965617	0.21054302602362346	0.17381919457199785	0.34741994868224574	0.17244144996468053	0.16413383657010466	0.17807266875420605	0.17501669292472502	0.1761252814867834	0.1662289489553458	0.1843918602681716	0.1830434010761532	0.256943749553391	0.16182799486511107	0.14932259302621384	0.17806047382372878	0.19208543455817914	0.283164776111001	0.2769152441750729	0.19684653135434577	0.24683255780622296	0.2665839260105795	0.18443723625100433	0.33441612561093326	0.1739686080648177	0.14363412585595106	0.17730325344346284	0.27854450586938717	0.1744033562510441	0.1779155261224851	0.1910755589584926	0.24024117150562074
ec1059	0.16604831356346406	0.0	0.2215538333866099	0.12159887870023968	0.11234550987983848	0.24980454466346602	0.11773499627888612	0.3031256538789448	0.16898779021307248	0.15908171215790234	0.12306292215820377	0.16099182915104698	0.14211143602867635	0.12271775079061156	0.15882389637169067	0.16771252991521254	0.19851319550928803	0.16483702000679765	0.1065048414717969	0.23865107714794676	0.1305309316100977	0.22784382072592949	0.2107894777989681	0.1553863186004759	0.16731443183940806	0.24687797665899938	0.14603016238140498	0.27880218407961965	0.1348945858114911	0.12726278307175298	0.138566618489469	0.26636049116437815	0.13349352796031508	0.17189620082220738	0.14540283805287518	0.24181080365444024
ec1065	0.2394271999716438	0.2215538333866099	0.0	0.2263733350524902	0.1817263253224271	0.2451291876100333	0.23950839816327407	0.3498358533251189	0.22385666736122944	0.2444139595206618	0.23132080029621377	0.21521318525513275	0.22025076747644454	0.2344746920853038	0.188934271756301	0.23243143550132936	0.2510069265211086	0.20342855762423792	0.2211560343057913	0.24746830770542033	0.233196028852501	0.276050207025204	0.3067152040122006	0.22711975087198522	0.2925909454282761	0.2934853777686987	0.24952090641199376	0.3453268866711794	0.22410786791655526	0.22038820341995224	0.24433555051531483	0.3037478193619137	0.22449319984222954	0.2661926592824782	0.23898685180375845	0.3315698153449817
ec1066	0.1531029989480457	0.12159887870023968	0.2263733350524902	0.0	0.12669057893245844	0.23482775473537637	0.1210540947109515	0.3266198633411215	0.17294878283695395	0.1659375959063019	0.14669975733867363	0.16811371619524831	0.1526119253976399	0.12475262220086768	0.16322260520801202	0.15713338326872728	0.24876197287906374	0.1484867683687971	0.11944057128338692	0.21988714603353557	0.12859801562629503	0.22318708023110742	0.25412329184293564	0.15282702845207077	0.19713200134808215	0.24634580258291872	0.17076495398451882	0.3164237067308386	0.14596104835794174	0.12813787212589184	0.15342958157610567	0.288062170992469	0.1404109875337732	0.17341150093110802	0.16160283303218348	0.24080406788739933
ec1075	0.16508477484965617	0.11234550987983848	0.1817263253224271	0.12669057893245844	0.0	0.2102250171847769	0.13271586697598292	0.30749453444329544	0.15582726917437803	0.16132862509550372	0.132969631131913	0.1515589873339982	0.14398009696302883	0.1269801282705147	0.14721847232177993	0.16450228087802815	0.19880522761909336	0.15240124002501557	0.12144207320176505	0.2085376258536259	0.14253796853420805	0.23397808331872424	0.23782537870256906	0.1551512766702745	0.20377945270185324	0.2386643561260591	0.16862479157848254	0.2823635059410898	0.1355109501532924	0.14153691079398398	0.15013735299478925	0.2636733106607727	0.1473724484688601	0.18212118561799814	0.1601452391514584	0.24899748938377278
ec1076	0.21054302602362346	0.24980454466346602	0.2451291876100333	0.23482775473537637	0.2102250171847769	0.0	0.25367820615076203	0.3763158722037526	0.17927636098823382	0.24323055053833367	0.2464143000513263	0.18258278250963517	0.22636574775616547	0.24731230918148747	0.20446990762981143	0.2531116170758295	0.27307176357876617	0.20773820407681945	0.2309525714243652	0.1594837501455204	0.24964555168137412	0.29198279466923643	0.32479322685237544	0.23813534747807152	0.31681332232348586	0.24983453952417337	0.26462531349477014	0.3524416530726118	0.22811569706092852	0.23030288270403393	0.2470157448366918	0.3051344319411225	0.24140162778035412	0.2736827293589319	0.25089202258136034	0.33505751827998626
ec1082	0.17381919457199785	0.11773499627888612	0.23950839816327407	0.1210540947109515	0.13271586697598292	0.25367820615076203	0.0	0.3185303512068652	0.1861787907288157	0.13635492798006507	0.12785744377071406	0.19193826061441077	0.13413109259192776	0.09529853716198365	0.16648701440476218	0.1573378792993944	0.23269468619476186	0.18522091013859432	0.1109951858777759	0.24836093792936284	0.14269015416901717	0.24119734039798785	0.23994452809923042	0.13899841249510989	0.15822739466494168	0.260232694644166	0.14249913914297238	0.3098211151471762	0.13691096508328846	0.1508230648768314	0.14617668989393495	0.2927566798539333	0.14555649344566743	0.16249024129212294	0.16666901786748367	0.2266840777803613
ec1083	0.34741994868224574	0.3031256538789448	0.3498358533251189	0.3266198633411215	0.30749453444329544	0.3763158722037526	0.3185303512068652	0.0	0.34214683601271656	0.33755135326112456	0.32310579881125856	0.30837868730761625	0.3226326178182257	0.3194568572313746	0.30923267049048286	0.328079097639536	0.36242004287593177	0.3310641125097535	0.31747885745514953	0.3769773500130406	0.3136898451952452	0.3121037919122232	0.23317108421270458	0.3340236154729057	0.3677989701059005	0.21057452448176545	0.32192424006597586	0.14715299321581438	0.3423489097375677	0.3203162060705351	0.3236467671674999	0.1349791424494229	0.3359212967800822	0.35547627353143446	0.33432076223161095	0.3949626139756292
ec1084	0.17244144996468053	0.16898779021307248	0.22385666736122944	0.17294878283695395	0.15582726917437803	0.17927636098823382	0.1861787907288157	0.34214683601271656	0.0	0.20281485403754151	0.18387015620240946	0.1531064729186254	0.16152444836717128	0.18878753711508156	0.14790325360925166	0.19075949914467943	0.20492490965487495	0.1724556432041121	0.1635435658706146	0.18434352133321136	0.1752473655242129	0.2349772505337758	0.261106428780117	0.18135883447011364	0.23031548507301947	0.22031452419990957	0.2019892612360323	0.3006173862849417	0.20094996544901805	0.16877733085866922	0.1966207981166689	0.28096098966663197	0.1734555925611532	0.2223274623174596	0.1865508314635544	0.28566219576009977
ec1089	0.16413383657010466	0.15908171215790234	0.2444139595206618	0.1659375959063019	0.16132862509550372	0.24323055053833367	0.13635492798006507	0.33755135326112456	0.20281485403754151	0.0	0.1787954797750285	0.195827195499018	0.15108999926472516	0.1336778635529017	0.17800827730445767	0.15715609039696243	0.24587663167299212	0.19836753445656144	0.12625620763314216	0.2467348835961103	0.1626498570654695	0.25231668056690293	0.25803781362929884	0.13889292236566153	0.19621759442013656	0.2642497098645797	0.1742307667587809	0.3245414235560273	0.1510236715080695	0.1522661837258445	0.1756096410988469	0.29185217563876203	0.16358704093113607	0.1744048169839439	0.19688542267977113	0.23518692700888777
