	ec1254	ec1270	ec1278	ec1306	ec1322	ec1325	ec1341	ec1350	ec1353	ec1354	ec1357	ec1364	ec1369	ec1372	ec1382	ec1384	ec1385	ec1386	ec1388	ec1398	ec1401	ec1403	ec1404	ec1412	ec1416	ec1417	ec1419	ec1428	ec1430	ec1433	ec1436	eti110	eti112	eti122	eti124	eti126
ec1254	0.0	0.97	0.934	0.866	0.934	0.974	0.716	0.982	0.982	0.976	1.0	0.994	0.978	0.982	0.976	0.972	0.998	0.994	0.994	0.992	0.616	0.998	0.982	0.974	0.952	0.99	0.98	0.99	0.984	0.986	0.982	1.0	1.0	0.996	0.996	0.994
ec1270	0.97	0.0	0.78	0.888	0.848	0.852	0.826	0.818	0.83	0.844	0.912	0.882	0.852	0.82	0.894	0.846	0.862	0.966	0.89	0.882	0.968	0.854	0.82	0.798	0.89	0.45	0.76	0.878	0.854	0.9	0.856	0.86	0.872	0.868	0.872	0.832
ec1278	0.934	0.78	0.0	0.846	0.738	0.788	0.702	0.79	0.72	0.738	0.866	0.884	0.768	0.824	0.876	0.83	0.766	0.984	0.784	0.868	0.944	0.768	0.748	0.742	0.864	0.73	0.818	0.864	0.804	0.88	0.826	0.828	0.846	0.858	0.832	0.842
ec1306	0.866	0.888	0.846	0.0	0.58	0.72	0.792	0.646	0.78	0.848	0.936	0.428	0.876	0.782	0.536	0.436	0.882	0.914	0.89	0.45	0.838	0.692	0.834	0.616	0.402	0.912	0.894	0.428	0.418	0.872	0.464	0.384	0.472	0.598	0.33	0.462
ec1322	0.934	0.848	0.738	0.58	0.0	0.668	0.606	0.54	0.594	0.44	0.812	0.6	0.71	0.638	0.62	0.554	0.478	0.914	0.792	0.612	0.898	0.554	0.658	0.398	0.572	0.65	0.82	0.61	0.532	0.816	0.568	0.572	0.602	0.582	0.596	0.542
ec1325	0.974	0.852	0.788	0.72	0.668	0.0	0.828	0.686	0.69	0.77	0.858	0.744	0.792	0.604	0.698	0.636	0.772	0.914	0.712	0.738	0.93	0.682	0.676	0.604	0.752	0.816	0.76	0.708	0.656	0.824	0.698	0.63	0.676	0.694	0.734	0.694
ec1341	0.716	0.826	0.702	0.792	0.606	0.828	0.0	0.81	0.716	0.66	0.864	0.912	0.76	0.774	0.922	0.796	0.618	0.994	0.742	0.908	0.688	0.806	0.688	0.664	0.872	0.578	0.796	0.862	0.832	0.892	0.746	0.872	0.902	0.888	0.88	0.818
ec1350	0.982	0.818	0.79	0.646	0.54	0.686	0.81	0.0	0.666	0.752	0.758	0.614	0.76	0.59	0.628	0.6	0.778	0.914	0.796	0.66	0.96	0.572	0.338	0.54	0.62	0.802	0.588	0.636	0.584	0.566	0.628	0.574	0.614	0.462	0.604	0.578
ec1353	0.982	0.83	0.72	0.78	0.594	0.69	0.716	0.666	0.0	0.642	0.772	0.628	0.666	0.642	0.776	0.684	0.66	0.944	0.678	0.818	0.94	0.6	0.602	0.608	0.806	0.706	0.782	0.784	0.726	0.828	0.746	0.7	0.726	0.58	0.746	0.706
ec1354	0.976	0.844	0.738	0.848	0.44	0.77	0.66	0.752	0.642	0.0	0.852	0.848	0.73	0.73	0.85	0.79	0.442	0.952	0.778	0.848	0.934	0.746	0.706	0.588	0.858	0.642	0.832	0.83	0.752	0.868	0.792	0.798	0.826	0.788	0.81	0.742
