	ec1254	ec1270	ec1278	ec1306	ec1322	ec1325	ec1341	ec1350	ec1353	ec1354	ec1357	ec1364	ec1369	ec1372	ec1382	ec1384	ec1385	ec1386	ec1388	ec1398	ec1401	ec1403	ec1404	ec1412	ec1416	ec1417	ec1419	ec1428	ec1430	ec1433	ec1436	eti110	eti112	eti122	eti124	eti126
ec1254	0.0	0.14582983806841016	0.3235860719994935	0.4453044595529514	0.5024266809922047	0.5230976448165015	0.4004903297290039	0.5231983477429969	0.47343608449893315	0.5829204753304279	0.5641513871931083	0.5241658786142607	0.5482464360745042	0.5405678267945873	0.5439242153981675	0.5186127420001418	0.5579280738281343	0.4789941352895352	0.5446847400747595	0.5659009951364821	0.34490400436675	0.5532090699580882	0.5544977107532647	0.5260754008060214	0.5419328798156013	0.3071906910111003	0.3563962486043329	0.5656281768899151	0.5574175252709911	0.5163339523638562	0.5563688090429497	0.5617861102940473	0.5610735459112909	0.5122492522725108	0.4589564184301962	0.5432239171844437
ec1270	0.14582983806841016	0.0	0.26469363802573104	0.3634685100591821	0.41638693013444944	0.4407233676819987	0.32185633922610846	0.4391926463482518	0.38867070170636675	0.5198463229336027	0.48028640730191435	0.4402235644120391	0.46581510090706557	0.45660768946894953	0.4619088541499085	0.43648777752245427	0.4725964926977631	0.4448766181405172	0.4621967180338071	0.4811545590109153	0.2745200360976013	0.46751079896428954	0.46900277129349305	0.441465798473501	0.45882995411572086	0.19212329415590654	0.2569645620803689	0.4799225395621229	0.47137837545709244	0.4319811816733974	0.47088577404741705	0.4764270180271499	0.47571980244951084	0.42664788958979766	0.3749758787897092	0.4586429516484447
ec1278	0.3235860719994935	0.26469363802573104	0.0	0.2826110909655516	0.3609152797870756	0.3804056125461816	0.2728960509056481	0.3819368695877274	0.31536333461039934	0.3978447351751085	0.43177504760738733	0.38325629041158743	0.4118854922021932	0.40059202193225724	0.40887461148910814	0.3713928494362557	0.41614288574070774	0.46035356700945396	0.4058289795477348	0.4287120181790154	0.24198862042272679	0.4153043167957996	0.40919444571893865	0.3880628083984901	0.40968505831303326	0.24762949541193613	0.2494182843617057	0.424676581168452	0.41898736552706556	0.37931158040794943	0.4182042089066862	0.42400748213990247	0.42495203350984817	0.3625219835746472	0.30910986152458514	0.40174119286662346
ec1306	0.4453044595529514	0.3634685100591821	0.2826110909655516	0.0	0.14175305015080797	0.17481480078970302	0.15834533183646604	0.16543370448022363	0.11861524037694185	0.2756681821014409	0.21161871251367478	0.1456682626813755	0.1812812317286406	0.18882324777766846	0.18080853314633563	0.1552346220057967	0.21597390977933545	0.4572228370603069	0.19789037580147978	0.19147444966773022	0.19750089201503362	0.19217633591391364	0.17851749404155892	0.1788845874858858	0.1709810451294996	0.20888160152504107	0.1387473050627481	0.1894582384943766	0.18414687458426673	0.2533554511222367	0.18600930241176752	0.18766918964610868	0.18903229005129527	0.13461946930984145	0.07857403657296311	0.16962779168480988
ec1322	0.5024266809922047	0.41638693013444944	0.3609152797870756	0.14175305015080797	0.0	0.05943929028314843	0.23219781464894118	0.06235921423048418	0.0784823563719615	0.29662352001713593	0.10367145289075445	0.05199599606793546	0.07245283474845725	0.07276856052239492	0.07950410609779297	0.050283668876690044	0.09117612944976568	0.45961139885361946	0.08086744911707154	0.09562848437430042	0.2959990015555826	0.07727812145518015	0.07522839248494533	0.05060572898638472	0.07239247578078016	0.25337504324816007	0.1940980934195616	0.09328073190515153	0.07998480709187696	0.2597887957301178	0.08138274392654386	0.08471015912723553	0.08584355886711009	0.03307288794544403	0.09915771554408229	0.05782897536008952
ec1325	0.5230976448165015	0.4407233676819987	0.3804056125461816	0.17481480078970302	0.05943929028314843	0.0	0.2652481651455881	0.048358781247914026	0.10168690750638107	0.3086544632299564	0.08575330652868421	0.054344720912759575	0.06018954017401771	0.05052018898144497	0.05849928266511515	0.029453049727475304	0.08490844242693156	0.4577908046643493	0.06129065948275098	0.08179223817950912	0.32921244422241586	0.06030696946716776	0.06115931929303307	0.053034566210753746	0.06158474447635145	0.28948422505639404	0.22015923611949037	0.07937097746363746	0.06696165514065348	0.26564614720701263	0.06580903074413301	0.06935498856876521	0.06858282966390089	0.056104964738501385	0.12448894341050942	0.05269392665883922
ec1341	0.4004903297290039	0.32185633922610846	0.2728960509056481	0.15834533183646604	0.23219781464894118	0.2652481651455881	0.0	0.27486517325430637	0.21339762147713723	0.36351385282889986	0.30706025345025134	0.267108688749064	0.284046998646037	0.27203851277456126	0.2928306783297882	0.26191482478404576	0.2875545272642006	0.4721242653258728	0.2731465817471842	0.30710770679298394	0.15980500248702167	0.28716292817693956	0.2827107273659904	0.2628312048148932	0.2850986167804481	0.15510231129520824	0.11505341727963109	0.29221801959921484	0.29320399593881286	0.2851886950611494	0.2926487056381778	0.29770234970879933	0.2988328924088975	0.24230041405157188	0.20357929843817127	0.27131435991326525
ec1350	0.5231983477429969	0.4391926463482518	0.3819368695877274	0.16543370448022363	0.06235921423048418	0.048358781247914026	0.27486517325430637	0.0	0.10337327758212046	0.31187335330646276	0.07613739322176281	0.03610075829400784	0.03960449353932868	0.05181148647607528	0.04122501193237002	0.04743963677228918	0.07919527905052433	0.4626073298683843	0.06466111785922192	0.05693503633143027	0.3259325284089401	0.0594893765864012	0.05051973976681519	0.04449029631392403	0.036378319586452865	0.29212082948344387	0.22048549602223344	0.05249356309956482	0.042812702875497974	0.25884536809203834	0.04381692306158184	0.050711615123873774	0.05674808302887081	0.060205646800606784	0.10946974004529976	0.04199737098298626
ec1353	0.47343608449893315	0.38867070170636675	0.31536333461039934	0.11861524037694185	0.0784823563719615	0.10168690750638107	0.21339762147713723	0.10337327758212046	0.0	0.27563650975144716	0.14356824349170935	0.09068092911987745	0.12012459795572841	0.10605253776072693	0.12299041317480977	0.09348509563248342	0.12650635783847067	0.4538276663712135	0.11156303773090019	0.14250811352150883	0.2643041816300077	0.12174551398917455	0.11784091120411094	0.09925978660710004	0.12652125403370457	0.2281713459144465	0.1846963429392508	0.1348136090561859	0.13154664220047585	0.25241196903885266	0.13046791752183634	0.13230918893317195	0.13335099926457594	0.06564905884563561	0.06996615593100594	0.10793897504254152
ec1354	0.5829204753304279	0.5198463229336027	0.3978447351751085	0.2756681821014409	0.29662352001713593	0.3086544632299564	0.36351385282889986	0.31187335330646276	0.27563650975144716	0.0	0.34435617558907744	0.32360919089522805	0.3209190821705513	0.30524378932684276	0.3247017278662812	0.30658422351828696	0.310302314620498	0.5822759824937367	0.309335272540857	0.3418371418154662	0.3753754403439088	0.3232147304439083	0.31675180857602636	0.2953221561883617	0.3323110626726743	0.3807805462438538	0.35090504538031597	0.3331479597136807	0.33133413905602344	0.3774854895269895	0.3303972094715705	0.33561789589699637	0.33564943346303533	0.30695423815041645	0.3013149176128261	0.31474754533198085
