	ec1249	ec1257	ec1262	ec1265	ec1298	ec1301	ec1309	ec1314	ec1317	ec1330	ec1346	ec1349	ec1356	ec1358	ec1359	ec1361	ec1362	ec1368	ec1375	ec1377	ec1378	ec1380	ec1390	ec1391	ec1392	ec1394	ec1396	ec1400	ec1406	ec1408	ec1409	ec1411	ec1420	ec1422	ec1424	ec1425	ec1427	ec1435	ec1437	ec1438	eti101	eti102	eti105	eti107	eti109	eti111	eti113	eti114	eti116	eti117	eti118	eti121	eti123	eti125	eti133	eti134	eti135
ec1249	0.0	0.642	0.912	0.684	0.788	0.64	0.922	0.708	0.752	0.758	0.752	0.698	0.816	0.778	0.872	0.574	0.684	0.684	0.7	0.692	0.932	0.7	0.664	0.718	0.588	0.674	0.86	0.474	0.62	0.86	0.854	0.762	0.844	0.816	0.626	0.514	0.816	0.896	0.806	0.902	0.708	0.658	0.712	0.676	0.764	0.628	0.676	0.838	0.558	0.664	0.648	0.906	0.708	0.75	0.568	0.594	0.806
ec1257	0.642	0.0	0.886	0.588	0.87	0.624	0.874	0.842	0.746	0.878	0.846	0.704	0.782	0.826	0.938	0.744	0.604	0.588	0.772	0.64	0.976	0.802	0.872	0.858	0.444	0.628	0.888	0.582	0.572	0.93	0.916	0.796	0.884	0.848	0.576	0.652	0.812	0.858	0.894	0.944	0.662	0.51	0.704	0.662	0.812	0.566	0.818	0.862	0.814	0.586	0.756	0.948	0.764	0.874	0.616	0.658	0.818
ec1262	0.912	0.886	0.0	0.834	0.858	0.862	0.826	0.982	0.538	0.946	0.796	0.938	0.97	0.92	0.984	0.95	0.914	0.846	0.974	0.8	0.976	0.922	0.974	0.984	0.842	0.848	0.972	0.956	0.872	0.982	0.952	0.954	0.962	0.954	0.928	0.88	0.912	0.998	0.954	0.98	0.944	0.9	0.854	0.854	0.912	0.912	0.932	0.94	0.946	0.98	0.884	0.984	0.978	0.988	0.84	0.844	0.842
ec1265	0.684	0.588	0.834	0.0	0.91	0.662	0.756	0.976	0.66	0.924	0.904	0.78	0.858	0.842	0.956	0.744	0.718	0.526	0.866	0.482	0.988	0.828	0.914	0.896	0.468	0.548	0.87	0.754	0.554	0.966	0.946	0.796	0.864	0.884	0.614	0.672	0.71	0.802	0.932	0.96	0.736	0.656	0.542	0.55	0.81	0.592	0.878	0.866	0.862	0.678	0.782	0.966	0.882	0.898	0.528	0.564	0.718
ec1298	0.788	0.87	0.858	0.91	0.0	0.884	0.94	0.83	0.838	0.842	0.748	0.846	0.922	0.83	0.928	0.852	0.87	0.89	0.842	0.858	0.964	0.842	0.864	0.842	0.848	0.888	0.894	0.882	0.844	0.938	0.896	0.86	0.908	0.858	0.878	0.832	0.89	0.946	0.83	0.938	0.89	0.856	0.928	0.886	0.836	0.812	0.8	0.88	0.78	0.896	0.866	0.938	0.844	0.864	0.794	0.828	0.814
ec1301	0.64	0.624	0.862	0.662	0.884	0.0	0.882	0.972	0.698	0.914	0.874	0.87	0.958	0.856	0.962	0.816	0.65	0.684	0.912	0.616	0.974	0.808	0.926	0.904	0.606	0.634	0.934	0.668	0.6	0.966	0.922	0.856	0.912	0.912	0.646	0.696	0.826	0.944	0.906	0.932	0.702	0.636	0.712	0.678	0.84	0.642	0.916	0.898	0.874	0.698	0.796	0.926	0.926	0.9	0.674	0.698	0.832
ec1309	0.922	0.874	0.826	0.756	0.94	0.882	0.0	0.97	0.834	0.956	0.936	0.918	0.96	0.914	0.974	0.914	0.888	0.738	0.954	0.768	0.99	0.958	0.96	0.978	0.782	0.782	0.966	0.942	0.864	0.976	0.96	0.922	0.94	0.93	0.914	0.872	0.86	0.986	0.96	0.976	0.914	0.86	0.792	0.792	0.892	0.904	0.928	0.912	0.928	0.96	0.872	0.986	0.964	0.976	0.784	0.83	0.8
ec1314	0.708	0.842	0.982	0.976	0.83	0.972	0.97	0.0	0.982	0.572	0.536	0.566	0.86	0.694	0.568	0.526	0.896	0.856	0.418	0.958	0.648	0.52	0.504	0.728	0.686	0.894	0.598	0.514	0.598	0.572	0.596	0.584	0.624	0.576	0.876	0.488	0.9	0.974	0.604	0.784	0.608	0.898	0.976	0.896	0.658	0.614	0.64	0.608	0.434	0.6	0.52	0.822	0.394	0.792	0.654	0.774	0.526
ec1317	0.752	0.746	0.538	0.66	0.838	0.698	0.834	0.982	0.0	0.924	0.756	0.902	0.978	0.872	0.97	0.836	0.74	0.654	0.92	0.546	0.974	0.772	0.942	0.914	0.66	0.676	0.95	0.786	0.666	0.976	0.936	0.858	0.924	0.924	0.742	0.7	0.726	0.956	0.92	0.972	0.786	0.744	0.676	0.678	0.854	0.734	0.926	0.91	0.898	0.806	0.81	0.978	0.94	0.916	0.664	0.666	0.786
ec1330	0.758	0.878	0.946	0.924	0.842	0.914	0.956	0.572	0.924	0.0	0.712	0.78	0.87	0.766	0.826	0.798	0.862	0.862	0.698	0.92	0.874	0.824	0.71	0.77	0.726	0.908	0.848	0.696	0.77	0.84	0.83	0.778	0.798	0.782	0.876	0.708	0.85	0.498	0.778	0.842	0.798	0.866	0.922	0.912	0.764	0.748	0.67	0.808	0.654	0.794	0.61	0.846	0.688	0.818	0.732	0.786	0.722
