	ec1249	ec1257	ec1262	ec1265	ec1298	ec1301	ec1309	ec1314	ec1317	ec1330	ec1346	ec1349	ec1356	ec1358	ec1359	ec1361	ec1362	ec1368	ec1375	ec1377	ec1378	ec1380	ec1390	ec1391	ec1392	ec1394	ec1396	ec1400	ec1406	ec1408	ec1409	ec1411	ec1420	ec1422	ec1424	ec1425	ec1427	ec1435	ec1437	ec1438	eti101	eti102	eti105	eti107	eti109	eti111	eti113	eti114	eti116	eti117	eti118	eti121	eti123	eti125	eti133	eti134	eti135
ec1249	0	0.5765687388388564	0.5208310360151419	0.4782414674980927	0.5167645106863707	0.5186063622652451	0.4467839559932243	0.479493842142279	0.529701797140178	0.5382813180889245	0.4346803623151679	0.5029736950477078	0.5858620710906298	0.5804131712676314	0.5535282152997371	0.5729010526614884	0.5792827844966202	0.496320848201428	0.4875665240532846	0.4995599394699672	0.537650292557088	0.6052047719772682	0.5688223452638096	0.5278440986593553	0.5571771036741852	0.5269293549091435	0.5925100379180431	0.4420380972585766	0.5073356527966111	0.5173517801102325	0.5200805627017395	0.4575781107841241	0.5864084063959212	0.5041253392337884	0.5261045434800213	0.549584352296695	0.5795024671455952	0.53818100416546	0.4568704056759864	0.5784435653750585	0.5952268661008525	0.6186317394871591	0.7064066662068134	0.6025719884172929	0.5631580058000039	0.5939204204907795	0.6370413079676935	0.5282112786471775	0.5462746361996761	0.5587610232611306	0.6084569455763424	0.6361405510455348	0.5687796577851035	0.5268708874454378	0.6269898504519087	0.5481186202519118	0.5636162397796466
ec1257	0.5765687388388564	0	0.3781831013388133	0.569321709055687	0.5410465635777356	0.516652495979805	0.5786971271286125	0.325370798826715	0.3660817376681617	0.2450251405721956	0.3865959832578301	0.3864033130582387	0.07577850136446554	0.09349892214687404	0.1623821091526386	0.325364166727838	0.1138562329882543	0.5623405498349942	0.3345705183287954	0.5846170956156096	0.3394403732593639	0.2993436759938569	0.1356542317895642	0.2538504519346292	0.2699191047949911	0.1374262865450167	0.1866829137445921	0.2903853534707952	0.3672504627083297	0.2430978896849672	0.3808026142480511	0.47315473364454	0.2059152193009396	0.3404502026812836	0.3318209886141618	0.3756347745103462	0.3551707986794424	0.4057889177420673	0.3082449065001758	0.1286716728625008	0.2602227163712015	0.3224948380141959	0.8140713962853922	0.1327718453067564	0.4816638198077129	0.391584637416663	0.5901753538487874	0.4529515577534108	0.5959645613641585	0.3646262529737912	0.3873778592504597	0.497269300891563	0.2824649161073353	0.3739266363988657	0.3651914642261115	0.394640055454708	0.4345108121756149
ec1262	0.5208310360151419	0.3781831013388133	0	0.4607186271895729	0.4996108352400278	0.4522283802867605	0.4658215943549643	0.4635818079553611	0.5009478942462026	0.355600460840678	0.4822708437948615	0.4678997967966178	0.3978057186089484	0.4017407595952661	0.3345623641884317	0.5297128412260813	0.4148307792139045	0.5424565300530205	0.46542101509425	0.5648135366654982	0.5266191928890087	0.5131234688865286	0.4189279333543233	0.4748932238169216	0.4334313367703009	0.3244160447796713	0.4603349802177849	0.3707274910159141	0.4812196648778055	0.4084722714353054	0.4889224971006371	0.5134789741254989	0.4693607116764473	0.5304906349837546	0.4503052610286425	0.4726255456022723	0.5326744796140913	0.513707568467208	0.4254875278731517	0.4199021764737532	0.480331581130936	0.4764376338300932	0.780730197504048	0.4411032254454382	0.5047929723938789	0.5244517808605492	0.6290225816818104	0.5303859763020439	0.6235730038293246	0.4879591497092323	0.530021836182069	0.5676838719631133	0.507416176747549	0.5136549705521658	0.5224230937492428	0.5621038196936362	0.562777843533218
ec1265	0.4782414674980927	0.569321709055687	0.4607186271895729	0	0.5275950995373869	0.4947917365822287	0.5126123283602753	0.5574251478302791	0.6156757227542614	0.5513923182412432	0.5662435584947377	0.5169997223077707	0.5847948439986519	0.5810776083497823	0.5401524007900846	0.5603964477802994	0.5755222037847827	0.5821760258384089	0.512466621173933	0.5289438938706945	0.6179332484183596	0.515481940973831	0.5569388812607952	0.5880278667883818	0.4607896586340337	0.5384886527211995	0.5844312907656638	0.4565699771619092	0.3887070908314093	0.5663385416501395	0.5297386917929502	0.4498986601745564	0.5873365478983045	0.613149277302965	0.5435748600523718	0.463859421752007	0.4803042774833317	0.4395291879555469	0.4975501107041234	0.576743011964312	0.6225050760299548	0.6211524456179243	0.7325456243368988	0.5902272595562936	0.5717966969243883	0.6170988364503701	0.682690781910905	0.5663001592848931	0.6317720872847742	0.5972570948916761	0.6294110701670342	0.6538561733673403	0.6276210207278883	0.5765627696500945	0.6478550790204648	0.6171043471610154	0.6299445055183831
ec1298	0.5167645106863707	0.5410465635777356	0.4996108352400278	0.5275950995373869	0	0.5499671248327167	0.4681707789928107	0.5781994339908294	0.586756168806769	0.5042545211033028	0.543290600838774	0.3649460724565594	0.542733767940302	0.5316020877444591	0.4922951080638951	0.5562200378583279	0.5314199839839666	0.5056096289451607	0.4153836436671613	0.4874038927601272	0.6040412382748119	0.5904106226589386	0.5104219181119445	0.5260369110540732	0.5254157310540821	0.4972923011874871	0.5469408016484212	0.5050041492278347	0.4826211024688422	0.4930735942011638	0.4730909898747794	0.3932393533125824	0.5207419912691192	0.5656127879817798	0.4170085144547893	0.5053773276783022	0.5950893876280111	0.4552001822162666	0.4205304850451531	0.5285208814774606	0.5626770284619432	0.5630047819968216	0.7373931646632799	0.5430510092226902	0.5059308061333556	0.5584469323028995	0.6125130512589859	0.4805923056815473	0.5631661970316253	0.4853741283032943	0.5713079641554553	0.5871841482378172	0.554690808626439	0.5170316824919323	0.5857759703270276	0.5329218802706543	0.5693272092739291
ec1301	0.5186063622652451	0.516652495979805	0.4522283802867605	0.4947917365822287	0.5499671248327167	0	0.5315289680606449	0.5394519032352162	0.5613680883127553	0.4791596565092553	0.5489386192774305	0.4775674126905117	0.5351332848606892	0.5314928582179602	0.5143885155222918	0.5484947215888044	0.5334225042396242	0.6248976561064841	0.5485827120688591	0.6069112220715085	0.6066103428883118	0.5896541116434549	0.5490138421764115	0.5448436870351638	0.5559993829779079	0.5012093580728896	0.55630587888566	0.4307463810153739	0.556084764648624	0.525697896487201	0.5056960273601976	0.5744832156610504	0.5611196656232219	0.6023364112376445	0.5057356744089424	0.5673145064701904	0.5809295804073286	0.5783609224067503	0.5218076522206104	0.5279047105315454	0.5816267793856931	0.5753842162486129	0.7845828659233473	0.5659043713640309	0.5456639040185521	0.6004095528827827	0.6348884003086405	0.5756962599407071	0.6304915619463303	0.5417552887314729	0.5731382123629314	0.61454134437147	0.5778152079717853	0.5122069183024254	0.5817732097294519	0.5579392402234894	0.5397142969330604
ec1309	0.4467839559932243	0.5786971271286125	0.4658215943549643	0.5126123283602753	0.4681707789928107	0.5315289680606449	0	0.5760495414615731	0.6314601275716942	0.5720034683768812	0.5586796523846704	0.4901794207615815	0.5811900558010914	0.5870557456300113	0.5399849504425475	0.6121874047298191	0.5975944791821842	0.5284034927559758	0.5117256581012835	0.5576503808772328	0.6648486056678207	0.6535851755677297	0.5825921426108994	0.5679994408202286	0.56357662796667	0.5326253850049684	0.6138383464338811	0.4654055489772375	0.558417454382574	0.5457430597808485	0.4991170822203509	0.4478182089354993	0.6158513181031169	0.6344755985533348	0.5506752009252422	0.5799015757954245	0.6118915649695998	0.5758603767377053	0.4980448070472133	0.6054604484295035	0.5944723297300408	0.6097166348302312	0.7436012397021265	0.6123847531188565	0.565109578759891	0.6092875094613407	0.6571806325554386	0.5210996643461725	0.6262857806053832	0.5846899606773971	0.6303817461489721	0.6560980979172786	0.6107943363302725	0.5460419485470819	0.6285914072967618	0.544593346966898	0.5779234447317866
ec1314	0.479493842142279	0.325370798826715	0.4635818079553611	0.5574251478302791	0.5781994339908294	0.5394519032352162	0.5760495414615731	0	0.3573435988250726	0.4347867390104311	0.1902280353180373	0.4703409402058439	0.3056231975765486	0.325990446953929	0.2845854907767347	0.4062643272108711	0.3517602383154955	0.4822317290615564	0.4843571474499848	0.4757583122031257	0.3197374282383607	0.4209838123777354	0.3541491030755257	0.3969993674536218	0.3373703922619564	0.2887230316653875	0.4078161697368626	0.4009945833761058	0.4726074039656549	0.3505826486267498	0.4427890224857489	0.5018087002226814	0.4147221081520825	0.3218980759431594	0.4892128518826903	0.4217833469301831	0.4222594340492599	0.5112200401430691	0.4492968220071535	0.3616979929979372	0.413195490826763	0.4255789311828439	0.7611944393770828	0.3681688145556811	0.5251997468857019	0.4891060675812802	0.6071881793167976	0.539628141475371	0.5932565043601774	0.4436759447753821	0.5048962528817451	0.5438850466348292	0.4490870339144959	0.4169911351409692	0.4773073203924825	0.4773133924026255	0.5089635900650068
ec1317	0.529701797140178	0.3660817376681617	0.5009478942462026	0.6156757227542614	0.586756168806769	0.5613680883127553	0.6314601275716942	0.3573435988250726	0	0.3916519358900832	0.3339728479998684	0.4981316614963147	0.3817771515237318	0.3819806157779125	0.4188179279473697	0.4657404477474039	0.322885480720134	0.4717371599326947	0.4548968675664352	0.5096444992795736	0.2367698208470651	0.3769089790990064	0.3733240958282217	0.4218676679530287	0.4323003389591948	0.4049584392526006	0.3455580876203715	0.5038183804646502	0.4552621525212336	0.4142226711798176	0.4966178863170239	0.540618047380344	0.3590173205600244	0.3040585545036562	0.4309315086062143	0.4528309463424617	0.4071327195870653	0.4942147358026104	0.4512118698233922	0.3112725296188575	0.4482200240924711	0.4920833511903342	0.7713737256728589	0.3993605891064116	0.5757369922001928	0.5227019042158297	0.6287589696741341	0.571655677860109	0.5886430262857336	0.4561987200029152	0.4866522168568945	0.5691060212820883	0.4478408761502297	0.462143736040852	0.4728172041323937	0.4549642319386301	0.4752987568457322
ec1330	0.5382813180889245	0.2450251405721956	0.355600460840678	0.5513923182412432	0.5042545211033028	0.4791596565092553	0.5720034683768812	0.4347867390104311	0.3916519358900832	0	0.4800571917053166	0.3877496866138641	0.2535983691171567	0.2578196097565064	0.3075057913349099	0.402021443407708	0.2412660480451194	0.5404925421934866	0.249949075578158	0.5533628045498062	0.3577909947945335	0.3276746517180891	0.2990107656231021	0.3254793640977103	0.3889170953589927	0.2827898293642404	0.2150453799019758	0.3240349325184019	0.3203012763418903	0.3369777005590456	0.3671155568609331	0.4913848219654822	0.2424153110076442	0.3646912792467523	0.2441670913880531	0.4413337521935433	0.3694222260287145	0.3513222240385808	0.259466963062409	0.2215399752992846	0.392520592796846	0.435436552799844	0.7944656118625557	0.313630787409803	0.4462029642026691	0.445785145562714	0.5904066492759863	0.4369767649631021	0.5818101081058421	0.4315807412581356	0.4365085541060385	0.5311208701143992	0.3057231443000451	0.4003973447336147	0.4704442624039659	0.4421082519168347	0.4444410797037133
