	ec1249	ec1257	ec1262	ec1265	ec1298	ec1301	ec1309	ec1314	ec1317	ec1330	ec1346	ec1349	ec1356	ec1358	ec1359	ec1361	ec1362	ec1368	ec1375	ec1377	ec1378	ec1380	ec1390	ec1391	ec1392	ec1394	ec1396	ec1400	ec1406	ec1408	ec1409	ec1411	ec1420	ec1422	ec1424	ec1425	ec1427	ec1435	ec1437	ec1438	eti101	eti102	eti105	eti107	eti109	eti111	eti113	eti114	eti116	eti117	eti118	eti121	eti123	eti125	eti133	eti134	eti135
ec1249	0	0.1620076664994406	0.332800506654706	0.1560561988273885	0.3241320838973851	0.1898739773318804	0.227735832528609	0.1801712515821495	0.2870408796564956	0.208792483426423	0.14557531982412	0.1492251014610259	0.2066068411365506	0.1731232464353271	0.2281612451749954	0.202598179900357	0.1551595539811903	0.195036022489743	0.2045324542139785	0.1680598102478909	0.2441231904762511	0.1903768247264562	0.2214499529530141	0.2153510020040057	0.181212774037433	0.2267881118280755	0.2285754242164733	0.1169945958413884	0.1763296553418242	0.2315891334710203	0.2124867434733858	0.1810883978037067	0.231453131913924	0.2151296682305735	0.1881951681930093	0.1940524019938763	0.2725279479927761	0.3203353720020035	0.2129909744130226	0.3108866313740821	0.2080373697973222	0.1970543564909574	0.2425526382676353	0.2346205174397845	0.1715974950211946	0.1697762907204778	0.1597449460706842	0.2251836333084231	0.1748988391911736	0.1984224407382132	0.1537707723974821	0.3254247924589797	0.2056796917049138	0.2272722497034333	0.1887511496648523	0.1712276009926926	0.2023436798120163
ec1257	0.1620076664994406	0	0.3582420305456244	0.1352565211728947	0.3685484881954545	0.2376356712505407	0.2593958425219229	0.09650965974304462	0.3117855559993462	0.2591459323738178	0.1555849375891129	0.1213836710092744	0.2142252884589633	0.07363324064896801	0.1385276817095738	0.1147127110629604	0.08184166414693765	0.227774584438056	0.1164808182643926	0.2116222386587784	0.1582563309798283	0.114606417232171	0.1295033310432104	0.1287438136827698	0.07132471407398068	0.1148623431738547	0.135691341280451	0.08787249529265484	0.08294092026626025	0.1414224907745769	0.1433744687628502	0.1268849778355182	0.1369127513621545	0.1284254337310732	0.09374628099225751	0.09949006922134612	0.3089994158500277	0.3549430403052416	0.272663464270744	0.3370967872789798	0.1038503238419173	0.05992468889487391	0.2646203188453576	0.1219517891452038	0.08336327871419838	0.08497207673279789	0.08156020102292338	0.1353654687269348	0.1011482728532176	0.09742406092272797	0.1185245364396884	0.3511441906094764	0.1141388145925739	0.1354075169911944	0.1023098058310582	0.08369019809731987	0.1111238018063403
ec1262	0.332800506654706	0.3582420305456244	0	0.3380630352679344	0.460182950688553	0.2965553806810138	0.3260148404906575	0.4225572761178628	0.2137604464890024	0.2631861694612322	0.3802072002837912	0.3861325329183723	0.3573196030687548	0.4005746113921408	0.4594985748506422	0.4432012437858649	0.3653129302762138	0.3611367139570415	0.4446393678822755	0.366324473929655	0.481295873398547	0.4299781590994486	0.45594950609962	0.4554571824361512	0.4003973408515386	0.4451529073903986	0.4591083894371881	0.3765311898118118	0.4050290473579016	0.4658497617058539	0.4534088232710682	0.4254638681257622	0.4633166744801512	0.4540984952683617	0.4223643647560475	0.4207698768125119	0.2297608022478259	0.2490774689640287	0.2720451133625665	0.3222987869260109	0.4381087413968395	0.3974812830929315	0.4112553273210348	0.4545233370606701	0.4045560951943913	0.4084752390126311	0.3931671220315329	0.4594944401335811	0.4275873532978489	0.4361492530061756	0.3932851257389198	0.3220502364725071	0.4435326634019898	0.4612703018255724	0.4077484113884812	0.3821500912880444	0.4300646915821133
ec1265	0.1560561988273885	0.1352565211728947	0.3380630352679344	0	0.3248659590774951	0.2372893387924645	0.2070565084408941	0.1885457598421274	0.310040340923371	0.2653584724430655	0.167982375348156	0.1596783927199933	0.25384582047822	0.1683932611345126	0.2219002436289632	0.1953200493449717	0.1308791599623974	0.1731498106773806	0.2026232687693265	0.1461171168704387	0.2431238313121696	0.1929623935175617	0.2168402087388588	0.2153904736762837	0.1293617054202323	0.1763544133335929	0.21759762176994	0.1422607079243817	0.1525403592345401	0.2289509074599021	0.2103206251432962	0.1790997170018246	0.2232638495705992	0.213328343469606	0.1734302792079131	0.1714150937931933	0.2914083868000751	0.3526440214260242	0.2709253568406181	0.3661469661294786	0.197225110308808	0.1510079947033462	0.202447070575212	0.1841258504258222	0.1635429846312104	0.1585468843973177	0.1673976542414921	0.2132924929957603	0.186177027639756	0.1829797329703506	0.1612713586522667	0.3793509527339529	0.2041396437916951	0.2213962907827234	0.1413003054581354	0.1182705174767481	0.171322684847092
ec1298	0.3241320838973851	0.3685484881954545	0.460182950688553	0.3248659590774951	0	0.3538719144649925	0.3060772663988423	0.4137326963181184	0.4095844376198746	0.3666421105068447	0.3677644844554063	0.3644472263737024	0.3834554691448735	0.3906588470026482	0.4471599283973079	0.4221498859734701	0.3448655275454167	0.2672309055911204	0.4238247107928316	0.3034965098412415	0.4669824433776771	0.4117971620934298	0.4406500282381884	0.4381742107243198	0.3615490605970333	0.3997242287410451	0.442313742529491	0.3740772461807228	0.3791868147246463	0.4542222818585031	0.4356737499406282	0.3975223762372865	0.4462699799738044	0.4369407903666336	0.3982249236574247	0.3966121563313046	0.4033919507361368	0.4649445839459769	0.3187194284140142	0.4843372912588248	0.4256403559599601	0.3874838069092968	0.3649395971493641	0.406922023622152	0.3807700872683954	0.3844388028800844	0.3800584424688994	0.4345722784456462	0.4069246223477742	0.4109331239080193	0.3753367996105608	0.4961239811245465	0.4252754517879956	0.4431641004816364	0.3639111816850802	0.3441702226138743	0.3936860102890267
ec1301	0.1898739773318804	0.2376356712505407	0.2965553806810138	0.2372893387924645	0.3538719144649925	0	0.219690135700745	0.3033412488724317	0.274846059939936	0.2409236147125704	0.2841705652232117	0.2601096422492353	0.1798298921220746	0.2834613030707263	0.344368474907403	0.3188614303571415	0.2443155098263675	0.2673325665850715	0.3255327396078329	0.2646357135562393	0.3631622467847589	0.3107210329198914	0.3379355532917512	0.3352846923527948	0.2791118728775422	0.3242775776080788	0.3404150060208158	0.2366324344348543	0.2791570208863137	0.3485530549352372	0.3217080807895064	0.3050925824289615	0.3442822992980287	0.3353028242249898	0.2928384082440483	0.3073418868726726	0.2722305935590574	0.3207108062294164	0.2409899301904415	0.2310967160085954	0.3168299422303817	0.2759070931020198	0.2983884518662491	0.3327532152529852	0.2806999801624526	0.2783394804222697	0.2782673335547706	0.3366189567187688	0.3081406203918088	0.3050752913583185	0.2718306001576348	0.2434138081564154	0.3242957156455908	0.3393374844209598	0.2839345048729913	0.2419116262990917	0.303743123001027
ec1309	0.227735832528609	0.2593958425219229	0.3260148404906575	0.2070565084408941	0.3060772663988423	0.219690135700745	0	0.3303548934466365	0.323481363940106	0.2868910211377151	0.3091786325291986	0.2761312052354783	0.2728251816106217	0.3125187312376637	0.3725695597351474	0.3480018497407725	0.276617663014654	0.1848757745502358	0.3523729298680376	0.1980666822435617	0.3932598759715375	0.3435144318208198	0.3669415557724867	0.3617585847247453	0.2866383020708579	0.3061433123704398	0.3678032627614803	0.2708044567413364	0.3053471538308314	0.37360913963708	0.353510807220784	0.3192010974346084	0.3735165037659057	0.3643351616460131	0.3239811954235776	0.3228533479101036	0.3104640597998659	0.3789752853404723	0.2550843071781068	0.3641511004837984	0.3408529244748482	0.2984130880876115	0.2554661801197454	0.3158556873907912	0.3057021024859501	0.3084072677832277	0.3069402035362525	0.359385569632498	0.3327639410927608	0.336555496253306	0.3094853196540668	0.376951049233223	0.3532700602970291	0.3687645509704946	0.2825270009024662	0.2467500513070029	0.3128687024887873
ec1314	0.1801712515821495	0.09650965974304462	0.4225572761178628	0.1885457598421274	0.4137326963181184	0.3033412488724317	0.3303548934466365	0	0.3537422011817877	0.2619941059660115	0.09772547975187851	0.09502010134947551	0.2505055445793176	0.04003492272151941	0.06960988594450547	0.06083935065428662	0.1224953951358476	0.286013379179004	0.05222586980255783	0.2550183390568047	0.08028980418060047	0.06829082426925645	0.06383349194307654	0.0649575039424756	0.08267291820081199	0.1129221531292364	0.06916635147449506	0.09001918575976395	0.06891758097195348	0.07092252097265468	0.09038226233473191	0.08324537449974023	0.07940232844692033	0.06668721498726045	0.0576418069276668	0.06231034769924063	0.3362855220082615	0.3747935493174399	0.2476455028919038	0.3479741558754638	0.06116035488085516	0.09716620033065772	0.3091077505999907	0.1227355473462718	0.06219160749306973	0.08023150864655354	0.08012361994227646	0.08103485768260818	0.04510766914947617	0.06318223544821365	0.08896886238977156	0.3664988113961985	0.04944562363289806	0.07325163980922246	0.1151703678302154	0.124909872014713	0.07127910868258582
ec1317	0.2870408796564956	0.3117855559993462	0.2137604464890024	0.310040340923371	0.4095844376198746	0.274846059939936	0.323481363940106	0.3537422011817877	0	0.2039410217707796	0.3047025626724422	0.3334441216618453	0.3425468014149887	0.3373657933382079	0.3972260291738585	0.3706426714256158	0.2813757813280985	0.3269127863671584	0.3749865688574732	0.2804598427228396	0.398396164261109	0.3525246006606311	0.3869873236006217	0.3848401871359846	0.3220129893383572	0.3692268184514425	0.3884279563750898	0.335620787643725	0.3256810330692299	0.4003882856690396	0.386878985638967	0.3578880545935988	0.3924612131487862	0.3819759859896617	0.3458568292397101	0.3510392569307141	0.1286657937995437	0.20412727090848	0.2019504426513917	0.3399127258692883	0.369858935048447	0.3331696182334453	0.350656133137288	0.3757864960047526	0.3408445657842759	0.3341278516456039	0.3292511265869899	0.3916076032780572	0.3556214063503979	0.3578001184686458	0.3262088556217628	0.3544046577107732	0.3734602103056557	0.3898771781690007	0.3288618773253366	0.297436573071892	0.3482898739683477
ec1330	0.208792483426423	0.2591459323738178	0.2631861694612322	0.2653584724430655	0.3666421105068447	0.2409236147125704	0.2868910211377151	0.2619941059660115	0.2039410217707796	0	0.2401662347454344	0.2536606289254766	0.2479292394593735	0.2515517260216973	0.2996442987632864	0.2876332937620247	0.2328839928857741	0.3007073140172477	0.2763515967238244	0.2846401362669552	0.3178083566609189	0.2730471305321025	0.2897371498030158	0.28981637497756	0.260027394685983	0.3083738648851376	0.294753602452587	0.2408575584606715	0.2616753244293828	0.3067842333885193	0.2934428705243989	0.2730613355832687	0.3021104686034657	0.2921589940376416	0.2693110454701418	0.2850346895058622	0.1830227954338902	0.1240480045533193	0.1399531934811878	0.3138236003889574	0.2936143025500912	0.2791385862030116	0.3211342418977799	0.3155198628791412	0.2581575171373251	0.2562433947228999	0.2315785718520435	0.3047007408167068	0.2662543648834471	0.2748067744679739	0.2283236326881785	0.3272682840468187	0.2746400203899142	0.2968828899324014	0.2762539461496309	0.2505571861457682	0.2885340052026358
ec1346	0.14557531982412	0.1555849375891129	0.3802072002837912	0.167982375348156	0.3677644844554063	0.2841705652232117	0.3091786325291986	0.09772547975187851	0.3047025626724422	0.2401662347454344	0	0.08532711565879414	0.2638190352092629	0.1147022519531946	0.1149187573163662	0.1019460018465072	0.1122080548170725	0.2499576017218004	0.1006983982526249	0.2017039861584073	0.1222985578703612	0.08184529049184883	0.1121083277467011	0.111812881017877	0.1420293917313596	0.1752348858494195	0.1120203903763391	0.1136372852164904	0.1080080809994245	0.1237466336520588	0.1032292627200928	0.07950143002716603	0.1158973056787066	0.1045774130173937	0.108251506051587	0.1133997614386478	0.2960163465776127	0.3540507624611417	0.2157920998807159	0.3593401408549626	0.1021387727163469	0.1594825120953275	0.2898070076888231	0.1842861450924097	0.1167617335783256	0.1138713377596463	0.1359760376769031	0.1188686299631755	0.1133660165908464	0.1270057060282295	0.08440675413176711	0.3781181333253801	0.1023193937118048	0.1189595652935018	0.1359443300344264	0.1461041677559067	0.1073669918075553
