"","cluster","pval","rho","sum","fdr"
"1","k__Bacteria_ p__Firmicutes_ c__Clostridia_ o__Clostridiales_ f__Lachnospiraceae_NA",0.0329785074809857,-0.551752811257981,20,0.864406975636568
"2","k__Bacteria_ p__Firmicutes_ c__Clostridia_ o__Clostridiales_ f__Veillonellaceae_ g__Phascolarctobacterium",0.0705510552670352,-0.479432915295414,20,0.864406975636568
"3","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_ f__Rhizobiaceae_ g__Agrobacterium",0.0846923355364318,-0.45971854981369,6,0.864406975636568
"4","k__Bacteria_ p__Acidobacteria_ c__[Chloracidobacteria]_ o__RB41_ f__Ellin6075_ g__",0.100967929772324,0.439738747150915,1,0.864406975636568
"5","k__Bacteria_ p__Firmicutes_ c__Clostridia_ o__Clostridiales_ f__Ruminococcaceae_NA",0.116183167362961,-0.423010488631119,19,0.864406975636568
"6","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Nocardiaceae_ g__Rhodococcus",0.124126718473052,-0.414874314681658,2,0.864406975636568
"7","k__Bacteria_ p__[Thermi]_ c__Deinococci_ o__Deinococcales_ f__Deinococcaceae_ g__Deinococcus",0.166090527100859,-0.376918926129356,3,0.864406975636568
"8","k__Bacteria_ p__Acidobacteria_ c__Acidobacteriia_ o__Acidobacteriales_ f__Acidobacteriaceae_ g__Terriglobus",0.166090527100859,-0.376918926129356,2,0.864406975636568
"9","k__Bacteria_ p__Actinobacteria_ c__Acidimicrobiia_ o__Acidimicrobiales_ f___ g__",0.166090527100859,-0.376918926129356,1,0.864406975636568
"10","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia_ o__Bacteroidales_ f__Bacteroidaceae_ g__",0.166090527100859,-0.376918926129356,11,0.864406975636568
"11","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Streptococcaceae_ g__Lactococcus",0.166090527100859,-0.376918926129356,3,0.864406975636568
"12","k__Bacteria_ p__Firmicutes_ c__Clostridia_ o__Clostridiales_ f__Lachnospiraceae_ g__Dorea",0.166090527100859,-0.376918926129356,9,0.864406975636568
"13","k__Bacteria_ p__Firmicutes_ c__Clostridia_ o__Clostridiales_ f__Syntrophomonadaceae_ g__Syntrophomonas",0.166090527100859,-0.376918926129356,22,0.864406975636568
"14","k__Bacteria_ p__Lentisphaerae_ c__[Lentisphaeria]_ o__Victivallales_ f__Victivallaceae_ g__",0.166090527100859,-0.376918926129356,3,0.864406975636568
"15","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Tanticharoenia",0.166090527100859,-0.376918926129356,9,0.864406975636568
"16","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria_ o__Burkholderiales_ f__Comamonadaceae_ g__Comamonas",0.166090527100859,-0.376918926129356,9,0.864406975636568
"17","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria_ o__Burkholderiales_ f__Comamonadaceae_ g__Variovorax",0.166090527100859,-0.376918926129356,3,0.864406975636568
"18","k__Bacteria_ p__Proteobacteria_ c__Epsilonproteobacteria_ o__Campylobacterales_ f__Helicobacteraceae_ g__",0.166090527100859,-0.376918926129356,2,0.864406975636568
"19","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Xanthomonadales_ f__Xanthomonadaceae_ g__Stenotrophomonas",0.166090527100859,-0.376918926129356,7,0.864406975636568
"20","k__Bacteria_ p__Firmicutes_ c__Clostridia_ o__Clostridiales_ f___ g__",0.185341745840306,-0.361641196001793,111,0.864406975636568
"21","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_ f__Methylobacteriaceae_ g__Methylobacterium",0.210189188621413,0.343375553797071,6,0.864406975636568
"22","k__Bacteria_ p__Actinobacteria_ c__Coriobacteriia_ o__Coriobacteriales_ f__Coriobacteriaceae_ g__Adlercreutzia",0.230786384343152,-0.329252078119406,18,0.864406975636568
"23","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pseudomonadales_ f__Moraxellaceae_ g__Acinetobacter",0.243299336896677,-0.32105425341701,38,0.864406975636568
"24","k__Bacteria_ p__Actinobacteria_ c__Coriobacteriia_ o__Coriobacteriales_ f__Coriobacteriaceae_ g__",0.251653564412531,-0.3157252197754,24,0.864406975636568
"25","k__Bacteria_ p__Actinobacteria_ c__Actinobacteria_ o__Actinomycetales_ f__Microbacteriaceae_ g__Frigoribacterium",0.254237345775461,0.314099105107796,2,0.864406975636568
"26","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia_ o__Bacteroidales_ f__Rikenellaceae_ g__",0.254237345775461,0.314099105107796,4,0.864406975636568
"27","k__Bacteria_ p__Bacteroidetes_NA_NA_NA_NA",0.254237345775461,0.314099105107796,1,0.864406975636568
"28","k__Bacteria_ p__Firmicutes_ c__Clostridia_ o__Clostridiales_ f__Clostridiaceae_ g__Clostridium",0.254237345775461,0.314099105107796,1,0.864406975636568
