	17N1	18N1	18N2	18N3	24N1	24N2	24N3	25N1	25N2	25N3	26N2	26N3	27N1	27N2	27N3
17N1	0	0.4503518260078236	0.4254600330094381	0.3512939837242617	0.5026332274191244	0.3899448384113448	0.4461748472546913	0.6161842210495568	0.3262388664562484	0.2097058095050034	0.4824871089694955	0.5382182241774209	0.4382146295469396	0.5636040167160805	0.6155287466437959
18N1	0.4503518260078236	0	0.4441728858065974	0.3892200554196791	0.4445392529101461	0.5136656927817962	0.4893966874979238	0.4795646920304119	0.5207164053074705	0.4547896466294108	0.4839537097735667	0.5738673621126474	0.4893054098071288	0.4940353427027582	0.5738083715694788
18N2	0.4254600330094381	0.4441728858065974	0	0.3628388980245784	0.4701989130772862	0.4168676563144673	0.4060693168163443	0.5353318554840032	0.3463043984583058	0.429123605903718	0.4159152456523534	0.5030004622601226	0.4134648670019186	0.4583660585131464	0.5227848624634058
18N3	0.3512939837242617	0.3892200554196791	0.3628388980245784	0	0.4952528921552117	0.3867433116173988	0.3769137202317254	0.5060550005534157	0.2727107739537623	0.2780759267545857	0.4169083472290959	0.540796347738926	0.3314173593445097	0.4470261940250102	0.5494231958895326
24N1	0.5026332274191244	0.4445392529101461	0.4701989130772862	0.4952528921552117	0	0.4590372762772141	0.5384410509002026	0.5134868860278659	0.5149421123280689	0.5146866341474351	0.4554709319481147	0.5119533748658055	0.5305997261535773	0.5050095224284556	0.6300611334246297
24N2	0.3899448384113448	0.5136656927817962	0.4168676563144673	0.3867433116173988	0.4590372762772141	0	0.424099156725795	0.5690677515801013	0.3380683210302045	0.3806639273699508	0.4346803859428915	0.4874104488109109	0.3951172678588976	0.4901496888010546	0.6076735915176023
24N3	0.4461748472546913	0.4893966874979238	0.4060693168163443	0.3769137202317254	0.5384410509002026	0.424099156725795	0	0.4184404091012597	0.3748809143977347	0.3910176978229173	0.4290155946777925	0.4968426083623559	0.36435451550805	0.4274075634093104	0.4897070316423237
25N1	0.6161842210495568	0.4795646920304119	0.5353318554840032	0.5060550005534157	0.5134868860278659	0.5690677515801013	0.4184404091012597	0	0.5465317381234808	0.5864028100651	0.5001264515949476	0.5948450155139778	0.4532895270330465	0.4104320629627496	0.4948716391927296
25N2	0.3262388664562484	0.5207164053074705	0.3463043984583058	0.2727107739537623	0.5149421123280689	0.3380683210302045	0.3748809143977347	0.5465317381234808	0	0.2167370435706411	0.4438669539997435	0.5276008429427578	0.3530223317579421	0.5169197983482849	0.5657938298872016
25N3	0.2097058095050034	0.4547896466294108	0.429123605903718	0.2780759267545857	0.5146866341474351	0.3806639273699508	0.3910176978229173	0.5864028100651	0.2167370435706411	0	0.4536098323596831	0.509974839732633	0.3627325526470387	0.5323603867566528	0.5805524117116665
26N2	0.4824871089694955	0.4839537097735667	0.4159152456523534	0.4169083472290959	0.4554709319481147	0.4346803859428915	0.4290155946777925	0.5001264515949476	0.4438669539997435	0.4536098323596831	0	0.4698640619162562	0.4372209999587485	0.4241038343016814	0.5887017868064411
26N3	0.5382182241774209	0.5738673621126474	0.5030004622601226	0.540796347738926	0.5119533748658055	0.4874104488109109	0.4968426083623559	0.5948450155139778	0.5276008429427578	0.509974839732633	0.4698640619162562	0	0.5131091281318786	0.5343956935231341	0.6390530633452319
27N1	0.4382146295469396	0.4893054098071288	0.4134648670019186	0.3314173593445097	0.5305997261535773	0.3951172678588976	0.36435451550805	0.4532895270330465	0.3530223317579421	0.3627325526470387	0.4372209999587485	0.5131091281318786	0	0.4639441806081542	0.5007905911726006
27N2	0.5636040167160805	0.4940353427027582	0.4583660585131464	0.4470261940250102	0.5050095224284556	0.4901496888010546	0.4274075634093104	0.4104320629627496	0.5169197983482849	0.5323603867566528	0.4241038343016814	0.5343956935231341	0.4639441806081542	0	0.4909415885941605
27N3	0.6155287466437959	0.5738083715694788	0.5227848624634058	0.5494231958895326	0.6300611334246297	0.6076735915176023	0.4897070316423237	0.4948716391927296	0.5657938298872016	0.5805524117116665	0.5887017868064411	0.6390530633452319	0.5007905911726006	0.4909415885941605	0
