	SRR3939104	SRR3939103	SRR3939102	SRR3939101	SRR3939100	SRR3939099	SRR3939098	SRR3939097	SRR3939096	SRR3939095	SRR3939094	SRR3939093	SRR3939092	SRR3939091	SRR3939089	SRR3939088	SRR3939087	SRR3939086	SRR3939085	SRR3939084	SRR3939083	SRR3939082	SRR3939081	SRR3939080	SRR3939078	SRR3939077	SRR3939076	SRR3939059	SRR3939058	SRR3939057	SRR3939054	SRR3939052	SRR3939051	SRR3939050	SRR3939049	SRR3939048	SRR3939047	SRR3939046	SRR3939045	SRR3939044	SRR3939043	SRR3939042	SRR3590563	SRR3590562	SRR3590561	SRR3590560	SRR3590559	SRR3590558	SRR3590557	SRR3590556	SRR3590555	SRR3590554	SRR3590551
SRR3939104	0.0	0.900130997134124	0.7246517243022572	0.8016807229521216	0.6528415606856155	0.7820539846016402	0.9767217755292559	0.6462209462816761	0.4943636381887353	0.7912789472099256	0.7258523511490993	0.7610762502376878	0.9803053573041829	0.744613361573556	0.7306304362010209	0.48212726232420877	0.7360295520020879	0.6770243072459986	0.9660210498843109	0.5933220897080673	0.6646406649167097	0.6111682719091762	0.43304400484457006	0.9849027815420444	0.5397602939109836	0.9618152799108621	0.9762900206282843	0.5704462869647267	0.856136194816406	0.691571054295781	0.6911233481285928	0.7759809678682206	0.8390399614539104	0.7473091988848615	0.8353266054124617	0.9265169865857878	0.9695119069498779	0.9560876183596068	0.9338811130550696	0.5823642043736773	0.738134535646713	0.4523544232641712	0.9202547151664862	0.8061270091538582	0.9776612555667289	0.9198497999508035	0.5610258481421648	0.7695878901642718	0.9880423056370548	0.9694711600443493	0.7833208775683617	0.814731256814676	0.8530277888143595
SRR3939103	0.900130997134124	0.0	0.9378111551767784	0.9404262989500248	0.9217150760719225	0.9940099700498503	0.9985799928999645	0.95489	0.9453297266486332	0.9453297266486332	0.98956	0.972653763395605	0.993399966999835	0.95821	0.99209	0.9307796538982694	0.9733098665493327	0.8596185961859618	0.994779947799478	0.8739580260124712	0.93168	0.9427	0.8681761739821131	1.0	0.9143804280978595	0.9889299446497233	0.998149981499815	0.903920480397598	0.6228718856405718	0.9299396496982485	0.5863162755214711	0.948519742598713	0.9123095615478077	0.9936218724575377	0.9549935726540187	0.9674346690999417	0.8995041633541152	0.9432542456515481	0.9716397396333083	0.9701933067961067	0.6818607915382109	0.9438997194985975	0.9710152235629894	0.9460251715789263	1.0	0.9866471959111414	0.9345091708283669	0.99139	0.9973584166570412	0.9953151968439221	0.9973179002116105	0.9366790805702386	1.0
SRR3939102	0.7246517243022572	0.9378111551767784	0.0	0.8736749816464822	0.6703529768216937	1.0	1.0	0.9740320011813225	0.791896296218166	0.8036462975366133	0.9917623854275438	0.9740009682858558	1.0	0.9910240588973621	0.9990507230326234	0.6984658548547862	0.9814151684711814	0.7732891739093747	0.9942515399544343	0.908775890168197	0.9590334250967735	0.6298241728105981	0.8768716683904845	1.0	0.8155248155511842	0.9910029164051747	1.0	0.7878799065494492	0.9564389644497651	0.9170433030793652	0.950556490982834	0.9651086136791532	0.971447707747723	0.9649245506951509	1.0	0.9985338420295051	1.0	0.9780094477928001	1.0	0.8607355627929144	0.9597573808982406	0.7870022202650606	0.9829935773616632	0.9625803319861127	1.0	0.993216440899692	0.9071396354567404	0.9909185836787646	1.0	0.9979054750664713	1.0	0.9230704246174641	1.0
SRR3939101	0.8016807229521216	0.9404262989500248	0.8736749816464822	0.0	0.9067567498242968	0.9645804125776086	0.9649509313038254	0.8567301385432678	0.9314340076106549	0.9306328860404567	0.9806930668282253	0.9713912392914722	0.9812237131984779	0.9663130066442688	0.9536353212731761	0.8785399559383137	0.9666833566993791	0.7975655796393933	0.9871819906969291	0.8956044506314409	0.8784103824835646	0.8547573865542432	0.8533009796715634	1.0	0.8049388650223811	0.9538654115762066	0.9630981529048313	0.897447451958222	0.9064299376132825	0.9138393751251752	0.8467770713442063	0.9271379931904666	0.9343581013418786	0.5053787234898587	0.3197227119730726	0.9599971571583767	0.9198797357958861	0.9417005965831587	0.9622077018168974	0.7511485990610139	0.8707067056213166	0.9092529541357901	0.9333239072473135	0.8955562568564688	0.7882038631222299	0.3016391308049419	0.8267105833056336	0.9846585987452496	0.959878095391362	0.9563152994192178	0.9586082232071733	0.8969909321944691	0.9496230174915222
SRR3939100	0.6528415606856155	0.9217150760719225	0.6703529768216937	0.9067567498242968	0.0	0.9747350303005465	1.0	0.9238264041145011	0.7925424284492165	0.7165221222164735	0.9750732536934205	0.9706950613352906	0.94356875380998	0.7427412249246973	0.995461344589472	0.639098206555983	0.9785155549636035	0.8888581527585677	0.9951129552789304	0.8603945838221657	0.9630453045919308	0.5613077064934533	0.8317407497076686	1.0	0.8604498675805402	0.8460435118922601	0.979673172480918	0.6058766578045519	0.8939927156490602	0.7976343546214096	0.8334533262023286	0.9122180614821911	0.8299788434053409	0.9434878814387897	1.0	0.8742187378232205	0.8715907383961717	0.8525220800573343	0.8726923629246292	0.9334667153562483	0.9185092733837706	0.768967937257634	0.8799212496705818	0.939749897498975	0.9337479109583658	0.9891786647538043	0.8739493633051446	0.9911788209741205	0.8517096765893946	0.8396178719639359	0.9882400288511293	0.9301187765400948	0.8695524692281456
SRR3939099	0.7820539846016402	0.9940099700498503	1.0	0.9645804125776086	0.9747350303005465	0.0	0.2952	0.7712511437442813	0.81614	0.8679	0.809440952795236	0.8065466482886333	0.98073	0.8368608156959215	0.8087509562452188	0.58854	0.68118	0.8927894639473197	0.9726898634493173	0.7673190587152844	0.9270103649481752	0.738721306393468	0.7911099045837984	0.85237	0.7142228577714222	0.89279	0.8755693778468893	0.8955810441895581	0.7801621983780163	0.79787	0.8401666290245677	0.89862	0.9667	0.8149548762297922	0.8459245328318195	1.0	0.9089611021324002	1.0	1.0	0.7744982883072815	0.8028132300011028	0.81513	0.8324155875589979	0.8915606601003456	0.863808735293817	0.9392175395956172	0.8068578440740704	0.8157709211453943	0.9240674152789217	0.8413442028427157	0.7673927675457383	0.934396852490527	0.637266878410294
SRR3939098	0.9767217755292559	0.9985799928999645	1.0	0.9649509313038254	1.0	0.2952	0.0	0.9429402852985735	1.0	0.67696	1.0	1.0	0.99134	0.9940900295498523	1.0	0.79463	0.95086	0.9879999399997	0.9917299586497933	0.9985298676880919	0.9985800070999645	0.8763706181469093	0.9985722760132316	0.64171	0.9247807521924781	0.91802	0.677958389791949	0.9348506514934851	0.7972720272797272	0.99055	0.9396421491129012	1.0	0.99346	1.0	0.9985794886159017	1.0	0.9089611021324002	1.0	1.0	0.974349707355761	0.9359554053918571	0.99899	0.6584472951712453	0.9682955744863913	0.6686394161479255	0.9982096329747598	0.9921644756032549	1.0	0.9438741688596051	0.6502545293903109	0.954894042301495	0.9963459257071635	0.6196642351052319
SRR3939097	0.6462209462816761	0.95489	0.9740320011813225	0.8567301385432678	0.9238264041145011	0.7712511437442813	0.9429402852985735	0.0	0.5871220643896781	0.7667111664441678	0.7388126118738813	0.8217305071994866	0.8848905755471222	0.7996520034799652	0.6713832861671384	0.7458612706936465	0.8048109759451203	0.72534	0.90971	0.5454913667661752	0.5712542874571255	0.7396526034739652	0.7137628884118661	1.0	0.5668164977525337	0.7763411182944085	0.88442	0.7827532587011194	0.7855132173017405	0.6990315048424758	0.5810405227708461	0.6928715356423217	0.7263213683931581	0.854118119726798	0.8543783042980257	0.8998818859718047	0.9344330889044635	0.9609979748553101	0.9816500438262097	0.7674017036527641	0.6134384696747156	0.7632711836440818	0.8601201131544578	0.7290880896403381	0.7853802634067063	0.9228245649129826	0.6621487736309275	0.8051519484805152	0.7745436283741368	0.8113050535767489	0.8014144617753688	0.8056542762466338	0.6347210991989855
SRR3939096	0.4943636381887353	0.9453297266486332	0.791896296218166	0.9314340076106549	0.7925424284492165	0.81614	1.0	0.5871220643896781	0.0	0.81384	0.7518112409437953	0.7224987110825855	0.99757	0.8451707741461293	0.34082329588352056	0.59176	0.74741	0.8128490642453212	0.978239891199456	0.37025332279905193	0.7464712676436618	0.7383413082934586	0.6220352104887441	1.0	0.6761032389676104	0.99054	1.0	0.7469525304746952	0.917110828891711	0.67991	0.846249592210595	0.87772	0.94662	0.7585564411231475	0.851916690008403	0.8546226922024069	1.0	0.9791830503770181	1.0	0.7141523356323224	0.8285995007168423	0.4903	0.9698051555125257	0.8908203232470774	1.0	0.9365569941838077	0.6543014916665828	0.7510112449437752	1.0	0.9980171877969723	0.776254869566991	0.8807169994543916	0.8790036415250195
SRR3939095	0.7912789472099256	0.9453297266486332	0.8036462975366133	0.9306328860404567	0.7165221222164735	0.8679	0.67696	0.7667111664441678	0.81384	0.0	0.9921900390498047	0.9754211340368893	0.98353	0.987000064999675	0.9991000044999775	0.67667	0.9889	0.9336696683483418	0.9875299376496882	0.9293136382274405	0.9726301368493158	0.5589322053389733	0.921445017544918	0.57343	0.9450005499945	0.6739	0.4648073240366202	0.7431425685743143	0.7936920630793692	0.9119	0.7652739090064995	0.96028	0.97688	1.0	1.0	0.9986110125414415	0.9518915441464907	0.9791830503770181	1.0	0.9592607093736509	0.8706275127076587	0.81384	0.5532292549114527	0.9334997423827842	0.33279159383847984	0.9936286938822458	0.9186674579305767	0.9913900430497847	0.6107852393483457	0.4239468236478608	0.954894042301495	0.9375804021483954	0.409037497236862
