#SampleID	plate	position	date	pile	sex	species	original_sort_order	start_date	time	fruit	lineartime	wolb	wolbachia
jr1057	5	A1	9/10/22	p1	m	m	1	8/27/22	14	p	14	0.342	Y
jr1058	5	B1	9/12/22	p1	m	s	2	8/27/22	16	p	16	0.562	Y
jr1059	5	C1	9/12/22	p1	f	NA	3	8/27/22	16	p	16	0.81	Y
jr1060	5	D1	9/12/22	p2	f	NA	4	9/10/22	2	p	16	0	N
jr1061	5	E1	9/12/22	p2	f	NA	5	9/10/22	2	p	16	0.592	Y
jr1062	5	F1	9/15/22	p1	m	m	6	8/27/22	19	p	19	0.006	N
jr1063	5	G1	9/15/22	p1	f	NA	7	8/27/22	19	p	19	0.196	N
jr1064	5	H1	9/15/22	p2	m	m	8	9/10/22	5	p	19	0.456	Y
jr1065	5	A2	9/15/22	p2	m	m	9	9/10/22	5	p	19	0.032	N
jr1066	5	B2	9/15/22	p2	m	m	10	9/10/22	5	p	19	0.066	N
jr1067	5	C2	9/15/22	p2	m	m	11	9/10/22	5	p	19	0.11	N
jr1068	5	D2	9/15/22	p2	m	m	12	9/10/22	5	p	19	0.668	Y
jr1069	5	E2	9/15/22	p2	m	m	13	9/10/22	5	p	19	0.6	Y
jr1070	5	F2	9/15/22	p2	m	m	14	9/10/22	5	p	19	0.664	Y
jr1071	5	G2	9/15/22	p2	m	m	15	9/10/22	5	p	19	0.192	N
jr1072	5	H2	9/15/22	p2	m	m	16	9/10/22	5	p	19	0.546	Y
jr1073	5	A3	9/15/22	p2	m	m	17	9/10/22	5	p	19	0.4	Y
jr1074	5	B3	9/15/22	p2	m	m	18	9/10/22	5	p	19	0.476	Y
jr1075	5	C3	9/15/22	p2	f	NA	19	9/10/22	5	p	19	0.71	Y
jr1076	5	D3	9/15/22	p2	f	NA	20	9/10/22	5	p	19	0.954	Y
jr1077	5	E3	9/19/22	p1	m	m	21	8/27/22	23	p	23	0.676	Y
jr1078	5	F3	9/19/22	p1	m	m	22	8/27/22	23	p	23	0.496	Y
jr1079	5	G3	9/19/22	p1	m	m	23	8/27/22	23	p	23	0.012	N
jr1080	5	H3	9/19/22	p1	m	m	24	8/27/22	23	p	23	0.844	Y
jr1081	5	A4	9/19/22	p1	m	m	25	8/27/22	23	p	23	0.022	N
jr1082	5	B4	9/19/22	p1	f	NA	26	8/27/22	23	p	23	0	N
jr1083	5	C4	9/19/22	p2	m	m	27	9/10/22	9	p	23	0.128	N
jr1084	5	D4	9/19/22	p2	m	m	28	9/10/22	9	p	23	0	N
jr1085	5	E4	9/22/22	p1	m	m	29	8/27/22	26	p	26	0.318	Y
jr1086	5	F4	9/22/22	p1	m	m	30	8/27/22	26	p	26	0.004	N
jr1087	5	G4	9/22/22	p1	m	m	31	8/27/22	26	p	26	0.17	N
jr1088	5	H4	9/22/22	p1	m	m	32	8/27/22	26	p	26	0	N
jr1089	5	A5	9/22/22	p1	m	m	33	8/27/22	26	p	26	0.738	Y
jr1090	5	B5	9/22/22	p1	m	m	34	8/27/22	26	p	26	0.03	N
jr1091	5	C5	9/22/22	p1	m	m	35	8/27/22	26	p	26	0.512	Y
jr1092	5	D5	9/22/22	p2	f	NA	36	9/10/22	12	p	26	0	N
jr1093	5	E5	9/22/22	p2	m	m	37	9/10/22	12	p	26	0.028	N
jr1094	5	F5	9/22/22	p2	m	m	38	9/10/22	12	p	26	#N/A	#N/A
jr1095	5	G5	9/22/22	p2	m	m	39	9/10/22	12	p	26	0	N
jr1096	5	H5	9/22/22	p2	m	m	40	9/10/22	12	p	26	0	N
jr1097	5	A6	9/22/22	p2	m	m	41	9/10/22	12	p	26	0.008	N
jr1098	5	B6	10/3/22	a1	m	m	42	8/27/22	37	a	37	0.01	N
jr1099	5	C6	10/3/22	a1	f	NA	43	8/27/22	37	a	37	0.618	Y
jr1100	5	D6	10/3/22	a2	m	m	44	9/10/22	23	a	37	0.712	Y
jr1101	5	E6	10/3/22	a3	f	NA	45	9/22/22	11	a	37	0.922	Y
jr1102	5	F6	10/3/22	p3	m	m	46	9/22/22	11	p	37	0.222	N
jr1103	5	G6	10/3/22	p3	m	m	47	9/22/22	11	p	37	0.69	Y
jr1104	5	H6	10/3/22	p3	m	m	48	9/22/22	11	p	37	0.452	Y
jr1105	5	A7	10/3/22	p3	m	m	49	9/22/22	11	p	37	0.654	Y
jr1106	5	B7	10/3/22	p3	m	m	50	9/22/22	11	p	37	0.008	N
