,location,latitude,longitude,extradata,x,x,x,vineyard,orchard,2021,2009-2012,DEST?
1,Brysons,34.81,83.26,henry,Tiger Mountain,Burnt Shirt Vineyard,,11,,,,
2,Grandaddys,35.36,82.41,henry,St Paul Wine,,,1,1,,,
3,Carter Mtn,37.99,78.47,henry,2021,Blenheim,,1,1,1,1,
4,Lohrs Orchard,39.54,76.24,henry,2021,Boordys,,1,1,1,1,
5,Linvilla,39.8845,75.4125,Amber,2021,,,,,1,11111111111,
6,Terhune,40.3319,74.7259,Amber,Terhune 11-1,Terhune 23-10,Terhune 26-9,,1,,11,
6,Solebury 9-28,40.38,75.03,henry,,,,,1,,1,
6,Unionville,40.42,74.83,henry,,,,,,,,
7,middlefield,41.5173,72.712,Amber,2021,,,,,1,1,
7,Taylor Brooke,41.95,72,henry,Woodstock,,,1,1,,,
8,"harvad, ma",42.4937,71.5609,Amber,2021,,,,,1,11,
9,"Durham, NH",43.15232,70.96811,2021,,,,,,1,,
9,Carter Hill Orchard,43.23,71.61,henry,,,,,1,,,
9,"Champlain, VT",43.8569,73.353,Amber,,,,,,,1,
10,"Walpole, ME",43.9559,69.5587,,,,,,,,1,
10,Rocky Ridge,44.02,69.94,henry,2021,,,,1,1,1,
11,"etna, me",44.8209,69.112,Amber,2021,,,,,1,11,
11,North Chester,45.45,68.42,henry,,,,,1,,,
